date,1. open,2. high,3. low,4. close,5. volume
2015-12-18 00:00:00-05:00,9.66,9.995,9.47,9.8,1601555
2015-12-21 00:00:00-05:00,9.88,9.905,9.51,9.81,1071092
2015-12-22 00:00:00-05:00,9.87,10.115,9.72,9.895,943501
2015-12-23 00:00:00-05:00,9.98,10.18,9.94,10.13,729752
2015-12-24 00:00:00-05:00,10.14,10.39,10.14,10.29,521667
2015-12-28 00:00:00-05:00,10.17,10.21,9.961,10.05,759593
2015-12-29 00:00:00-05:00,10.1,10.49,10.08,10.43,1337015
2015-12-30 00:00:00-05:00,10.38,10.95,10.17,10.75,3217894
2015-12-31 00:00:00-05:00,10.78,10.83,10.57,10.78,1167909
2016-01-04 00:00:00-05:00,10.55,10.66,10.16,10.35,2969658
2016-01-05 00:00:00-05:00,10.4,10.5,10.11,10.29,1986159
2016-01-06 00:00:00-05:00,10.11,10.16,9.66,9.88,1674829
2016-01-07 00:00:00-05:00,9.5,9.65,8.92,9,2075794
2016-01-08 00:00:00-05:00,9.07,9.4,8.75,8.9,1730702
2016-01-11 00:00:00-05:00,8.91,9.05,7.99,8.29,1924502
2016-01-12 00:00:00-05:00,8.38,8.76,8.0801,8.565,1099762
2016-01-13 00:00:00-05:00,8.61,8.61,7.76,7.84,1689421
2016-01-14 00:00:00-05:00,7.87,8.16,7.23,7.94,2061254
2016-01-15 00:00:00-05:00,7.49,7.76,7.15,7.55,1702892
2016-01-19 00:00:00-05:00,7.7,7.7,7.08,7.28,1125641
2016-01-20 00:00:00-05:00,7.11,7.8101,6.82,7.62,2040450
2016-01-21 00:00:00-05:00,7.63,7.97,7.18,7.19,1612837
2016-01-22 00:00:00-05:00,7.44,7.54,7.08,7.42,1737563
2016-01-25 00:00:00-05:00,7.33,7.77,7.21,7.53,1388140
2016-01-26 00:00:00-05:00,7.63,7.7,7.11,7.51,1509373
2016-01-27 00:00:00-05:00,7.48,7.65,7.125,7.17,1096746
2016-01-28 00:00:00-05:00,7.25,7.35,6.69,7,1414326
2016-01-29 00:00:00-05:00,7.11,7.1325,6.43,6.76,2546437
2016-02-01 00:00:00-05:00,6.73,6.88,6.51,6.79,1306049
2016-02-02 00:00:00-05:00,6.62,6.675,6.21,6.41,1516818
2016-02-03 00:00:00-05:00,6.45,6.55,6.04,6.46,1244439
2016-02-04 00:00:00-05:00,6.45,6.962,6.35,6.69,1388196
2016-02-05 00:00:00-05:00,6.61,6.71,6.24,6.32,2171047
2016-02-08 00:00:00-05:00,6.21,6.345,5.67,5.86,1838874
2016-02-09 00:00:00-05:00,5.75,6.15,5.681,5.96,975020
2016-02-10 00:00:00-05:00,6.02,6.28,5.91,5.92,743273
2016-02-11 00:00:00-05:00,5.75,5.935,5.61,5.62,1452965
2016-02-12 00:00:00-05:00,5.7,6.26,5.57,6.07,1772835
2016-02-16 00:00:00-05:00,6.21,6.4419,6.09,6.27,2216851
2016-02-17 00:00:00-05:00,6.3,6.59,6.05,6.475,1373677
2016-02-18 00:00:00-05:00,6.34,6.56,6.225,6.42,1795521
2016-02-19 00:00:00-05:00,6.38,6.74,6.31,6.7,1252843
2016-02-22 00:00:00-05:00,6.84,6.98,6.785,6.9,1192849
2016-02-23 00:00:00-05:00,6.86,6.95,6.6601,6.71,1495123
2016-02-24 00:00:00-05:00,6.62,6.69,6.25,6.66,1256854
2016-02-25 00:00:00-05:00,6.65,7.3,6.65,6.855,1768156
2016-02-26 00:00:00-05:00,7.18,7.61,7.03,7.35,2068251
2016-02-29 00:00:00-05:00,7.33,7.51,7.26,7.395,1294133
2016-03-01 00:00:00-05:00,7.46,7.65,7.29,7.59,2001409
2016-03-02 00:00:00-05:00,7.59,7.8,7.455,7.8,1909538
2016-03-03 00:00:00-05:00,7.78,7.82,7.35,7.63,1526110
2016-03-04 00:00:00-05:00,7.65,7.695,7.23,7.285,2090797
2016-03-07 00:00:00-05:00,7.27,7.88,7.16,7.85,1308843
2016-03-08 00:00:00-05:00,7.82,7.83,7.45,7.485,1125078
2016-03-09 00:00:00-05:00,7.57,7.6,7.14,7.23,1725155
2016-03-10 00:00:00-05:00,7.27,7.44,7.04,7.13,1121156
2016-03-11 00:00:00-05:00,7.18,7.51,7.08,7.49,1209420
2016-03-14 00:00:00-04:00,7.5,7.69,7.33,7.545,1283405
2016-03-15 00:00:00-04:00,7.52,7.6,7.12,7.15,1671000
2016-03-16 00:00:00-04:00,7.09,7.28,6.87,7.07,1670964
2016-03-17 00:00:00-04:00,7.07,7.2,6.9,7.01,1915344
2016-03-18 00:00:00-04:00,7.14,7.37,7,7.26,1760963
2016-03-21 00:00:00-04:00,7.23,7.43,7.11,7.23,1026026
2016-03-22 00:00:00-04:00,7.17,7.495,7.17,7.44,1151853
2016-03-23 00:00:00-04:00,7.39,7.57,7.15,7.15,1022568
2016-03-24 00:00:00-04:00,7.09,7.49,6.98,7.39,1058674
