date,1. open,2. high,3. low,4. close,5. volume
2015-12-22 00:00:00-05:00,41.23,42.8799,41.23,42.86,28111
2015-12-23 00:00:00-05:00,41.75,43.33,41.75,43.32,37695
2015-12-24 00:00:00-05:00,43.16,43.27,43.126,43.22,6448
2015-12-28 00:00:00-05:00,42.7,42.76,42.4301,42.76,35763
2015-12-29 00:00:00-05:00,42.89,42.96,42.756,42.79,47474
2015-12-30 00:00:00-05:00,42.5,42.58,42.39,42.4,22456
2015-12-31 00:00:00-05:00,42.31,45.18,42.2,42.27,48412
2016-01-04 00:00:00-05:00,41.05,41.14,40.72,41.13,48144
2016-01-05 00:00:00-05:00,41.15,41.24,40.97,41.08,9831
2016-01-06 00:00:00-05:00,40.19,40.35,40.02,40.205,20579
2016-01-07 00:00:00-05:00,39.41,39.82,39.21,39.2801,66689
2016-01-08 00:00:00-05:00,39.4699,39.4699,38.92,38.94,43219
2016-01-11 00:00:00-05:00,39.1,39.2,38.6701,38.98,134327
2016-01-12 00:00:00-05:00,39,39.12,38.63,38.91,62619
2016-01-13 00:00:00-05:00,39.18,39.18,38.33,38.41,12778
2016-01-14 00:00:00-05:00,38.42,38.97,38.15,38.81,39661
2016-01-15 00:00:00-05:00,37.44,37.64,36.95,37.4,59008
2016-01-19 00:00:00-05:00,38.58,38.58,37.85,38.14,286169
2016-01-20 00:00:00-05:00,36.89,37.21,36.2999,37.05,23538
2016-01-21 00:00:00-05:00,37.09,37.58,36.01,36.02,72994
2016-01-22 00:00:00-05:00,37.08,38.3499,36.98,37.1,30102
2016-01-25 00:00:00-05:00,37.08,38.34,36.69,36.7,117041
2016-01-26 00:00:00-05:00,36.76,38.16,36.74,38.16,71206
2016-01-27 00:00:00-05:00,36.91,38.2099,36.57,36.62,25373
2016-01-28 00:00:00-05:00,37.04,38.04,36.67,38,18110
2016-01-29 00:00:00-05:00,38.67,39.03,38.66,38.97,24672
2016-02-01 00:00:00-05:00,38.48,38.73,38.38,38.65,19064
2016-02-02 00:00:00-05:00,38.14,38.14,37.75,37.83,30825
2016-02-03 00:00:00-05:00,37.86,38.35,37.36,38.31,58672
