date,1. open,2. high,3. low,4. close,5. volume
2018-10-12 00:00:00-04:00,26.9,27.4,25.53,26.51,2097722
2018-10-15 00:00:00-04:00,27.46,27.72,25.55,26.91,1317507
2018-10-16 00:00:00-04:00,27.04,27.62,25.6,25.87,932525
2018-10-17 00:00:00-04:00,26.1,26.1,24.16,24.98,2116143
2018-10-18 00:00:00-04:00,24.61,25.23,23.7,23.85,1487707
2018-10-19 00:00:00-04:00,23.88,24.4,23,23.46,428640
2018-10-22 00:00:00-04:00,23.4,23.92,22.46,23.03,502643
2018-10-23 00:00:00-04:00,22.88,23.81,22.7,22.84,412591
2018-10-24 00:00:00-04:00,23,24.5499,22.2,22.5,1716305
2018-10-25 00:00:00-04:00,22.4,23.49,22.23,22.51,1069557
2018-10-26 00:00:00-04:00,22.77,23.3399,22.68,23,354018
2018-10-29 00:00:00-04:00,23.4,24.47,22.91,22.99,341761
2018-10-30 00:00:00-04:00,23.87,24.7811,23.01,23.8,242657
2018-10-31 00:00:00-04:00,24.47,24.47,23.58,24.03,353166
2018-11-01 00:00:00-04:00,24.33,27.05,24.02,26.95,400563
2018-11-02 00:00:00-04:00,27.32,28.1,27,27.66,831233
2018-11-05 00:00:00-05:00,28.25,28.9,26.53,28.26,796545
2018-11-06 00:00:00-05:00,28.5,33.3,28.4692,33.3,1015118
2018-11-07 00:00:00-05:00,33.32,35.55,31.42,32.68,1297978
2018-11-08 00:00:00-05:00,32.67,34.45,32.37,33.23,541828
2018-11-09 00:00:00-05:00,33.07,33.5291,29.4,30.62,474971
2018-11-12 00:00:00-05:00,30.62,31.5,27,27.01,388809
2018-11-13 00:00:00-05:00,27.23,29.1999,27.23,27.7,213279
2018-11-14 00:00:00-05:00,27.96,29.16,24.9003,25,1080377
2018-11-15 00:00:00-05:00,25,27.44,24.85,26.95,372517
2018-11-16 00:00:00-05:00,26.66,28.5,26.655,28.13,454763
2018-11-19 00:00:00-05:00,27.95,28.81,26.13,26.54,422553
2018-11-20 00:00:00-05:00,26.47,26.82,24.76,25.54,295333
2018-11-21 00:00:00-05:00,26.02,26.79,25.59,25.6,227588
2018-11-23 00:00:00-05:00,25.51,27.3424,25.51,26.83,61671
2018-11-26 00:00:00-05:00,27.25,27.8,26.525,27.7,242953
2018-11-27 00:00:00-05:00,27.51,29.3,26.84,28.44,229100
2018-11-28 00:00:00-05:00,28.69,30.66,27.9,30.39,440598
2018-11-29 00:00:00-05:00,30.11,31.88,29.71,31.34,379947
2018-11-30 00:00:00-05:00,31.15,33.1097,31.15,31.37,514473
2018-12-03 00:00:00-05:00,31.91,33.49,31.54,31.68,431520
2018-12-04 00:00:00-05:00,31.78,33.9599,29.95,30.44,667036
2018-12-06 00:00:00-05:00,29.94,30.31,25.99,27.065,1429082
2018-12-07 00:00:00-05:00,27.05,28.15,26,26.3299,510127
2018-12-10 00:00:00-05:00,26.3,28.005,26.23,26.52,615272
2018-12-11 00:00:00-05:00,27.06,27.59,25.87,25.99,541572
2018-12-12 00:00:00-05:00,26.56,27.28,26.1,26.21,308555
2018-12-13 00:00:00-05:00,26.17,26.74,25.52,26.08,297358
2018-12-14 00:00:00-05:00,25.67,27.905,25.51,26.22,547863
2018-12-17 00:00:00-05:00,26.25,26.7101,24.5,25.4,382181
2018-12-18 00:00:00-05:00,25.56,26.18,25,25.62,431741
2018-12-19 00:00:00-05:00,25.76,27.33,25,25.58,510294
2018-12-20 00:00:00-05:00,25.32,26.29,24.3,24.75,922856
2018-12-21 00:00:00-05:00,24.97,25.78,23.58,24.06,1213298
2018-12-24 00:00:00-05:00,23.5,24.55,23.5,24.13,148210
2018-12-26 00:00:00-05:00,24.68,26.16,24.335,25.26,385148
2018-12-27 00:00:00-05:00,25,25.35,23.37,24.77,314838
2018-12-28 00:00:00-05:00,24.75,26.13,24.155,25.81,174568
2018-12-31 00:00:00-05:00,26.29,26.93,24.76,26.87,324052
2019-01-02 00:00:00-05:00,26.62,28.05,25.9,27.545,634703
2019-01-03 00:00:00-05:00,27.52,27.625,25.76,26.025,229907
2019-01-04 00:00:00-05:00,26.78,27.42,26.1148,26.495,354419
2019-01-07 00:00:00-05:00,26.75,28.37,26.75,27.5,552875
2019-01-08 00:00:00-05:00,27.93,27.95,26.2311,27,269037
2019-01-09 00:00:00-05:00,27.22,27.63,26.79,27.32,221622
2019-01-10 00:00:00-05:00,27.28,28.83,26.76,28.1,397793
2019-01-11 00:00:00-05:00,28.09,29.9,28.09,29.53,437960
2019-01-14 00:00:00-05:00,29.37,29.5,28.445,28.445,390348
2019-01-15 00:00:00-05:00,28.59,28.95,27.1,27.91,241959
2019-01-16 00:00:00-05:00,28,29.41,27.37,28.895,186307
2019-01-17 00:00:00-05:00,28.75,29.725,27.71,28.19,279164
2019-01-18 00:00:00-05:00,28.47,28.78,28,28.63,297223
2019-01-22 00:00:00-05:00,28.5,28.91,27.25,27.66,212790
2019-01-23 00:00:00-05:00,27.9,28.46,27.04,27.84,121262
2019-01-24 00:00:00-05:00,27.92,28.7,27.22,28.6195,180498
2019-01-25 00:00:00-05:00,28.78,29.85,28.6222,29.665,205108
2019-01-28 00:00:00-05:00,29.45,30.615,28.89,29.47,249907
2019-01-29 00:00:00-05:00,29.54,30.32,29.54,29.85,208041
2019-01-30 00:00:00-05:00,30.1,30.7,29.37,30.28,315044
2019-01-31 00:00:00-05:00,30.25,31.4,29.97,30.3,383512
2019-02-01 00:00:00-05:00,30.37,31.22,30.18,30.82,212696
2019-02-04 00:00:00-05:00,30.77,32.42,30.72,31.62,266666
2019-02-05 00:00:00-05:00,31.8,32.32,30.05,31,398778
2019-02-06 00:00:00-05:00,31.16,31.37,30.16,30.85,200155
2019-02-07 00:00:00-05:00,30.62,31.705,29.78,30.125,443123
2019-02-08 00:00:00-05:00,29.91,30.9863,29.7101,30.08,212435
2019-02-11 00:00:00-05:00,30.31,30.99,29.83,30.33,355679
2019-02-12 00:00:00-05:00,30.52,32.35,30.14,31.39,268432
2019-02-13 00:00:00-05:00,31.63,32.42,31.63,31.97,288348
2019-02-14 00:00:00-05:00,31.86,32.47,31.18,31.18,227180
2019-02-15 00:00:00-05:00,31.13,31.92,30.22,31.11,311356
2019-02-21 00:00:00-05:00,30.68,30.78,29.41,30.67,165080
2019-02-22 00:00:00-05:00,30.65,31.48,30.4,31.02,139867
2019-02-25 00:00:00-05:00,31.66,32.53,31.57,31.78,355632
2019-02-26 00:00:00-05:00,31.71,32,31.27,31.7,138973
2019-02-27 00:00:00-05:00,31.53,33.4774,31.53,32.545,580157
2019-02-28 00:00:00-05:00,32.6,32.9,31.5,31.77,361479
2019-03-01 00:00:00-05:00,32.1,32.3415,30.603,31.24,513235
2019-03-04 00:00:00-05:00,31.37,32.25,30.76,31.99,582883
2019-03-05 00:00:00-05:00,31.96,32.4136,31.3,31.52,348682
2019-03-06 00:00:00-05:00,31.45,32.035,29.59,29.78,261705
2019-03-07 00:00:00-05:00,29.65,30.43,29.45,29.67,193779
2019-03-08 00:00:00-05:00,29.54,29.54,27.26,28.44,678111
2019-03-11 00:00:00-04:00,28.47,28.545,27.68,28.22,503576
2019-03-12 00:00:00-04:00,28.27,28.37,26.3325,26.75,802079
2019-03-13 00:00:00-04:00,26.8,27.1,25.71,26.89,717301
2019-03-14 00:00:00-04:00,27.47,28.27,26.33,26.51,606662
2019-03-15 00:00:00-04:00,26.44,27.31,25.72,26.69,518343
2019-03-18 00:00:00-04:00,26.74,27.52,25.73,26.84,616090
2019-03-19 00:00:00-04:00,26.74,27.173,25.8,26.24,373291
2019-03-20 00:00:00-04:00,26.21,26.5076,25.8,25.96,248977
2019-03-21 00:00:00-04:00,25.83,27.5,25.83,27.28,333293
2019-03-22 00:00:00-04:00,27.14,27.2973,25.53,25.56,923661
2019-03-25 00:00:00-04:00,25.69,26.17,24.6,24.79,658101
2019-03-26 00:00:00-04:00,24.92,25.72,24.8,25.61,303258
2019-03-27 00:00:00-04:00,25.68,26.24,25.52,26.24,364472
2019-03-28 00:00:00-04:00,26.41,27.87,26.1185,27.02,323095
2019-03-29 00:00:00-04:00,27.81,29.39,27.17,28.93,473681
2019-04-01 00:00:00-04:00,29.16,29.58,28.44,28.72,108786
2019-04-02 00:00:00-04:00,28.76,29.09,27.9578,28.11,185256
2019-04-03 00:00:00-04:00,28.31,28.54,27.51,27.79,181802
2019-04-04 00:00:00-04:00,27.76,28.23,27.61,27.99,358643
2019-04-05 00:00:00-04:00,28.02,28.3,27.5,27.96,246780
2019-04-08 00:00:00-04:00,27.93,27.93,27.0001,27.48,268258
2019-04-09 00:00:00-04:00,27.5,27.81,26.71,26.95,404592
2019-04-10 00:00:00-04:00,27,27.48,26.83,26.995,352479
2019-04-11 00:00:00-04:00,27,27,26.56,26.6,492400
2019-04-12 00:00:00-04:00,26.6,26.79,26.2,26.37,393433
2019-04-15 00:00:00-04:00,26.09,26.915,25.72,25.99,557996
2019-04-16 00:00:00-04:00,26.1,26.3,25.87,26.3,264257
2019-04-17 00:00:00-04:00,26.41,26.41,25.27,25.58,374090
2019-04-18 00:00:00-04:00,25.67,26,25.2,25.95,252659
2019-04-22 00:00:00-04:00,25.65,26.12,25.51,25.79,234830
2019-04-23 00:00:00-04:00,25.85,27,25.5271,26.93,276189
2019-04-24 00:00:00-04:00,26.89,27.65,26.435,27.56,407650
2019-04-25 00:00:00-04:00,27.48,28.17,27.24,27.89,227578
2019-04-26 00:00:00-04:00,27.91,30.4,27.685,29.895,531689
2019-04-29 00:00:00-04:00,29.95,29.95,28.77,29.8,361086
2019-04-30 00:00:00-04:00,29.82,30.06,29.42,29.91,252473
2019-05-01 00:00:00-04:00,29.79,30.2,29.25,29.48,431752
2019-05-02 00:00:00-04:00,29.47,29.75,29.16,29.73,490660
2019-05-03 00:00:00-04:00,30.13,30.28,29.83,30.2,337236
2019-05-06 00:00:00-04:00,29.63,31.19,29.26,31.09,301637
2019-05-07 00:00:00-04:00,29.77,30.9899,29.75,29.84,500291
2019-05-08 00:00:00-04:00,29.61,30.95,29.1875,30.42,374363
2019-05-09 00:00:00-04:00,30.14,30.47,29.77,29.94,499215
2019-05-10 00:00:00-04:00,29.81,30.41,29.36,30.32,398152
2019-05-13 00:00:00-04:00,29.77,30.1,28.98,29.84,331887
2019-05-14 00:00:00-04:00,29.88,31.555,29.67,31.04,390595
2019-05-15 00:00:00-04:00,30.77,31.4,27.55,28.55,1333124
2019-05-16 00:00:00-04:00,28.65,29.77,28.65,29.75,307928
2019-05-17 00:00:00-04:00,29.4,29.98,29.0681,29.195,432683
2019-05-20 00:00:00-04:00,29,29.31,28.07,28.25,365067
2019-05-21 00:00:00-04:00,28.56,29.34,28.06,29.12,394782
2019-05-22 00:00:00-04:00,29.1,29.65,28.59,28.99,457570
2019-05-23 00:00:00-04:00,28.31,28.63,27.52,27.65,759043
2019-05-24 00:00:00-04:00,27.76,28.89,27.76,28.32,362308
2019-05-28 00:00:00-04:00,28.35,28.895,27.965,28.58,406210
2019-05-29 00:00:00-04:00,28.16,28.85,27.72,28.42,463523
2019-05-30 00:00:00-04:00,28.49,28.72,26.81,26.91,363641
2019-05-31 00:00:00-04:00,26.54,26.8167,25.95,26.14,296502
2019-06-04 00:00:00-04:00,27.47,28.05,26.7,27.04,430372
2019-06-05 00:00:00-04:00,26.78,26.83,25.81,26.07,431317
2019-06-06 00:00:00-04:00,26.05,26.06,25.27,25.96,899886
2019-06-07 00:00:00-04:00,26.04,26.66,25.62,26.43,306542
2019-06-10 00:00:00-04:00,26.59,28.15,26.59,27.32,533195
2019-06-11 00:00:00-04:00,27.76,28.08,26.59,26.78,409328
2019-06-12 00:00:00-04:00,26.71,27.78,26.4,26.67,406740
2019-06-13 00:00:00-04:00,26.74,27.08,26.46,26.76,646086
2019-06-14 00:00:00-04:00,26.69,27.33,26.37,26.43,635461
2019-06-17 00:00:00-04:00,26.6,27.94,26.6,27.38,428720
2019-06-18 00:00:00-04:00,27.63,28.38,27.3,28.14,304149
2019-06-19 00:00:00-04:00,28.04,28.37,27.53,28.07,316166
2019-06-20 00:00:00-04:00,28.23,28.46,27.29,27.39,305840
2019-06-21 00:00:00-04:00,27.19,27.32,26.51,26.79,476540
2019-06-24 00:00:00-04:00,26.91,27.07,26.31,26.5,377581
2019-06-25 00:00:00-04:00,26.54,26.86,26.04,26.14,264759
