date,1. open,2. high,3. low,4. close,5. volume
2014-06-30 00:00:00-04:00,6,6,6,6,495
2014-07-01 00:00:00-04:00,6.5,6.5,6.5,6.5,30
2014-07-02 00:00:00-04:00,5.5,5.5,5.5,5.5,70
2014-07-08 00:00:00-04:00,6.5,6.5,6.5,6.5,38
2014-07-10 00:00:00-04:00,6.5,6.5,6.5,6.5,20
2014-07-15 00:00:00-04:00,6.5,6.5,6.5,6.5,205
2014-07-17 00:00:00-04:00,6.5,6.5,6.5,6.5,25
2014-07-21 00:00:00-04:00,6.4,6.4,6.4,6.4,25
2014-07-23 00:00:00-04:00,5.5,5.5,5.5,5.5,975
2014-07-30 00:00:00-04:00,5.7,5.7,5.7,5.7,30
2014-08-04 00:00:00-04:00,5.5,6.5,5,6.5,1405
2014-08-07 00:00:00-04:00,5.2,5.2,5.2,5.2,40
2014-08-08 00:00:00-04:00,5.5,5.5,5.5,5.5,20
2014-08-11 00:00:00-04:00,5.5,5.5,4.5,4.5,1883
2014-08-13 00:00:00-04:00,4.5,4.5,4.5,4.5,1080
2014-08-18 00:00:00-04:00,5.2,5.2,5.2,5.2,100
2014-08-19 00:00:00-04:00,5.2,6.5,5.2,6.5,2590
2014-08-20 00:00:00-04:00,4.51,6.5,4.51,5.3,4340
2014-08-21 00:00:00-04:00,4.8,6.3,4.8,5.19,1180
2014-08-26 00:00:00-04:00,4.7,4.9,4.7,4.8,1138
2014-08-27 00:00:00-04:00,4.7,4.7,4.7,4.7,350
2014-08-28 00:00:00-04:00,4.7,4.855,4.51,4.855,4750
2014-08-29 00:00:00-04:00,5.2,6.4,4.5,4.5,2330
2014-09-02 00:00:00-04:00,5.8,5.8,4.5,5.5,2328
2014-09-04 00:00:00-04:00,5.5,5.5,4.85,4.85,809
2014-09-05 00:00:00-04:00,4.501,4.501,4.5,4.5,2300
2014-09-08 00:00:00-04:00,4.5,4.5,4.5,4.5,557
2014-09-09 00:00:00-04:00,4.5,5.29,4.5,5.29,2415
2014-09-10 00:00:00-04:00,4.5,4.5,4.5,4.5,1200
2014-09-15 00:00:00-04:00,4,4,4,4,350
2014-09-16 00:00:00-04:00,3.999,3.999,2.5,2.5,600
2014-09-18 00:00:00-04:00,5.299,5.299,3.51,3.51,130
2014-09-22 00:00:00-04:00,3.5,3.5,3.5,3.5,25
2014-09-23 00:00:00-04:00,4.5,5.299,3.5,3.5,650
2014-09-26 00:00:00-04:00,4.5,5.299,4.5,5.299,641
2014-09-29 00:00:00-04:00,5.299,5.299,4.5,4.5,2297
2014-09-30 00:00:00-04:00,5,5.299,5,5.299,120
2014-10-01 00:00:00-04:00,3.522,5.299,3.522,5.299,1814
2014-10-02 00:00:00-04:00,5.299,5.299,3.61,3.61,143
2014-10-03 00:00:00-04:00,5.299,5.299,5.299,5.299,100
2014-10-08 00:00:00-04:00,3.6,4.2,3.6,3.6,1680
2014-10-09 00:00:00-04:00,3.7,3.7,3.7,3.7,900
2014-10-10 00:00:00-04:00,3.7,3.7,3.7,3.7,2067
2014-10-14 00:00:00-04:00,4,4,4,4,100
2014-10-22 00:00:00-04:00,3.7,3.7,3.1,3.1,1950
2014-10-23 00:00:00-04:00,3.5,3.5,3.5,3.5,200
2014-10-27 00:00:00-04:00,4.899,4.899,3,3,333
2014-10-29 00:00:00-04:00,3.79,4.5,3.79,4.5,1700
2014-10-30 00:00:00-04:00,4.2,4.2,4.2,4.2,1200
2014-11-05 00:00:00-05:00,5,5,5,5,235
2014-11-14 00:00:00-05:00,3.211,3.211,3.211,3.211,1000
