date,1. open,2. high,3. low,4. close,5. volume
2019-11-20 00:00:00-05:00,9.98,9.99,9.95,9.98,4732095
2019-11-21 00:00:00-05:00,9.97,9.98,9.96,9.98,47450
2019-11-22 00:00:00-05:00,9.97,9.98,9.96,9.96,34552
2019-11-25 00:00:00-05:00,9.99,9.99,9.96,9.97,55113
2019-11-26 00:00:00-05:00,9.98,9.98,9.9602,9.98,44808
2019-11-29 00:00:00-05:00,10,10,9.96,9.9952,48150
2019-12-02 00:00:00-05:00,9.99,9.99,9.97,9.98,232559
2019-12-03 00:00:00-05:00,9.97,9.97,9.97,9.97,2800
2019-12-04 00:00:00-05:00,9.97,9.99,9.95,9.98,21225
2019-12-05 00:00:00-05:00,9.98,9.98,9.97,9.98,4750
2019-12-06 00:00:00-05:00,9.98,9.9999,9.97,9.99,425001
2019-12-09 00:00:00-05:00,10,10.02,9.99,10,182835
2019-12-10 00:00:00-05:00,10.02,10.02,10,10.02,35650
2019-12-11 00:00:00-05:00,10,10,9.99,9.9934,5400
