date,1. open,2. high,3. low,4. close,5. volume
2015-12-18 00:00:00-05:00,31.5,31.5,30.34,30.7,224807
2015-12-21 00:00:00-05:00,30.77,31.61,30.46,30.92,107331
2015-12-22 00:00:00-05:00,31.07,32.05,30.79,32.02,61455
2015-12-23 00:00:00-05:00,32.31,33.25,31.5,32.73,75938
2015-12-24 00:00:00-05:00,32.68,33.04,32.47,32.59,22712
2015-12-28 00:00:00-05:00,32.31,32.48,32,32.12,65048
2015-12-29 00:00:00-05:00,32.26,32.45,31.6501,31.97,51855
2015-12-30 00:00:00-05:00,31.72,31.92,31.37,31.61,51491
2015-12-31 00:00:00-05:00,31.52,31.92,31.3701,31.65,113975
2016-01-04 00:00:00-05:00,31.17,31.52,30.57,30.66,214485
2016-01-05 00:00:00-05:00,30.75,30.99,30.51,30.75,77868
2016-01-06 00:00:00-05:00,30.32,30.92,30.11,30.57,82046
2016-01-07 00:00:00-05:00,30.09,30.49,29.51,29.59,94070
2016-01-08 00:00:00-05:00,29.41,29.76,29.09,29.53,141273
2016-01-11 00:00:00-05:00,29.74,29.8623,29.21,29.58,79215
2016-01-12 00:00:00-05:00,29.84,30.18,28.67,29,179352
2016-01-13 00:00:00-05:00,29.22,29.49,27.38,27.45,152830
2016-01-14 00:00:00-05:00,27.47,28.25,27.22,27.83,125914
2016-01-15 00:00:00-05:00,27.07,27.27,26.42,26.87,233521
2016-01-19 00:00:00-05:00,27.05,27.26,25.43,25.44,171157
2016-01-20 00:00:00-05:00,25.01,25.85,24.05,25.55,244467
2016-01-21 00:00:00-05:00,25.43,27.29,25.2,27.05,180705
2016-01-22 00:00:00-05:00,27.75,28.24,27.47,27.73,134322
2016-01-25 00:00:00-05:00,27.33,27.46,26.18,26.29,90833
2016-01-26 00:00:00-05:00,26.54,27.28,26.2,26.8,162195
2016-01-27 00:00:00-05:00,26.73,27.82,26.73,27.24,158729
2016-01-28 00:00:00-05:00,27.73,28.23,27.13,27.37,80852
2016-01-29 00:00:00-05:00,27.41,29.34,27.41,29.31,179660
2016-02-01 00:00:00-05:00,29.04,29.385,27.86,29.04,135415
2016-02-02 00:00:00-05:00,28.69,29.555,27.08,27.16,111405
2016-02-03 00:00:00-05:00,27.38,28.07,26.4,27.9,131110
2016-02-04 00:00:00-05:00,27.92,28.47,26.02,28,115626
2016-02-05 00:00:00-05:00,27.85,28.89,27.3,27.58,102540
2016-02-08 00:00:00-05:00,27.17,28.287,26.22,28.22,149506
2016-02-09 00:00:00-05:00,27.65,29,27.65,27.99,107252
2016-02-10 00:00:00-05:00,28.2,28.525,26.62,26.94,162107
2016-02-11 00:00:00-05:00,25.55,26.9,23.25,23.98,587460
2016-02-12 00:00:00-05:00,24.01,25.51,23.4501,24.62,230016
2016-02-16 00:00:00-05:00,24.95,26.35,24.69,26,151363
2016-02-17 00:00:00-05:00,26.03,27.49,25.85,26.72,188816
2016-02-18 00:00:00-05:00,26.89,27.605,26.29,26.95,109835
2016-02-19 00:00:00-05:00,26.85,27.57,26.07,26.45,136590
2016-02-22 00:00:00-05:00,26.58,27.03,26.26,26.38,150110
2016-02-23 00:00:00-05:00,26.34,26.73,25.35,25.82,167661
2016-02-24 00:00:00-05:00,25.5,26.7552,25.3201,26.59,85363
2016-02-25 00:00:00-05:00,26.5,27.22,25.64,26.28,128964
2016-02-26 00:00:00-05:00,26.19,27.1576,26.05,26.63,110245
2016-02-29 00:00:00-05:00,26.7,27.85,26.32,26.85,111619
2016-03-01 00:00:00-05:00,27.12,27.82,26.83,27.53,87852
2016-03-02 00:00:00-05:00,27.54,27.95,27.33,27.92,107658
2016-03-03 00:00:00-05:00,27.89,29.57,27.8,29.56,124149
2016-03-04 00:00:00-05:00,29.9,30.83,29.54,30.24,184459
2016-03-07 00:00:00-05:00,30.17,32.24,29.94,32.24,187823
2016-03-08 00:00:00-05:00,32,32,29.82,29.88,145854
2016-03-09 00:00:00-05:00,30.15,31.08,29.99,30.25,75550
2016-03-10 00:00:00-05:00,30.25,30.69,28.86,29.42,78229
2016-03-11 00:00:00-05:00,29.74,30.47,29.5101,30.42,95690
2016-03-14 00:00:00-04:00,30.21,30.73,29.56,29.87,81523
2016-03-15 00:00:00-04:00,29.47,30.0299,28.95,29.3,70519
2016-03-16 00:00:00-04:00,29.31,30.2499,28.6306,29.9,70992
2016-03-17 00:00:00-04:00,30,30.98,29.73,30.78,217468
2016-03-18 00:00:00-04:00,31.03,31.73,30.59,30.6,224668
2016-03-21 00:00:00-04:00,30.67,31.61,30.39,31.48,136272
2016-03-22 00:00:00-04:00,31.29,31.55,30.265,30.46,120131
2016-03-23 00:00:00-04:00,30.3,30.3,29.44,29.47,167096
2016-03-24 00:00:00-04:00,29.18,29.59,28.65,29.56,104476
2016-03-28 00:00:00-04:00,29.77,30.54,29.62,30.11,97320
2016-03-29 00:00:00-04:00,29.92,31.09,28.77,31.08,117113
2016-03-30 00:00:00-04:00,31.27,31.32,30.88,31.06,115577
2016-03-31 00:00:00-04:00,31.02,31.53,29.947,31.39,116111
2016-04-01 00:00:00-04:00,31.31,31.735,30.84,31.69,138598
2016-04-04 00:00:00-04:00,31.72,31.75,30.17,30.22,79389
2016-04-05 00:00:00-04:00,29.82,30.41,29.55,29.98,85188
2016-04-06 00:00:00-04:00,30.02,30.4,29.59,30.34,77693
2016-04-07 00:00:00-04:00,30.15,30.4695,29.48,29.59,67432
2016-04-08 00:00:00-04:00,29.95,31.18,29.76,30.9,88089
2016-04-11 00:00:00-04:00,31.08,31.74,30.89,31.06,84252
