date,1. open,2. high,3. low,4. close,5. volume
2018-09-26 00:00:00-04:00,24.5,25.59,23.16,23.6,7068035
2018-09-27 00:00:00-04:00,23.97,25.2,23,23.5,1080148
2018-09-28 00:00:00-04:00,23.57,23.88,22.23,22.78,705770
2018-10-01 00:00:00-04:00,22.75,22.75,20.6,21.98,695054
2018-10-02 00:00:00-04:00,22,22.3229,21.13,21.84,652832
2018-10-03 00:00:00-04:00,22,23.22,21.3,23.22,243708
2018-10-04 00:00:00-04:00,22.16,23.99,22.0501,22.61,339006
2018-10-05 00:00:00-04:00,21.69,22.75,21.69,22.38,172965
2018-10-08 00:00:00-04:00,22.21,22.96,22,22.53,39884
2018-10-09 00:00:00-04:00,22.2,22.69,22,22.18,53590
2018-10-10 00:00:00-04:00,21.99,22.29,20.7,21.49,184850
2018-10-11 00:00:00-04:00,20.97,22.93,20.835,22.47,108830
2018-10-12 00:00:00-04:00,22.4,24,21.47,22.01,67316
2018-10-15 00:00:00-04:00,22,22.21,20.2,21.6,75737
2018-10-16 00:00:00-04:00,22.12,23.02,21,22.58,77275
2018-10-17 00:00:00-04:00,22.34,23.1,21.26,22.78,24544
2018-10-18 00:00:00-04:00,22.57,23.26,22.55,22.78,82356
2018-10-19 00:00:00-04:00,22.86,23.385,22.56,22.75,27068
2018-10-22 00:00:00-04:00,23.39,23.48,21.605,22.05,93660
2018-10-23 00:00:00-04:00,21.97,22.485,21.475,22.0103,129188
2018-10-24 00:00:00-04:00,21.99,22,21,21.15,75154
2018-10-25 00:00:00-04:00,21.32,22.7,20.61,21.5,167683
2018-10-26 00:00:00-04:00,21.36,23.34,20.97,21.8,205303
2018-10-29 00:00:00-04:00,21.76,22.145,20.59,21.445,56907
2018-10-30 00:00:00-04:00,21.31,21.92,20.97,21.28,25243
2018-10-31 00:00:00-04:00,21.5,21.7,20.945,21.305,124036
2018-11-01 00:00:00-04:00,21.355,21.84,20.56,21.385,47002
2018-11-02 00:00:00-04:00,21.46,22.48,21.33,22.16,26524
2018-11-05 00:00:00-05:00,22.45,22.6362,21.7244,22.365,50207
2018-11-06 00:00:00-05:00,22.44,22.95,22.07,22.07,12644
2018-11-07 00:00:00-05:00,22.04,22.71,21.51,22,74944
2018-11-08 00:00:00-05:00,22.13,22.85,21.57,21.6,39379
2018-11-09 00:00:00-05:00,21.88,22.62,21.09,21.35,21868
2018-11-12 00:00:00-05:00,21.46,22.34,21.025,22.03,32138
2018-11-13 00:00:00-05:00,22.2,22.2,20.56,21.08,16461
2018-11-14 00:00:00-05:00,21.33,21.74,20.7,21.5,71926
2018-11-15 00:00:00-05:00,21.41,22.96,20.8384,22.69,16125
2018-11-16 00:00:00-05:00,22.88,23.0431,20.5025,22.93,9999
2018-11-19 00:00:00-05:00,22.96,22.96,21.84,22.19,14138
2018-11-20 00:00:00-05:00,21.87,23,21.8688,22.735,64757
2018-11-21 00:00:00-05:00,22.5,23.705,21.75,23.64,54532
2018-11-23 00:00:00-05:00,23.28,24.49,22.54,24.49,15424
2018-11-26 00:00:00-05:00,24.5,24.5,23.01,24.19,27899
2018-11-27 00:00:00-05:00,24.17,24.49,23.25,23.63,30291
2018-11-28 00:00:00-05:00,23.78,24.4888,22.67,23.35,49920
2018-11-29 00:00:00-05:00,23.25,23.37,22.6431,23.22,79413
2018-11-30 00:00:00-05:00,23.24,24.45,22.495,23.53,45188
2018-12-03 00:00:00-05:00,23.68,24.14,23,23.52,38522
2018-12-04 00:00:00-05:00,23.51,24.62,22.95,24.22,91536
2018-12-06 00:00:00-05:00,23.76,24.8,22.935,23.8,94696
2018-12-07 00:00:00-05:00,24.07,24.07,22.1428,23.6,52429
2018-12-10 00:00:00-05:00,23.44,24.025,21.81,22.04,44971
2018-12-11 00:00:00-05:00,22.03,23.375,21.19,21.9,106186
2018-12-12 00:00:00-05:00,21.86,22.495,21,21.71,25549
2018-12-13 00:00:00-05:00,21.43,22.0541,20.9,21.23,48634
2018-12-14 00:00:00-05:00,21.06,22.15,20.6806,21.5,36695
2018-12-17 00:00:00-05:00,21.43,21.59,20.53,21.19,75420
2018-12-18 00:00:00-05:00,21.5,22.195,20.8,21.27,21488
2018-12-19 00:00:00-05:00,21,22.205,20.65,21.3,52637
2018-12-20 00:00:00-05:00,21.57,21.85,17.68,20,51384
2018-12-21 00:00:00-05:00,19.22,20.41,19.09,19.97,57060
2018-12-24 00:00:00-05:00,19.64,20.72,18.925,20.55,3849
2018-12-26 00:00:00-05:00,21.485,21.485,19.47,20.68,11476
2018-12-27 00:00:00-05:00,20.69,21.46,20.34,21.02,11326
2018-12-28 00:00:00-05:00,21.39,22.2,21.03,21.71,63893
2018-12-31 00:00:00-05:00,21.81,23.1,21.14,22.99,3581
2019-01-02 00:00:00-05:00,22.1,22.1,20.3513,21.61,16042
2019-01-03 00:00:00-05:00,22.445,22.445,21.25,21.7,10422
2019-01-04 00:00:00-05:00,22.35,22.35,21.375,21.7,65325
2019-01-07 00:00:00-05:00,21.84,22.82,21.57,22.05,14585
2019-01-08 00:00:00-05:00,22.07,22.695,0,22.28,14928
2019-01-09 00:00:00-05:00,22.27,22.85,20.78,21.615,128436
2019-01-10 00:00:00-05:00,21.63,22.355,20.5,21.97,130597
2019-01-11 00:00:00-05:00,21.88,22.26,20.94,21.5,119476
2019-01-14 00:00:00-05:00,21.52,22.65,21.0001,21.5,64395
2019-01-15 00:00:00-05:00,21.21,22.495,21.06,21.75,16728
2019-01-16 00:00:00-05:00,21.93,22.375,21.5,21.9,26321
2019-01-17 00:00:00-05:00,21.94,22.43,21.36,21.75,44037
2019-01-18 00:00:00-05:00,22.29,22.79,21.384,21.59,15114
2019-01-22 00:00:00-05:00,22.24,22.945,21.54,22.55,37291
2019-01-23 00:00:00-05:00,22.59,22.6,21.44,21.95,57072
2019-01-24 00:00:00-05:00,21.89,23.34,21.51,23.29,22962
2019-01-25 00:00:00-05:00,23.5,23.95,23.22,23.4,2967
2019-01-28 00:00:00-05:00,23.01,23.92,23,23.92,5993
2019-01-29 00:00:00-05:00,24,25,22.6,23.69,69441
2019-01-30 00:00:00-05:00,23.57,26.4743,23.54,25.2,190643
2019-01-31 00:00:00-05:00,25.15,25.99,23.37,25.51,31204
2019-02-01 00:00:00-05:00,25.28,25.82,23.9,25.32,85554
2019-02-04 00:00:00-05:00,24.9,25.9999,22.41,25.19,32339
2019-02-05 00:00:00-05:00,24.87,25.9,24.4936,25.68,34137
2019-02-06 00:00:00-05:00,25.48,26,24.1,25.54,21847
2019-02-07 00:00:00-05:00,25.39,26.45,24.88,25.68,126638
2019-02-08 00:00:00-05:00,26.02,26.99,25.56,26.56,33817
2019-02-11 00:00:00-05:00,26.6,26.96,25.97,26.45,55391
2019-02-12 00:00:00-05:00,26.75,26.99,26.0859,26.53,35394
2019-02-13 00:00:00-05:00,26.64,27.47,26.16,26.96,52270
2019-02-14 00:00:00-05:00,26.66,27.24,25.92,26.31,15653
