date,1. open,2. high,3. low,4. close,5. volume
2015-12-21 00:00:00-05:00,29.23,29.49,29.05,29.41,154627
2015-12-22 00:00:00-05:00,29.43,29.79,28.89,29.62,107107
2015-12-23 00:00:00-05:00,29.75,29.88,29.5,29.72,55622
2015-12-24 00:00:00-05:00,29.7,29.99,29.545,29.76,56334
2015-12-28 00:00:00-05:00,30.13,30.32,28.86,29.43,111977
2015-12-29 00:00:00-05:00,29.63,29.85,29.315,29.81,85975
2015-12-30 00:00:00-05:00,29.89,29.94,29.449,29.6,85888
2015-12-31 00:00:00-05:00,29.46,29.79,29.11,29.45,172039
2016-01-04 00:00:00-05:00,28.71,29,27.38,28.54,144418
2016-01-05 00:00:00-05:00,28,29,28,28.93,251428
2016-01-06 00:00:00-05:00,28.44,29.04,28.24,28.49,134388
2016-01-07 00:00:00-05:00,28,28.13,27.05,27.35,178631
2016-01-08 00:00:00-05:00,27.4,27.81,26.67,26.71,170238
2016-01-11 00:00:00-05:00,26.94,27.0475,26.56,26.89,160628
2016-01-12 00:00:00-05:00,27.08,27.49,26.5,26.98,83685
2016-01-13 00:00:00-05:00,27.06,27.29,25.87,25.99,130029
2016-01-14 00:00:00-05:00,26.09,26.45,25.58,26.08,108949
2016-01-15 00:00:00-05:00,25.44,26.13,25.26,26.04,127274
2016-01-19 00:00:00-05:00,26.23,26.23,24.08,24.65,190745
2016-01-20 00:00:00-05:00,24.19,25,23.69,24.72,173632
2016-01-21 00:00:00-05:00,24.71,25.015,24.24,24.63,110773
2016-01-22 00:00:00-05:00,24.95,24.98,24.35,24.66,84441
2016-01-25 00:00:00-05:00,24.7,24.7,24.14,24.22,85503
2016-01-26 00:00:00-05:00,24.24,25.54,24.24,25.45,221247
2016-01-27 00:00:00-05:00,25.34,25.485,24.55,24.86,142243
2016-01-28 00:00:00-05:00,25.06,25.47,24.3,24.39,86794
2016-01-29 00:00:00-05:00,24.35,25.62,24.31,25.53,120254
2016-02-01 00:00:00-05:00,25.26,25.65,24.54,25.52,141842
2016-02-02 00:00:00-05:00,25.3,25.615,24.63,25.04,106208
2016-02-03 00:00:00-05:00,25.16,25.25,24.46,24.87,58047
2016-02-04 00:00:00-05:00,24.76,25.38,24.72,24.85,68522
2016-02-05 00:00:00-05:00,24.81,24.96,24.175,24.18,66443
2016-02-08 00:00:00-05:00,24,24.75,23.84,24.56,93568
2016-02-09 00:00:00-05:00,24.16,24.57,23.92,24.03,73356
2016-02-10 00:00:00-05:00,24.06,24.61,23.9503,24.17,96004
2016-02-11 00:00:00-05:00,23.8,24.0775,23.13,23.82,93128
2016-02-12 00:00:00-05:00,23.95,24.42,23.57,23.96,76161
2016-02-16 00:00:00-05:00,24.27,24.69,24,24.65,72324
2016-02-17 00:00:00-05:00,24.9,25.42,24.6,25.39,131124
