date,1. open,2. high,3. low,4. close,5. volume
2016-10-11 00:00:00-04:00,5.06,5.59,4.87,5.01,109050
2016-10-12 00:00:00-04:00,5.01,5.48,5,5.48,122808
2016-10-13 00:00:00-04:00,5.55,5.6,5.12,5.15,45531
2016-10-14 00:00:00-04:00,5.34,5.3499,5.011,5.26,77069
2016-10-17 00:00:00-04:00,5.27,5.34,5,5.01,119362
2016-10-18 00:00:00-04:00,5.1,5.14,3.98,4.97,37955
2016-10-19 00:00:00-04:00,5,5.0425,4.85,4.95,34476
2016-10-20 00:00:00-04:00,4.9,5,4.9,5,14950
2016-10-21 00:00:00-04:00,4.9925,5,4.95,4.996,18600
2016-10-24 00:00:00-04:00,4.96,5.05,4.9505,5,4698
2016-10-25 00:00:00-04:00,4.96,5.0227,4.95,4.98,6473
2016-10-26 00:00:00-04:00,4.9999,5.043,4.9999,5,16686
2016-10-27 00:00:00-04:00,5.08,5.085,5,5,3100
2016-10-28 00:00:00-04:00,5.09,5.09,4.95,4.95,5645
2016-10-31 00:00:00-04:00,5.09,5.09,4.85,5.07,3162
2016-11-01 00:00:00-04:00,5.05,5.05,5.03,5.0373,212
2016-11-02 00:00:00-04:00,5.04,5.04,4.7472,4.9999,3916
2016-11-03 00:00:00-04:00,5,5,5,5,14
2016-11-04 00:00:00-04:00,4.9,5.09,4.75,5.09,1022
2016-11-07 00:00:00-05:00,4.99,4.99,4.8822,4.8822,530
2016-11-08 00:00:00-05:00,4.97,4.989,4.97,4.97,300
2016-11-09 00:00:00-05:00,4.75,4.76,4.75,4.75,1000
2016-11-10 00:00:00-05:00,4.6,4.9799,4.5,4.74,7942
2016-11-11 00:00:00-05:00,4.84,4.85,4.542,4.542,2803
2016-11-14 00:00:00-05:00,4.77,4.77,4.5,4.63,17531
2016-11-15 00:00:00-05:00,4.7,4.7,4.5,4.63,10523
2016-11-16 00:00:00-05:00,4.7,4.8842,4.5,4.625,20100
2016-11-17 00:00:00-05:00,5,5,4.65,4.65,4875
2016-11-18 00:00:00-05:00,4.6575,4.7854,4.5,4.68,15842
2016-11-21 00:00:00-05:00,4.64,4.64,3.93,3.97,33426
2016-11-22 00:00:00-05:00,4.57,4.9,4,4.11,36866
2016-11-23 00:00:00-05:00,4.22,4.23,4,4.15,12549
2016-11-25 00:00:00-05:00,4.15,4.37,4.15,4.37,14075
2016-11-28 00:00:00-05:00,4.412,4.76,4.0515,4.1,19410
2016-11-29 00:00:00-05:00,4.05,4.25,4.01,4.01,5927
2016-11-30 00:00:00-05:00,4.1,4.2,4,4.2,8936
2016-12-01 00:00:00-05:00,4.39,4.4,4.05,4.05,8887
