date,1. open,2. high,3. low,4. close,5. volume
2015-12-22 00:00:00-05:00,40.64,41.59,40.64,41.29,311223
2015-12-23 00:00:00-05:00,41.5,42.3,41.18,41.43,269029
2015-12-24 00:00:00-05:00,41.36,42.21,41.36,41.92,133164
2015-12-28 00:00:00-05:00,41.92,42.29,41.6924,42.04,177255
2015-12-29 00:00:00-05:00,42.15,42.72,41.8101,42.25,176156
2015-12-30 00:00:00-05:00,42.22,42.5497,41.76,41.81,140306
2015-12-31 00:00:00-05:00,41.64,41.89,41.15,41.15,151007
2016-01-04 00:00:00-05:00,40.51,41.07,40.13,40.61,379817
2016-01-05 00:00:00-05:00,40.83,41,40.07,40.38,262937
2016-01-06 00:00:00-05:00,39.86,40.81,39.86,40.39,462060
2016-01-07 00:00:00-05:00,39.56,39.75,38.64,38.97,401267
2016-01-08 00:00:00-05:00,38.98,39.33,38.35,38.49,447712
2016-01-11 00:00:00-05:00,38.16,38.67,37.49,37.93,496675
2016-01-12 00:00:00-05:00,38.3,38.605,37.46,38.12,662575
2016-01-13 00:00:00-05:00,38.41,38.715,36.93,37.19,588096
2016-01-14 00:00:00-05:00,37.5,37.79,36.79,37.28,572669
2016-01-15 00:00:00-05:00,36.19,36.87,35.83,36.73,231927
2016-01-19 00:00:00-05:00,38.06,38.28,37.085,37.35,514583
2016-01-20 00:00:00-05:00,36.82,38.195,36.33,37.39,452015
2016-01-21 00:00:00-05:00,38.68,38.68,37.5,37.65,513524
2016-01-22 00:00:00-05:00,38.09,39.38,38.01,39.32,533553
2016-01-25 00:00:00-05:00,39.13,39.64,38.62,38.96,425242
2016-01-26 00:00:00-05:00,39.13,40.04,38.79,39.89,332054
2016-01-27 00:00:00-05:00,39.85,40.24,39.33,39.4,380192
2016-01-28 00:00:00-05:00,39.72,40.43,39.36,39.55,243408
2016-01-29 00:00:00-05:00,39.47,40.565,39.18,40.5,361774
2016-02-01 00:00:00-05:00,40.14,40.74,40.02,40.37,423410
2016-02-02 00:00:00-05:00,39.99,40.34,39.443,39.67,295256
2016-02-03 00:00:00-05:00,40.18,40.3299,38.69,39.41,343512
2016-02-04 00:00:00-05:00,39.46,40.9,39.46,40.65,412867
2016-02-05 00:00:00-05:00,42.5,43.25,36.5701,37.75,1619591
2016-02-08 00:00:00-05:00,37.71,38.25,35.33,35.72,746229
2016-02-09 00:00:00-05:00,35.26,35.92,33.16,33.88,1152392
2016-02-10 00:00:00-05:00,34.28,34.6,33.64,34.19,763253
2016-02-11 00:00:00-05:00,33.49,34.2,32.24,32.89,788877
2016-02-12 00:00:00-05:00,33.31,33.78,32.66,32.8,541219
2016-02-16 00:00:00-05:00,33.38,33.655,32.7,33.07,447067
2016-02-17 00:00:00-05:00,33.1,34.59,33.02,34.33,745281
2016-02-18 00:00:00-05:00,34.35,34.64,33.59,33.72,524633
2016-02-19 00:00:00-05:00,33.52,33.88,33.11,33.52,497381
2016-02-22 00:00:00-05:00,33.8,34.36,33.56,34.03,460295
2016-02-23 00:00:00-05:00,33.87,34.21,33.58,33.79,305075
2016-02-24 00:00:00-05:00,33.36,34.11,32.75,34.01,321462
2016-02-25 00:00:00-05:00,34.34,36.19,34.285,36.08,594936
2016-02-26 00:00:00-05:00,36.16,36.98,35.445,36.54,553751
2016-02-29 00:00:00-05:00,36.58,36.58,35.99,36.08,369429
2016-03-01 00:00:00-05:00,36.29,37.69,36.12,37.67,394285
2016-03-02 00:00:00-05:00,37.41,38.71,37.085,38.62,550932
2016-03-03 00:00:00-05:00,38.74,39.57,38.555,38.96,620788
2016-03-04 00:00:00-05:00,38.88,39.67,38.1,39.08,401770
2016-03-07 00:00:00-05:00,38.87,39.24,38.59,39.03,371926
2016-03-08 00:00:00-05:00,38.89,39.37,38.55,38.58,418442
2016-03-09 00:00:00-05:00,38.76,39.37,38.22,39.21,422302
2016-03-10 00:00:00-05:00,39.31,39.31,38.02,38.39,320719
2016-03-11 00:00:00-05:00,38.7,39.51,38.26,39.5,288417
2016-03-14 00:00:00-04:00,39.27,39.33,38.91,38.93,321959
2016-03-15 00:00:00-04:00,38.31,38.77,38.03,38.57,331866
2016-03-16 00:00:00-04:00,38.4,39.19,38.06,38.98,495756
2016-03-17 00:00:00-04:00,38.9,39.74,38.43,39.52,683035
2016-03-18 00:00:00-04:00,39.57,39.97,38.71,39.76,757976
2016-03-21 00:00:00-04:00,39.7,40.42,39.27,40.01,302245
2016-03-22 00:00:00-04:00,39.66,41.23,39.5,40.83,419699
2016-03-23 00:00:00-04:00,40.87,41.11,40.4,40.43,165656
2016-03-24 00:00:00-04:00,40.13,40.79,40.11,40.77,420591
2016-03-28 00:00:00-04:00,40.69,40.8,39.95,40.21,383015
2016-03-29 00:00:00-04:00,40.36,41.87,40.35,41.86,508766
2016-03-30 00:00:00-04:00,41.99,42.33,40.89,41.26,321616
2016-03-31 00:00:00-04:00,41.41,41.91,40.83,41.01,275718
2016-04-01 00:00:00-04:00,40.77,41.59,40.46,41.38,311526
2016-04-04 00:00:00-04:00,41.39,41.915,40.99,41.24,261738
2016-04-05 00:00:00-04:00,40.83,41.5,40.42,41.07,172118
2016-04-06 00:00:00-04:00,41.19,42.19,40.79,41.93,233600
2016-04-07 00:00:00-04:00,41.59,42.02,41.38,41.77,295939
2016-04-08 00:00:00-04:00,42.41,43.74,42,42.95,658061
2016-04-11 00:00:00-04:00,44.32,44.65,42.34,42.63,745871
2016-04-12 00:00:00-04:00,42.65,43.21,42.4,42.48,338034
2016-04-13 00:00:00-04:00,42.79,43.94,42.51,43.94,351886
2016-04-14 00:00:00-04:00,43.98,44.85,43.73,44.68,305879
2016-04-15 00:00:00-04:00,44.47,45.13,44.2868,44.6,424289
2016-04-18 00:00:00-04:00,44.39,44.76,44.355,44.53,153927
2016-04-19 00:00:00-04:00,44.64,44.76,43.17,43.665,357605
2016-04-20 00:00:00-04:00,43.6,44.04,43.41,43.69,253716
2016-04-21 00:00:00-04:00,44,44.445,43.58,43.92,408607
2016-04-22 00:00:00-04:00,43.82,44.19,43.04,43.92,321631
2016-04-25 00:00:00-04:00,44.11,44.717,43.3,43.67,324406
