date,1. open,2. high,3. low,4. close,5. volume
2015-12-21 00:00:00-05:00,9.5,9.57,7.979,8.073,1081280
2015-12-22 00:00:00-05:00,8.133,9.59,8.022,9.59,938867
2015-12-23 00:00:00-05:00,9.62,9.75,8.297,8.357,1065270
2015-12-24 00:00:00-05:00,8.34,9.77,8.292,8.391,450218
2015-12-28 00:00:00-05:00,8.357,9.77,8.245,9.77,518849
2015-12-29 00:00:00-05:00,9.79,9.85,8.365,8.443,886489
2015-12-30 00:00:00-05:00,8.417,9.875,8.305,8.322,1223088
2015-12-31 00:00:00-05:00,8.288,9.7875,8.228,8.425,1496084
2016-01-04 00:00:00-05:00,8.236,9.48,8.056,8.116,1813859
2016-01-05 00:00:00-05:00,8.142,9.585,8.077,8.176,933424
2016-01-06 00:00:00-05:00,8.073,9.4399,7.919,9.27,1427604
2016-01-07 00:00:00-05:00,9.08,9.168,7.73,7.755,1981196
2016-01-08 00:00:00-05:00,7.824,9.08,7.558,8.82,2839497
2016-01-11 00:00:00-05:00,8.86,8.975,8.785,8.91,1198206
2016-01-12 00:00:00-05:00,9,9.09,7.609,9.03,1523675
2016-01-13 00:00:00-05:00,9.08,9.0806,7.421,7.575,2758028
2016-01-14 00:00:00-05:00,7.622,9.0225,7.511,8.985,1874906
2016-01-15 00:00:00-05:00,8.74,8.86,7.506,7.575,2067701
2016-01-19 00:00:00-05:00,7.584,8.8448,7.463,8.79,1402845
2016-01-20 00:00:00-05:00,8.62,8.82,8.435,8.74,1676175
2016-01-21 00:00:00-05:00,8.75,8.91,8.6053,8.785,1134421
2016-01-22 00:00:00-05:00,8.89,9.01,7.592,7.67,944630
2016-01-25 00:00:00-05:00,7.627,8.93,7.541,7.558,1021722
2016-01-26 00:00:00-05:00,7.584,8.9526,7.481,7.695,879510
2016-01-27 00:00:00-05:00,7.67,9.03,7.618,8.9,1181377
2016-01-28 00:00:00-05:00,8.98,9.11,7.751,7.773,1110255
2016-01-29 00:00:00-05:00,7.807,9.17,7.807,9.14,1763526
2016-02-01 00:00:00-05:00,9.08,9.145,9.01,9.05,1124847
2016-02-02 00:00:00-05:00,9,9.02,8.83,8.84,1009984
2016-02-03 00:00:00-05:00,8.91,8.91,7.536,7.592,964596
2016-02-04 00:00:00-05:00,7.567,8.91,7.519,7.627,1517946
2016-02-05 00:00:00-05:00,7.627,8.93,7.494,8.67,1096414
2016-02-08 00:00:00-05:00,8.54,8.59,7.274,7.369,1392537
2016-02-09 00:00:00-05:00,7.249,8.52,7.223,8.49,1796350
2016-02-10 00:00:00-05:00,8.84,9,7.309,7.326,1723728
2016-02-11 00:00:00-05:00,7.197,8.3517,7.09,7.214,1673818
2016-02-12 00:00:00-05:00,7.214,8.655,7.189,8.6,1206158
2016-02-16 00:00:00-05:00,8.69,8.75,7.378,7.463,1101778
2016-02-17 00:00:00-05:00,7.549,8.88,7.549,7.592,1126164
2016-02-18 00:00:00-05:00,7.605,8.86,7.554,8.755,986771
2016-02-19 00:00:00-05:00,8.72,8.83,7.512,8.82,805271
2016-02-22 00:00:00-05:00,8.83,8.97,7.567,7.592,759490
2016-02-23 00:00:00-05:00,7.588,8.855,7.511,8.725,763226
2016-02-24 00:00:00-05:00,8.64,8.86,7.339,8.825,1288236
2016-02-25 00:00:00-05:00,8.84,8.89,7.592,7.618,746433
2016-02-26 00:00:00-05:00,7.627,8.92,7.584,8.87,1039330
2016-02-29 00:00:00-05:00,8.7,8.78,7.513,7.54,1002457
2016-03-01 00:00:00-05:00,7.574,8.9,7.548,8.85,1429589
2016-03-02 00:00:00-05:00,8.84,8.91,7.723,7.766,798140
2016-03-03 00:00:00-05:00,7.758,8.91,7.688,7.793,1062794
2016-03-04 00:00:00-05:00,7.827,9.18,7.775,7.932,1313620
2016-03-07 00:00:00-05:00,7.889,9.18,7.836,9.15,950418
2016-03-08 00:00:00-05:00,9.07,9.07,7.745,7.758,891889
2016-03-09 00:00:00-05:00,7.801,9.05,7.793,7.827,808837
2016-03-10 00:00:00-05:00,7.845,9.01,7.688,7.784,667812
2016-03-11 00:00:00-05:00,7.862,9.13,7.862,7.976,1025832
2016-03-14 00:00:00-04:00,7.919,9.25,7.893,9.175,705859
2016-03-15 00:00:00-04:00,9.15,9.2,7.906,9.07,790558
2016-03-16 00:00:00-04:00,9.08,9.1468,7.823,7.889,690606
2016-03-17 00:00:00-04:00,7.897,9.29,7.845,8.115,1018567
2016-03-18 00:00:00-04:00,8.159,9.38,8.098,8.15,1119328
2016-03-21 00:00:00-04:00,8.107,9.29,7.958,7.993,842916
2016-03-22 00:00:00-04:00,7.941,9.18,7.889,7.976,723989
2016-03-23 00:00:00-04:00,7.88,9.149,7.836,7.906,1017554
2016-03-24 00:00:00-04:00,7.854,9,7.775,8.94,1029535
2016-03-28 00:00:00-04:00,8.96,8.99,7.749,7.758,565987
2016-03-29 00:00:00-04:00,7.775,9.08,7.672,9.04,999426
2016-03-30 00:00:00-04:00,9.12,9.23,7.915,7.915,1478435
2016-03-31 00:00:00-04:00,7.906,9.14,7.889,9.04,812135
2016-04-01 00:00:00-04:00,9.01,9.05,7.784,7.906,2004627
2016-04-04 00:00:00-04:00,7.889,9.2,7.845,9.2,1261001
2016-04-05 00:00:00-04:00,9.15,9.17,9.01,9.03,1016978
2016-04-06 00:00:00-04:00,9.02,9.07,7.775,7.845,958728
2016-04-07 00:00:00-04:00,7.797,8.94,7.727,8.875,925713
2016-04-08 00:00:00-04:00,8.92,8.95,8.71,8.72,1015474
2016-04-11 00:00:00-04:00,8.81,8.95,7.653,7.679,1205093
2016-04-12 00:00:00-04:00,7.723,9.035,7.688,7.827,1186892
2016-04-13 00:00:00-04:00,7.897,9.195,7.871,8.046,1399921
2016-04-14 00:00:00-04:00,8.063,9.275,7.967,8.054,929588
2016-04-15 00:00:00-04:00,8.046,9.2199,7.985,8.054,902498
2016-04-18 00:00:00-04:00,8.054,9.33,8.014,9.27,649390
