date,1. open,2. high,3. low,4. close,5. volume
2016-02-03 00:00:00-05:00,28.97,29.49,27.05,28.48,1959922
2016-02-04 00:00:00-05:00,28.15,31.4,27.61,31.06,335888
2016-02-05 00:00:00-05:00,31.3,35.6,30.63,34,347364
2016-02-08 00:00:00-05:00,34,34.245,31.37,31.52,93264
2016-02-09 00:00:00-05:00,30.86,30.86,27,27.4,346867
2016-02-10 00:00:00-05:00,27.98,28.2999,25.3,26.88,445196
2016-02-11 00:00:00-05:00,26.48,26.74,22.51,23.72,481796
2016-02-12 00:00:00-05:00,24.09,24.61,23.15,23.95,121304
2016-02-16 00:00:00-05:00,24.52,26.4,23.6,25.13,221456
2016-02-17 00:00:00-05:00,25.44,26.74,24.6003,25.61,236001
2016-02-18 00:00:00-05:00,26.94,27.77,25.41,26.46,271216
2016-02-19 00:00:00-05:00,26,27.53,25.6,27.19,152189
2016-02-22 00:00:00-05:00,27,29,26.99,27.4801,102503
2016-02-23 00:00:00-05:00,26.7,28.3958,26.64,27.15,257982
2016-02-24 00:00:00-05:00,26.5,28.0339,26.5,27.6101,73021
2016-02-25 00:00:00-05:00,28.44,29.68,27.8,29.14,199729
2016-02-26 00:00:00-05:00,30.27,30.27,28.38,29.85,127614
2016-02-29 00:00:00-05:00,29.5,30.5135,28.68,29.27,234479
2016-03-01 00:00:00-05:00,29.94,30.499,29.41,29.9,166181
2016-03-02 00:00:00-05:00,29.8,31.25,29.75,30.75,202307
2016-03-03 00:00:00-05:00,31,32.24,30.95,32.07,387021
2016-03-04 00:00:00-05:00,32.97,33.5,31.42,32.37,160771
2016-03-07 00:00:00-05:00,31.41,32.5,29.31,29.49,190203
2016-03-08 00:00:00-05:00,29.79,29.85,28.02,28.22,202285
2016-03-09 00:00:00-05:00,28.43,29.7202,27.76,28.78,92911
2016-03-10 00:00:00-05:00,29,29.71,26.85,27.93,156606
2016-03-11 00:00:00-05:00,27.6,28.2916,26.7,27.5501,91818
2016-03-14 00:00:00-04:00,28.87,29.85,27.045,27.14,163938
2016-03-15 00:00:00-04:00,27,27.8526,26.52,26.78,74964
2016-03-16 00:00:00-04:00,26.53,26.89,25.5,25.97,97455
2016-03-17 00:00:00-04:00,25.82,26.8,25.28,25.7,45998
2016-03-18 00:00:00-04:00,26.85,27.81,25.285,27.7,102556
2016-03-21 00:00:00-04:00,27.67,30.9799,27,29.57,129484
2016-03-22 00:00:00-04:00,29.71,30.79,28.7425,30,124737
2016-03-23 00:00:00-04:00,30.99,31.66,27.05,28.26,162579
2016-03-24 00:00:00-04:00,27.9,29.445,26.96,28.99,52794
2016-03-28 00:00:00-04:00,27.9,28.02,26.79,27,31533
2016-03-29 00:00:00-04:00,27,28.24,27,27.68,25617
2016-03-30 00:00:00-04:00,27.7,29.01,27.7,28.94,30345
2016-03-31 00:00:00-04:00,28.27,29.88,28.27,29.5,45834
2016-04-01 00:00:00-04:00,29.13,29.78,28.5,29.2,45812
2016-04-04 00:00:00-04:00,29.39,30.5,28.7001,29.97,44111
2016-04-05 00:00:00-04:00,29.9,30,28.51,29.77,71718
2016-04-06 00:00:00-04:00,29.87,32,29.52,31.69,138741
2016-04-07 00:00:00-04:00,31.48,33.24,29.89,31.18,107937
2016-04-08 00:00:00-04:00,31.79,31.79,29.58,31.265,24954
2016-04-11 00:00:00-04:00,31.35,33.17,30.41,32.3501,112135
2016-04-12 00:00:00-04:00,31.82,32.98,30.8683,31.55,123132
2016-04-13 00:00:00-04:00,31.91,32.7499,31.08,31.92,52788
2016-04-14 00:00:00-04:00,31.49,32.43,31.011,31.11,59916
2016-04-15 00:00:00-04:00,31.21,31.78,30.63,31.5,81211
2016-04-18 00:00:00-04:00,31.74,32,31.0001,31.04,8556
2016-04-19 00:00:00-04:00,31.5,32,30.104,31,159324
2016-04-20 00:00:00-04:00,31.42,31.42,29.995,30.18,49943
2016-04-21 00:00:00-04:00,30.6,31.0699,28.7005,29.4,78078
2016-04-22 00:00:00-04:00,29.71,31.945,29.2,30.48,127998
2016-04-25 00:00:00-04:00,30.13,30.8,28.5601,29.1,167508
2016-04-26 00:00:00-04:00,29.12,30.25,28.35,28.61,137255
2016-04-27 00:00:00-04:00,28.87,29.12,26.52,27.27,90760
2016-04-28 00:00:00-04:00,27.5,27.5,26.02,26.88,60817
2016-04-29 00:00:00-04:00,26.51,28.06,26.42,27.76,47603
2016-05-02 00:00:00-04:00,27.54,28.34,26.6,27.17,5462
2016-05-03 00:00:00-04:00,27.2,27.925,26.5465,26.55,55289
2016-05-04 00:00:00-04:00,26.67,26.67,26.02,26.29,36738
2016-05-05 00:00:00-04:00,26.26,26.65,26.25,26.44,13707
2016-05-06 00:00:00-04:00,26.12,26.97,26.01,26.24,17906
2016-05-09 00:00:00-04:00,26.26,28.13,26.26,27.93,45488
2016-05-10 00:00:00-04:00,27.68,28.47,26.64,27.99,34861
2016-05-11 00:00:00-04:00,27.67,28.48,27.66,27.89,7732
2016-05-12 00:00:00-04:00,28.14,28.14,26.69,26.71,30900
2016-05-13 00:00:00-04:00,26.74,28,26.73,27.61,49840
2016-05-16 00:00:00-04:00,27.79,28.65,26.81,28.03,50377
2016-05-17 00:00:00-04:00,27.575,28.1,26.82,27.69,38045
2016-05-18 00:00:00-04:00,27.28,28.41,26.79,27.31,27623
2016-05-19 00:00:00-04:00,27.31,27.59,26.2801,26.93,25571
2016-05-20 00:00:00-04:00,27.1,27.43,26.78,26.92,10784
2016-05-23 00:00:00-04:00,27.36,28.19,27,27.59,85021
2016-05-24 00:00:00-04:00,27.82,28.415,27,27.62,51067
2016-05-25 00:00:00-04:00,27.62,28.58,27.62,27.98,29947
2016-05-26 00:00:00-04:00,28.21,28.21,27.54,27.73,10188
