date,1. open,2. high,3. low,4. close,5. volume
2015-12-18 00:00:00-05:00,9.57,9.78,9.46,9.51,416674
2015-12-21 00:00:00-05:00,9.64,9.64,9.47,9.6,284068
2015-12-22 00:00:00-05:00,9.49,9.49,9.18,9.22,626528
2015-12-23 00:00:00-05:00,9.3,9.53,9.29,9.53,320324
2015-12-24 00:00:00-05:00,9.58,9.7,9.55,9.65,183743
2015-12-28 00:00:00-05:00,9.58,9.65,9.43,9.47,379028
2015-12-29 00:00:00-05:00,9.59,9.687,9.5,9.58,315950
2015-12-30 00:00:00-05:00,9.51,9.56,9.4,9.425,188512
2015-12-31 00:00:00-05:00,9.4,9.5207,9.4,9.4,163322
2016-01-04 00:00:00-05:00,9.27,9.425,9.24,9.41,289436
2016-01-05 00:00:00-05:00,9.38,9.4456,9.31,9.4,250973
2016-01-06 00:00:00-05:00,9.3,9.35,9.25,9.29,209905
2016-01-07 00:00:00-05:00,9.28,9.29,9.07,9.21,606279
2016-01-08 00:00:00-05:00,9.24,9.271,8.97,8.98,438266
2016-01-11 00:00:00-05:00,9.05,9.1,8.85,9.035,310303
2016-01-12 00:00:00-05:00,9.14,9.159,8.81,8.96,556643
2016-01-13 00:00:00-05:00,8.96,9.09,8.93,8.95,444406
2016-01-14 00:00:00-05:00,8.95,8.98,8.59,8.87,670066
2016-01-15 00:00:00-05:00,8.63,8.7222,8.51,8.67,523515
2016-01-19 00:00:00-05:00,8.71,8.82,8.6,8.61,447036
2016-01-20 00:00:00-05:00,8.5,8.72,8.1301,8.61,790641
2016-01-21 00:00:00-05:00,8.58,8.81,8.55,8.65,428323
2016-01-22 00:00:00-05:00,8.79,8.87,8.58,8.75,858162
2016-01-25 00:00:00-05:00,8.74,8.8599,8.6701,8.77,334836
2016-01-26 00:00:00-05:00,8.75,8.83,8.63,8.75,390453
2016-01-27 00:00:00-05:00,8.72,8.8,8.7,8.75,240746
2016-01-28 00:00:00-05:00,8.78,8.91,8.72,8.8,274350
2016-01-29 00:00:00-05:00,8.8,8.89,8.74,8.74,330064
2016-02-01 00:00:00-05:00,8.71,8.85,8.7,8.81,188624
2016-02-02 00:00:00-05:00,8.78,8.78,8.655,8.71,181416
2016-02-03 00:00:00-05:00,8.74,8.8,8.55,8.695,167391
2016-02-04 00:00:00-05:00,8.7,8.92,8.7,8.85,206429
2016-02-05 00:00:00-05:00,8.85,8.89,8.67,8.7,161300
2016-02-08 00:00:00-05:00,8.7,8.73,8.55,8.7,222534
2016-02-09 00:00:00-05:00,8.66,8.68,8.51,8.54,224884
2016-02-10 00:00:00-05:00,8.54,8.5997,8.5,8.5,291014
2016-02-11 00:00:00-05:00,8.46,8.5,8.32,8.44,282951
2016-02-12 00:00:00-05:00,8.49,8.61,8.38,8.49,320387
2016-02-16 00:00:00-05:00,8.56,8.7,8.51,8.67,217426
2016-02-17 00:00:00-05:00,8.74,8.9,8.675,8.84,241599
2016-02-18 00:00:00-05:00,8.9,8.91,8.66,8.79,243213
2016-02-19 00:00:00-05:00,8.5,8.71,8.41,8.55,401747
2016-02-22 00:00:00-05:00,8.56,8.64,8.5,8.57,224776
2016-02-23 00:00:00-05:00,8.57,8.68,8.54,8.57,199100
2016-02-24 00:00:00-05:00,8.49,8.65,8.4,8.625,165862
2016-02-25 00:00:00-05:00,8.65,8.78,8.56,8.73,151423
2016-02-26 00:00:00-05:00,8.8,8.93,8.7601,8.815,187592
2016-02-29 00:00:00-05:00,8.85,9.09,8.8296,9.04,228550
2016-03-01 00:00:00-05:00,9.06,9.2,9.05,9.15,230686
2016-03-02 00:00:00-05:00,9.11,9.15,8.95,9.02,484984
2016-03-03 00:00:00-05:00,9.02,9.17,8.85,8.9,700985
2016-03-04 00:00:00-05:00,8.95,9.08,8.89,8.895,311947
2016-03-07 00:00:00-05:00,8.91,9.09,8.76,8.98,424780
2016-03-08 00:00:00-05:00,8.93,8.99,8.67,8.695,647979
2016-03-09 00:00:00-05:00,8.76,8.9399,8.69,8.82,377881
2016-03-10 00:00:00-05:00,8.72,8.94,8.57,8.84,460981
2016-03-11 00:00:00-05:00,8.94,9.07,8.87,9.06,517024
2016-03-14 00:00:00-04:00,9.08,9.25,8.95,9.22,372508
2016-03-15 00:00:00-04:00,9.22,9.235,9.1,9.2,330114
2016-03-16 00:00:00-04:00,8.92,9.09,8.91,9.06,271979
2016-03-17 00:00:00-04:00,9.09,9.35,9.06,9.225,358383
2016-03-18 00:00:00-04:00,9.26,9.29,9.11,9.14,227805
2016-03-21 00:00:00-04:00,9.17,9.46,9.13,9.43,590494
2016-03-22 00:00:00-04:00,9.42,9.46,9.36,9.4,237673
2016-03-23 00:00:00-04:00,9.39,9.47,9.3,9.32,187352
2016-03-24 00:00:00-04:00,9.3,9.38,9.18,9.315,142418
2016-03-28 00:00:00-04:00,9.35,9.44,9.26,9.31,293959
2016-03-29 00:00:00-04:00,9.31,9.515,9.25,9.505,281998
2016-03-30 00:00:00-04:00,9.56,9.61,9.4,9.54,412997
2016-03-31 00:00:00-04:00,9.54,9.6,9.38,9.405,422310
2016-04-01 00:00:00-04:00,9.56,9.63,9.44,9.55,535088
2016-04-04 00:00:00-04:00,9.56,9.59,9.39,9.41,333432
2016-04-05 00:00:00-04:00,9.35,9.54,9.3,9.46,310641
2016-04-06 00:00:00-04:00,9.47,9.56,9.42,9.47,185428
2016-04-07 00:00:00-04:00,9.45,9.5,9.33,9.405,254096
2016-04-08 00:00:00-04:00,9.42,9.54,9.4,9.43,108714
2016-04-11 00:00:00-04:00,9.43,9.5239,9.43,9.5,222395
2016-04-12 00:00:00-04:00,9.5,9.55,9.43,9.51,241261
2016-04-13 00:00:00-04:00,9.53,9.6,9.48,9.55,364647
2016-04-14 00:00:00-04:00,9.56,9.5799,9.493,9.54,184618
2016-04-15 00:00:00-04:00,9.5,9.52,9.45,9.5,143526
2016-04-18 00:00:00-04:00,9.5,9.55,9.47,9.5,139875
2016-04-19 00:00:00-04:00,9.55,9.56,9.48,9.5,216938
2016-04-20 00:00:00-04:00,9.48,9.53,9.451,9.49,146896
2016-04-21 00:00:00-04:00,9.47,9.92,9.47,9.54,525818
2016-04-22 00:00:00-04:00,9.5,9.58,9.45,9.495,170907
2016-04-25 00:00:00-04:00,9.54,9.58,9.5,9.545,170823
2016-04-26 00:00:00-04:00,9.58,9.6,9.53,9.55,225039
2016-04-27 00:00:00-04:00,9.51,9.55,9.48,9.51,298893
2016-04-28 00:00:00-04:00,9,9.1,8.03,8.3799,2645646
2016-04-29 00:00:00-04:00,8.32,8.58,8.23,8.405,719368
2016-05-02 00:00:00-04:00,8.41,8.41,8.05,8.155,922549
2016-05-03 00:00:00-04:00,8.1,8.226,7.85,7.89,1002344
2016-05-04 00:00:00-04:00,7.91,8.04,7.88,7.99,403541
2016-05-05 00:00:00-04:00,8,8.06,7.9,7.91,387588
2016-05-06 00:00:00-04:00,7.88,8.0965,7.88,8.01,523293
2016-05-09 00:00:00-04:00,7.96,8.08,7.9,7.9,330936
2016-05-10 00:00:00-04:00,7.9,7.99,7.8,7.87,385566
2016-05-11 00:00:00-04:00,7.81,7.89,7.8,7.83,273582
2016-05-12 00:00:00-04:00,7.84,7.84,7.72,7.745,430882
2016-05-13 00:00:00-04:00,7.65,7.8,7.6,7.79,457236
2016-05-16 00:00:00-04:00,7.78,7.82,7.71,7.72,409380
2016-05-17 00:00:00-04:00,7.68,7.69,7.34,7.47,1139117
2016-05-18 00:00:00-04:00,7.41,7.53,7.34,7.44,717377
2016-05-19 00:00:00-04:00,7.37,7.43,7.1501,7.365,850928
2016-05-20 00:00:00-04:00,7.37,7.48,7.31,7.38,396495
2016-05-23 00:00:00-04:00,7.36,7.5,7.3501,7.36,362617
2016-05-24 00:00:00-04:00,7.37,7.45,7.35,7.37,278188
2016-05-25 00:00:00-04:00,7.38,7.47,7.36,7.41,341405
2016-05-26 00:00:00-04:00,7.41,7.68,7.41,7.635,461769
2016-05-27 00:00:00-04:00,7.67,7.67,7.6,7.64,189778
2016-05-31 00:00:00-04:00,7.69,7.95,7.64,7.72,511999
2016-06-01 00:00:00-04:00,7.75,7.7895,7.65,7.77,228169
2016-06-02 00:00:00-04:00,7.73,7.85,7.73,7.83,251537
2016-06-03 00:00:00-04:00,7.8,7.94,7.79,7.86,309643
2016-06-06 00:00:00-04:00,7.89,8.06,7.89,8.01,325961
2016-06-07 00:00:00-04:00,8.05,8.09,7.91,7.935,404628
2016-06-08 00:00:00-04:00,7.97,8,7.74,7.85,503976
2016-06-09 00:00:00-04:00,7.8,7.92,7.6,7.845,310533
2016-06-10 00:00:00-04:00,7.76,7.8216,7.74,7.78,247141
2016-06-13 00:00:00-04:00,7.73,7.8,7.73,7.77,376836
2016-06-14 00:00:00-04:00,7.73,7.7743,7.56,7.75,614516
2016-06-15 00:00:00-04:00,7.6,7.63,7.46,7.54,630404
2016-06-16 00:00:00-04:00,7.48,7.55,7.38,7.44,649743
2016-06-17 00:00:00-04:00,7.43,7.57,7.43,7.55,368311
2016-06-20 00:00:00-04:00,7.56,7.625,7.54,7.6,530352
2016-06-21 00:00:00-04:00,7.65,7.685,7.545,7.65,319515
2016-06-22 00:00:00-04:00,7.64,7.69,7.615,7.66,232717
2016-06-23 00:00:00-04:00,7.69,7.75,7.64,7.7,326964
2016-06-24 00:00:00-04:00,7.5,7.77,7.48,7.7,410571
2016-06-27 00:00:00-04:00,7.64,7.64,7.465,7.51,334783
2016-06-28 00:00:00-04:00,7.53,7.63,7.5,7.53,196311
2016-06-29 00:00:00-04:00,7.62,7.7,7.57,7.65,349593
2016-06-30 00:00:00-04:00,7.7,7.78,7.67,7.78,275241
2016-07-01 00:00:00-04:00,7.84,7.865,7.76,7.825,315893
2016-07-05 00:00:00-04:00,7.77,7.88,7.76,7.87,377255
2016-07-06 00:00:00-04:00,7.9,7.9,7.795,7.83,319083
2016-07-07 00:00:00-04:00,7.81,7.93,7.76,7.91,321401
2016-07-08 00:00:00-04:00,7.93,8.0199,7.9,7.99,347804
2016-07-11 00:00:00-04:00,8,8.04,7.96,7.985,318744
2016-07-12 00:00:00-04:00,8.03,8.04,7.9701,8.03,232377
2016-07-13 00:00:00-04:00,8.03,8.06,7.96,8,185130
2016-07-14 00:00:00-04:00,8.06,8.06,8.02,8.05,173432
2016-07-15 00:00:00-04:00,8.07,8.145,8.05,8.12,163508
2016-07-18 00:00:00-04:00,8.14,8.22,8.14,8.19,167547
2016-07-19 00:00:00-04:00,8.17,8.29,8.12,8.24,204532
2016-07-20 00:00:00-04:00,8.22,8.27,8.18,8.25,365348
2016-07-21 00:00:00-04:00,8.29,8.31,8.19,8.28,271652
2016-07-22 00:00:00-04:00,8.29,8.34,8.28,8.3,100299
2016-07-25 00:00:00-04:00,8.28,8.37,8.25,8.34,237781
2016-07-26 00:00:00-04:00,8.32,8.35,8.29,8.3,254726
2016-07-27 00:00:00-04:00,8.3,8.4,8.28,8.32,179792
2016-07-28 00:00:00-04:00,8.16,8.5,8.06,8.37,387316
2016-07-29 00:00:00-04:00,8.38,8.409,8.3,8.36,250682
2016-08-01 00:00:00-04:00,8.36,8.4,8.29,8.3,278783
2016-08-02 00:00:00-04:00,8.28,8.3011,8.22,8.255,156468
2016-08-03 00:00:00-04:00,8.27,8.38,8.27,8.365,295990
2016-08-04 00:00:00-04:00,8.39,8.39,8.306,8.35,158804
2016-08-05 00:00:00-04:00,8.37,8.44,8.33,8.44,223549
2016-08-08 00:00:00-04:00,8.4,8.44,8.4,8.4,187111
2016-08-09 00:00:00-04:00,8.37,8.49,8.37,8.48,194753
2016-08-10 00:00:00-04:00,8.46,8.55,8.46,8.52,190723
2016-08-11 00:00:00-04:00,8.57,8.57,8.48,8.52,194054
2016-08-12 00:00:00-04:00,8.49,8.6,8.475,8.53,122357
2016-08-15 00:00:00-04:00,8.56,8.6,8.51,8.57,196857
2016-08-16 00:00:00-04:00,8.53,8.6,8.49,8.56,148752
2016-08-17 00:00:00-04:00,8.58,8.59,8.51,8.57,152224
2016-08-18 00:00:00-04:00,8.55,8.71,8.53,8.7,307676
2016-08-19 00:00:00-04:00,8.69,8.75,8.64,8.73,180319
2016-08-22 00:00:00-04:00,8.73,8.74,8.68,8.7,152023
2016-08-23 00:00:00-04:00,8.74,8.8,8.73,8.78,163518
2016-08-24 00:00:00-04:00,8.75,8.78,8.62,8.7,219174
2016-08-25 00:00:00-04:00,8.7,8.705,8.6,8.62,186196
2016-08-26 00:00:00-04:00,8.6,8.7,8.6,8.68,209796
2016-08-29 00:00:00-04:00,8.72,8.74,8.66,8.715,207668
2016-08-30 00:00:00-04:00,8.74,8.84,8.6201,8.8,271071
2016-08-31 00:00:00-04:00,8.8,8.8199,8.67,8.725,176078
2016-09-01 00:00:00-04:00,8.69,8.7201,8.6718,8.695,165464
2016-09-02 00:00:00-04:00,8.73,8.85,8.69,8.83,159497
2016-09-06 00:00:00-04:00,8.85,8.87,8.72,8.77,186686
