date,1. open,2. high,3. low,4. close,5. volume
2015-12-17 00:00:00-05:00,11.4,11.74,10.79,10.925,1491036
2015-12-18 00:00:00-05:00,10.91,11.28,10.75,10.81,1375175
2015-12-21 00:00:00-05:00,10.86,10.95,10.45,10.78,1001131
2015-12-22 00:00:00-05:00,10.78,10.86,10.5,10.69,716111
2015-12-23 00:00:00-05:00,10.75,11.16,10.75,11.01,807260
2015-12-24 00:00:00-05:00,10.98,11.09,10.246,10.92,271898
2015-12-28 00:00:00-05:00,10.84,10.9,10.46,10.59,599964
2015-12-29 00:00:00-05:00,10.71,10.8,10.46,10.76,897966
2015-12-30 00:00:00-05:00,10.7,10.98,10.67,10.7,643839
2015-12-31 00:00:00-05:00,10.49,11.26,10.49,11.08,1062160
2016-01-04 00:00:00-05:00,10.83,11.14,10.51,11.1,1610488
2016-01-05 00:00:00-05:00,11.16,11.26,10.78,11.19,1284479
2016-01-06 00:00:00-05:00,11.01,11.145,10.145,10.42,2145329
2016-01-07 00:00:00-05:00,10.03,10.25,9.59,9.655,2257302
2016-01-08 00:00:00-05:00,9.71,9.81,9.41,9.46,1547469
2016-01-11 00:00:00-05:00,9.49,9.51,8.945,9.17,1616809
2016-01-12 00:00:00-05:00,9.29,9.36,8.73,9.02,2186108
2016-01-13 00:00:00-05:00,9.04,9.13,8.49,8.52,1440133
2016-01-14 00:00:00-05:00,8.55,8.735,8.225,8.61,1384761
2016-01-15 00:00:00-05:00,8.33,8.3767,7.8985,8.18,1359936
2016-01-19 00:00:00-05:00,8.3,8.32,7.57,7.62,2027385
2016-01-20 00:00:00-05:00,7.45,7.79,7.02,7.62,2843040
2016-01-21 00:00:00-05:00,7.66,8.31,7.65,7.81,1692643
2016-01-22 00:00:00-05:00,8.02,8.51,8.02,8.27,1484699
2016-01-25 00:00:00-05:00,8.15,8.17,7.74,7.81,1322181
2016-01-26 00:00:00-05:00,7.8,8.07,7.47,8.045,1140348
2016-01-27 00:00:00-05:00,8.01,8.06,7.495,7.585,1166140
2016-01-28 00:00:00-05:00,7.78,7.84,7.321,7.595,1279122
2016-01-29 00:00:00-05:00,7.7,8.045,7.7,8.02,978833
2016-02-01 00:00:00-05:00,7.97,8.21,7.86,8.15,1056874
2016-02-02 00:00:00-05:00,7.99,8.04,7.63,7.75,1282141
2016-02-03 00:00:00-05:00,8.03,8.13,7.56,7.8,1745536
2016-02-04 00:00:00-05:00,7.8,8.32,7.72,8.225,1044458
2016-02-05 00:00:00-05:00,8.13,8.38,7.595,7.63,1767899
2016-02-08 00:00:00-05:00,7.48,7.57,7.04,7.25,2396116
2016-02-09 00:00:00-05:00,7.17,7.24,6.665,6.76,2343018
2016-02-10 00:00:00-05:00,6.98,7.24,6.75,6.94,1370958
2016-02-11 00:00:00-05:00,6.81,7.13,6.5,6.575,1498438
2016-02-12 00:00:00-05:00,6.69,6.92,6.535,6.64,1031167
2016-02-16 00:00:00-05:00,6.78,7,6.64,6.98,1265700
2016-02-17 00:00:00-05:00,7,7.25,7,7.03,1734513
2016-02-18 00:00:00-05:00,7.05,7.31,6.78,6.91,1229523
2016-02-19 00:00:00-05:00,6.86,6.93,6.72,6.76,1319213
2016-02-22 00:00:00-05:00,6.89,7.55,6.89,7.39,1653967
2016-02-23 00:00:00-05:00,7.36,7.4,7.09,7.2,1009918
2016-02-24 00:00:00-05:00,7.04,7.355,7.01,7.35,861092
2016-02-25 00:00:00-05:00,7.37,7.4899,7.2,7.37,666976
2016-02-26 00:00:00-05:00,7.45,7.92,7.405,7.89,1098804
2016-02-29 00:00:00-05:00,8,8.38,7.9,7.93,1765941
2016-03-01 00:00:00-05:00,7.97,8.51,7.96,8.48,2193340
2016-03-02 00:00:00-05:00,8.55,8.68,8.3,8.63,1679906
2016-03-03 00:00:00-05:00,8.64,8.7,8.29,8.66,1296161
2016-03-04 00:00:00-05:00,9.02,10.2,8.84,9.79,4738714
2016-03-07 00:00:00-05:00,9.65,10.04,9.65,10,1982123
2016-03-08 00:00:00-05:00,9.91,10.0385,9.63,9.74,1451345
2016-03-09 00:00:00-05:00,9.78,9.91,9.27,9.43,1013091
2016-03-10 00:00:00-05:00,9.51,9.59,9.07,9.26,700218
2016-03-11 00:00:00-05:00,9.38,9.705,9.28,9.69,626012
2016-03-14 00:00:00-04:00,9.66,10.01,9.59,10,1079510
2016-03-15 00:00:00-04:00,9.9,10.01,9.29,9.35,688587
2016-03-16 00:00:00-04:00,9.31,9.75,9.26,9.705,1263883
2016-03-17 00:00:00-04:00,9.62,10.06,9.59,10.005,520430
2016-03-18 00:00:00-04:00,10.08,10.3755,9.99,10.11,1629722
2016-03-21 00:00:00-04:00,10.08,10.26,9.86,9.9,585422
2016-03-22 00:00:00-04:00,9.84,10.19,9.76,10.11,612062
2016-03-23 00:00:00-04:00,10.09,10.4499,10.09,10.225,1936112
2016-03-24 00:00:00-04:00,10.12,10.24,9.96,10.15,469317
2016-03-28 00:00:00-04:00,10.16,10.37,9.92,10.3,683344
2016-03-29 00:00:00-04:00,10.24,10.87,10.18,10.665,1191247
2016-03-30 00:00:00-04:00,10.79,10.85,10.5,10.64,1013903
2016-03-31 00:00:00-04:00,10.65,11.335,10.61,11.27,1506613
2016-04-01 00:00:00-04:00,11.07,11.5,10.96,11.41,973696
2016-04-04 00:00:00-04:00,11.41,11.51,11.03,11.08,834781
2016-04-05 00:00:00-04:00,10.92,11.33,10.762,11.28,711068
2016-04-06 00:00:00-04:00,11.33,11.8,11.23,11.725,929478
2016-04-07 00:00:00-04:00,11.58,11.84,11.36,11.55,706009
