date,1. open,2. high,3. low,4. close,5. volume
2019-11-22 00:00:00-05:00,4.12,4.84,3.6,4.48,580879
2019-11-25 00:00:00-05:00,3.58,4.6,3.57,4.5675,142714
2019-11-26 00:00:00-05:00,4.76,8.41,4.6048,6.89,688872
2019-11-27 00:00:00-05:00,7.11,7.72,5.2,5.62,666265
2019-11-29 00:00:00-05:00,5.54,5.7,5.2,5.4,139795
2019-12-02 00:00:00-05:00,5.46,5.67,5.11,5.41,251855
2019-12-03 00:00:00-05:00,5.35,5.795,5.08,5.69,95929
2019-12-04 00:00:00-05:00,5.83,6.16,5.5,5.84,222245
2019-12-05 00:00:00-05:00,5.85,6.82,5.735,6.35,277657
2019-12-06 00:00:00-05:00,6.41,6.81,6.25,6.68,258313
2019-12-09 00:00:00-05:00,6.75,6.75,6.1,6.25,121176
2019-12-10 00:00:00-05:00,6.25,6.55,6.121,6.39,300889
2019-12-11 00:00:00-05:00,6.39,6.3964,6.13,6.13,119872
