date,1. open,2. high,3. low,4. close,5. volume
2019-11-21 00:00:00-05:00,12.6,13,8.21,8.99,4290681
2019-11-22 00:00:00-05:00,8.05,8.97,7.5,8.84,623406
2019-11-25 00:00:00-05:00,8.88,8.98,7.36,8.25,1121988
2019-11-26 00:00:00-05:00,8.25,8.49,8,8.22,676204
2019-11-27 00:00:00-05:00,8.25,8.42,8.05,8.27,130333
2019-11-29 00:00:00-05:00,8.26,8.46,8.01,8.25,98354
2019-12-02 00:00:00-05:00,8.25,8.4,8.09,8.36,94368
2019-12-03 00:00:00-05:00,8.29,8.46,8.17,8.17,66275
2019-12-04 00:00:00-05:00,8.22,8.4347,8.01,8.0643,48202
2019-12-05 00:00:00-05:00,8,8.0969,7.52,7.79,279974
2019-12-06 00:00:00-05:00,8.1,8.1,7.1,7.75,353472
2019-12-09 00:00:00-05:00,7.9,7.9,7.18,7.21,144080
2019-12-10 00:00:00-05:00,7.24,7.24,6.455,6.555,196033
2019-12-11 00:00:00-05:00,6.59,6.59,6.0501,6.085,152349
