date,1. open,2. high,3. low,4. close,5. volume
2015-12-22 00:00:00-05:00,22.33,22.66,21.1,21.55,136352
2015-12-23 00:00:00-05:00,21.73,22.55,21.49,22.41,93236
2015-12-24 00:00:00-05:00,22.43,23.19,22.27,22.92,54102
2015-12-28 00:00:00-05:00,22.84,22.93,22.01,22.27,64562
2015-12-29 00:00:00-05:00,22.42,23.91,22.15,23.74,105078
2015-12-30 00:00:00-05:00,23.64,24.18,23.14,23.32,63036
2015-12-31 00:00:00-05:00,23.19,23.51,22.83,22.96,72473
2016-01-04 00:00:00-05:00,22.49,22.565,21.01,21.06,149389
2016-01-05 00:00:00-05:00,21.19,21.35,20.32,20.57,210295
2016-01-06 00:00:00-05:00,20.29,20.58,18.36,18.86,379801
2016-01-07 00:00:00-05:00,18.38,18.77,17.34,18.27,654659
2016-01-08 00:00:00-05:00,18.51,18.96,17.8,18.29,142070
2016-01-11 00:00:00-05:00,18.47,18.63,16.68,17.72,362997
2016-01-12 00:00:00-05:00,17.97,18.55,16.19,16.7,543420
2016-01-13 00:00:00-05:00,16.74,17.04,13.68,14.07,310484
2016-01-14 00:00:00-05:00,14.3,16.07,13.2207,16,349957
2016-01-15 00:00:00-05:00,15.33,16.21,15.05,16.21,276682
2016-01-19 00:00:00-05:00,16.42,16.5,14.59,15.1,271455
2016-01-20 00:00:00-05:00,14.78,15.97,12.96,15.01,586395
2016-01-21 00:00:00-05:00,15.46,15.57,13.97,14.025,384330
2016-01-22 00:00:00-05:00,14.41,14.89,14.15,14.5,260211
2016-01-25 00:00:00-05:00,14.38,15.09,14.35,14.69,232456
2016-01-26 00:00:00-05:00,14.82,14.82,13.7648,14.54,166909
2016-01-27 00:00:00-05:00,14.56,14.62,13.43,13.61,181795
2016-01-28 00:00:00-05:00,13.7,13.92,12.98,13.37,170197
2016-01-29 00:00:00-05:00,13.28,13.625,12.95,13.28,250103
2016-02-01 00:00:00-05:00,13.2,13.405,12.34,13.17,264506
2016-02-02 00:00:00-05:00,13.36,13.59,12.94,13.12,512744
2016-02-03 00:00:00-05:00,13.26,13.33,12.17,12.76,288887
2016-02-04 00:00:00-05:00,12.62,13.37,12.42,13.24,201061
2016-02-05 00:00:00-05:00,13.48,15.28,13.35,14.32,690725
2016-02-08 00:00:00-05:00,14.02,14.325,12.3501,12.53,279602
2016-02-09 00:00:00-05:00,12.23,13.0899,12.04,12.7,123517
2016-02-10 00:00:00-05:00,12.78,13.67,12.59,12.85,157798
2016-02-11 00:00:00-05:00,12.48,13.52,12.3101,13.36,200441
2016-02-12 00:00:00-05:00,13.56,13.99,12.8,13.61,189656
2016-02-16 00:00:00-05:00,13.9,15.27,13.72,14.66,196936
2016-02-17 00:00:00-05:00,14.8,16.205,14.69,15.41,200191
2016-02-18 00:00:00-05:00,15.52,15.605,14.52,14.68,156784
2016-02-19 00:00:00-05:00,14.58,14.72,13.9,14.6,175248
2016-02-22 00:00:00-05:00,14.81,14.99,14.39,14.615,186378
2016-02-23 00:00:00-05:00,14.53,14.73,13.85,13.94,296226
2016-02-24 00:00:00-05:00,13.75,14.07,13.1,13.99,170101
2016-02-25 00:00:00-05:00,14.04,14.18,13.415,13.81,73223
2016-02-26 00:00:00-05:00,13.99,14.62,13.88,14.42,80025
2016-02-29 00:00:00-05:00,14.38,14.89,13.98,14.19,203052
2016-03-01 00:00:00-05:00,13.85,15.03,13.12,14.97,209896
2016-03-02 00:00:00-05:00,15,19.07,14.92,17.63,448548
2016-03-03 00:00:00-05:00,17.82,18.08,16.8,18.07,186487
2016-03-04 00:00:00-05:00,18.02,19.44,17.44,18.46,280357
2016-03-07 00:00:00-05:00,18.4,20.82,18.4,19.92,259465
2016-03-08 00:00:00-05:00,19.84,20.16,18.07,19.28,295234
2016-03-09 00:00:00-05:00,19.29,19.755,17.94,19.64,198293
2016-03-10 00:00:00-05:00,19.44,19.6,17.58,17.99,235410
2016-03-11 00:00:00-05:00,18.28,19.11,18.22,19.08,127977
2016-03-14 00:00:00-04:00,19.12,20.69,19.12,20.07,154148
2016-03-15 00:00:00-04:00,19.78,19.888,18.05,18.26,159500
2016-03-16 00:00:00-04:00,18.22,19.1,17.685,18.43,68486
2016-03-17 00:00:00-04:00,18.21,18.64,17.01,18.44,113468
2016-03-18 00:00:00-04:00,18.57,19.68,18.09,19.4,169324
2016-03-21 00:00:00-04:00,19.07,20.8299,19.07,20.22,185986
2016-03-22 00:00:00-04:00,20,20.71,19.87,20,165811
2016-03-23 00:00:00-04:00,19.99,20.12,18.83,19.11,188637
2016-03-24 00:00:00-04:00,19.01,19.87,18.29,19.42,165634
2016-03-28 00:00:00-04:00,19.54,19.82,18.47,18.83,70817
2016-03-29 00:00:00-04:00,18.89,19.9,18.12,19.82,142983
2016-03-30 00:00:00-04:00,20.01,21.04,19.15,19.24,125637
2016-03-31 00:00:00-04:00,19.41,21.7691,19.32,21.22,188441
2016-04-01 00:00:00-04:00,20.97,22.57,20.575,22.55,204994
2016-04-04 00:00:00-04:00,22.5,23.595,20.8401,22.0799,304505
2016-04-05 00:00:00-04:00,21.77,22.97,21.51,22.62,171295
2016-04-06 00:00:00-04:00,22.78,24.9,22.66,23.85,224889
2016-04-07 00:00:00-04:00,23.53,24.38,22.37,22.5,221841
2016-04-08 00:00:00-04:00,22.87,22.98,21.68,22.21,108648
2016-04-11 00:00:00-04:00,22.29,22.4812,21.52,21.5999,94237
2016-04-12 00:00:00-04:00,21.58,21.66,20.59,21.54,132620
2016-04-13 00:00:00-04:00,22.13,22.42,21.65,22.11,176726
2016-04-14 00:00:00-04:00,22.07,22.33,21.56,21.88,105070
2016-04-15 00:00:00-04:00,21.91,22.26,21.25,21.82,101999
2016-04-18 00:00:00-04:00,21.68,22.3199,21.56,21.99,105968
2016-04-19 00:00:00-04:00,22.14,22.14,21.07,21.14,100423
2016-04-20 00:00:00-04:00,21.51,21.53,20.6,21.06,165859
2016-04-21 00:00:00-04:00,20.95,21.7,20.81,21.66,272691
2016-04-22 00:00:00-04:00,21.82,22.22,21.16,21.74,156770
2016-04-25 00:00:00-04:00,21.61,21.9,19.873,20.97,83680
2016-04-26 00:00:00-04:00,21.06,21.085,20.25,20.47,125609
2016-04-27 00:00:00-04:00,20.39,20.58,19.22,20.07,140201
2016-04-28 00:00:00-04:00,20,20.15,19.16,19.23,151451
2016-04-29 00:00:00-04:00,19.12,19.215,18.4,18.83,168651
2016-05-02 00:00:00-04:00,18.9,20,18.58,19.99,134548
2016-05-03 00:00:00-04:00,19.68,19.8,18.96,19.11,129786
2016-05-04 00:00:00-04:00,19,19.17,18.58,18.62,171730
2016-05-05 00:00:00-04:00,18.81,19.09,18.32,18.56,148939
2016-05-06 00:00:00-04:00,18.38,19.21,18.33,19.21,227146
2016-05-09 00:00:00-04:00,19.15,19.735,18.54,19.17,203719
2016-05-10 00:00:00-04:00,18.82,19.17,15.04,18.01,1068606
2016-05-11 00:00:00-04:00,17.84,18.65,17.13,17.17,163463
2016-05-12 00:00:00-04:00,17.33,17.33,15.61,16.01,249065
2016-05-13 00:00:00-04:00,15.99,16.13,15.06,15.24,188017
2016-05-16 00:00:00-04:00,15.4,16.3,15.015,16.27,323980
2016-05-17 00:00:00-04:00,16.12,20.01,16,18.84,1530306
2016-05-18 00:00:00-04:00,18.54,19.88,18,19.5,1638596
2016-05-19 00:00:00-04:00,19.27,19.3,17.981,18.96,383498
2016-05-20 00:00:00-04:00,19.03,19.52,18.75,19.5,133316
2016-05-23 00:00:00-04:00,18.29,18.96,17.75,18.12,838406
2016-05-24 00:00:00-04:00,18.3,18.55,17.87,18.29,274758
2016-05-25 00:00:00-04:00,18.48,18.57,18.1,18.24,224475
2016-05-26 00:00:00-04:00,18.31,18.59,17.9,18,192429
2016-05-27 00:00:00-04:00,18.02,18.2699,17.3,17.96,317565
2016-05-31 00:00:00-04:00,18.16,19.18,17.83,18.64,622730
2016-06-01 00:00:00-04:00,18.57,19.005,18.11,18.88,533979
2016-06-02 00:00:00-04:00,18.74,19.7,18.52,19.47,430923
2016-06-03 00:00:00-04:00,19.54,19.54,18.02,18.28,516962
2016-06-06 00:00:00-04:00,18.32,18.32,17.36,17.82,158682
2016-06-07 00:00:00-04:00,17.66,18.06,17.1,17.41,684218
2016-06-08 00:00:00-04:00,17.43,18.15,16.56,18.04,394353
2016-06-09 00:00:00-04:00,17.83,18.17,16.95,16.95,311796
2016-06-10 00:00:00-04:00,16.96,17.025,15.62,16,752937
2016-06-13 00:00:00-04:00,16.01,16.87,15.65,16.51,389790
2016-06-14 00:00:00-04:00,16.41,16.84,15.34,16,251275
2016-06-15 00:00:00-04:00,16.09,16.59,15.82,16.44,216784
2016-06-16 00:00:00-04:00,16.25,16.25,15.72,16.01,109746
2016-06-17 00:00:00-04:00,16.07,16.07,15.33,15.53,260440
2016-06-20 00:00:00-04:00,15.92,16.49,15.39,15.62,115227
2016-06-21 00:00:00-04:00,15.81,15.97,14.87,15.69,198418
2016-06-22 00:00:00-04:00,15.7,16.62,15.41,16.03,189233
2016-06-23 00:00:00-04:00,16.2,16.795,15.52,16.47,115762
2016-06-24 00:00:00-04:00,15.56,16,15.03,15.32,206355
2016-06-27 00:00:00-04:00,15.1,15.2,14,14.11,226585
2016-06-28 00:00:00-04:00,14.44,15.9899,14.44,15.63,248209
2016-06-29 00:00:00-04:00,15.9,17.58,15.4,16.81,334979
2016-06-30 00:00:00-04:00,16.81,17.19,15.86,16.89,344373
2016-07-01 00:00:00-04:00,16.78,17.45,16.52,16.85,189896
2016-07-05 00:00:00-04:00,16.69,17.07,16.49,16.67,137244
2016-07-06 00:00:00-04:00,16.58,17.13,16.33,16.49,289117
2016-07-07 00:00:00-04:00,16.67,16.85,16.29,16.41,294589
2016-07-08 00:00:00-04:00,16.5,17.29,16.11,17.24,350149
2016-07-11 00:00:00-04:00,17.88,22,17.65,21.95,1751543
2016-07-12 00:00:00-04:00,20.98,22.98,20.98,22.95,586675
2016-07-13 00:00:00-04:00,23,23.1299,22.08,22.6,493159
2016-07-14 00:00:00-04:00,22.81,22.81,21.2101,22.12,287796
2016-07-15 00:00:00-04:00,22.33,23.95,21.95,23.63,376220
2016-07-18 00:00:00-04:00,23.7,23.9,22.98,23.43,186105
2016-07-19 00:00:00-04:00,23.43,24.15,23.07,23.86,302943
2016-07-20 00:00:00-04:00,24.07,26.13,23.41,26.12,480173
2016-07-21 00:00:00-04:00,26.23,26.61,23.53,24.03,321870
2016-07-22 00:00:00-04:00,24.19,24.33,23.16,24.23,283001
2016-07-25 00:00:00-04:00,24.25,24.44,23.8,24.15,93549
2016-07-26 00:00:00-04:00,24.06,24.85,24,24.69,154550
2016-07-27 00:00:00-04:00,25.23,26.22,25.145,25.8,190252
2016-07-28 00:00:00-04:00,26.15,26.269,24.42,24.55,199407
2016-07-29 00:00:00-04:00,24.44,25.57,24.36,25.39,187898
2016-08-01 00:00:00-04:00,25.67,26.0599,25.2,25.82,132757
2016-08-02 00:00:00-04:00,25.78,27.49,25.59,27.33,429120
2016-08-03 00:00:00-04:00,27.06,28.31,26.88,27.93,242423
2016-08-04 00:00:00-04:00,27.92,28.35,27.305,28.08,191049
2016-08-05 00:00:00-04:00,28.18,29.57,27.94,29.1,329989
2016-08-08 00:00:00-04:00,30,30.68,29.53,30.05,1030874
2016-08-09 00:00:00-04:00,29.96,30.39,29.25,29.6899,644610
2016-08-10 00:00:00-04:00,29.73,30.5,27.23,29.05,396541
2016-08-11 00:00:00-04:00,29.19,30.3685,28.98,30.05,324745
2016-08-12 00:00:00-04:00,29.84,29.95,28.85,29.49,173765
2016-08-15 00:00:00-04:00,29.7,30.3,29.7,30.1,374420
2016-08-16 00:00:00-04:00,29.86,30.24,28.99,29.15,232944
2016-08-17 00:00:00-04:00,29.19,29.82,29,29.69,178167
2016-08-18 00:00:00-04:00,29.77,30.23,29.308,30.15,236941
2016-08-19 00:00:00-04:00,30.1,31.419,29.72,30.51,265544
2016-08-22 00:00:00-04:00,30.74,31.19,29.52,30.19,210602
2016-08-23 00:00:00-04:00,30.3,30.7,29.531,29.88,263976
2016-08-24 00:00:00-04:00,30.02,30.73,28.686,28.96,212760
2016-08-25 00:00:00-04:00,28.78,29.39,27.75,29.33,354181
2016-08-26 00:00:00-04:00,29.36,30,28.79,29.4,180161
2016-08-29 00:00:00-04:00,29.57,29.8,28.49,29.25,143278
2016-08-30 00:00:00-04:00,29.26,29.7,29.11,29.51,128589
2016-08-31 00:00:00-04:00,29.46,29.85,28.92,29.77,213261
2016-09-01 00:00:00-04:00,29.74,30.3,29.545,29.95,369821
2016-09-02 00:00:00-04:00,30.37,30.95,29.74,30.82,378359
2016-09-06 00:00:00-04:00,30.5,30.7999,29.45,30.02,363958
2016-09-07 00:00:00-04:00,30.25,30.5,29.64,30.35,369402
2016-09-08 00:00:00-04:00,30.35,30.81,30.06,30.59,253424
2016-09-09 00:00:00-04:00,30.12,30.45,29.5,29.79,229378
2016-09-12 00:00:00-04:00,29.53,31.48,29.53,31.35,428330
2016-09-13 00:00:00-04:00,30.81,31.28,29.55,29.84,215068
2016-09-14 00:00:00-04:00,29.97,31,29.89,30.67,291952
2016-09-15 00:00:00-04:00,30.64,31,30.03,30.2,271225
2016-09-16 00:00:00-04:00,30.27,31.98,29.83,30.99,889485
2016-09-19 00:00:00-04:00,31.2,31.72,29.99,30.02,359079
2016-09-20 00:00:00-04:00,30.34,31.78,30,31.57,448563
2016-09-21 00:00:00-04:00,31.62,31.74,29.99,30.75,310875
2016-09-22 00:00:00-04:00,30.93,31.35,30.21,30.88,232220
2016-09-23 00:00:00-04:00,30.75,31.3299,30,30,136726
2016-09-26 00:00:00-04:00,30.03,30.33,29.58,29.67,218413
2016-09-27 00:00:00-04:00,30.23,31.12,29.61,30.92,426183
2016-09-28 00:00:00-04:00,31.08,31.29,28.75,28.79,318492
2016-09-29 00:00:00-04:00,28.86,29.33,26.04,26.27,522305
2016-09-30 00:00:00-04:00,26.5,27.19,26,26.78,198223
2016-10-03 00:00:00-04:00,26.43,26.84,24.93,25.46,414235
2016-10-04 00:00:00-04:00,25.74,26.1899,25.26,25.34,293812
2016-10-05 00:00:00-04:00,25.39,26.17,25.11,25.78,148877
2016-10-06 00:00:00-04:00,25.41,25.79,25.05,25.25,150670
2016-10-07 00:00:00-04:00,25.15,27.4,25.15,27.04,324631
2016-10-10 00:00:00-04:00,27.26,28.81,27.26,28.71,294123
2016-10-11 00:00:00-04:00,28.68,28.83,27.88,28.53,330117
2016-10-12 00:00:00-04:00,28.64,29.05,27.49,27.98,255843
2016-10-13 00:00:00-04:00,27.51,28.935,27.51,28.47,179036
2016-10-14 00:00:00-04:00,28.69,28.98,28.11,28.18,218916
2016-10-17 00:00:00-04:00,28.25,28.98,27.98,28.89,213740
2016-10-18 00:00:00-04:00,29.26,29.68,28.68,29.21,253583
2016-10-19 00:00:00-04:00,30.31,30.52,29.04,29.76,876150
2016-10-20 00:00:00-04:00,29.58,30.81,29.48,30.39,371096
2016-10-21 00:00:00-04:00,30.29,31.1,29.93,30.51,244963
2016-10-24 00:00:00-04:00,30.68,31.48,30.53,30.68,139114
2016-10-25 00:00:00-04:00,30.77,31.315,30.12,30.51,233658
2016-10-26 00:00:00-04:00,30.4,31.05,29.58,29.71,222471
2016-10-27 00:00:00-04:00,29.8,30.43,29.3,29.51,219370
2016-10-28 00:00:00-04:00,29.07,30.435,28.6235,28.71,289880
2016-10-31 00:00:00-04:00,28.55,28.6255,26.95,27.35,308055
2016-11-01 00:00:00-04:00,27.5,28.5,27,27.8,217487
2016-11-02 00:00:00-04:00,27.7,29.6,26.35,29.1,308071
2016-11-03 00:00:00-04:00,29.05,29.35,27.2,27.325,268555
