date,1. open,2. high,3. low,4. close,5. volume
2019-06-12 00:00:00-04:00,63.5,67,56,58.2,21272618
2019-06-13 00:00:00-04:00,64,69.67,61.6,67.48,20760161
2019-06-14 00:00:00-04:00,69.78,70.79,63.0201,64.16,11836281
2019-06-17 00:00:00-04:00,64.75,70,62,70,3116617
2019-06-18 00:00:00-04:00,73,78.7,71.5,76.65,5485444
2019-06-19 00:00:00-04:00,78.75,79.79,73.555,77.1,3223127
2019-06-20 00:00:00-04:00,78,78.22,70.69,74.81,3103703
2019-06-21 00:00:00-04:00,72.46,73.9278,68.3,72.01,2001114
2019-06-24 00:00:00-04:00,71.05,72.39,65.08,67.9,2387531
2019-06-25 00:00:00-04:00,67.1,68.99,61.17,61.52,2428337
2019-06-26 00:00:00-04:00,63.3,64.92,62.005,62.6173,1480674
2019-06-27 00:00:00-04:00,63.39,64.995,62.571,63.4,907945
2019-06-28 00:00:00-04:00,64.9,68.38,63.3,68.38,1385862
2019-07-01 00:00:00-04:00,69.1,69.729,61.81,63.2,2645249
2019-07-02 00:00:00-04:00,63.3,65.03,61.7211,64.53,1715841
2019-07-03 00:00:00-04:00,64.68,67.48,64.52,67.25,1528654
2019-07-05 00:00:00-04:00,67.15,67.25,64.84,67.05,815972
2019-07-08 00:00:00-04:00,68.26,71.7146,66.9,67.21,4197151
2019-07-09 00:00:00-04:00,67.42,69.2,66.88,68.4733,1677885
2019-07-10 00:00:00-04:00,70,74.5,69.5,74.34,2676327
2019-07-11 00:00:00-04:00,74.5,74.98,70.5,70.82,2197170
2019-07-12 00:00:00-04:00,71.6,75.2,70.5,73.5,1735783
2019-07-15 00:00:00-04:00,74,74.295,71.4,71.56,1282531
2019-07-16 00:00:00-04:00,71.93,73.0873,69,69.64,1532135
2019-07-17 00:00:00-04:00,70,71.56,69.59,70.9664,1022499
2019-07-18 00:00:00-04:00,71,74.19,70.15,72.7,2210128
2019-07-19 00:00:00-04:00,85.16,85.85,80.75,83.46,12753911
2019-07-22 00:00:00-04:00,82.27,88.5,82.08,87.67,5229591
2019-07-23 00:00:00-04:00,88.32,89.44,84.49,86.6948,2456847
2019-07-24 00:00:00-04:00,86.79,87.85,85.5,87.35,1215527
2019-07-25 00:00:00-04:00,87.5,93.339,87,92.14,3148078
2019-07-26 00:00:00-04:00,93.04,95.5,91.91,92.81,1983184
2019-07-29 00:00:00-04:00,93.69,93.9,82.65,87.23,3242293
2019-07-30 00:00:00-04:00,86,96.19,84,93.96,3080019
2019-07-31 00:00:00-04:00,94,94.8011,86.8167,89.07,2413224
2019-08-01 00:00:00-04:00,90.07,94.32,89.4389,91.4,2195714
2019-08-02 00:00:00-04:00,91.54,92.78,86.91,88,1512057
2019-08-05 00:00:00-04:00,83.34,86.92,82.25,85.25,1958846
2019-08-06 00:00:00-04:00,87.2,89.76,82.71,85.24,1311600
2019-08-07 00:00:00-04:00,83.69,86.45,82.8,84.04,966350
2019-08-08 00:00:00-04:00,85.49,91.86,85.49,91.55,1649948
2019-08-09 00:00:00-04:00,90.97,98,90.71,94.85,2876318
2019-08-12 00:00:00-04:00,94.25,98.2,91.53,92.9962,1830096
