date,1. open,2. high,3. low,4. close,5. volume
2017-08-18 00:00:00-04:00,13,13.26,9.31,9.31,555781
2017-08-21 00:00:00-04:00,9.59,10.19,9.3,10.18,194677
2017-08-22 00:00:00-04:00,10.19,10.74,10.0003,10.59,95859
2017-08-23 00:00:00-04:00,10.61,11.55,10.6,11.55,160251
2017-08-24 00:00:00-04:00,12.34,12.34,10.5,11.33,179216
2017-08-25 00:00:00-04:00,11.25,11.62,10.26,10.86,67893
2017-08-28 00:00:00-04:00,11.1,11.1,10,10.37,44283
2017-08-29 00:00:00-04:00,10.32,10.32,9.6,9.8,48646
2017-08-30 00:00:00-04:00,9.84,10.17,9.6,9.62,13180
2017-08-31 00:00:00-04:00,9.7,9.99,9.3704,9.5,29141
2017-09-01 00:00:00-04:00,9.48,9.92,9.48,9.7,28271
2017-09-05 00:00:00-04:00,9.9,9.932,8.6,8.66,106216
2017-09-06 00:00:00-04:00,8.75,9.12,8.01,8.4,109809
2017-09-07 00:00:00-04:00,8.59,8.59,7.7,7.7,82584
2017-09-08 00:00:00-04:00,7.95,8.12,7.71,8.01,38445
2017-09-11 00:00:00-04:00,8.22,8.26,7.81,8.11,40038
2017-09-12 00:00:00-04:00,8,8.1699,7.8,7.88,34835
2017-09-13 00:00:00-04:00,8,8.01,7.71,7.755,26880
2017-09-14 00:00:00-04:00,7.65,7.8599,7.035,7.24,132316
2017-09-15 00:00:00-04:00,7.14,7.4399,7.05,7.11,28059
2017-09-18 00:00:00-04:00,7.14,7.2299,7,7.01,28010
2017-09-19 00:00:00-04:00,7.13,7.6299,7.04,7.53,100599
2017-09-20 00:00:00-04:00,7.59,8.25,7.5534,8.25,69025
2017-09-21 00:00:00-04:00,8.5,8.6851,8.36,8.37,32852
2017-09-22 00:00:00-04:00,8.6,9.04,8.251,8.9,51536
2017-09-25 00:00:00-04:00,9.15,9.1999,8.26,8.67,70866
2017-09-26 00:00:00-04:00,8.67,8.67,7.65,8.07,74615
2017-09-27 00:00:00-04:00,7.85,8.25,7.22,7.35,55020
2017-09-28 00:00:00-04:00,7.2,7.51,6.79,7.14,72670
2017-09-29 00:00:00-04:00,7.15,7.3099,7,7.19,22219
2017-10-02 00:00:00-04:00,7.01,7.37,7.01,7.16,32831
2017-10-03 00:00:00-04:00,7.35,7.53,7.16,7.41,38999
2017-10-04 00:00:00-04:00,7.48,7.58,7.25,7.25,18843
2017-10-05 00:00:00-04:00,7.26,7.47,7.2201,7.44,13172
2017-10-06 00:00:00-04:00,7.3,8.15,7.3,8.15,20738
2017-10-09 00:00:00-04:00,8.01,8.24,7.7,7.84,8003
2017-10-10 00:00:00-04:00,8.1,8.1,7.6401,7.78,8184
2017-10-11 00:00:00-04:00,7.6501,7.9668,7.3,7.3,13628
2017-10-12 00:00:00-04:00,7.25,7.43,7.15,7.15,13146
2017-10-13 00:00:00-04:00,7.39,7.53,7.1501,7.4219,12115
2017-10-16 00:00:00-04:00,7.3,7.98,7.3,7.445,15832
2017-10-17 00:00:00-04:00,7.3,7.9,7.01,7.11,83065
2017-10-18 00:00:00-04:00,7.32,7.3899,7.01,7.08,39842
2017-10-19 00:00:00-04:00,7.1501,7.33,7.06,7.15,21818
2017-10-20 00:00:00-04:00,7.15,7.3299,7.09,7.16,17875
2017-10-23 00:00:00-04:00,7.11,7.95,7.11,7.82,53040
2017-10-24 00:00:00-04:00,7.82,8.63,7.6038,8.25,65273
2017-10-25 00:00:00-04:00,8.3,8.59,7.2,7.35,77506
2017-10-26 00:00:00-04:00,7.62,7.777,7.3,7.41,22642
2017-10-27 00:00:00-04:00,7.57,7.57,7.36,7.49,15117
2017-10-30 00:00:00-04:00,7.53,7.95,7.49,7.68,25642
2017-10-31 00:00:00-04:00,7.6901,7.95,7.4001,7.49,36825
2017-11-01 00:00:00-04:00,7.48,7.98,7.48,7.62,36659
2017-11-02 00:00:00-04:00,7.6,8.2,7.55,7.55,34345
2017-11-03 00:00:00-04:00,7.8,8.23,7.5501,7.71,23332
2017-11-06 00:00:00-05:00,8.32,8.83,8.1,8.83,98064
2017-11-07 00:00:00-05:00,9,9.69,8.351,8.79,191066
2017-11-08 00:00:00-05:00,8.76,9.06,8.5197,8.7,81251
2017-11-09 00:00:00-05:00,8.63,8.7,8.2923,8.46,57053
2017-11-10 00:00:00-05:00,8.3,8.73,8.3,8.31,77403
2017-11-13 00:00:00-05:00,8.3,9.2,8.2852,8.91,67170
2017-11-14 00:00:00-05:00,8.92,8.92,8.3,8.44,51257
2017-11-15 00:00:00-05:00,8.4,8.76,8.27,8.36,61612
2017-11-16 00:00:00-05:00,8.57,8.57,8.2,8.3,41990
2017-11-17 00:00:00-05:00,8.26,8.48,8.2501,8.47,8355
2017-11-20 00:00:00-05:00,8.3,8.4,8.101,8.2,51230
2017-11-21 00:00:00-05:00,8.17,8.4,8.17,8.35,11109
2017-11-22 00:00:00-05:00,8.35,8.45,8.25,8.35,7395
2017-11-24 00:00:00-05:00,8.35,8.3999,8.15,8.16,9603
2017-11-27 00:00:00-05:00,8.21,8.53,8.2,8.3949,26606
2017-11-28 00:00:00-05:00,8.37,8.45,8.2,8.25,36138
2017-11-29 00:00:00-05:00,8.24,8.3199,8,8.15,39508
2017-11-30 00:00:00-05:00,8.18,8.4,8.01,8.01,47572
2017-12-01 00:00:00-05:00,8.18,8.3399,8,8.11,63285
2017-12-04 00:00:00-05:00,8.18,8.48,8.1,8.11,67932
2017-12-05 00:00:00-05:00,8.12,8.33,8.01,8.16,32051
2017-12-06 00:00:00-05:00,8.19,8.4,8.05,8.18,31933
2017-12-07 00:00:00-05:00,8.24,8.2699,8.07,8.1,39702
2017-12-08 00:00:00-05:00,8.18,8.18,8,8.09,38672
2017-12-11 00:00:00-05:00,8.12,9.49,8.12,9.48,232969
2017-12-12 00:00:00-05:00,9.48,9.75,9.1,9.24,56357
2017-12-13 00:00:00-05:00,9.35,10.6,9.322,10.43,157500
2017-12-14 00:00:00-05:00,10.5,10.84,10.12,10.575,183234
2017-12-15 00:00:00-05:00,10.63,11.15,10,11.09,168549
2017-12-18 00:00:00-05:00,10.89,11.1499,10.44,10.58,16663
2017-12-19 00:00:00-05:00,10.65,10.65,8.8601,9.51,55343
2017-12-20 00:00:00-05:00,9.63,9.77,9.31,9.47,14644
2017-12-21 00:00:00-05:00,9.54,10.0599,9.2301,9.54,36798
2017-12-22 00:00:00-05:00,9.6,9.83,9.45,9.6,8867
2017-12-26 00:00:00-05:00,9.7,10.1299,9.6,9.61,9665
2017-12-27 00:00:00-05:00,9.6,9.99,9.345,9.56,16325
2017-12-28 00:00:00-05:00,9.44,9.689,9.15,9.42,11253
2017-12-29 00:00:00-05:00,9.32,9.499,8.89,8.91,74290
2018-01-02 00:00:00-05:00,9.08,9.13,8.9999,9.11,16837
2018-01-03 00:00:00-05:00,9.05,9.06,8.9,9.06,9955
2018-01-04 00:00:00-05:00,9.07,9.07,8.8,8.99,5830
2018-01-05 00:00:00-05:00,8.93,9.22,8.93,9.13,19047
2018-01-08 00:00:00-05:00,9.2,9.4299,9.05,9.4,36640
2018-01-09 00:00:00-05:00,9.43,10.18,9.42,9.95,68195
2018-01-10 00:00:00-05:00,9.83,10.88,9.8,10.43,79689
2018-01-11 00:00:00-05:00,10.43,10.43,9.8001,10.15,28555
2018-01-12 00:00:00-05:00,10.3,10.53,9.8667,10.25,33128
2018-01-16 00:00:00-05:00,10.63,10.7299,10.1101,10.5,39987
2018-01-17 00:00:00-05:00,10.59,10.85,10.41,10.7,11809
2018-01-18 00:00:00-05:00,10.69,10.69,10.13,10.52,6375
2018-01-19 00:00:00-05:00,10.5,10.6,10.221,10.36,3985
2018-01-22 00:00:00-05:00,10.5,10.89,10.39,10.59,63565
2018-01-23 00:00:00-05:00,10.63,10.849,9.8,10.14,85940
2018-01-24 00:00:00-05:00,10.25,10.25,9.9001,10.13,12917
2018-01-25 00:00:00-05:00,10.13,10.13,9.3,9.82,65502
2018-01-26 00:00:00-05:00,9.84,9.929,9.52,9.61,3374
2018-01-29 00:00:00-05:00,9.78,9.93,9.6,9.88,9391
2018-01-30 00:00:00-05:00,9.84,9.84,9.27,9.44,19061
2018-01-31 00:00:00-05:00,9.45,9.81,9.21,9.55,10259
2018-02-01 00:00:00-05:00,9.34,9.54,9.25,9.34,14094
2018-02-02 00:00:00-05:00,9.3,9.4899,9,9.28,7385
2018-02-05 00:00:00-05:00,9.26,9.99,9.03,9.79,6018
2018-02-06 00:00:00-05:00,9.23,9.82,8.905,9.4,53516
2018-02-07 00:00:00-05:00,9.33,9.45,8.75,8.77,53288
2018-02-08 00:00:00-05:00,8.81,9.07,8.4999,8.83,28015
2018-02-09 00:00:00-05:00,8.7,9.029,8.5,8.65,9661
2018-02-12 00:00:00-05:00,8.76,8.76,7.8,8.35,43396
2018-02-13 00:00:00-05:00,8.4,8.4,8.01,8.22,33157
2018-02-14 00:00:00-05:00,8,8.31,7.3,7.8,93157
2018-02-15 00:00:00-05:00,7.9,8,7.51,7.5205,26416
2018-02-16 00:00:00-05:00,7.56,7.8999,7.09,7.58,29495
2018-02-20 00:00:00-05:00,7.53,7.74,7.101,7.29,65270
2018-02-21 00:00:00-05:00,7.29,8.22,7.29,8,159243
2018-02-22 00:00:00-05:00,8.1,8.38,7.85,7.95,36634
2018-02-23 00:00:00-05:00,8,8.1,7.85,7.99,47258
2018-02-26 00:00:00-05:00,8.04,8.19,7.62,8.18,37970
2018-02-27 00:00:00-05:00,8,8.18,7.78,7.98,22720
2018-02-28 00:00:00-05:00,7.8,8.01,7.51,7.81,18761
2018-03-01 00:00:00-05:00,7.74,7.8699,7.74,7.78,6082
2018-03-02 00:00:00-05:00,7.6,8.4799,7.6,8.34,8513
2018-03-05 00:00:00-05:00,8.28,8.3901,7.7,7.99,9974
2018-03-06 00:00:00-05:00,7.97,8.25,7.9,7.96,7348
2018-03-07 00:00:00-05:00,7.98,8.4,7.98,8.09,3579
2018-03-08 00:00:00-05:00,8,8.26,7.817,7.98,40420
2018-03-09 00:00:00-05:00,7.94,8.15,7.3,7.75,24901
2018-03-12 00:00:00-04:00,7.9,7.9001,7.05,7.67,73033
2018-03-13 00:00:00-04:00,7.59,7.96,7.56,7.83,61150
2018-03-14 00:00:00-04:00,7.77,7.83,7.25,7.35,42300
2018-03-15 00:00:00-04:00,7.25,7.4,6.82,6.99,62576
2018-03-16 00:00:00-04:00,6.92,7.65,6.85,7.65,86908
2018-03-19 00:00:00-04:00,7.71,7.8,7.4649,7.8,6165
2018-03-20 00:00:00-04:00,7.8,7.8034,7.57,7.79,8925
2018-03-21 00:00:00-04:00,7.65,8.21,7.601,7.79,22570
2018-03-22 00:00:00-04:00,7.75,7.85,7.54,7.56,17722
2018-03-23 00:00:00-04:00,7.68,7.68,6.9,7.45,2625
2018-03-26 00:00:00-04:00,7.75,7.8,7.01,7.28,15699
2018-03-27 00:00:00-04:00,7.24,7.64,7.1,7.33,41725
2018-03-28 00:00:00-04:00,7.51,7.89,6.81,7.15,76073
2018-03-29 00:00:00-04:00,6.99,7.2,6.92,7.12,79337
2018-04-02 00:00:00-04:00,7.13,7.315,6.67,7.02,46893
2018-04-03 00:00:00-04:00,7.29,7.31,6.78,7.04,19167
2018-04-04 00:00:00-04:00,7.2,7.2,6.85,6.85,10345
2018-04-05 00:00:00-04:00,6.99,7.2,6.71,7,49516
2018-04-06 00:00:00-04:00,6.98,7.11,6.26,6.61,50663
2018-04-09 00:00:00-04:00,6.96,6.96,6.58,6.58,8870
2018-04-10 00:00:00-04:00,6.7,6.9499,6.59,6.77,9850
2018-04-11 00:00:00-04:00,6.82,6.96,6.52,6.69,9979
2018-04-12 00:00:00-04:00,6.77,6.99,6.19,6.96,47916
2018-04-13 00:00:00-04:00,6.93,6.94,6.53,6.88,11106
2018-04-16 00:00:00-04:00,6.81,7.19,6.8,7.17,30707
2018-04-17 00:00:00-04:00,7.14,7.28,6.655,6.9,75159
2018-04-18 00:00:00-04:00,6.5,6.96,6.49,6.83,28573
2018-04-19 00:00:00-04:00,6.717,6.87,6.7,6.84,11962
2018-04-20 00:00:00-04:00,6.62,7.2399,6.36,6.55,69187
2018-04-23 00:00:00-04:00,6.54,6.92,6.37,6.84,50562
2018-04-24 00:00:00-04:00,6.81,7.21,6.521,6.86,57821
2018-04-25 00:00:00-04:00,6.9,7.26,6.85,7.25,44545
2018-04-26 00:00:00-04:00,7.21,7.45,6.6,7.45,22822
2018-04-27 00:00:00-04:00,7.38,7.44,7.15,7.35,20737
2018-04-30 00:00:00-04:00,7.37,7.6699,0,7.61,43370
2018-05-01 00:00:00-04:00,7.63,7.63,7.1801,7.59,7860
2018-05-02 00:00:00-04:00,7.6,7.6,7.2,7.54,5230
2018-05-03 00:00:00-04:00,7.46,7.7,7.161,7.67,9334
2018-05-04 00:00:00-04:00,7.3,7.7,7.17,7.57,26360
2018-05-07 00:00:00-04:00,7.69,7.97,7.56,7.92,26102
2018-05-08 00:00:00-04:00,7.81,8.19,7.571,8.18,23090
2018-05-09 00:00:00-04:00,8.18,8.3199,7.661,8.25,29439
2018-05-10 00:00:00-04:00,8.13,8.72,7.98,8.4,29279
2018-05-11 00:00:00-04:00,8.26,8.6799,7.6654,8.5,172462
2018-05-14 00:00:00-04:00,8.47,8.7199,8.4,8.69,11801
2018-05-15 00:00:00-04:00,0,8.73,0,8.72,11801
2018-05-16 00:00:00-04:00,0,8.94,0,8.78,7208
2018-05-17 00:00:00-04:00,8.72,9.15,8.4463,9.03,159474
2018-05-18 00:00:00-04:00,8.85,9.2,8.85,9.05,75428
2018-05-21 00:00:00-04:00,9.13,9.25,8.7501,9.25,12795
2018-05-22 00:00:00-04:00,9.17,9.48,8.9,9.28,17617
2018-05-23 00:00:00-04:00,9.28,9.395,8.558,9.11,204749
2018-05-24 00:00:00-04:00,9.11,9.47,8.43,9.47,45478
2018-05-25 00:00:00-04:00,9.48,10.245,9.37,10.23,63137
2018-05-29 00:00:00-04:00,0,10.14,0,10.13,28230
2018-05-30 00:00:00-04:00,10.11,11.41,9.8501,11,84102
2018-05-31 00:00:00-04:00,11,11.14,10.13,10.5,67561
2018-06-01 00:00:00-04:00,10.5,10.7699,9.98,10.39,8925
2018-06-04 00:00:00-04:00,10.41,10.41,9.47,10.23,10142
2018-06-05 00:00:00-04:00,10,10.2675,9.814,10.11,17349
2018-06-06 00:00:00-04:00,10.11,10.24,9.8,10.185,16473
2018-06-07 00:00:00-04:00,10.18,10.22,9.77,10.01,18671
2018-06-08 00:00:00-04:00,10.03,10.13,9.6335,9.825,15888
2018-06-11 00:00:00-04:00,9.76,10.3,9.58,9.98,20053
2018-06-12 00:00:00-04:00,9.82,10.239,9.4901,9.85,37378
2018-06-13 00:00:00-04:00,9.85,10.01,9.7,9.98,31103
2018-06-14 00:00:00-04:00,9.94,10.685,9.94,10.39,32801
2018-06-15 00:00:00-04:00,10.33,10.459,9.87,10.4,8731
2018-06-18 00:00:00-04:00,10.45,10.45,10.001,10.25,40179
2018-06-19 00:00:00-04:00,10.18,10.5,9.7589,10.27,22762
2018-06-20 00:00:00-04:00,10.25,10.575,10.16,10.35,1586
2018-06-21 00:00:00-04:00,10.45,10.49,10.1714,10.44,8004
2018-06-22 00:00:00-04:00,10.44,10.44,9.7,9.87,154250
2018-06-25 00:00:00-04:00,10.31,10.31,9.4473,9.95,110450
