date,1. open,2. high,3. low,4. close,5. volume
2015-12-21 00:00:00-05:00,6.5162,6.74,6.3714,6.4148,8988
2015-12-22 00:00:00-05:00,6.4366,6.62,6.1668,6.1861,34533
2015-12-23 00:00:00-05:00,6.5185,6.75,6.4703,6.4703,59867
2015-12-24 00:00:00-05:00,6.4848,6.75,6.4269,6.68,20431
2015-12-28 00:00:00-05:00,6.4848,6.73,6.4366,6.4462,16326
2015-12-29 00:00:00-05:00,6.5475,6.75,6.4702,6.71,29089
2015-12-30 00:00:00-05:00,6.72,6.75,6.72,6.72,22451
2015-12-31 00:00:00-05:00,6.72,6.74,6.54,6.55,47642
2016-01-04 00:00:00-05:00,6.52,6.64,6.5,6.64,21535
2016-01-05 00:00:00-05:00,6.63,6.7375,6.52,6.52,27692
2016-01-06 00:00:00-05:00,6.52,6.6799,6.48,6.48,22269
2016-01-07 00:00:00-05:00,6.46,6.4834,6.255,6.27,52149
2016-01-08 00:00:00-05:00,6.31,6.38,6.15,6.23,49366
2016-01-11 00:00:00-05:00,6.25,6.39,6.19,6.2,48083
2016-01-12 00:00:00-05:00,6.38,6.38,6.15,6.15,24769
2016-01-13 00:00:00-05:00,6.2,6.22,5.92,5.95,41320
2016-01-14 00:00:00-05:00,5.96,6.36,5.96,5.97,26064
2016-01-15 00:00:00-05:00,5.9,6.09,5.861,6.085,16889
2016-01-19 00:00:00-05:00,6.16,6.31,6,6.02,25810
2016-01-20 00:00:00-05:00,6.04,6.19,5.9865,6.13,20891
2016-01-21 00:00:00-05:00,6.1,6.18,6.01,6.01,12197
2016-01-22 00:00:00-05:00,6.02,6.06,5.9,5.94,38672
2016-01-25 00:00:00-05:00,5.96,5.99,5.88,5.9,12775
2016-01-26 00:00:00-05:00,5.89,6.02,5.6657,5.685,20022
2016-01-27 00:00:00-05:00,5.6609,5.96,5.6609,5.6802,19466
2016-01-28 00:00:00-05:00,5.7332,6.11,5.6754,5.6947,11860
2016-01-29 00:00:00-05:00,5.7187,6.0125,5.6802,5.6898,155871
2016-02-01 00:00:00-05:00,5.7525,6.16,5.6754,5.9066,15958
2016-02-02 00:00:00-05:00,5.8825,6.1599,5.8825,5.8922,17801
2016-02-03 00:00:00-05:00,5.897,6.17,5.897,6.14,3948
2016-02-04 00:00:00-05:00,5.9066,6.24,5.9066,5.9838,7355
2016-02-05 00:00:00-05:00,6.0127,6.2,5.8776,5.8776,4376
2016-02-08 00:00:00-05:00,5.6752,5.9,5.6752,5.9,22405
2016-02-09 00:00:00-05:00,5.5019,5.82,5.3959,5.4634,42119
2016-02-10 00:00:00-05:00,5.4827,5.78,5.4634,5.65,3783
2016-02-11 00:00:00-05:00,5.61,5.61,5.42,5.44,35745
2016-02-12 00:00:00-05:00,5.52,5.68,5.34,5.45,24257
2016-02-16 00:00:00-05:00,5.48,5.64,5.39,5.64,128416
2016-02-17 00:00:00-05:00,5.67,5.7299,5.4303,5.4581,9737
2016-02-18 00:00:00-05:00,5.4153,5.7203,5.4153,5.4633,11539
2016-02-19 00:00:00-05:00,5.4008,5.78,5.4008,5.4585,5542
2016-02-22 00:00:00-05:00,5.5454,5.798,5.4584,5.4681,9679
2016-02-23 00:00:00-05:00,5.0923,5.0923,4.765,5,257368
2016-02-24 00:00:00-05:00,4.9,5.01,4.9,4.99,112669
2016-02-25 00:00:00-05:00,4.92,4.945,4.75,4.7575,255186
2016-02-26 00:00:00-05:00,4.76,4.85,4.7,4.71,220164
2016-02-29 00:00:00-05:00,4.71,4.83,4.71,4.73,194261
2016-03-01 00:00:00-05:00,4.75,4.85,4.75,4.82,192492
2016-03-02 00:00:00-05:00,4.8,4.97,4.8,4.94,277656
2016-03-03 00:00:00-05:00,4.91,5.26,4.9038,5.11,44934
2016-03-04 00:00:00-05:00,5.14,5.18,4.97,4.97,178295
2016-03-07 00:00:00-05:00,4.97,5.26,4.95,5.05,189892
2016-03-08 00:00:00-05:00,5.1,5.26,4.7716,4.972,217233
2016-03-09 00:00:00-05:00,4.9816,5.28,4.8756,5.0105,39330
2016-03-10 00:00:00-05:00,5.0587,5.23,4.8083,4.8756,55417
2016-03-11 00:00:00-05:00,5.0601,5.22,4.8448,4.9797,27055
2016-03-14 00:00:00-04:00,5.0105,5.18,4.9142,4.9238,23767
2016-03-15 00:00:00-04:00,4.8419,5.1,4.8227,5.1,29280
2016-03-16 00:00:00-04:00,5.04,5.18,5.04,5.18,30577
2016-03-17 00:00:00-04:00,5.16,5.31,5.11,5.26,52114
2016-03-18 00:00:00-04:00,5.25,5.27,4.8274,4.9045,96686
2016-03-21 00:00:00-04:00,4.9142,5.02,4.8169,4.97,52852
2016-03-22 00:00:00-04:00,4.95,5.1,4.94,5.06,111378
2016-03-23 00:00:00-04:00,5.04,5.07,4.91,4.91,116932
2016-03-24 00:00:00-04:00,4.91,4.95,4.91,4.94,27796
2016-03-28 00:00:00-04:00,4.97,5.13,4.915,4.96,38288
2016-03-29 00:00:00-04:00,4.91,5.06,4.91,5.02,108970
2016-03-30 00:00:00-04:00,5.04,5.16,5.0399,5.11,54784
2016-03-31 00:00:00-04:00,5.05,5.22,5.05,5.11,23102
2016-04-01 00:00:00-04:00,5.11,5.18,5.04,5.11,28679
2016-04-04 00:00:00-04:00,5.04,5.22,4.9825,4.9825,42619
2016-04-05 00:00:00-04:00,5.09,5.17,4.9435,5.0313,17038
2016-04-06 00:00:00-04:00,5.0605,5.2,4.9533,5.0605,69150
2016-04-07 00:00:00-04:00,5.0605,5.25,5.0313,5.1288,78840
2016-04-08 00:00:00-04:00,5.1386,5.35,5.1386,5.197,20690
2016-04-11 00:00:00-04:00,5.2165,5.43,5.197,5.2653,29337
2016-04-12 00:00:00-04:00,5.3238,5.4101,5.2653,5.275,10794
2016-04-13 00:00:00-04:00,5.3043,5.5,5.3043,5.3628,26854
2016-04-14 00:00:00-04:00,5.3433,5.54,5.2458,5.3725,19573
2016-04-15 00:00:00-04:00,5.3823,5.61,5.3629,5.57,19673
2016-04-18 00:00:00-04:00,5.5,5.63,5.48,5.62,26997
2016-04-19 00:00:00-04:00,5.65,5.7,5.44,5.48,26741
2016-04-20 00:00:00-04:00,5.45,5.46,5.41,5.43,16258
2016-04-21 00:00:00-04:00,5.42,5.42,5.33,5.36,21659
2016-04-22 00:00:00-04:00,5.32,5.3998,5.28,5.35,18189
2016-04-25 00:00:00-04:00,5.27,5.32,5.25,5.31,26952
2016-04-26 00:00:00-04:00,5.25,5.2875,5.12,5.13,35250
2016-04-27 00:00:00-04:00,5.11,5.15,5.08,5.12,26062
2016-04-28 00:00:00-04:00,5.1,5.15,5.1,5.13,17842
2016-04-29 00:00:00-04:00,5.14,5.1996,5.12,5.15,21616
2016-05-02 00:00:00-04:00,5.15,5.16,5.12,5.13,19331
2016-05-03 00:00:00-04:00,5.15,5.16,5.12,5.12,12663
2016-05-04 00:00:00-04:00,5.12,5.15,5.06,5.07,40320
2016-05-05 00:00:00-04:00,5.06,5.08,4.8753,4.8753,34170
2016-05-06 00:00:00-04:00,4.885,5.02,4.8753,4.8753,14778
2016-05-09 00:00:00-04:00,4.8753,5.02,4.8753,4.8753,29988
2016-05-10 00:00:00-04:00,4.9143,5.04,4.885,4.885,10851
2016-05-11 00:00:00-04:00,4.8753,5.03,4.8753,4.885,20731
2016-05-12 00:00:00-04:00,4.885,5.02,4.8265,4.95,43673
2016-05-13 00:00:00-04:00,5,5,4.95,4.95,21174
2016-05-16 00:00:00-04:00,4.99,4.99,4.95,4.95,9711
