date,1. open,2. high,3. low,4. close,5. volume
2014-11-20 00:00:00-05:00,20.85,20.85,19.8,20.103,3347
2014-11-24 00:00:00-05:00,20.103,20.109,20.1,20.103,924
2014-11-25 00:00:00-05:00,20.1,20.37,18.9,19.401,11581
2014-11-26 00:00:00-05:00,19.35,19.65,18.9,19.2,6513
2014-11-28 00:00:00-05:00,18.6,19.197,16.8,18,13966
2014-12-01 00:00:00-05:00,18,18,15.6,15.9,17514
2014-12-02 00:00:00-05:00,15,15.6,9.906,10.614,18112
2014-12-03 00:00:00-05:00,9.645,11.676,9,10.809,33369
2014-12-05 00:00:00-05:00,12.45,12.75,12,12.249,11854
2014-12-08 00:00:00-05:00,12,12.9,11.514,12.6,16943
2014-12-09 00:00:00-05:00,12,12.9,11.583,12.396,7465
2014-12-10 00:00:00-05:00,12.03,12.57,11.7,11.7,6777
2014-12-11 00:00:00-05:00,11.7,12.3,11.7,11.922,9350
2014-12-12 00:00:00-05:00,11.7,12.3,11.7,12.006,3316
2014-12-15 00:00:00-05:00,11.7,12,11.7,11.79,3318
2014-12-16 00:00:00-05:00,11.7,12.9,11.7,12.81,13408
2014-12-17 00:00:00-05:00,12,12.561,12,12.36,6396
2014-12-18 00:00:00-05:00,12,12.87,12,12.714,7320
2014-12-19 00:00:00-05:00,12.6,12.6,12.21,12.3,2720
2014-12-22 00:00:00-05:00,12,12.3,11.748,11.748,2810
2015-01-13 00:00:00-05:00,11.1,11.247,10.8,11.1,1121
2015-01-14 00:00:00-05:00,10.92,11.205,10.644,10.71,8165
2015-01-15 00:00:00-05:00,10.8,11.244,10.8,11.097,3093
2015-01-16 00:00:00-05:00,10.803,11.1,10.803,11.088,1655
2015-01-20 00:00:00-05:00,10.803,11.097,10.803,11.049,1033
2015-01-21 00:00:00-05:00,10.95,11.25,10.95,11.016,4059
2015-01-22 00:00:00-05:00,11.1,11.25,10.803,11.1,3797
2015-01-23 00:00:00-05:00,11.1,11.1,10.803,11.1,2405
2015-02-02 00:00:00-05:00,11.397,11.64,11.13,11.13,8993
2015-02-03 00:00:00-05:00,10.95,11.7,10.8,10.8,4937
2015-02-04 00:00:00-05:00,10.8,11.4,10.8,10.8,3911
2015-02-05 00:00:00-05:00,11.397,11.4,11.124,11.4,2643
2015-02-06 00:00:00-05:00,11.4,12.597,11.1,12.291,13055
2015-02-09 00:00:00-05:00,12.3,13.47,12.3,13.095,8356
2015-02-10 00:00:00-05:00,13.2,14.7,12.903,14.694,18259
2015-02-11 00:00:00-05:00,15,17.1,14.52,16.575,36024
2015-02-12 00:00:00-05:00,15.9,15.912,9.9,9.9,66058
2015-02-13 00:00:00-05:00,10.05,11.403,10.05,11.04,8305
2015-02-18 00:00:00-05:00,5.796,6,5.55,5.7,13817
2015-02-19 00:00:00-05:00,5.7,6.255,5.7,5.988,19579
2015-02-20 00:00:00-05:00,6,6.6,5.991,6.297,18934
2015-02-23 00:00:00-05:00,6.9,7.8,6.3,7.35,49552
2015-03-02 00:00:00-05:00,5.4,5.697,5.4,5.424,9415
2015-03-03 00:00:00-05:00,6,6,5.4,5.589,6444
2015-03-04 00:00:00-05:00,5.43,5.934,4.89,5.1,14053
2015-03-05 00:00:00-05:00,5.1,5.667,4.653,4.869,13845
2015-03-06 00:00:00-05:00,5.1,5.55,4.5,4.578,15046
2015-03-13 00:00:00-04:00,4.5,4.65,4.29,4.56,5749
2015-03-16 00:00:00-04:00,4.74,4.74,3.75,4.05,15896
2015-03-17 00:00:00-04:00,4.08,4.08,3.36,3.6,22537
2015-03-18 00:00:00-04:00,3.6,3.6,2.424,2.94,62060
2015-03-19 00:00:00-04:00,3.561,3.561,2.436,2.97,26654
2015-03-20 00:00:00-04:00,3.267,3.78,3.09,3.486,39569
2015-03-23 00:00:00-04:00,3.6,4.89,3,4.5,61433
2015-03-24 00:00:00-04:00,8.4,8.46,6,6.303,136298
2015-03-25 00:00:00-04:00,7.485,9.09,7.2,7.686,156371
2015-03-27 00:00:00-04:00,6.345,6.6,6.3,6.6,7720
2015-03-30 00:00:00-04:00,6.9,6.9,6,6.33,14957
2015-03-31 00:00:00-04:00,6.75,6.75,6.3,6.399,13894
2015-04-01 00:00:00-04:00,6.33,6.57,5.85,5.934,20788
2015-04-02 00:00:00-04:00,6,6.3,4.503,5.883,31607
2015-04-06 00:00:00-04:00,5.88,5.88,4.8,5.403,8336
2015-04-09 00:00:00-04:00,5.598,5.7,5.436,5.58,8550
2015-04-10 00:00:00-04:00,5.4,5.7,5.097,5.661,11878
2015-04-13 00:00:00-04:00,5.733,6.003,5.64,5.85,9144
2015-04-14 00:00:00-04:00,5.46,6,5.46,5.703,5433
2015-04-15 00:00:00-04:00,5.7,5.7,5.4,5.667,7641
2015-04-16 00:00:00-04:00,6,6,5.43,5.43,7225
2015-04-17 00:00:00-04:00,5.7,5.7,5.169,5.25,5164
2015-04-20 00:00:00-04:00,5.7,5.7,5.145,5.25,4966
2015-04-21 00:00:00-04:00,5.4,5.676,5.13,5.514,3691
2015-04-22 00:00:00-04:00,5.52,5.52,5.166,5.4,6013
2015-04-23 00:00:00-04:00,5.13,5.415,5.13,5.16,6058
2015-04-24 00:00:00-04:00,5.4,5.4,5.136,5.181,5681
2015-04-27 00:00:00-04:00,5.37,5.439,5.166,5.19,10992
2015-04-28 00:00:00-04:00,5.397,5.517,5.13,5.178,5621
2015-04-29 00:00:00-04:00,5.13,5.43,5.13,5.28,3794
2015-04-30 00:00:00-04:00,5.55,5.55,5.1,5.145,7146
2015-05-01 00:00:00-04:00,5.25,5.52,5.25,5.382,3085
2015-05-04 00:00:00-04:00,5.4,5.544,5.103,5.16,3560
2015-05-05 00:00:00-04:00,5.25,5.4,5.145,5.25,2152
2015-05-06 00:00:00-04:00,5.25,5.4,5.1,5.13,1586
2015-05-07 00:00:00-04:00,5.397,5.397,4.8,5.01,6134
2015-05-15 00:00:00-04:00,4.68,5.091,3.303,3.303,7228
2015-05-18 00:00:00-04:00,4.35,4.797,4.092,4.38,6883
2015-05-19 00:00:00-04:00,4.245,4.377,3.603,4.11,5519
2015-05-20 00:00:00-04:00,3.906,4.2,3.9,4.071,4999
2015-05-21 00:00:00-04:00,4.2,4.5,3.75,3.903,7197
2015-05-22 00:00:00-04:00,3.9,4.5,3.753,3.858,4468
2015-05-26 00:00:00-04:00,4.05,4.2,3.795,3.99,4212
2015-05-27 00:00:00-04:00,3.93,4.464,3.93,4.2,7441
2015-05-28 00:00:00-04:00,4.2,4.281,4.14,4.14,1824
2015-06-16 00:00:00-04:00,4.944,5.01,4.701,4.95,686
2015-06-17 00:00:00-04:00,4.86,7.395,4.701,6.99,168894
2015-06-18 00:00:00-04:00,7.41,7.5,5.4,6.078,42418
2015-06-19 00:00:00-04:00,6,6.891,5.94,6.249,17673
2015-06-24 00:00:00-04:00,5.991,5.991,5.67,5.67,2678
2015-06-25 00:00:00-04:00,8.1,8.85,6.696,7.5,161925
2015-06-26 00:00:00-04:00,7.536,7.92,5.58,6.15,60492
2015-06-29 00:00:00-04:00,5.583,6.003,5.406,5.715,29044
2015-06-30 00:00:00-04:00,5.85,6,5.76,5.805,1735
2015-07-06 00:00:00-04:00,6.564,6.597,6,6.003,6337
2015-07-07 00:00:00-04:00,6,6.3,5.85,6.297,9417
2015-07-08 00:00:00-04:00,6.045,6.837,6.03,6.336,5731
2015-07-09 00:00:00-04:00,5.55,6.45,5.4,6.195,7217
2015-07-10 00:00:00-04:00,6.15,6.6,6.027,6.15,4338
2015-07-13 00:00:00-04:00,6.15,6.6,5.43,6.285,7891
2015-07-14 00:00:00-04:00,6.525,6.6,6,6.15,5220
2015-07-15 00:00:00-04:00,6.156,6.6,6,6.015,4733
2015-07-16 00:00:00-04:00,6.15,6.3,5.853,6.297,5140
2015-07-17 00:00:00-04:00,6.06,6.585,6,6.15,6516
2015-07-20 00:00:00-04:00,6.285,6.3,5.55,5.55,7478
2015-07-29 00:00:00-04:00,5.328,5.37,5.106,5.16,1974
2015-07-30 00:00:00-04:00,5.07,5.55,5.07,5.361,4524
2015-07-31 00:00:00-04:00,5.55,5.55,5.16,5.439,2370
2015-08-03 00:00:00-04:00,6,6.6,5.61,6.6,15275
2015-08-04 00:00:00-04:00,6.3,6.6,5.7,6.3,14365
2015-08-05 00:00:00-04:00,5.94,6.285,5.7,5.88,6359
2015-08-14 00:00:00-04:00,5.847,5.847,5.553,5.7,2029
2015-08-17 00:00:00-04:00,5.67,6.144,5.418,5.7,4838
2015-08-18 00:00:00-04:00,6.15,6.15,5.256,5.67,5608
2015-08-19 00:00:00-04:00,5.553,5.73,5.28,5.7,3784
2015-08-20 00:00:00-04:00,6,6.15,5.301,5.4,7695
2015-08-21 00:00:00-04:00,5.55,5.55,5.247,5.247,4121
2015-08-24 00:00:00-04:00,5.175,5.244,4.8,5.244,10879
2015-08-25 00:00:00-04:00,4.83,5.55,4.83,5.55,8905
2015-08-26 00:00:00-04:00,5.4,5.49,4.8,5.394,10521
2015-08-27 00:00:00-04:00,4.833,5.391,4.8,4.953,3408
2015-08-28 00:00:00-04:00,5.1,5.379,4.95,5.1,3791
2015-08-31 00:00:00-04:00,5.1,5.247,4.8,4.917,4193
2015-09-01 00:00:00-04:00,4.92,5.25,4.92,5.1,664
2015-09-02 00:00:00-04:00,5.1,5.67,4.884,5.397,7077
2015-09-03 00:00:00-04:00,5.34,5.661,4.515,5.19,8755
2015-09-04 00:00:00-04:00,5.19,5.388,4.8,5.157,6425
2015-09-08 00:00:00-04:00,5.1,5.67,4.548,5.1,15399
2015-09-09 00:00:00-04:00,5.433,6,5.25,5.28,34977
2015-09-10 00:00:00-04:00,5.4,6.537,5.37,6,23163
2015-09-11 00:00:00-04:00,6,6.3,5.55,6.3,12264
2015-09-14 00:00:00-04:00,6.15,6.15,5.7,5.961,3930
2015-09-15 00:00:00-04:00,6,6.6,6,6.57,11412
2015-09-22 00:00:00-04:00,8.025,8.4,7.5,7.761,23774
2015-09-23 00:00:00-04:00,7.53,8.1,7.35,7.95,7786
2015-09-24 00:00:00-04:00,8.1,8.925,7.809,8.7,38417
2015-09-25 00:00:00-04:00,8.58,9,8.4,8.403,9264
2015-09-28 00:00:00-04:00,8.4,8.997,8.4,8.55,16037
2015-09-29 00:00:00-04:00,8.55,8.964,8.43,8.76,5545
2015-09-30 00:00:00-04:00,8.7,11.025,8.55,10.653,62306
2015-10-01 00:00:00-04:00,10.26,11.022,10.2,10.95,17900
2015-10-02 00:00:00-04:00,10.98,11.025,9.021,9.9,18463
2015-10-05 00:00:00-04:00,9.99,11.7,9.9,10.23,20543
2015-10-06 00:00:00-04:00,10.8,11.4,10.26,10.8,11243
2015-10-07 00:00:00-04:00,11.1,11.1,10.35,10.65,5447
2015-10-08 00:00:00-04:00,10.5,10.5,9.339,10.197,10192
2015-10-09 00:00:00-04:00,10.32,10.32,9.045,9.6,4402
2015-10-12 00:00:00-04:00,9.6,9.6,8.43,8.727,7721
2015-10-13 00:00:00-04:00,8.46,9.6,8.1,9,14737
2015-10-14 00:00:00-04:00,9.024,9.3,9,9,5159
2015-10-15 00:00:00-04:00,9,9.6,9,9,5211
2015-10-16 00:00:00-04:00,9,9.6,9,9.525,13937
2015-10-19 00:00:00-04:00,9.6,9.9,9,9,3794
2015-10-20 00:00:00-04:00,9,9.3,8.85,8.85,5024
2015-10-21 00:00:00-04:00,9,9.165,8.4,9.003,4240
2015-10-22 00:00:00-04:00,9,9.597,9,9,6661
2015-10-23 00:00:00-04:00,9.003,9.177,9,9,5367
2015-10-26 00:00:00-04:00,9.18,9.3,9,9,3098
2015-10-27 00:00:00-04:00,9.18,9.3,9,9,2860
2015-10-28 00:00:00-04:00,9.3,9.3,8.43,8.43,9434
2015-10-29 00:00:00-04:00,8.7,9.447,8.7,9,14949
2015-10-30 00:00:00-04:00,8.7,9.45,8.7,9.303,12732
2015-11-02 00:00:00-05:00,9.45,9.51,9,9.306,3360
2015-11-13 00:00:00-05:00,6.9,7.2,6.45,6.9,1553
2015-11-16 00:00:00-05:00,7.05,7.194,6.003,6.195,4564
2015-11-17 00:00:00-05:00,6.15,6.3,6,6.3,7145
2015-11-18 00:00:00-05:00,6.747,6.9,6,6.033,5984
2015-11-19 00:00:00-05:00,5.88,6.597,5.7,6.597,4412
2015-11-20 00:00:00-05:00,5.715,6.597,5.715,6.153,5566
2015-11-23 00:00:00-05:00,5.85,6.3,5.85,6,4284
2015-11-24 00:00:00-05:00,6.3,6.3,6,6.3,2278
2015-11-25 00:00:00-05:00,6.12,6.3,6,6.024,2204
2015-11-27 00:00:00-05:00,6.12,6.297,6,6.252,38
2015-11-30 00:00:00-05:00,6.252,6.954,6,6.15,8772
2015-12-01 00:00:00-05:00,6.15,6.747,6.15,6.3,1379
2015-12-02 00:00:00-05:00,6.18,6.411,5.406,6.261,6034
2015-12-03 00:00:00-05:00,6.12,6.12,6,6.027,1427
2015-12-04 00:00:00-05:00,6,6.015,6,6,1217
2015-12-07 00:00:00-05:00,5.97,6.027,5.97,6,7664
2015-12-08 00:00:00-05:00,6,6.081,6,6,5150
2015-12-09 00:00:00-05:00,6,6.18,6,6,1987
2015-12-10 00:00:00-05:00,5.91,6.18,5.91,6,1799
2015-12-11 00:00:00-05:00,6.15,6.15,6,6,917
2015-12-14 00:00:00-05:00,6,6,5.4,5.436,2066
2015-12-15 00:00:00-05:00,5.4,5.679,5.4,5.4,3517
2015-12-16 00:00:00-05:00,5.7,5.7,5.103,5.25,2510
2015-12-17 00:00:00-05:00,5.19,5.55,4.875,5.1,3203
2015-12-18 00:00:00-05:00,4.8,5.16,4.5,4.56,4978
2015-12-21 00:00:00-05:00,4.5,4.698,4.02,4.35,4244
2015-12-22 00:00:00-05:00,3.624,5.4,3.624,4.8,6619
2015-12-23 00:00:00-05:00,5.1,5.376,4.5,4.86,4099
2015-12-24 00:00:00-05:00,4.8,4.95,4.8,4.8,1653
2015-12-28 00:00:00-05:00,4.8,5.25,4.5,5.1,4911
2015-12-29 00:00:00-05:00,4.74,4.959,4.5,4.5,9484
2015-12-30 00:00:00-05:00,4.5,5.613,4.35,5.613,25229
2015-12-31 00:00:00-05:00,5.145,5.616,5.1,5.1,4562
2016-01-21 00:00:00-05:00,5.712,6.15,5.712,6.093,2632
2016-01-22 00:00:00-05:00,6.12,6.45,5.403,6.36,8670
2016-01-25 00:00:00-05:00,6.06,6.567,5.43,5.547,523
2016-01-26 00:00:00-05:00,5.7,6.3,5.406,6.3,1724
2016-01-27 00:00:00-05:00,6.06,6.3,5.58,6.15,926
2016-01-28 00:00:00-05:00,6.297,6.297,5.7,5.703,1297
2016-01-29 00:00:00-05:00,7.5,8,6.3,8,3420
2016-02-01 00:00:00-05:00,5.5,6.9,5.25,6.74,9567
2016-02-02 00:00:00-05:00,6.7,6.96,5.9899,6.57,8262
2016-02-03 00:00:00-05:00,6.4,6.95,6.4,6.95,7259
