date,1. open,2. high,3. low,4. close,5. volume
2015-12-22 00:00:00-05:00,35.15,35.15,34.2,34.46,41598
2015-12-23 00:00:00-05:00,34.39,35.08,34.3,34.6,47028
2015-12-24 00:00:00-05:00,34.73,35.15,34.73,34.78,28472
2015-12-28 00:00:00-05:00,35.52,35.97,35.1,35.61,105145
2015-12-29 00:00:00-05:00,35.81,36.62,35.81,36.38,79362
2015-12-30 00:00:00-05:00,36.45,36.55,35.89,36.18,43053
2015-12-31 00:00:00-05:00,36.29,36.67,36.12,36.2101,42808
2016-01-04 00:00:00-05:00,36.05,36.05,35.09,35.3101,103627
2016-01-05 00:00:00-05:00,35,35.98,34.87,35.92,65008
2016-01-06 00:00:00-05:00,34.67,35.9,34.67,35.03,85370
2016-01-07 00:00:00-05:00,32.83,34.36,32.83,33.485,107789
2016-01-08 00:00:00-05:00,33.35,33.75,32.73,33.04,132804
2016-01-11 00:00:00-05:00,32.42,32.42,29.54,30.23,197760
2016-01-12 00:00:00-05:00,30.55,31.67,30.1601,31.1,154952
2016-01-13 00:00:00-05:00,31.28,31.3,28.47,28.77,108709
2016-01-14 00:00:00-05:00,28.41,28.47,26.9,28.26,125216
2016-01-15 00:00:00-05:00,26.29,27.18,25.97,27,129937
2016-01-19 00:00:00-05:00,26.15,26.69,25,25.21,207638
2016-01-20 00:00:00-05:00,24.64,25.74,24.23,25.66,144994
2016-01-21 00:00:00-05:00,25.54,25.75,24.85,25.18,192323
2016-01-22 00:00:00-05:00,25.54,26.68,25.3,26.24,99815
2016-01-25 00:00:00-05:00,26.86,27.41,26.76,27.07,90209
2016-01-26 00:00:00-05:00,27.07,27.25,26.57,26.82,89942
2016-01-27 00:00:00-05:00,28.12,28.35,26.47,26.65,170052
2016-01-28 00:00:00-05:00,26.63,26.65,25.45,25.5999,100890
2016-01-29 00:00:00-05:00,25.58,26.07,25.25,25.93,187352
2016-02-01 00:00:00-05:00,26.3,26.66,25.9,26.66,63860
2016-02-02 00:00:00-05:00,26.33,26.39,25.63,25.82,61692
2016-02-03 00:00:00-05:00,25.97,26.13,24.91,26.12,139811
2016-02-04 00:00:00-05:00,25.3,26.39,25.12,26.3399,79221
2016-02-05 00:00:00-05:00,25.75,25.83,24.23,24.27,207390
2016-02-08 00:00:00-05:00,23.44,23.45,22.69,23.2,198033
2016-02-09 00:00:00-05:00,22.62,23.52,22.5475,23.015,72233
