date,1. open,2. high,3. low,4. close,5. volume
2015-12-22 00:00:00-05:00,5.84,5.9,5.8,5.83,38889
2015-12-23 00:00:00-05:00,5.8,5.8,4.95,5.32,368779
2015-12-24 00:00:00-05:00,5.25,5.43,5.25,5.38,72082
2015-12-28 00:00:00-05:00,5.35,5.4921,5.307,5.41,85748
2015-12-29 00:00:00-05:00,5.4,5.4,5.16,5.32,112528
2015-12-30 00:00:00-05:00,5.35,5.47,5.25,5.47,86632
2015-12-31 00:00:00-05:00,5.59,5.9,5.5499,5.81,121111
2016-01-04 00:00:00-05:00,5.73,5.74,5.5,5.57,109771
2016-01-05 00:00:00-05:00,5.56,5.73,5.55,5.61,54779
2016-01-06 00:00:00-05:00,5.54,5.7,5.54,5.65,52079
2016-01-07 00:00:00-05:00,5.56,5.56,5.29,5.51,42086
2016-01-08 00:00:00-05:00,5.5,5.52,5.33,5.5,54247
2016-01-11 00:00:00-05:00,5.61,5.65,5.5,5.52,28832
2016-01-12 00:00:00-05:00,5.54,5.6529,5.4684,5.56,47108
2016-01-13 00:00:00-05:00,5.57,5.66,5.32,5.33,56563
2016-01-14 00:00:00-05:00,5.32,5.32,5,5,89846
2016-01-15 00:00:00-05:00,4.81,5.09,4.6376,5.08,71022
2016-01-19 00:00:00-05:00,4.99,5.348,4.96,5.1,99810
2016-01-20 00:00:00-05:00,5.1,5.225,4.87,4.95,110200
2016-01-21 00:00:00-05:00,4.7,4.85,4.7,4.82,114068
2016-01-22 00:00:00-05:00,4.8,5.11,4.8,5.1,45278
2016-01-25 00:00:00-05:00,5.06,5.35,5.06,5.29,53496
2016-01-26 00:00:00-05:00,5.42,5.71,5.13,5.24,54765
2016-01-27 00:00:00-05:00,5.19,5.19,4.96,4.97,74264
2016-01-28 00:00:00-05:00,4.96,5,4.9,4.93,56517
2016-01-29 00:00:00-05:00,4.93,5,4.8984,4.98,34659
2016-02-01 00:00:00-05:00,4.97,5.16,4.93,5.11,73251
2016-02-02 00:00:00-05:00,5.05,5.1299,5,5.05,31841
2016-02-03 00:00:00-05:00,5.06,5.0999,5.03,5.04,25814
2016-02-04 00:00:00-05:00,5.05,5.09,4.9,4.93,39769
2016-02-05 00:00:00-05:00,4.92,4.97,4.9,4.91,21353
2016-02-08 00:00:00-05:00,4.86,4.897,4.77,4.83,22805
2016-02-09 00:00:00-05:00,4.77,4.85,4.77,4.815,27283
2016-02-10 00:00:00-05:00,4.81,4.89,4.752,4.81,20748
2016-02-11 00:00:00-05:00,4.73,4.8711,4.7,4.8,23418
2016-02-12 00:00:00-05:00,4.79,4.79,4.68,4.72,26192
2016-02-16 00:00:00-05:00,4.6,4.66,4.22,4.54,88707
2016-02-17 00:00:00-05:00,4.49,4.5,4.35,4.46,70125
2016-02-18 00:00:00-05:00,4.47,4.6,4.447,4.6,43710
2016-02-19 00:00:00-05:00,4.57,4.82,4.57,4.6997,24958
2016-02-22 00:00:00-05:00,4.68,4.74,4.62,4.72,23624
2016-02-23 00:00:00-05:00,4.72,4.8,4.5877,4.76,35065
2016-02-24 00:00:00-05:00,4.72,4.8,4.6,4.77,17121
2016-02-25 00:00:00-05:00,4.75,4.93,4.6101,4.93,22428
2016-02-26 00:00:00-05:00,5.01,5.3199,5.01,5.28,60816
2016-02-29 00:00:00-05:00,5.3,5.414,5.21,5.21,34299
2016-03-01 00:00:00-05:00,5.19,5.2099,5.15,5.15,26030
2016-03-02 00:00:00-05:00,5.13,5.2,5.13,5.18,30501
2016-03-03 00:00:00-05:00,5.17,5.23,5.16,5.17,16443
