date,1. open,2. high,3. low,4. close,5. volume
2015-12-17 00:00:00-05:00,5.93,5.95,5.78,5.82,9358
2015-12-18 00:00:00-05:00,5.73,5.84,5.38,5.81,28509
2015-12-21 00:00:00-05:00,5.83,6.04,5.76,6,34536
2015-12-22 00:00:00-05:00,5.94,6.05,5.89,5.9,46162
2015-12-23 00:00:00-05:00,5.92,5.92,5.69,5.7,52199
2015-12-24 00:00:00-05:00,5.56,5.67,5.47,5.59,31669
2015-12-28 00:00:00-05:00,5.57,5.62,5.43,5.51,45460
2015-12-29 00:00:00-05:00,5.51,5.66,5.36,5.44,27401
2015-12-30 00:00:00-05:00,5.4,5.52,5.37,5.4,13860
2015-12-31 00:00:00-05:00,5.4,5.43,5.22,5.23,35415
2016-01-04 00:00:00-05:00,5.2,5.31,4.97,5.02,30820
2016-01-05 00:00:00-05:00,5.06,5.06,4.87,4.87,33842
2016-01-06 00:00:00-05:00,4.81,4.94,4.68,4.94,16533
2016-01-07 00:00:00-05:00,4.82,4.8288,4.55,4.7,20264
2016-01-08 00:00:00-05:00,4.78,5.0499,4.77,4.82,9422
2016-01-11 00:00:00-05:00,4.86,4.9,4.83,4.87,13941
2016-01-12 00:00:00-05:00,4.84,4.84,4.53,4.62,37825
2016-01-13 00:00:00-05:00,4.65,4.75,4.51,4.53,76844
2016-01-14 00:00:00-05:00,4.56,4.57,4.348,4.43,44290
2016-01-15 00:00:00-05:00,4.35,4.39,4.12,4.3,11828
2016-01-19 00:00:00-05:00,4.31,4.35,4.09,4.14,13556
2016-01-20 00:00:00-05:00,4.03,4.39,3.81,4.28,58652
2016-01-21 00:00:00-05:00,4.32,4.4601,4.26,4.36,12030
2016-01-22 00:00:00-05:00,4.4,4.54,4.4,4.49,23223
2016-01-25 00:00:00-05:00,4.47,4.5,4.41,4.42,4337
2016-01-26 00:00:00-05:00,4.46,4.69,4.37,4.42,4671
2016-01-27 00:00:00-05:00,4.4,4.5,4.29,4.34,7459
2016-01-28 00:00:00-05:00,4.36,4.52,4.29,4.29,2628
2016-01-29 00:00:00-05:00,4.28,4.4,4.18,4.36,20468
2016-02-01 00:00:00-05:00,4.37,4.56,4.0225,4.46,51325
2016-02-02 00:00:00-05:00,4.42,4.61,4.285,4.53,15257
2016-02-03 00:00:00-05:00,4.5,4.6,4.425,4.452,11344
2016-02-04 00:00:00-05:00,4.48,4.78,4.43,4.47,29089
2016-02-05 00:00:00-05:00,4.43,4.5,4.42,4.45,11576
2016-02-08 00:00:00-05:00,4.42,4.55,4.2,4.55,12774
2016-02-09 00:00:00-05:00,4.45,4.45,4.36,4.36,29257
2016-02-10 00:00:00-05:00,4.4,4.42,4.2242,4.33,15465
2016-02-11 00:00:00-05:00,4.25,4.49,4.176,4.26,21966
2016-02-12 00:00:00-05:00,4.3,4.58,3.97,4.09,29252
2016-02-16 00:00:00-05:00,4.14,4.3,4.09,4.095,10052
2016-02-17 00:00:00-05:00,4.1,4.3,4.1,4.22,16668
2016-02-18 00:00:00-05:00,4.23,4.41,4.23,4.26,53905
