date,1. open,2. high,3. low,4. close,5. volume
2015-12-18 00:00:00-05:00,6.584,6.72,6.462,6.464,1213195
2015-12-21 00:00:00-05:00,6.528,6.544,6.36,6.44,1623570
2015-12-22 00:00:00-05:00,6.438,6.694,6.436,6.606,804365
2015-12-23 00:00:00-05:00,6.62,6.784,6.56,6.712,876610
2015-12-24 00:00:00-05:00,6.734,6.88,6.678,6.69,569800
2015-12-28 00:00:00-05:00,6.678,6.752,6.506,6.574,478315
2015-12-29 00:00:00-05:00,6.608,6.844,6.608,6.722,471370
2015-12-30 00:00:00-05:00,6.71,6.913,6.598,6.61,1088895
2015-12-31 00:00:00-05:00,6.572,6.666,6.366,6.558,1101690
2016-01-04 00:00:00-05:00,6.412,6.449,6.164,6.18,1453920
2016-01-05 00:00:00-05:00,6.204,6.326,6.084,6.122,1109140
2016-01-06 00:00:00-05:00,5.984,6.086,5.904,6.062,1526400
2016-01-07 00:00:00-05:00,5.928,5.998,5.774,5.82,1733270
2016-01-08 00:00:00-05:00,5.704,5.908,5.656,5.87,2012585
2016-01-11 00:00:00-05:00,5.948,6.044,5.87,5.982,1143510
2016-01-12 00:00:00-05:00,6.07,6.222,6.016,6.21,1967035
2016-01-13 00:00:00-05:00,6.248,6.28,5.768,5.93,1918630
2016-01-14 00:00:00-05:00,5.994,6.208,5.906,6.118,1042905
2016-01-15 00:00:00-05:00,5.93,6.094,5.902,6.038,2180165
2016-01-19 00:00:00-05:00,6.122,6.198,5.84,5.984,1222795
2016-01-20 00:00:00-05:00,5.88,6.572,5.754,6.364,2685105
2016-01-21 00:00:00-05:00,6.52,6.692,6.376,6.414,2041360
2016-01-22 00:00:00-05:00,6.538,6.698,6.51,6.644,1043195
2016-01-25 00:00:00-05:00,6.598,6.762,6.342,6.47,1781670
2016-01-26 00:00:00-05:00,6.444,6.706,6.374,6.704,1521710
2016-01-27 00:00:00-05:00,6.642,6.704,6.286,6.302,1373825
2016-01-28 00:00:00-05:00,6.376,6.554,6.222,6.434,1289305
2016-01-29 00:00:00-05:00,6.472,6.796,6.448,6.734,1062575
2016-02-01 00:00:00-05:00,6.728,6.85,6.568,6.732,1491000
2016-02-02 00:00:00-05:00,6.654,6.8,6.396,6.472,665970
2016-02-03 00:00:00-05:00,6.498,6.588,6.298,6.442,483390
2016-02-04 00:00:00-05:00,6.404,6.65,6.374,6.472,394205
2016-02-05 00:00:00-05:00,6.432,6.556,6.042,6.132,606665
2016-02-08 00:00:00-05:00,6.01,6.47,5.826,6.418,1433110
2016-02-09 00:00:00-05:00,6.306,6.552,6.114,6.16,812725
2016-02-10 00:00:00-05:00,6.212,6.428,5.98,6,1630760
2016-02-11 00:00:00-05:00,5.878,6.346,5.822,6.288,1143265
2016-02-12 00:00:00-05:00,6.348,6.42,6.252,6.382,811640
2016-02-16 00:00:00-05:00,6.482,6.614,6.396,6.492,1615360
2016-02-17 00:00:00-05:00,6.542,6.946,6.542,6.756,852605
2016-02-18 00:00:00-05:00,6.752,6.902,6.708,6.72,524430
2016-02-19 00:00:00-05:00,6.696,6.794,6.53,6.65,1018650
2016-02-22 00:00:00-05:00,6.702,6.782,6.454,6.54,1151095
2016-02-23 00:00:00-05:00,6.474,6.608,6.38,6.492,435925
2016-02-24 00:00:00-05:00,6.418,6.696,6.28,6.614,794365
2016-02-25 00:00:00-05:00,6.664,6.8,6.57,6.774,435910
2016-02-26 00:00:00-05:00,6.816,6.91,6.73,6.854,971290
2016-02-29 00:00:00-05:00,6.99,7.494,6.99,7.4,3173505
2016-03-01 00:00:00-05:00,7.536,8.254,7.496,8.232,4424025
2016-03-02 00:00:00-05:00,8.21,8.358,8.046,8.282,1900595
2016-03-03 00:00:00-05:00,8.19,8.366,8.116,8.14,1150635
2016-03-04 00:00:00-05:00,8.18,8.226,7.894,7.992,1342890
2016-03-07 00:00:00-05:00,7.97,8.212,7.922,8.134,728930
2016-03-08 00:00:00-05:00,8.114,8.124,7.824,7.848,563660
2016-03-09 00:00:00-05:00,7.888,8.014,7.71,7.838,793970
2016-03-10 00:00:00-05:00,7.888,8,7.598,7.712,945635
2016-03-11 00:00:00-05:00,7.846,7.944,7.742,7.824,804050
2016-03-14 00:00:00-04:00,7.866,7.866,7.542,7.736,926650
2016-03-15 00:00:00-04:00,7.692,7.832,7.614,7.658,816025
2016-03-16 00:00:00-04:00,7.626,7.806,7.514,7.702,1324885
2016-03-17 00:00:00-04:00,7.7,8.016,7.58,7.948,1431810
2016-03-18 00:00:00-04:00,8.014,8.322,7.886,8.232,2369795
2016-03-21 00:00:00-04:00,8.328,8.328,7.94,7.978,924675
2016-03-22 00:00:00-04:00,7.932,8.15,7.864,7.926,644035
2016-03-23 00:00:00-04:00,7.894,7.986,7.688,7.724,627700
2016-03-24 00:00:00-04:00,7.698,7.746,7.5,7.65,1088995
2016-03-28 00:00:00-04:00,7.704,7.988,7.626,7.794,681355
2016-03-29 00:00:00-04:00,7.754,8.226,7.75,8.186,769405
2016-03-30 00:00:00-04:00,8.22,8.24,7.92,7.976,614065
2016-03-31 00:00:00-04:00,7.96,8.193,7.952,8.158,900380
2016-04-01 00:00:00-04:00,8.064,8.183,7.85,8.17,792240
2016-04-04 00:00:00-04:00,8.16,8.49,7.99,8.036,1316875
2016-04-05 00:00:00-04:00,7.978,8.15,7.902,7.916,438490
2016-04-06 00:00:00-04:00,7.908,8.11,7.762,7.984,453410
2016-04-07 00:00:00-04:00,7.908,8.048,7.392,7.646,2202710
