date,1. open,2. high,3. low,4. close,5. volume
2015-12-21 00:00:00-05:00,6.92,7.12,6.575,6.66,65862
2015-12-22 00:00:00-05:00,6.675,7.08,6.282,6.395,194996
2015-12-23 00:00:00-05:00,6.45,6.92,6.181,6.555,89708
2015-12-24 00:00:00-05:00,6.56,6.935,6.385,6.385,16560
2015-12-28 00:00:00-05:00,6.385,6.573,6.385,6.39,37066
2015-12-29 00:00:00-05:00,6.745,6.745,6.305,6.305,73180
2015-12-30 00:00:00-05:00,6.3,6.3,5.2,5.382,129560
2015-12-31 00:00:00-05:00,5.405,5.59,5.31,5.522,72784
2016-01-04 00:00:00-05:00,5.345,5.633,5.3,5.465,105962
2016-01-05 00:00:00-05:00,5.465,5.63,5.465,5.51,36762
2016-01-06 00:00:00-05:00,5.435,5.525,5.17,5.21,75242
2016-01-07 00:00:00-05:00,5.105,5.114,4.51,4.63,84994
2016-01-08 00:00:00-05:00,4.695,4.928,4.575,4.75,41492
2016-01-11 00:00:00-05:00,5.645,5.645,4.615,4.79,54008
2016-01-12 00:00:00-05:00,4.725,5.45,4.725,4.78,23978
2016-01-13 00:00:00-05:00,4.85,5.37,4.41,4.463,51806
2016-01-14 00:00:00-05:00,4.475,5.035,4.265,4.335,71316
2016-01-15 00:00:00-05:00,4.99,4.99,4.505,4.6,67784
2016-01-19 00:00:00-05:00,4.65,5.327,4.65,4.875,76966
2016-01-20 00:00:00-05:00,4.895,5.26,4.4,4.875,63878
2016-01-21 00:00:00-05:00,4.84,5.135,4.365,4.909,93708
2016-01-22 00:00:00-05:00,5.05,5.705,4.645,5.603,78016
2016-01-25 00:00:00-05:00,5.865,5.97,5.38,5.69,93798
2016-01-26 00:00:00-05:00,5.735,5.885,5.486,5.5,49530
2016-01-27 00:00:00-05:00,5.74,5.74,5.3,5.345,34432
2016-01-28 00:00:00-05:00,5.4,5.65,5.345,5.405,43298
2016-01-29 00:00:00-05:00,5.495,5.655,4.935,5.27,47470
2016-02-01 00:00:00-05:00,5.17,5.465,5.02,5.455,37516
2016-02-02 00:00:00-05:00,5.45,5.45,5.185,5.445,57736
2016-02-03 00:00:00-05:00,5.42,5.46,4.961,5.13,54096
2016-02-04 00:00:00-05:00,5.085,5.265,4.95,5.02,36854
2016-02-05 00:00:00-05:00,5.05,5.36,4.765,5.015,48104
2016-02-08 00:00:00-05:00,4.81,5.21,4.758,5.21,36884
2016-02-09 00:00:00-05:00,5.14,5.325,4.99,5.075,25168
2016-02-10 00:00:00-05:00,5.1,5.19,4.825,5.025,16250
2016-02-11 00:00:00-05:00,4.845,5.025,4.55,4.925,40684
2016-02-12 00:00:00-05:00,4.98,5,4.85,4.97,45678
2016-02-16 00:00:00-05:00,5.02,5.195,4.88,5.125,20044
2016-02-17 00:00:00-05:00,5.06,5.195,5.06,5.08,33322
2016-02-18 00:00:00-05:00,5.195,5.49,5.14,5.33,32764
2016-02-19 00:00:00-05:00,5.205,5.585,5.165,5.445,70494
2016-02-22 00:00:00-05:00,5.6,6.51,5.553,6.31,106206
2016-02-23 00:00:00-05:00,6.53,6.7,5.625,6.075,88614
2016-02-24 00:00:00-05:00,5.845,6.3,5.8,6,37774
2016-02-25 00:00:00-05:00,5.985,6.105,5.405,5.405,38148
2016-02-26 00:00:00-05:00,5.535,5.883,5.5,5.735,39330
2016-02-29 00:00:00-05:00,5.51,5.805,5.51,5.67,47154
2016-03-01 00:00:00-05:00,5.72,6.005,5.72,5.93,20360
2016-03-02 00:00:00-05:00,5.845,6.045,5.735,5.86,30358
2016-03-03 00:00:00-05:00,5.925,6.175,5.875,5.9,51056
2016-03-04 00:00:00-05:00,5.875,5.995,5.68,5.89,42918
2016-03-07 00:00:00-05:00,5.9,6.125,5.515,5.765,28534
2016-03-08 00:00:00-05:00,5.455,6.445,5.45,5.935,82492
2016-03-09 00:00:00-05:00,5.99,6.24,5.89,5.965,30026
2016-03-10 00:00:00-05:00,6.18,6.186,5.925,6.01,12226
2016-03-11 00:00:00-05:00,5.975,6.21,5.755,5.755,45972
2016-03-14 00:00:00-04:00,5.85,6.14,5.78,6.115,95500
2016-03-15 00:00:00-04:00,6.145,6.295,6.105,6.155,38958
2016-03-16 00:00:00-04:00,6.185,6.27,6.055,6.195,46478
2016-03-17 00:00:00-04:00,6.245,6.345,6.105,6.345,28568
2016-03-18 00:00:00-04:00,6.145,6.375,6.125,6.245,47092
2016-03-21 00:00:00-04:00,6.2,6.401,6.015,6.02,26344
2016-03-22 00:00:00-04:00,6.075,6.175,5.64,5.82,61260
2016-03-23 00:00:00-04:00,5.81,5.995,5.62,5.895,42458
2016-03-24 00:00:00-04:00,5.815,6.22,5.65,6.19,20192
2016-03-28 00:00:00-04:00,6.115,6.305,5.665,6.1,123524
2016-03-29 00:00:00-04:00,6.18,6.365,5.941,6.32,16734
2016-03-30 00:00:00-04:00,6.32,6.495,6.32,6.485,27118
2016-03-31 00:00:00-04:00,6.495,7.194,6.495,7.015,66260
2016-04-01 00:00:00-04:00,7.035,7.19,6.9,7.09,34048
2016-04-04 00:00:00-04:00,7.025,7.152,6.885,6.91,20858
2016-04-05 00:00:00-04:00,6.885,7.035,6.405,6.95,35368
2016-04-06 00:00:00-04:00,6.9,7.14,6.515,6.89,36422
2016-04-07 00:00:00-04:00,6.885,7.045,6.76,6.79,33410
2016-04-08 00:00:00-04:00,6.87,6.91,6.488,6.81,33324
2016-04-11 00:00:00-04:00,6.81,7.375,6.75,6.78,30250
2016-04-12 00:00:00-04:00,6.87,6.9,6.575,6.85,20104
2016-04-13 00:00:00-04:00,6.855,6.875,6.02,6.735,58146
2016-04-14 00:00:00-04:00,6.745,6.86,6.715,6.725,17148
2016-04-15 00:00:00-04:00,6.835,6.935,6.76,6.9,38738
2016-04-18 00:00:00-04:00,6.87,6.935,6.755,6.845,14364
2016-04-19 00:00:00-04:00,6.85,6.935,6.775,6.885,17978
2016-04-20 00:00:00-04:00,6.895,6.94,6.855,6.9,13844
2016-04-21 00:00:00-04:00,6.885,7.335,6.885,7.225,45046
2016-04-22 00:00:00-04:00,7.325,7.7,7.05,7.06,38196
2016-04-25 00:00:00-04:00,7.135,7.23,7.001,7.138,24738
2016-04-26 00:00:00-04:00,7.135,7.17,7.055,7.17,18736
2016-04-27 00:00:00-04:00,7.135,7.17,7.055,7.165,22238
2016-04-28 00:00:00-04:00,7.17,7.17,7.065,7.09,20694
2016-04-29 00:00:00-04:00,7.16,7.16,7.055,7.06,6046
2016-05-02 00:00:00-04:00,7.09,7.296,6.63,6.705,28452
2016-05-03 00:00:00-04:00,6.705,6.995,5.835,5.985,63954
2016-05-04 00:00:00-04:00,5.96,6.1,5.76,5.938,28230
2016-05-05 00:00:00-04:00,5.925,6.47,5.853,6.255,27740
2016-05-06 00:00:00-04:00,6.31,6.745,6.25,6.735,23744
2016-05-09 00:00:00-04:00,6.82,6.845,6.55,6.77,52798
2016-05-10 00:00:00-04:00,6.79,6.79,6.436,6.44,7582
2016-05-11 00:00:00-04:00,6.355,6.62,6.28,6.62,10118
2016-05-12 00:00:00-04:00,6.59,6.59,6.27,6.395,38406
2016-05-13 00:00:00-04:00,6.365,6.572,6.265,6.545,34420
2016-05-16 00:00:00-04:00,6.465,6.565,6.465,6.525,20718
2016-05-17 00:00:00-04:00,6.48,6.505,6.265,6.445,6848
2016-05-18 00:00:00-04:00,6.44,6.485,6.37,6.47,12214
2016-05-19 00:00:00-04:00,6.415,6.55,6.353,6.495,5994
2016-05-20 00:00:00-04:00,6.481,6.5,6.3,6.31,9428
2016-05-23 00:00:00-04:00,6.31,6.325,6.275,6.32,8888
2016-05-24 00:00:00-04:00,6.285,6.325,6.265,6.275,28136
2016-05-25 00:00:00-04:00,6.325,6.375,6.25,6.255,26246
2016-05-26 00:00:00-04:00,6.255,6.5,5.143,5.5,73810
2016-05-27 00:00:00-04:00,5.525,5.86,5.115,5.57,248638
2016-05-31 00:00:00-04:00,5.475,5.52,5.15,5.33,68820
2016-06-01 00:00:00-04:00,5.325,5.88,5.263,5.56,89884
2016-06-02 00:00:00-04:00,5.78,6,5.575,5.73,45058
2016-06-03 00:00:00-04:00,5.635,5.995,5.54,5.555,77948
2016-06-06 00:00:00-04:00,5.63,5.82,5.505,5.625,30102
2016-06-07 00:00:00-04:00,5.635,6.21,5.56,5.955,103006
2016-06-08 00:00:00-04:00,5.955,6.313,5.7,5.7,33754
2016-06-09 00:00:00-04:00,5.745,5.75,5.475,5.475,29478
2016-06-10 00:00:00-04:00,5.455,5.671,5.2,5.205,56910
2016-06-13 00:00:00-04:00,5.163,5.34,4.937,4.975,62210
2016-06-14 00:00:00-04:00,4.985,5.315,4.95,5.155,31940
2016-06-15 00:00:00-04:00,5.21,5.49,5.21,5.415,26600
2016-06-16 00:00:00-04:00,5.33,5.67,5.25,5.255,10420
2016-06-17 00:00:00-04:00,5.27,5.61,5.055,5.08,26960
2016-06-20 00:00:00-04:00,5.07,5.295,5.04,5.04,35388
2016-06-21 00:00:00-04:00,5.16,5.23,5.04,5.055,7594
2016-06-22 00:00:00-04:00,5.07,5.225,5.055,5.075,18592
2016-06-23 00:00:00-04:00,5.115,5.36,5.075,5.28,24260
2016-06-24 00:00:00-04:00,5.03,5.705,5.008,5.495,26826
2016-06-27 00:00:00-04:00,5.425,5.456,5.1,5.175,41362
2016-06-28 00:00:00-04:00,5.2,5.575,5.2,5.42,36488
2016-06-29 00:00:00-04:00,5.565,5.565,5.4,5.465,31916
2016-06-30 00:00:00-04:00,5.54,5.98,5.474,5.7,79728
2016-07-01 00:00:00-04:00,5.835,5.977,5.7,5.7,34442
2016-07-05 00:00:00-04:00,5.7,6.345,5.45,5.99,66636
2016-07-06 00:00:00-04:00,5.99,6.84,5.985,6.325,125780
2016-07-07 00:00:00-04:00,6.12,6.645,6.12,6.455,67456
2016-07-08 00:00:00-04:00,6.41,6.565,6.375,6.555,39024
2016-07-11 00:00:00-04:00,6.395,6.46,6.375,6.375,33318
2016-07-12 00:00:00-04:00,6.385,6.545,6.343,6.4,53940
2016-07-13 00:00:00-04:00,6.42,6.48,6.415,6.415,4396
2016-07-14 00:00:00-04:00,6.465,6.52,6.275,6.28,30916
2016-07-15 00:00:00-04:00,6.5,6.5,6.277,6.47,22952
2016-07-18 00:00:00-04:00,6.695,7.28,6.641,6.975,36358
2016-07-19 00:00:00-04:00,6.885,7.127,6.85,6.855,16224
2016-07-20 00:00:00-04:00,6.855,6.995,6.65,6.86,26004
2016-07-21 00:00:00-04:00,6.88,6.957,6.825,6.825,14746
2016-07-22 00:00:00-04:00,6.885,6.885,6.73,6.8,18478
2016-07-25 00:00:00-04:00,6.8,6.885,6.745,6.75,20034
2016-07-26 00:00:00-04:00,6.785,6.859,6.651,6.81,14010
2016-07-27 00:00:00-04:00,6.84,6.94,6.701,6.915,13828
2016-07-28 00:00:00-04:00,6.81,6.865,6.714,6.865,42520
2016-07-29 00:00:00-04:00,6.87,7,6.681,6.748,33084
2016-08-01 00:00:00-04:00,6.735,6.85,6.525,6.655,17004
2016-08-02 00:00:00-04:00,6.5,6.655,6.48,6.605,20810
2016-08-03 00:00:00-04:00,6.57,6.57,6.34,6.435,10056
2016-08-04 00:00:00-04:00,6.46,6.539,6.15,6.2,47674
2016-08-05 00:00:00-04:00,6.225,6.23,5.65,5.685,101394
2016-08-08 00:00:00-04:00,5.735,6.005,5.725,5.775,33316
2016-08-09 00:00:00-04:00,5.79,6.02,5.755,5.86,10902
2016-08-10 00:00:00-04:00,5.875,5.875,5.83,5.845,4838
2016-08-11 00:00:00-04:00,5.845,5.959,5.755,5.76,33100
2016-08-12 00:00:00-04:00,5.74,6.025,5.74,5.825,132718
2016-08-15 00:00:00-04:00,5.875,6.026,5.755,5.765,35112
2016-08-16 00:00:00-04:00,5.825,5.87,5.755,5.785,4216
2016-08-17 00:00:00-04:00,5.89,5.933,5.755,5.755,17910
2016-08-18 00:00:00-04:00,5.77,5.835,5.75,5.77,36712
2016-08-19 00:00:00-04:00,5.745,5.8,5.745,5.745,3562
2016-08-22 00:00:00-04:00,5.73,5.785,5.675,5.68,10820
2016-08-23 00:00:00-04:00,5.72,5.72,5.495,5.5,35614
2016-08-24 00:00:00-04:00,5.5,5.732,5.461,5.72,11552
2016-08-25 00:00:00-04:00,5.675,5.715,5.521,5.61,4436
2016-08-26 00:00:00-04:00,5.625,5.77,5.52,5.635,103520
2016-08-29 00:00:00-04:00,5.9,5.94,5.63,5.785,133324
2016-08-30 00:00:00-04:00,5.785,6.15,5.615,5.865,12376
2016-08-31 00:00:00-04:00,6.095,6.095,5.77,6.05,14004
2016-09-01 00:00:00-04:00,6.09,6.21,6.058,6.101,24312
2016-09-02 00:00:00-04:00,6.155,6.391,6.155,6.345,45824
2016-09-06 00:00:00-04:00,6.395,6.434,6.225,6.358,11478
2016-09-07 00:00:00-04:00,6.33,6.394,6.255,6.325,15812
2016-09-08 00:00:00-04:00,6.3,6.44,6.28,6.377,24322
2016-09-09 00:00:00-04:00,6.33,6.349,6.225,6.23,26854
2016-09-12 00:00:00-04:00,6.19,6.284,6,6.165,27988
2016-09-13 00:00:00-04:00,6.14,6.225,6.11,6.19,11752
2016-09-14 00:00:00-04:00,6.11,6.11,5.38,5.526,160916
2016-09-15 00:00:00-04:00,5.54,5.775,5.538,5.6,25236
2016-09-16 00:00:00-04:00,5.62,5.76,5.505,5.575,3610
2016-09-19 00:00:00-04:00,5.55,5.715,5.43,5.51,40928
2016-09-20 00:00:00-04:00,5.53,5.61,5.455,5.545,5202
2016-09-21 00:00:00-04:00,5.535,5.675,5.525,5.53,14074
2016-09-22 00:00:00-04:00,5.73,5.73,5.56,5.56,3016
2016-09-23 00:00:00-04:00,5.575,5.635,5.55,5.625,11404
2016-09-26 00:00:00-04:00,5.625,5.64,5.555,5.575,3834
2016-09-27 00:00:00-04:00,5.63,5.72,5.56,5.568,7018
2016-09-28 00:00:00-04:00,5.56,5.618,5.477,5.505,75864
2016-09-29 00:00:00-04:00,5.56,5.59,5.51,5.525,13018
2016-09-30 00:00:00-04:00,5.55,5.71,5.41,5.69,43276
