date,1. open,2. high,3. low,4. close,5. volume
2015-12-14 00:00:00-05:00,19.9,19.9,18.51,18.65,37175
2015-12-15 00:00:00-05:00,18.6,19.11,18.6,19.08,678
2015-12-16 00:00:00-05:00,19.12,19.12,18.744,19.1,7691
2015-12-17 00:00:00-05:00,18.895,19.015,18.69,18.99,2925
2015-12-18 00:00:00-05:00,19.4,19.41,18.72,19.23,4695
2015-12-21 00:00:00-05:00,19.19,19.2,18.8,19.02,1295
2015-12-22 00:00:00-05:00,19.02,19.02,18.76,18.7682,1501
2015-12-23 00:00:00-05:00,18.88,19.0199,18.7601,18.7601,2105
2015-12-24 00:00:00-05:00,19.01,19.02,18.88,18.88,104
2015-12-28 00:00:00-05:00,18.81,19.02,18.81,18.87,725
2015-12-29 00:00:00-05:00,19.05,19.05,19,19.018,2090
2015-12-30 00:00:00-05:00,19,19.58,18.75,18.99,28957
2015-12-31 00:00:00-05:00,18.92,19.3579,18.92,19.3579,2890
2016-01-04 00:00:00-05:00,19.3579,19.3579,18.55,18.6,12070
2016-01-05 00:00:00-05:00,18.9899,18.9899,18.6,18.9,6768
2016-01-06 00:00:00-05:00,18.72,18.92,18.61,18.61,3770
2016-01-07 00:00:00-05:00,18.55,18.65,18.55,18.55,10594
2016-01-08 00:00:00-05:00,18.5899,18.5899,18.28,18.45,9614
2016-01-11 00:00:00-05:00,18.7,18.7,18.011,18.25,2800
2016-01-12 00:00:00-05:00,18.37,18.5,18.01,18.22,13799
2016-01-13 00:00:00-05:00,18.22,18.36,17.65,17.6999,15740
2016-01-14 00:00:00-05:00,17.79,17.87,17.52,17.52,10120
2016-01-15 00:00:00-05:00,17.52,17.62,17.03,17.03,21367
2016-01-19 00:00:00-05:00,17.01,17.48,17.01,17.14,8797
2016-01-20 00:00:00-05:00,17,17,16.21,16.74,24478
2016-01-21 00:00:00-05:00,17.41,17.86,16.865,16.99,12013
2016-01-22 00:00:00-05:00,17.66,17.66,17.1001,17.3,8656
2016-01-25 00:00:00-05:00,17.69,17.74,17.03,17.03,11242
2016-01-26 00:00:00-05:00,17.46,17.75,17.21,17.69,4932
2016-01-27 00:00:00-05:00,17.41,17.75,16.925,17.11,5506
2016-01-28 00:00:00-05:00,17,17.78,17,17.04,1858
2016-01-29 00:00:00-05:00,17.22,17.53,16.97,17.49,7120
2016-02-01 00:00:00-05:00,17.34,17.6,17.34,17.43,10798
2016-02-02 00:00:00-05:00,17.59,17.81,17.57,17.78,10449
2016-02-03 00:00:00-05:00,17.69,18.16,17.52,17.66,7897
2016-02-04 00:00:00-05:00,17.53,17.88,17.06,17.16,19589
2016-02-05 00:00:00-05:00,17.35,17.35,16.86,16.99,8711
2016-02-08 00:00:00-05:00,16.9,17.04,16.52,17.01,17312
2016-02-09 00:00:00-05:00,16.95,17.0033,16.53,16.79,18816
2016-02-10 00:00:00-05:00,16.76,16.8699,16.7,16.79,5601
2016-02-11 00:00:00-05:00,16.41,16.6178,16.11,16.57,16304
2016-02-12 00:00:00-05:00,16.5,16.795,16.3401,16.74,11632
2016-02-16 00:00:00-05:00,16.72,16.88,16.53,16.66,10417
2016-02-17 00:00:00-05:00,16.61,16.69,16.475,16.61,8986
2016-02-18 00:00:00-05:00,16.62,16.85,16.62,16.73,9563
2016-02-19 00:00:00-05:00,16.75,16.88,16.6711,16.88,5493
2016-02-22 00:00:00-05:00,16.71,17.15,16.71,17,9603
2016-02-23 00:00:00-05:00,17.05,17.05,16.84,17.05,5930
2016-02-24 00:00:00-05:00,16.86,17.2165,16.86,17.2165,822
2016-02-25 00:00:00-05:00,17.2,17.2,16.95,17.15,3390
