date,1. open,2. high,3. low,4. close,5. volume
2018-11-13 00:00:00-05:00,6.39,6.65,6.12,6.2,542556
2018-11-14 00:00:00-05:00,6.25,6.3,6,6,126351
2018-11-15 00:00:00-05:00,6.05,6.35,6.05,6.06,41542
2018-11-16 00:00:00-05:00,6.05,6.1999,6.05,6.1,21841
2018-11-19 00:00:00-05:00,6.28,6.28,5.9,6.02,41681
2018-11-20 00:00:00-05:00,6.2,6.2,6,6,44958
2018-11-21 00:00:00-05:00,6.15,6.15,6.0805,6.11,9059
2018-11-23 00:00:00-05:00,6.1,6.12,6,6.05,9524
2018-11-26 00:00:00-05:00,6.15,6.15,6,6.03,19413
2018-11-27 00:00:00-05:00,6.08,6.1,6.01,6.05,12728
2018-11-28 00:00:00-05:00,6.14,6.59,6.04,6.57,14090
2018-11-29 00:00:00-05:00,6.6,6.68,6.2,6.24,34269
2018-11-30 00:00:00-05:00,6.2,6.35,6.1,6.35,45131
2018-12-03 00:00:00-05:00,6.5,6.5,6.15,6.2,19413
2018-12-04 00:00:00-05:00,6.29,6.4999,6.15,6.25,14265
2018-12-06 00:00:00-05:00,6.51,6.51,6.12,6.15,15245
2018-12-07 00:00:00-05:00,6.27,6.27,6.12,6.15,9704
2018-12-10 00:00:00-05:00,6.24,6.4,6.08,6.08,31469
2018-12-11 00:00:00-05:00,6.3,6.305,6,6.15,30189
2018-12-12 00:00:00-05:00,6.19,6.19,6.01,6.02,11069
2018-12-13 00:00:00-05:00,6.05,6.15,6.01,6.01,7132
2018-12-14 00:00:00-05:00,6.09,6.09,6,6,11197
2018-12-17 00:00:00-05:00,6.09,6.68,6.03,6.5,14903
2018-12-18 00:00:00-05:00,6.68,6.68,6.01,6.6,24043
2018-12-19 00:00:00-05:00,6.43,6.6497,6,6.3,54926
2018-12-20 00:00:00-05:00,6.14,6.2,6.01,6.09,18891
2018-12-21 00:00:00-05:00,6.2,6.2,6,6,16864
2018-12-24 00:00:00-05:00,6.07,6.07,6,6,2513
2018-12-26 00:00:00-05:00,6.1,6.1,6,6,940
2018-12-27 00:00:00-05:00,6.07,6.07,6,6.05,2150
2018-12-28 00:00:00-05:00,6.0342,6.0342,6,6.0023,6833
2018-12-31 00:00:00-05:00,6.0001,6.13,6,6,2508
2019-01-02 00:00:00-05:00,6.05,6.05,6,6,7703
2019-01-03 00:00:00-05:00,6,6.05,6,6,6656
2019-01-04 00:00:00-05:00,6.04,6.15,5.71,5.71,16308
2019-01-07 00:00:00-05:00,5.7,6.04,5.7,6,15561
2019-01-08 00:00:00-05:00,6.01,6.05,5.99,6.05,11272
2019-01-09 00:00:00-05:00,6,6.04,5.97,5.9999,31761
2019-01-10 00:00:00-05:00,6.02,6.02,5.97,6.0124,6328
2019-01-11 00:00:00-05:00,5.94,6.05,5.94,6.05,10747
2019-01-14 00:00:00-05:00,6,6.0965,5.7618,6.0965,17115
2019-01-15 00:00:00-05:00,6,6,5.99,6,20969
2019-01-16 00:00:00-05:00,6.1,6.1,6,6.1,10898
2019-01-17 00:00:00-05:00,5.96,6.1,5.96,6.1,2576
2019-01-18 00:00:00-05:00,6.19,6.19,6.01,6.1,17423
2019-01-22 00:00:00-05:00,6.2,6.2,6.0072,6.1,5352
2019-01-23 00:00:00-05:00,6.06,6.1,6.06,6.1,2101
2019-01-24 00:00:00-05:00,6.01,6.2,6.01,6.2,7090
2019-01-25 00:00:00-05:00,6.68,6.68,6.2,6.2,8020
2019-01-28 00:00:00-05:00,6.424,6.424,6,6.01,50220
2019-01-29 00:00:00-05:00,6,6.2,6,6.2,33602
2019-01-30 00:00:00-05:00,6.1973,6.21,6.19,6.2,9824
