date,1. open,2. high,3. low,4. close,5. volume
2015-12-21 00:00:00-05:00,21.35,21.49,20.98,21.39,100124
2015-12-22 00:00:00-05:00,21.47,21.51,20.93,21.49,83232
2015-12-23 00:00:00-05:00,21.57,21.92,21.46,21.75,48808
2015-12-24 00:00:00-05:00,21.79,22.05,21.75,21.83,32183
2015-12-28 00:00:00-05:00,22.4721,22.4721,21.62,21.86,24309
2015-12-29 00:00:00-05:00,21.94,22.385,21.54,22.13,46126
2015-12-30 00:00:00-05:00,22.17,22.9499,21.85,22.21,67164
2015-12-31 00:00:00-05:00,22.14,22.58,21.63,21.66,70217
2016-01-04 00:00:00-05:00,21.35,21.66,20.5,20.72,114145
2016-01-05 00:00:00-05:00,20.74,20.95,20.55,20.88,66762
2016-01-06 00:00:00-05:00,20.53,21,20.3,20.92,42632
2016-01-07 00:00:00-05:00,20.69,20.94,20.58,20.85,93437
2016-01-08 00:00:00-05:00,20.92,20.96,20.33,20.41,92212
2016-01-11 00:00:00-05:00,20.48,20.57,20.26,20.49,29943
2016-01-12 00:00:00-05:00,20.69,20.69,20.13,20.4,35454
2016-01-13 00:00:00-05:00,20.49,20.6,19.52,19.59,67039
2016-01-14 00:00:00-05:00,19.77,20.03,19.58,19.69,42852
2016-01-15 00:00:00-05:00,19.11,19.75,19.09,19.59,65696
2016-01-19 00:00:00-05:00,19.79,19.83,19.42,19.61,32738
2016-01-20 00:00:00-05:00,19.32,19.895,19.06,19.68,41186
2016-01-21 00:00:00-05:00,19.66,19.75,19.25,19.39,43094
2016-01-22 00:00:00-05:00,19.62,19.89,19.24,19.7,33790
2016-01-25 00:00:00-05:00,19.58,19.67,19.23,19.29,33805
2016-01-26 00:00:00-05:00,19.29,23.01,19.29,19.74,32504
2016-01-27 00:00:00-05:00,20.73,22.25,20.426,21.27,119112
2016-01-28 00:00:00-05:00,21.45,21.96,21.41,21.62,75470
2016-01-29 00:00:00-05:00,21.71,22.13,21.63,22,110368
2016-02-01 00:00:00-05:00,21.99,22,20.87,21.69,66156
2016-02-02 00:00:00-05:00,21.53,21.9,19.78,21.14,51322
2016-02-03 00:00:00-05:00,21.2,21.35,20.4001,21.14,67802
2016-02-04 00:00:00-05:00,21.14,21.56,20.58,20.69,81118
2016-02-05 00:00:00-05:00,20.7,21.08,20.22,20.23,104090
2016-02-08 00:00:00-05:00,20.04,20.33,19.47,20.2,128397
2016-02-09 00:00:00-05:00,19.98,20.39,19.02,19.87,141790
2016-02-10 00:00:00-05:00,20.02,20.71,19.68,19.72,107540
2016-02-11 00:00:00-05:00,19.26,19.93,19.22,19.67,131534
2016-02-12 00:00:00-05:00,19.93,20.13,19.74,19.88,249415
2016-02-16 00:00:00-05:00,20.16,21.09,19.84,20.9,89163
2016-02-17 00:00:00-05:00,20.98,21.41,19.28,20.53,55657
2016-02-18 00:00:00-05:00,20.51,20.99,20.16,20.54,53947
