date,1. open,2. high,3. low,4. close,5. volume
2015-12-22 00:00:00-05:00,10.91,11.09,10.83,11.055,2882050
2015-12-23 00:00:00-05:00,11.09,11.31,11.07,11.3,3160512
2015-12-24 00:00:00-05:00,11.3,11.43,11.25,11.42,1746368
2015-12-28 00:00:00-05:00,11.35,11.45,11.25,11.305,3228735
2015-12-29 00:00:00-05:00,11.39,11.47,11.31,11.39,2188071
2015-12-30 00:00:00-05:00,11.33,11.45,11.27,11.29,2885394
2015-12-31 00:00:00-05:00,11.26,11.34,11.185,11.2,3090278
2016-01-04 00:00:00-05:00,11.05,11.13,10.92,11.1,3894411
2016-01-05 00:00:00-05:00,11.13,11.21,10.965,11.15,6585145
2016-01-06 00:00:00-05:00,10.97,11.03,10.875,10.96,8301247
2016-01-07 00:00:00-05:00,10.82,10.91,10.78,10.82,14325873
2016-01-08 00:00:00-05:00,10.89,10.9,10.18,10.19,8507801
2016-01-11 00:00:00-05:00,10.16,10.17,9.76,10.0225,7931554
2016-01-12 00:00:00-05:00,10.15,10.22,9.83,10.06,3941333
2016-01-13 00:00:00-05:00,10.04,10.16,9.72,9.75,2982689
2016-01-14 00:00:00-05:00,9.75,9.78,9.59,9.745,6596034
2016-01-15 00:00:00-05:00,9.51,9.62,9.21,9.35,5847633
2016-01-19 00:00:00-05:00,9.47,9.61,9.13,9.25,4589494
2016-01-20 00:00:00-05:00,9.11,9.24,8.845,9.095,7059991
2016-01-21 00:00:00-05:00,9.15,9.3,9.025,9.1,4900718
2016-01-22 00:00:00-05:00,9.26,9.54,9.24,9.52,5233625
2016-01-25 00:00:00-05:00,9.5,9.52,9.35,9.36,4396970
2016-01-26 00:00:00-05:00,9.67,9.9,9.618,9.79,5746828
2016-01-27 00:00:00-05:00,9.72,9.935,9.56,9.59,5236231
2016-01-28 00:00:00-05:00,9.59,9.9,9.48,9.53,5252419
2016-01-29 00:00:00-05:00,10.88,10.88,10.15,10.48,13685644
2016-02-01 00:00:00-05:00,10.54,10.57,10.2,10.4,8465814
2016-02-02 00:00:00-05:00,10.2,10.3599,10.01,10.08,5977834
2016-02-03 00:00:00-05:00,10.18,10.24,9.77,10.02,8803225
2016-02-04 00:00:00-05:00,10.23,10.29,10.03,10.19,6802818
2016-02-05 00:00:00-05:00,10.18,10.24,9.99,10.06,5924847
2016-02-08 00:00:00-05:00,9.91,10,9.7,9.83,6364252
2016-02-09 00:00:00-05:00,9.69,10.1,9.69,9.94,4266621
2016-02-10 00:00:00-05:00,9.97,10.24,9.97,10.03,4929039
2016-02-11 00:00:00-05:00,9.84,10.145,9.8,9.98,5138786
2016-02-12 00:00:00-05:00,10.03,10.23,10.025,10.16,4660146
2016-02-16 00:00:00-05:00,10.3,10.59,10.25,10.5,5550870
2016-02-17 00:00:00-05:00,10.57,10.685,10.55,10.59,4516314
2016-02-18 00:00:00-05:00,10.62,10.825,10.51,10.525,6211987
