date,1. open,2. high,3. low,4. close,5. volume
2015-12-18 00:00:00-05:00,42.7,42.7,41.59,42.36,380109
2015-12-21 00:00:00-05:00,42.51,42.84,42.23,42.58,211704
2015-12-22 00:00:00-05:00,42.7,44.12,42.49,43.56,104369
2015-12-23 00:00:00-05:00,43.89,43.89,43.261,43.54,53413
2015-12-24 00:00:00-05:00,43.64,44.86,43.47,43.7,20859
2015-12-28 00:00:00-05:00,43.46,45.88,43.02,43.54,51347
2015-12-29 00:00:00-05:00,43.72,44.2,42.93,43.58,69871
2015-12-30 00:00:00-05:00,43.63,44.18,42.98,43.38,61570
2015-12-31 00:00:00-05:00,43.16,43.7,42.85,43.01,54211
2016-01-04 00:00:00-05:00,42.5,44.33,42.5,42.79,238580
2016-01-05 00:00:00-05:00,42.88,43.72,42.45,43.63,237621
2016-01-06 00:00:00-05:00,42.87,43.88,42.86,43.5,346736
2016-01-07 00:00:00-05:00,42.64,43.46,42.64,42.71,209047
2016-01-08 00:00:00-05:00,42.54,43.39,42.54,42.72,364875
2016-01-11 00:00:00-05:00,43.01,43.38,42.485,43,156264
2016-01-12 00:00:00-05:00,43.35,43.51,42.42,43.04,226771
2016-01-13 00:00:00-05:00,43.11,43.29,40.87,40.97,111963
2016-01-14 00:00:00-05:00,41.26,41.94,40.03,41.35,125593
2016-01-15 00:00:00-05:00,40.27,41.18,39.9,41.15,95798
2016-01-19 00:00:00-05:00,41.59,42.19,40.175,40.76,91895
2016-01-20 00:00:00-05:00,40.18,41.46,39.82,40.83,97039
2016-01-21 00:00:00-05:00,40.95,41.71,40.47,40.68,91797
2016-01-22 00:00:00-05:00,41.22,41.61,40.79,41.45,93879
2016-01-25 00:00:00-05:00,41.18,41.63,40.58,40.71,76604
2016-01-26 00:00:00-05:00,40.81,41.56,36.57,41.55,212658
2016-01-27 00:00:00-05:00,41.47,42.44,41.26,41.31,82385
2016-01-28 00:00:00-05:00,41.6,42.02,40.95,41.87,84303
2016-01-29 00:00:00-05:00,41.84,43.17,41.77,43.16,147141
2016-02-01 00:00:00-05:00,42.76,43.84,42.54,43.54,156127
2016-02-02 00:00:00-05:00,43.22,44.6,41.35,43.05,57675
2016-02-03 00:00:00-05:00,43.48,44.37,42.4,43.08,78149
2016-02-04 00:00:00-05:00,43.03,44.98,42.01,44.27,125670
2016-02-05 00:00:00-05:00,44.04,44.83,42.17,43.43,102061
