date,1. open,2. high,3. low,4. close,5. volume
2015-12-22 00:00:00-05:00,1.61,1.75,1.53,1.7,275674
2015-12-23 00:00:00-05:00,1.73,1.89,1.72,1.86,264511
2015-12-24 00:00:00-05:00,1.85,1.85,1.72,1.7899,45272
2015-12-28 00:00:00-05:00,1.79,1.845,1.66,1.73,161984
2015-12-29 00:00:00-05:00,1.71,1.78,1.61,1.6198,183393
2015-12-30 00:00:00-05:00,1.6,1.66,1.521,1.55,212390
2015-12-31 00:00:00-05:00,1.55,1.67,1.55,1.67,192780
2016-01-04 00:00:00-05:00,1.6,1.64,1.5,1.62,111904
2016-01-05 00:00:00-05:00,1.62,1.82,1.62,1.75,245124
2016-01-06 00:00:00-05:00,1.77,1.77,1.71,1.72,97301
2016-01-07 00:00:00-05:00,1.7,1.7,1.56,1.57,133963
2016-01-08 00:00:00-05:00,1.58,1.63,1.4,1.44,189829
2016-01-11 00:00:00-05:00,1.45,1.54,1.42,1.42,86659
2016-01-12 00:00:00-05:00,1.43,1.43,1.24,1.33,84693
2016-01-13 00:00:00-05:00,1.34,1.49,1.25,1.275,129570
2016-01-14 00:00:00-05:00,1.26,1.39,1.25,1.31,64355
2016-01-15 00:00:00-05:00,1.29,1.36,1.24,1.33,78371
2016-01-19 00:00:00-05:00,1.35,1.439,1.23,1.28,45754
2016-01-20 00:00:00-05:00,1.27,1.39,1.2203,1.36,139151
2016-01-21 00:00:00-05:00,1.38,1.38,1.32,1.375,31304
2016-01-22 00:00:00-05:00,1.38,1.5,1.37,1.4434,100209
2016-01-25 00:00:00-05:00,1.41,1.55,1.41,1.46,37033
2016-01-26 00:00:00-05:00,1.45,1.52,1.38,1.48,73530
2016-01-27 00:00:00-05:00,1.47,1.5,1.46,1.46,12344
2016-01-28 00:00:00-05:00,1.47,1.55,1.45,1.49,26846
2016-01-29 00:00:00-05:00,1.46,1.5,1.42,1.46,40179
2016-02-01 00:00:00-05:00,1.42,1.47,1.34,1.34,59703
2016-02-02 00:00:00-05:00,1.36,1.41,1.26,1.26,80373
2016-02-03 00:00:00-05:00,1.29,1.337,1.2,1.21,217268
2016-02-04 00:00:00-05:00,1.25,1.26,1.18,1.2,120633
2016-02-05 00:00:00-05:00,1.2,1.285,1.17,1.18,75933
2016-02-08 00:00:00-05:00,1.15,1.24,1.08,1.09,99314
2016-02-09 00:00:00-05:00,1.09,1.1499,1.08,1.08,51960
2016-02-10 00:00:00-05:00,1.15,1.15,1.08,1.08,72167
2016-02-11 00:00:00-05:00,1.14,1.14,1.09,1.13,41099
2016-02-12 00:00:00-05:00,1.12,1.1399,1.08,1.08,64448
2016-02-16 00:00:00-05:00,1.08,1.11,1.08,1.1,43927
2016-02-17 00:00:00-05:00,1.1,1.17,1.1,1.14,178211
2016-02-18 00:00:00-05:00,1.16,1.2,1.11,1.12,108533
2016-02-19 00:00:00-05:00,1.11,1.15,1.0899,1.12,49768
2016-02-22 00:00:00-05:00,1.13,1.19,1.08,1.18,115867
2016-02-23 00:00:00-05:00,1.19,1.19,1.11,1.15,87386
2016-02-24 00:00:00-05:00,1.17,1.19,1.09,1.11,71797
2016-02-25 00:00:00-05:00,1.11,1.19,1.08,1.18,92981
2016-02-26 00:00:00-05:00,1.18,1.24,1.11,1.22,79704
2016-02-29 00:00:00-05:00,1.24,1.24,1.17,1.22,47130
2016-03-01 00:00:00-05:00,1.29,1.29,1.23,1.24,27907
2016-03-02 00:00:00-05:00,1.22,1.41,1.22,1.38,67858
2016-03-03 00:00:00-05:00,1.4,1.43,1.31,1.35,60545
2016-03-04 00:00:00-05:00,1.37,1.47,1.25,1.45,118519
2016-03-07 00:00:00-05:00,1.43,1.53,1.3,1.52,143542
2016-03-08 00:00:00-05:00,1.5,1.65,1.44,1.5,122855
2016-03-09 00:00:00-05:00,1.5,1.54,1.36,1.425,85029
2016-03-10 00:00:00-05:00,1.45,1.6,1.45,1.59,171066
2016-03-11 00:00:00-05:00,1.59,1.6,1.47,1.52,143968
2016-03-14 00:00:00-04:00,1.52,1.615,1.49,1.5,104967
2016-03-15 00:00:00-04:00,1.55,1.55,1.29,1.34,167568
2016-03-16 00:00:00-04:00,1.35,1.39,1.205,1.26,124261
2016-03-17 00:00:00-04:00,1.28,1.29,1.2,1.24,62336
2016-03-18 00:00:00-04:00,1.26,1.37,1.21,1.325,186372
2016-03-21 00:00:00-04:00,1.33,1.45,1.31,1.39,88675
2016-03-22 00:00:00-04:00,1.38,1.4,1.3,1.37,98487
2016-03-23 00:00:00-04:00,1.389,1.45,1.36,1.4,64570
2016-03-24 00:00:00-04:00,1.4,1.45,1.3501,1.4,71431
2016-03-28 00:00:00-04:00,1.44,1.6,1.35,1.45,120300
2016-03-29 00:00:00-04:00,1.42,1.5,1.39,1.4399,72589
2016-03-30 00:00:00-04:00,1.45,1.58,1.43,1.515,173869
2016-03-31 00:00:00-04:00,1.54,1.55,1.43,1.44,133529
2016-04-01 00:00:00-04:00,1.44,1.47,1.4075,1.4301,99352
2016-04-04 00:00:00-04:00,1.46,1.5695,1.46,1.47,130384
2016-04-05 00:00:00-04:00,1.46,1.53,1.45,1.5,79010
2016-04-06 00:00:00-04:00,1.5,1.57,1.47,1.56,181815
2016-04-07 00:00:00-04:00,1.55,1.63,1.5,1.59,416991
2016-04-08 00:00:00-04:00,1.58,1.63,1.45,1.51,285424
2016-04-11 00:00:00-04:00,1.51,1.52,1.41,1.45,153406
2016-04-12 00:00:00-04:00,1.46,1.58,1.43,1.45,105631
2016-04-13 00:00:00-04:00,1.47,1.5,1.44,1.44,88440
2016-04-14 00:00:00-04:00,1.46,1.57,1.45,1.51,303969
2016-04-15 00:00:00-04:00,1.5,1.7,1.49,1.67,356606
2016-04-18 00:00:00-04:00,1.67,1.75,1.6101,1.7,365222
2016-04-19 00:00:00-04:00,1.7,1.72,1.56,1.62,303935
2016-04-20 00:00:00-04:00,1.65,1.65,1.46,1.48,242821
2016-04-21 00:00:00-04:00,1.52,1.62,1.4901,1.53,96636
2016-04-22 00:00:00-04:00,1.56,1.58,1.5184,1.53,35972
2016-04-25 00:00:00-04:00,1.53,1.6,1.4966,1.51,108882
2016-04-26 00:00:00-04:00,1.51,1.56,1.51,1.54,47065
2016-04-27 00:00:00-04:00,1.55,1.58,1.55,1.56,41235
2016-04-28 00:00:00-04:00,1.57,1.57,1.45,1.46,197545
2016-04-29 00:00:00-04:00,1.48,1.49,1.41,1.41,74979
2016-05-02 00:00:00-04:00,1.44,1.44,1.3,1.34,258411
2016-05-03 00:00:00-04:00,1.34,1.3699,1.3,1.32,93704
2016-05-04 00:00:00-04:00,1.33,1.35,1.28,1.3,84733
2016-05-05 00:00:00-04:00,1.3,1.33,1.26,1.28,60696
2016-05-06 00:00:00-04:00,1.29,1.29,1.25,1.25,74164
2016-05-09 00:00:00-04:00,1.26,1.28,1.25,1.2601,47786
2016-05-10 00:00:00-04:00,1.29,1.38,1.26,1.3726,112135
2016-05-11 00:00:00-04:00,1.26,1.58,1.25,1.54,194186
2016-05-12 00:00:00-04:00,1.59,1.59,1.4101,1.45,49583
2016-05-13 00:00:00-04:00,1.5,1.54,1.42,1.5,99781
2016-05-16 00:00:00-04:00,1.44,1.56,1.44,1.51,91778
2016-05-17 00:00:00-04:00,1.67,1.7,1.45,1.46,262443
2016-05-18 00:00:00-04:00,1.45,1.55,1.45,1.46,137335
2016-05-19 00:00:00-04:00,1.49,1.55,1.41,1.53,96351
2016-05-20 00:00:00-04:00,1.52,1.56,1.52,1.52,56331
2016-05-23 00:00:00-04:00,1.54,1.5899,1.51,1.53,143624
2016-05-24 00:00:00-04:00,1.54,1.64,1.458,1.46,169794
2016-05-25 00:00:00-04:00,1.48,1.55,1.39,1.46,210668
2016-05-26 00:00:00-04:00,1.45,1.48,1.4,1.41,60186
2016-05-27 00:00:00-04:00,1.42,1.54,1.42,1.48,38571
2016-05-31 00:00:00-04:00,1.49,1.58,1.45,1.48,89713
2016-06-01 00:00:00-04:00,1.49,1.54,1.48,1.5,45317
2016-06-02 00:00:00-04:00,1.52,1.59,1.5,1.52,175248
2016-06-03 00:00:00-04:00,1.51,1.57,1.42,1.4401,71858
2016-06-06 00:00:00-04:00,1.45,1.49,1.45,1.47,73815
2016-06-07 00:00:00-04:00,1.46,1.47,1.44,1.46,48061
2016-06-08 00:00:00-04:00,1.48,1.5,1.44,1.48,100099
2016-06-09 00:00:00-04:00,1.47,1.4999,1.45,1.47,26734
2016-06-10 00:00:00-04:00,1.45,1.48,1.36,1.42,56553
2016-06-13 00:00:00-04:00,1.4,1.45,1.37,1.4,25958
2016-06-14 00:00:00-04:00,1.39,1.45,1.35,1.43,60565
2016-06-15 00:00:00-04:00,1.42,1.45,1.42,1.43,28691
2016-06-16 00:00:00-04:00,1.42,1.44,1.35,1.38,80938
2016-06-17 00:00:00-04:00,1.41,1.43,1.35,1.4,43956
2016-06-20 00:00:00-04:00,1.4699,1.4699,1.35,1.4,50963
2016-06-21 00:00:00-04:00,1.38,1.415,1.36,1.41,47272
2016-06-22 00:00:00-04:00,1.39,1.43,1.36,1.42,98431
2016-06-23 00:00:00-04:00,1.45,1.47,1.364,1.47,100487
2016-06-24 00:00:00-04:00,1.3,1.47,1.295,1.445,81497
2016-06-27 00:00:00-04:00,1.52,1.52,1.39,1.47,141633
2016-06-28 00:00:00-04:00,1.48,1.51,1.4756,1.49,53063
2016-06-29 00:00:00-04:00,1.4796,1.61,1.479,1.56,221636
2016-06-30 00:00:00-04:00,1.57,1.6297,1.45,1.5,156937
2016-07-01 00:00:00-04:00,1.54,1.6,1.51,1.52,62714
2016-07-05 00:00:00-04:00,1.53,1.56,1.48,1.53,36838
2016-07-06 00:00:00-04:00,1.52,1.55,1.49,1.53,23287
2016-07-07 00:00:00-04:00,1.53,1.54,1.5,1.5216,29284
2016-07-08 00:00:00-04:00,1.53,1.57,1.5083,1.56,50771
2016-07-11 00:00:00-04:00,1.57,1.6,1.56,1.57,60941
2016-07-12 00:00:00-04:00,1.6,1.6145,1.53,1.55,59451
2016-07-13 00:00:00-04:00,1.56,1.56,1.48,1.48,85301
2016-07-14 00:00:00-04:00,1.51,1.56,1.48,1.52,39174
2016-07-15 00:00:00-04:00,1.54,1.56,1.5,1.52,29173
2016-07-18 00:00:00-04:00,1.54,1.57,1.516,1.53,28990
2016-07-19 00:00:00-04:00,1.53,1.56,1.51,1.53,27049
2016-07-20 00:00:00-04:00,1.54,1.54,1.48,1.5,47977
2016-07-21 00:00:00-04:00,1.49,1.52,1.45,1.48,43950
2016-07-22 00:00:00-04:00,1.49,1.52,1.45,1.5,25896
2016-07-25 00:00:00-04:00,1.52,1.59,1.52,1.55,39159
2016-07-26 00:00:00-04:00,1.56,1.6,1.52,1.555,48404
2016-07-27 00:00:00-04:00,1.58,1.58,1.51,1.58,54712
