date,1. open,2. high,3. low,4. close,5. volume
2018-10-04 00:00:00-04:00,27.75,35.5,27.04,32.19,9770840
2018-10-05 00:00:00-04:00,31.89,32.6899,28.75,29.19,1604461
2018-10-08 00:00:00-04:00,29.78,30.405,28.52,29.55,958666
2018-10-09 00:00:00-04:00,29.63,32.5622,28.7319,31.47,616781
2018-10-10 00:00:00-04:00,31.51,32.68,30.6605,31.35,809072
2018-10-11 00:00:00-04:00,31.58,32.4,30.8538,31.995,448104
2018-10-12 00:00:00-04:00,32,34.4244,31.975,33.46,450288
2018-10-15 00:00:00-04:00,33.88,34.34,32.72,33.36,434071
2018-10-16 00:00:00-04:00,33.75,37.8978,33.75,37.72,712915
2018-10-17 00:00:00-04:00,38.49,43.8,37.77,40.725,941053
2018-10-18 00:00:00-04:00,40.53,44.25,37.75,40.12,1248221
2018-10-19 00:00:00-04:00,40.51,43.25,35.38,35.79,712638
2018-10-22 00:00:00-04:00,36.01,38.3739,35.5199,37.5,333429
2018-10-23 00:00:00-04:00,36.46,36.5,33.43,34.48,454876
2018-10-24 00:00:00-04:00,34.06,37.839,34.06,34.62,280527
2018-10-25 00:00:00-04:00,34.55,35.24,32.18,35.2,343633
2018-10-26 00:00:00-04:00,34.82,35.72,33.6,34.99,294230
2018-10-29 00:00:00-04:00,36,37,31.52,32.66,481924
2018-10-30 00:00:00-04:00,31.99,34.24,31.01,33.97,313816
2018-10-31 00:00:00-04:00,34.41,35.89,33.05,33.46,295204
2018-11-01 00:00:00-04:00,33.64,35.7653,33.3421,34.34,273240
2018-11-02 00:00:00-04:00,34.16,40.22,34.16,40.06,414061
2018-11-05 00:00:00-05:00,40.07,40.98,35.13,35.14,480493
2018-11-06 00:00:00-05:00,35,37.43,35,35.65,345458
2018-11-07 00:00:00-05:00,35.92,38,35.7137,36.86,343217
2018-11-08 00:00:00-05:00,37.05,38.29,36.8,38.18,172377
2018-11-09 00:00:00-05:00,38.15,38.5,35.5,38.1,413116
2018-11-12 00:00:00-05:00,38.1,39.9699,38.1,39.02,311675
2018-11-13 00:00:00-05:00,39.65,39.65,37.2,37.65,345650
2018-11-14 00:00:00-05:00,38,38.3712,36.66,37.25,250936
2018-11-15 00:00:00-05:00,37.5,38.13,36.3,37.49,273477
2018-11-16 00:00:00-05:00,37.25,37.6,36.87,37.25,134978
2018-11-19 00:00:00-05:00,37.22,37.74,32.15,33.62,501619
2018-11-20 00:00:00-05:00,33.66,35.85,31.06,34.75,542504
2018-11-21 00:00:00-05:00,34.76,38,33.69,37.11,675490
2018-11-23 00:00:00-05:00,38.69,38.8303,37.25,38.4,400370
2018-11-26 00:00:00-05:00,39.79,40,38,39.685,647939
2018-11-27 00:00:00-05:00,39.35,39.99,37.01,38.05,491911
2018-11-28 00:00:00-05:00,38.5,39.45,37.62,37.78,249872
2018-11-29 00:00:00-05:00,37.5,37.87,37.05,37.54,341167
2018-11-30 00:00:00-05:00,38.17,38.69,35.43,35.8,396392
2018-12-03 00:00:00-05:00,36.7,46.28,36.38,45.59,2030183
2018-12-04 00:00:00-05:00,45.99,45.99,41.3003,42.53,1195772
2018-12-06 00:00:00-05:00,41.5,46.27,40.2804,46.04,798623
2018-12-07 00:00:00-05:00,46.4,49.55,44.13,45,1337169
2018-12-10 00:00:00-05:00,45.5,45.6795,42.15,43.66,314685
2018-12-11 00:00:00-05:00,44.28,46.41,43.21,43.63,408215
2018-12-12 00:00:00-05:00,44.28,44.645,42.0108,42.35,400963
2018-12-13 00:00:00-05:00,42.76,43.2,40.3,41.89,531524
2018-12-14 00:00:00-05:00,41.73,41.85,38.0202,39.81,769495
2018-12-17 00:00:00-05:00,39.75,39.8044,36.19,36.24,748074
2018-12-18 00:00:00-05:00,36.49,37.75,34.55,34.92,655635
