date,1. open,2. high,3. low,4. close,5. volume
2015-11-16 00:00:00-05:00,4.26,4.26,3.54,4.26,83
2015-11-17 00:00:00-05:00,4.26,4.26,3.69,3.69,2217
2015-11-18 00:00:00-05:00,3.66,3.75,3,3.75,9402
2015-11-19 00:00:00-05:00,3.3,3.3,3.3,3.3,67
2015-11-20 00:00:00-05:00,3.15,3.27,3,3.06,2944
2015-11-23 00:00:00-05:00,3,3,2.835,2.85,2326
2015-11-24 00:00:00-05:00,3,3.3,2.851,2.851,6116
2015-11-25 00:00:00-05:00,3,3,2.85,3,105
2015-11-27 00:00:00-05:00,3.3,3.3,3.3,3.3,101
2015-11-30 00:00:00-05:00,3.39,3.39,3.3,3.3,60
2015-12-01 00:00:00-05:00,3,3.33,2.88,2.88,1661
2015-12-02 00:00:00-05:00,3.3,3.3,3,3,340
2015-12-03 00:00:00-05:00,3,3.15,2.94,2.94,466
2015-12-04 00:00:00-05:00,3,3,3,3,354
2015-12-07 00:00:00-05:00,3,3,3,3,100
2015-12-08 00:00:00-05:00,3,3.15,2.94,2.94,4667
2015-12-09 00:00:00-05:00,2.94,2.94,2.7,2.7,1837
2015-12-10 00:00:00-05:00,2.82,2.85,2.7,2.7,7333
2015-12-11 00:00:00-05:00,3,3,2.64,2.84,6189
2015-12-14 00:00:00-05:00,2.55,2.55,2.55,2.55,10
2015-12-15 00:00:00-05:00,2.55,2.55,2.55,2.55,33
2015-12-16 00:00:00-05:00,2.7,4.05,2.7,4.05,3681
2015-12-17 00:00:00-05:00,4.125,4.125,2.7,3.6,1035
2015-12-18 00:00:00-05:00,3.33,3.45,3.33,3.45,399
2015-12-21 00:00:00-05:00,3.3,3.39,3.3,3.39,564
2015-12-22 00:00:00-05:00,3.39,3.96,3.3,3.96,3403
2015-12-23 00:00:00-05:00,3.81,3.9,3.81,3.9,235
2015-12-24 00:00:00-05:00,3.87,3.87,3.87,3.87,33
2015-12-28 00:00:00-05:00,3.87,3.87,3.15,3.15,5619
2015-12-29 00:00:00-05:00,3.15,3.51,3.03,3.45,3554
2015-12-30 00:00:00-05:00,3.15,3.33,3.15,3.3,7028
2015-12-31 00:00:00-05:00,3.3,3.3,3.06,3.27,6768
2016-01-04 00:00:00-05:00,3.3,3.3,3.3,3.3,3534
2016-01-05 00:00:00-05:00,3.15,3.18,3.03,3.18,2697
2016-01-06 00:00:00-05:00,3.18,3.18,3.18,3.18,589
2016-01-07 00:00:00-05:00,3.15,3.15,3,3.09,1433
2016-01-08 00:00:00-05:00,3.18,3.27,3.18,3.21,1967
2016-01-11 00:00:00-05:00,3.3,3.3,2.85,2.85,2787
2016-01-12 00:00:00-05:00,3.09,3.09,3.09,3.09,399
2016-01-13 00:00:00-05:00,3,3.09,3,3,7701
2016-01-14 00:00:00-05:00,3,3,2.94,3,2629
2016-01-15 00:00:00-05:00,2.94,2.94,2.1,2.64,17342
2016-01-19 00:00:00-05:00,2.64,2.64,2.64,2.64,117
2016-01-20 00:00:00-05:00,2.58,2.58,2.25,2.25,1393
