date,1. open,2. high,3. low,4. close,5. volume
2015-12-21 00:00:00-05:00,16.92,16.92,15.94,16.05,161206
2015-12-22 00:00:00-05:00,16.03,16.31,15.84,16.01,170428
2015-12-23 00:00:00-05:00,16.17,16.17,15.83,16.0199,133612
2015-12-24 00:00:00-05:00,16.09,16.44,16.04,16.23,34427
2015-12-28 00:00:00-05:00,16.24,16.42,15.99,16.24,71813
2015-12-29 00:00:00-05:00,16.7,16.7,16.22,16.52,66340
2015-12-30 00:00:00-05:00,16.41,16.59,16.21,16.43,70698
2015-12-31 00:00:00-05:00,16.42,16.55,16.03,16.04,77031
2016-01-04 00:00:00-05:00,15.76,15.84,15.44,15.51,126934
2016-01-05 00:00:00-05:00,15.6,15.77,15.35,15.47,119038
2016-01-06 00:00:00-05:00,15.2,15.7,14.91,15.46,134469
2016-01-07 00:00:00-05:00,15.24,15.2999,14.74,14.88,98147
2016-01-08 00:00:00-05:00,14.82,14.92,13.96,14.3,253037
2016-01-11 00:00:00-05:00,14.29,14.75,14.27,14.61,192928
2016-01-12 00:00:00-05:00,14.72,15.3899,14.4,14.7,139407
2016-01-13 00:00:00-05:00,14.7,14.96,14.38,14.49,131951
2016-01-14 00:00:00-05:00,14.63,15.22,14.45,15.05,107418
2016-01-15 00:00:00-05:00,14.69,15.03,14.54,15.01,149390
2016-01-19 00:00:00-05:00,15.13,15.16,14.45,14.71,130224
2016-01-20 00:00:00-05:00,14.5,15.0699,14.06,14.59,81769
2016-01-21 00:00:00-05:00,14.5,14.78,14.26,14.31,56629
2016-01-22 00:00:00-05:00,14.48,14.84,14.44,14.81,54210
2016-01-25 00:00:00-05:00,14.77,15.32,14.49,15.3,150450
2016-01-26 00:00:00-05:00,15.31,15.44,14.79,14.98,85761
2016-01-27 00:00:00-05:00,14.95,15.17,14.39,14.41,47037
2016-01-28 00:00:00-05:00,14.5,14.81,14.3531,14.51,47633
2016-01-29 00:00:00-05:00,14.6,14.98,14.26,14.75,84208
2016-02-01 00:00:00-05:00,14.72,14.85,14.579,14.73,194124
2016-02-02 00:00:00-05:00,14.61,14.77,14.2,14.37,47319
2016-02-03 00:00:00-05:00,14.44,14.44,13.91,14.21,72331
2016-02-04 00:00:00-05:00,14.19,14.28,13.9,13.96,113942
2016-02-05 00:00:00-05:00,13.92,13.92,12.88,12.96,197906
2016-02-08 00:00:00-05:00,12.75,13.32,12.435,13.2,204986
2016-02-09 00:00:00-05:00,13.24,13.65,12.89,13.42,133133
2016-02-10 00:00:00-05:00,13.49,14.0099,13.22,13.26,108280
2016-02-11 00:00:00-05:00,12.99,13.55,12.97,13.46,79821
2016-02-12 00:00:00-05:00,13.63,14.04,13.41,13.65,155263
