date,1. open,2. high,3. low,4. close,5. volume
2015-12-14 00:00:00-05:00,2.06,2.14,2.009,2.03,10530
2015-12-15 00:00:00-05:00,2.156,2.17,2.0101,2.17,1583
2015-12-16 00:00:00-05:00,2.06,2.1166,2.01,2.03,10973
2015-12-17 00:00:00-05:00,2.156,2.1999,2.0042,2.01,7408
2015-12-18 00:00:00-05:00,2,2.09,2,2.01,11124
2015-12-21 00:00:00-05:00,2.039,2.05,1.9834,1.9834,18225
2015-12-22 00:00:00-05:00,2.0299,2.0299,1.88,1.89,4127
2015-12-23 00:00:00-05:00,2.04,2.04,1.58,1.812,33919
2015-12-24 00:00:00-05:00,1.8399,1.84,1.75,1.76,6097
2015-12-28 00:00:00-05:00,1.7321,1.7574,1.71,1.74,2562
2015-12-29 00:00:00-05:00,1.789,1.8075,1.61,1.6696,7122
2015-12-30 00:00:00-05:00,1.74,1.74,1.65,1.68,7213
2015-12-31 00:00:00-05:00,1.65,1.74,1.6,1.68,19955
2016-01-04 00:00:00-05:00,1.7,1.7,1.6,1.67,14333
2016-01-05 00:00:00-05:00,1.69,1.69,1.6,1.6,458
2016-01-06 00:00:00-05:00,1.6599,1.6599,1.57,1.61,8722
2016-01-07 00:00:00-05:00,1.6,1.61,1.56,1.5616,8523
2016-01-08 00:00:00-05:00,1.56,1.62,1.56,1.572,4962
2016-01-11 00:00:00-05:00,1.92,1.92,1.6101,1.7,9408
2016-01-12 00:00:00-05:00,1.65,1.6736,1.62,1.62,6453
2016-01-13 00:00:00-05:00,1.63,1.65,1.5701,1.62,2605
2016-01-14 00:00:00-05:00,1.58,1.58,1.47,1.47,12076
2016-01-15 00:00:00-05:00,1.38,1.404,1.25,1.35,42731
2016-01-19 00:00:00-05:00,1.42,1.42,1.29,1.32,14380
2016-01-20 00:00:00-05:00,1.32,1.32,1.2101,1.29,3528
2016-01-21 00:00:00-05:00,1.2012,1.25,1.2012,1.25,4801
2016-01-22 00:00:00-05:00,1.33,1.43,1.3,1.43,11865
2016-01-25 00:00:00-05:00,1.31,1.51,1.31,1.45,6532
2016-01-26 00:00:00-05:00,1.54,1.54,1.45,1.52,6074
2016-01-27 00:00:00-05:00,1.5399,1.5399,1.4299,1.43,1414
2016-01-28 00:00:00-05:00,1.43,1.45,1.24,1.31,9018
2016-01-29 00:00:00-05:00,1.33,1.4156,1.3101,1.37,15695
2016-02-01 00:00:00-05:00,1.4299,1.4999,1.4299,1.4999,170
2016-02-02 00:00:00-05:00,1.44,1.488,1.44,1.46,3500
2016-02-03 00:00:00-05:00,1.4033,1.47,1.3701,1.47,647
2016-02-04 00:00:00-05:00,1.468,1.49,1.468,1.4898,2370
2016-02-05 00:00:00-05:00,1.3901,1.44,1.3901,1.44,7457
2016-02-08 00:00:00-05:00,1.39,1.46,1.39,1.46,316
2016-02-09 00:00:00-05:00,1.42,1.45,1.3901,1.43,986
2016-02-10 00:00:00-05:00,1.4,1.5699,1.4,1.5699,13431
2016-02-11 00:00:00-05:00,1.4201,1.51,1.4201,1.51,1246
2016-02-12 00:00:00-05:00,1.5106,1.53,1.5106,1.5299,86
2016-02-16 00:00:00-05:00,1.39,1.44,1.39,1.4,6400
2016-02-17 00:00:00-05:00,1.41,1.5,1.41,1.5,122
2016-02-18 00:00:00-05:00,1.4121,1.47,1.39,1.42,8871
2016-02-19 00:00:00-05:00,1.4999,1.4999,1.43,1.43,2063
2016-02-22 00:00:00-05:00,1.41,1.5,1.25,1.28,23000
2016-02-23 00:00:00-05:00,1.34,1.5,1.3,1.3001,9322
2016-02-24 00:00:00-05:00,1.3198,1.3899,1.3,1.3401,6724
2016-02-25 00:00:00-05:00,1.4,1.4,1.25,1.26,4432
2016-02-26 00:00:00-05:00,1.295,1.3,1.2601,1.2701,2336
