date,1. open,2. high,3. low,4. close,5. volume
2015-12-21 00:00:00-05:00,5.34,5.34,4.69,4.73,20487
2015-12-22 00:00:00-05:00,4.71,5.01,4.6,4.73,7711
2015-12-23 00:00:00-05:00,4.6,4.71,4.325,4.66,25818
2015-12-24 00:00:00-05:00,4.4001,4.69,4.4001,4.4001,135
2015-12-28 00:00:00-05:00,4.6999,4.6999,4.4,4.45,2909
2015-12-29 00:00:00-05:00,4.49,4.49,4.16,4.2,12023
2015-12-30 00:00:00-05:00,4.19,4.29,4.14,4.14,1202
2015-12-31 00:00:00-05:00,4.21,4.48,4.08,4.48,4906
2016-01-04 00:00:00-05:00,4.28,4.28,3.99,4.24,1783
2016-01-05 00:00:00-05:00,4.02,4.26,4.02,4.26,4502
2016-01-06 00:00:00-05:00,4.59,4.59,3.98,4.06,6014
2016-01-07 00:00:00-05:00,3.99,4,3.75,3.98,5407
2016-01-08 00:00:00-05:00,4.41,4.41,3.7,3.8899,4563
2016-01-11 00:00:00-05:00,4.6,4.68,3.84,4.15,40445
2016-01-12 00:00:00-05:00,4.17,4.25,4.17,4.25,570
2016-01-13 00:00:00-05:00,4.65,4.65,4,4.22,1888
2016-01-14 00:00:00-05:00,4.34,4.34,4.01,4.24,2371
2016-01-15 00:00:00-05:00,4.42,4.42,4,4.23,1985
2016-01-19 00:00:00-05:00,4.23,4.42,4.06,4.25,9013
2016-01-20 00:00:00-05:00,4.26,4.56,3.82,4.05,9036
2016-01-21 00:00:00-05:00,3.95,4.22,3.38,3.76,27907
2016-01-22 00:00:00-05:00,3.9,4.08,3.63,4.08,8502
2016-01-25 00:00:00-05:00,3.95,4.13,3.5001,3.67,101393
2016-01-26 00:00:00-05:00,3.71,4.32,3.64,3.64,99552
2016-01-27 00:00:00-05:00,3.7,3.87,3.18,3.58,78881
2016-01-28 00:00:00-05:00,3.48,3.9,3.07,3.1,27385
2016-01-29 00:00:00-05:00,3.12,3.6799,2.6,3.175,73616
2016-02-01 00:00:00-05:00,3.06,3.38,2.45,3.09,3941
2016-02-02 00:00:00-05:00,3.3899,3.3899,2.6,2.86,3733
2016-02-03 00:00:00-05:00,2.89,3.28,2.54,2.55,32616
2016-02-04 00:00:00-05:00,2.71,3,2.51,2.56,6922
2016-02-05 00:00:00-05:00,3,3.04,2.7,2.73,4834
2016-02-08 00:00:00-05:00,2.75,2.75,2.42,2.565,2137
2016-02-09 00:00:00-05:00,2.42,2.52,2.25,2.25,8078
2016-02-10 00:00:00-05:00,2.2701,2.2701,2.27,2.27,496
2016-02-11 00:00:00-05:00,2.35,2.638,2.25,2.475,11409
2016-02-12 00:00:00-05:00,2.51,2.6508,2.32,2.35,8154
2016-02-16 00:00:00-05:00,2.37,2.38,2.07,2.23,20461
2016-02-17 00:00:00-05:00,2.31,2.39,2.02,2.3655,10053
2016-02-18 00:00:00-05:00,2.35,2.43,2.17,2.34,17748
2016-02-19 00:00:00-05:00,2.43,2.7,2.22,2.56,19685
2016-02-22 00:00:00-05:00,2.6,3,2.6,2.8801,21597
2016-02-23 00:00:00-05:00,2.98,3.07,2.88,3.07,12517
2016-02-24 00:00:00-05:00,3.05,3.1,2.97,2.97,14733
2016-02-25 00:00:00-05:00,2.98,2.99,2.67,2.68,15253
2016-02-26 00:00:00-05:00,2.73,3.09,2.68,3.09,9788
2016-02-29 00:00:00-05:00,3.08,3.086,2.76,2.95,6611
2016-03-01 00:00:00-05:00,3,3.09,2.865,2.99,8059
2016-03-02 00:00:00-05:00,3.02,3.05,2.68,2.69,10236
2016-03-03 00:00:00-05:00,2.9,3.04,2.8,2.8,15929
2016-03-04 00:00:00-05:00,2.91,2.98,2.7,2.82,2424
2016-03-07 00:00:00-05:00,2.83,3,2.83,2.98,3884
2016-03-08 00:00:00-05:00,3,3.05,2.8838,3.03,7213
2016-03-09 00:00:00-05:00,3.14,3.4,2.5,2.63,48506
2016-03-10 00:00:00-05:00,2.62,2.7999,2.35,2.515,20717
2016-03-11 00:00:00-05:00,2.54,2.64,2.12,2.2,63493
2016-03-14 00:00:00-04:00,2.24,2.65,2.11,2.59,82046
2016-03-15 00:00:00-04:00,2.59,2.89,2.5301,2.65,114634
2016-03-16 00:00:00-04:00,2.74,2.847,2.53,2.62,15205
2016-03-17 00:00:00-04:00,2.57,2.6699,2.55,2.61,7168
2016-03-18 00:00:00-04:00,2.57,3.1,2.57,2.74,25538
2016-03-21 00:00:00-04:00,2.66,3.145,2.56,3.06,28358
2016-03-22 00:00:00-04:00,3.26,3.4399,2.8843,3.42,92731
2016-03-23 00:00:00-04:00,3.42,3.42,2.92,2.92,50184
2016-03-24 00:00:00-04:00,2.87,3.14,2.6001,2.82,58201
2016-03-28 00:00:00-04:00,2.83,3.34,2.6601,2.9,57073
2016-03-29 00:00:00-04:00,2.9,2.96,2.7442,2.9,3426
2016-03-30 00:00:00-04:00,3,3,2.8101,2.92,3288
2016-03-31 00:00:00-04:00,2.9,3.15,2.7,2.94,17190
2016-04-01 00:00:00-04:00,2.822,3.01,2.8,2.89,11176
2016-04-04 00:00:00-04:00,3.14,3.14,2.89,3.115,9388
2016-04-05 00:00:00-04:00,2.9087,3.27,2.9087,3.27,30007
2016-04-06 00:00:00-04:00,3.3,3.43,3.0283,3.4,10732
2016-04-07 00:00:00-04:00,3.23,3.4,3.09,3.15,1787
2016-04-08 00:00:00-04:00,2.8001,3.26,2.75,3.01,23137
2016-04-11 00:00:00-04:00,2.92,3.04,2.7,2.71,7370
2016-04-12 00:00:00-04:00,2.8,2.94,2.8,2.85,3365
2016-04-13 00:00:00-04:00,2.82,2.96,2.81,2.92,1535
2016-04-14 00:00:00-04:00,2.84,2.95,2.65,2.79,9943
2016-04-15 00:00:00-04:00,2.72,2.92,2.72,2.81,4168
2016-04-18 00:00:00-04:00,2.81,2.83,2.64,2.64,682
2016-04-19 00:00:00-04:00,2.6101,2.75,2.58,2.6,2545
2016-04-20 00:00:00-04:00,2.7,2.81,2.56,2.81,5054
2016-04-21 00:00:00-04:00,2.74,3.03,2.56,2.92,11175
2016-04-22 00:00:00-04:00,2.94,3,2.825,2.99,4272
2016-04-25 00:00:00-04:00,2.95,3.01,2.7802,2.91,3960
2016-04-26 00:00:00-04:00,2.92,2.935,2.86,2.93,2410
2016-04-27 00:00:00-04:00,2.97,3.19,2.7372,3,12208
2016-04-28 00:00:00-04:00,2.97,3.04,2.7801,2.85,15700
2016-04-29 00:00:00-04:00,2.92,2.92,2.6401,2.73,2746
2016-05-02 00:00:00-04:00,2.82,2.93,2.7,2.8,5733
2016-05-03 00:00:00-04:00,2.7,3.09,2.58,2.58,16070
2016-05-04 00:00:00-04:00,2.73,2.9,2.6,2.73,11569
2016-05-05 00:00:00-04:00,2.75,2.79,2.6,2.69,16155
2016-05-06 00:00:00-04:00,2.6,2.87,2.487,2.51,19600
2016-05-09 00:00:00-04:00,2.54,2.61,2.38,2.4,24075
2016-05-10 00:00:00-04:00,2.35,2.48,2.32,2.325,12692
2016-05-11 00:00:00-04:00,2.3,2.59,2.3,2.41,6857
2016-05-12 00:00:00-04:00,2.49,2.67,2.3501,2.48,18058
2016-05-13 00:00:00-04:00,2.75,4.17,2.75,2.96,1231094
2016-05-16 00:00:00-04:00,2.96,3.1699,2.93,3.03,105573
2016-05-17 00:00:00-04:00,3.1,3.11,2.82,2.89,73965
2016-05-18 00:00:00-04:00,2.93,3.08,2.8001,3.01,44280
2016-05-19 00:00:00-04:00,3,3.08,2.9087,2.91,8929
2016-05-20 00:00:00-04:00,2.9,3.07,2.87,2.91,14306
2016-05-23 00:00:00-04:00,2.92,3.0499,2.82,2.91,11030
2016-05-24 00:00:00-04:00,3.03,3.0303,2.8201,2.9,11067
2016-05-25 00:00:00-04:00,3.06,3.06,2.8201,2.9,7241
2016-05-26 00:00:00-04:00,2.86,3.01,2.82,2.8899,4318
2016-05-27 00:00:00-04:00,2.8201,2.98,2.7,2.76,55780
2016-05-31 00:00:00-04:00,2.7,3.09,2.7,2.9,26179
2016-06-01 00:00:00-04:00,2.85,3.09,2.7701,3.05,18418
2016-06-02 00:00:00-04:00,3,3.05,2.9401,3,8202
2016-06-03 00:00:00-04:00,2.9,3.09,2.87,2.97,12032
2016-06-06 00:00:00-04:00,2.9,3.09,2.9,3.05,10065
2016-06-07 00:00:00-04:00,3.01,3.09,2.92,3,10590
2016-06-08 00:00:00-04:00,2.9711,3.07,2.9711,3.05,4685
2016-06-09 00:00:00-04:00,3.08,3.08,2.9358,3.06,1511
2016-06-10 00:00:00-04:00,2.974,3.0199,2.9,2.95,4994
2016-06-13 00:00:00-04:00,2.98,3.03,2.87,2.91,20566
2016-06-14 00:00:00-04:00,2.95,3.0499,2.8,2.8,21762
2016-06-15 00:00:00-04:00,2.87,2.87,2.7,2.79,3081
2016-06-16 00:00:00-04:00,2.75,2.8,2.72,2.79,6884
2016-06-17 00:00:00-04:00,2.8,2.8,2.7201,2.8,4698
2016-06-20 00:00:00-04:00,2.72,2.95,2.72,2.82,8060
2016-06-21 00:00:00-04:00,2.7201,2.8475,2.72,2.8475,1292
2016-06-22 00:00:00-04:00,2.74,2.81,2.74,2.74,168
2016-06-23 00:00:00-04:00,2.77,2.8399,2.6,2.61,18851
2016-06-24 00:00:00-04:00,2.6,2.7643,2.12,2.3296,82312
2016-06-27 00:00:00-04:00,2.22,2.44,2.07,2.35,51537
2016-06-28 00:00:00-04:00,2.36,2.57,2.33,2.41,22796
2016-06-29 00:00:00-04:00,2.54,2.72,2.4301,2.51,13589
2016-06-30 00:00:00-04:00,2.55,2.77,2.55,2.68,18339
2016-07-01 00:00:00-04:00,2.65,2.7975,2.4679,2.53,17476
2016-07-05 00:00:00-04:00,2.59,2.85,2.5101,2.72,9641
2016-07-06 00:00:00-04:00,2.71,2.8,2.64,2.79,19856
2016-07-07 00:00:00-04:00,2.8,2.8,2.3,2.73,62941
2016-07-08 00:00:00-04:00,2.7,2.75,2.64,2.71,28140
2016-07-11 00:00:00-04:00,2.7,2.74,2.65,2.65,14994
2016-07-12 00:00:00-04:00,2.66,2.75,2.6,2.62,41529
2016-07-13 00:00:00-04:00,2.57,2.7,2.34,2.6101,67188
2016-07-14 00:00:00-04:00,2.65,2.65,2.61,2.64,9065
2016-07-15 00:00:00-04:00,2.63,2.65,2.61,2.61,3197
2016-07-18 00:00:00-04:00,2.59,2.64,2.52,2.52,1558
2016-07-19 00:00:00-04:00,2.56,3.09,2.45,2.539,257847
2016-07-20 00:00:00-04:00,2.55,2.69,2.4,2.5301,102610
2016-07-21 00:00:00-04:00,2.54,2.61,2.38,2.38,14541
2016-07-22 00:00:00-04:00,2.46,2.61,2.3,2.44,20471
2016-07-25 00:00:00-04:00,2.47,2.55,2.41,2.45,3632
