date,1. open,2. high,3. low,4. close,5. volume
2017-03-27 00:00:00-04:00,9.7,9.7,9.7,9.7,400
2017-03-28 00:00:00-04:00,9.75,9.75,9.7,9.75,24900
2017-03-30 00:00:00-04:00,9.79,9.79,9.79,9.79,500
2017-03-31 00:00:00-04:00,11.75,11.75,9.83,9.85,1550
2017-04-05 00:00:00-04:00,9.85,9.85,9.85,9.85,300
2017-04-07 00:00:00-04:00,9.85,9.85,9.8,9.8,400
2017-04-18 00:00:00-04:00,9.85,9.95,9.85,9.95,25192
2017-04-20 00:00:00-04:00,9.8948,9.8948,9.8948,9.8948,200
2017-04-24 00:00:00-04:00,9.85,9.85,9.85,9.85,400
2017-04-25 00:00:00-04:00,9.85,9.85,9.83,9.85,30300
2017-04-27 00:00:00-04:00,9.84,9.84,9.84,9.84,100
2017-05-01 00:00:00-04:00,9.8,9.8,9.8,9.8,137475
2017-05-02 00:00:00-04:00,9.7267,9.7267,9.7267,9.7267,200
2017-05-05 00:00:00-04:00,9.77,9.77,9.77,9.77,200
2017-05-08 00:00:00-04:00,9.75,9.8,9.75,9.77,26945
2017-05-12 00:00:00-04:00,9.78,9.78,9.75,9.75,1200
2017-05-16 00:00:00-04:00,9.76,9.76,9.75,9.75,1000500
2017-05-30 00:00:00-04:00,9.76,9.8604,9.75,9.85,3700
2017-05-31 00:00:00-04:00,9.85,9.85,9.85,9.85,100
2017-06-01 00:00:00-04:00,9.86,9.86,9.85,9.85,800
2017-06-05 00:00:00-04:00,9.81,9.85,9.78,9.78,19950
2017-06-06 00:00:00-04:00,9.85,9.85,9.85,9.85,1400
2017-06-09 00:00:00-04:00,9.78,9.8,9.78,9.8,300
2017-06-13 00:00:00-04:00,9.78,9.8,9.78,9.8,1260
2017-06-15 00:00:00-04:00,9.81,9.81,9.8,9.8,260100
2017-06-19 00:00:00-04:00,9.8,9.8,9.8,9.8,10000
2017-06-20 00:00:00-04:00,9.85,9.85,9.8,9.82,151740
2017-06-21 00:00:00-04:00,9.85,9.85,9.81,9.81,12167
2017-06-22 00:00:00-04:00,9.83,9.83,9.82,9.82,10100
2017-06-23 00:00:00-04:00,9.81,9.81,9.8,9.8,69700
2017-06-26 00:00:00-04:00,9.81,9.81,9.8,9.8,54800
2017-06-27 00:00:00-04:00,9.8,9.8,9.8,9.8,110000
2017-06-28 00:00:00-04:00,9.8,9.8,9.8,9.8,50000
2017-06-29 00:00:00-04:00,9.79,9.79,9.79,9.79,400
2017-06-30 00:00:00-04:00,9.79,9.8,9.78,9.7999,16400
2017-07-03 00:00:00-04:00,9.79,9.79,9.78,9.78,15700
2017-07-05 00:00:00-04:00,9.8149,9.8149,9.7951,9.7951,400
2017-07-07 00:00:00-04:00,9.82,9.84,9.79,9.79,5100
2017-07-12 00:00:00-04:00,9.78,9.8,9.77,9.77,9900
2017-07-13 00:00:00-04:00,9.78,9.78,9.78,9.78,37900
2017-07-14 00:00:00-04:00,9.78,9.83,9.75,9.83,120100
2017-07-18 00:00:00-04:00,9.84,9.84,9.78,9.78,600
2017-07-19 00:00:00-04:00,9.8,9.81,9.8,9.8,10900
2017-07-21 00:00:00-04:00,9.78,9.78,9.78,9.78,100
2017-07-26 00:00:00-04:00,9.8,9.8,9.78,9.78,15000
2017-07-27 00:00:00-04:00,9.7501,9.78,9.75,9.78,1300
2017-07-28 00:00:00-04:00,9.78,9.78,9.78,9.78,500
2017-07-31 00:00:00-04:00,9.79,9.79,9.79,9.79,200
2017-08-01 00:00:00-04:00,9.78,9.78,9.78,9.78,1100
2017-08-02 00:00:00-04:00,9.77,9.77,9.77,9.77,1000
2017-08-03 00:00:00-04:00,9.76,9.76,9.76,9.76,1000
2017-08-04 00:00:00-04:00,9.75,9.7686,9.75,9.7686,1200
2017-08-08 00:00:00-04:00,9.76,9.76,9.76,9.76,1000
2017-08-09 00:00:00-04:00,9.75,9.76,9.75,9.7589,4600
2017-08-10 00:00:00-04:00,9.76,9.8,9.75,9.8,1400
2017-08-11 00:00:00-04:00,9.77,9.82,9.75,9.82,15600
2017-08-15 00:00:00-04:00,9.79,9.8,9.79,9.8,1300
2017-08-16 00:00:00-04:00,9.77,9.77,9.72,9.72,11300
2017-08-24 00:00:00-04:00,9.76,9.76,9.76,9.76,100
2017-08-25 00:00:00-04:00,9.85,9.85,9.83,9.83,2100
2017-08-31 00:00:00-04:00,9.7801,9.7801,9.78,9.78,1000
