date,1. open,2. high,3. low,4. close,5. volume
2015-12-22 00:00:00-05:00,6.89,7.05,6.83,6.95,903864
2015-12-23 00:00:00-05:00,6.97,7.11,6.9016,6.94,605258
2015-12-24 00:00:00-05:00,6.9,7.14,6.85,7.06,417968
2015-12-28 00:00:00-05:00,7,7.13,6.95,7.04,620679
2015-12-29 00:00:00-05:00,7.08,7.16,6.98,7.07,899017
2015-12-30 00:00:00-05:00,7.04,7.15,6.99,7.01,630485
2015-12-31 00:00:00-05:00,6.96,7.02,6.69,6.72,939190
2016-01-04 00:00:00-05:00,6.48,6.55,6.25,6.39,972205
2016-01-05 00:00:00-05:00,6.46,6.56,6.3,6.31,644701
2016-01-06 00:00:00-05:00,6.23,6.4,6.03,6.12,967643
2016-01-07 00:00:00-05:00,5.99,6.0055,5.75,5.75,1226662
2016-01-08 00:00:00-05:00,5.9,5.92,5.695,5.76,965992
2016-01-11 00:00:00-05:00,5.78,5.83,5.21,5.35,1625175
2016-01-12 00:00:00-05:00,5.4,5.81,5.33,5.55,1341271
2016-01-13 00:00:00-05:00,5.58,5.67,5.13,5.18,1015708
2016-01-14 00:00:00-05:00,5.17,5.27,4.79,5.17,1237270
2016-01-15 00:00:00-05:00,4.91,5.23,4.84,5.215,1313257
2016-01-19 00:00:00-05:00,5.27,5.35,4.825,4.92,1027982
2016-01-20 00:00:00-05:00,4.8,5.09,4.5,4.99,1537553
2016-01-21 00:00:00-05:00,4.96,5.26,4.82,5.06,863266
2016-01-22 00:00:00-05:00,5.16,5.41,4.995,5.07,1360033
2016-01-25 00:00:00-05:00,5.05,5.37,5.02,5.145,929564
2016-01-26 00:00:00-05:00,5.19,5.27,4.94,5.25,883946
2016-01-27 00:00:00-05:00,5.25,5.75,5.25,5.38,2756989
2016-01-28 00:00:00-05:00,6,6.32,5.52,5.78,6845078
2016-01-29 00:00:00-05:00,6.29,6.7,6.15,6.69,7506828
2016-02-01 00:00:00-05:00,7.15,7.2,6.51,6.7372,8535373
2016-02-02 00:00:00-05:00,6.5,6.63,6.05,6.5,4725175
2016-02-03 00:00:00-05:00,6.55,6.57,5.86,6.035,3293756
2016-02-04 00:00:00-05:00,6.06,6.38,5.96,6.25,2332024
2016-02-05 00:00:00-05:00,6.18,6.27,5.96,6.02,1676189
2016-02-08 00:00:00-05:00,5.99,6.07,5.75,5.99,2066839
2016-02-09 00:00:00-05:00,5.86,6.14,5.7042,5.83,1533397
2016-02-10 00:00:00-05:00,5.9,6.05,5.72,5.77,1242891
2016-02-11 00:00:00-05:00,6.11,6.361,5.86,6.18,3372721
2016-02-12 00:00:00-05:00,6.22,6.32,6.0285,6.265,1447997
2016-02-16 00:00:00-05:00,6.35,6.61,6.28,6.565,1368631
2016-02-17 00:00:00-05:00,7,7.1,6.75,6.92,2620939
2016-02-18 00:00:00-05:00,6.94,6.95,6.41,6.46,1444713
2016-02-19 00:00:00-05:00,6.58,6.62,6.27,6.45,1372123
2016-02-22 00:00:00-05:00,6.58,6.73,6.44,6.68,841704
2016-02-23 00:00:00-05:00,6.65,6.7,6.44,6.44,725121
2016-02-24 00:00:00-05:00,6.35,6.48,6.14,6.45,947535
2016-02-25 00:00:00-05:00,6.5,6.5685,6.315,6.48,525541
2016-02-26 00:00:00-05:00,6.5,6.56,6.36,6.51,723623
2016-02-29 00:00:00-05:00,6.5,6.53,6.29,6.31,706773
2016-03-01 00:00:00-05:00,6.31,6.58,6.21,6.57,866786
2016-03-02 00:00:00-05:00,6.58,7.01,6.48,6.98,2021257
2016-03-03 00:00:00-05:00,7.12,7.2,6.9301,7.03,2075092
2016-03-04 00:00:00-05:00,7.08,7.31,6.85,6.99,1648538
2016-03-07 00:00:00-05:00,7.02,7.55,7.0004,7.475,1842659
2016-03-08 00:00:00-05:00,7.6,7.65,6.86,6.9,2681995
2016-03-09 00:00:00-05:00,7.07,7.12,6.76,7.02,1394884
2016-03-10 00:00:00-05:00,7.03,7.13,6.6099,6.71,1307768
2016-03-11 00:00:00-05:00,6.92,6.92,6.62,6.86,914539
2016-03-14 00:00:00-04:00,6.5,6.84,6.25,6.69,1840427
2016-03-15 00:00:00-04:00,6.53,6.7,6.42,6.55,868144
2016-03-16 00:00:00-04:00,6.49,6.78,6.49,6.59,882205
2016-03-17 00:00:00-04:00,6.61,7.0948,6.4575,6.96,1294646
2016-03-18 00:00:00-04:00,7.05,7.2,6.94,7.12,1236210
2016-03-21 00:00:00-04:00,7.08,7.29,6.94,7.25,1083259
2016-03-22 00:00:00-04:00,7.53,7.95,7.4115,7.85,3544612
2016-03-23 00:00:00-04:00,7.8,7.85,7.6,7.625,1855888
2016-03-24 00:00:00-04:00,7.62,7.9,7.41,7.9,1216505
2016-03-28 00:00:00-04:00,7.96,8.17,7.81,8.01,1482444
2016-03-29 00:00:00-04:00,7.94,8.15,7.66,8.15,1406864
2016-03-30 00:00:00-04:00,8.19,8.79,8.19,8.63,2969873
2016-03-31 00:00:00-04:00,8.78,9.1,8.65,8.705,2000378
2016-04-01 00:00:00-04:00,8.72,9.35,8.6,9.24,2353093
2016-04-04 00:00:00-04:00,9.5,9.899,9.46,9.66,2744849
2016-04-05 00:00:00-04:00,9.51,9.6,8.81,8.88,2526251
2016-04-06 00:00:00-04:00,8.93,9.49,8.91,9.475,1795599
2016-04-07 00:00:00-04:00,9.39,9.66,9.19,9.335,1312023
2016-04-08 00:00:00-04:00,9.44,9.4726,8.87,9.2,1203058
2016-04-11 00:00:00-04:00,9.43,9.44,9.01,9.04,1223108
2016-04-12 00:00:00-04:00,9.12,9.34,8.76,9.3,1637569
2016-04-13 00:00:00-04:00,9.33,9.45,9.08,9.28,1350578
2016-04-14 00:00:00-04:00,9.28,9.7,9.12,9.52,1754754
2016-04-15 00:00:00-04:00,9.65,9.65,9.329,9.485,983669
2016-04-18 00:00:00-04:00,9.45,10.16,9.35,10.055,1907253
2016-04-19 00:00:00-04:00,10.05,10.34,9.95,10,1668061
2016-04-20 00:00:00-04:00,9.92,10.15,9.71,9.725,1361174
2016-04-21 00:00:00-04:00,9.76,10.247,9.7,10.18,1428359
2016-04-22 00:00:00-04:00,10.21,10.44,10.04,10.325,1336946
2016-04-25 00:00:00-04:00,10.25,10.65,10.2,10.5,1325112
2016-04-26 00:00:00-04:00,10.5,10.65,10.38,10.46,1054213
2016-04-27 00:00:00-04:00,10.55,11.14,10.44,10.92,1608022
2016-04-28 00:00:00-04:00,11,11.69,10.9,11.19,2029323
2016-04-29 00:00:00-04:00,11.28,11.5,10.2,10.47,2909336
2016-05-02 00:00:00-04:00,10.62,10.9,10.36,10.88,1223515
2016-05-03 00:00:00-04:00,10.75,10.9,10.36,10.36,1185961
2016-05-04 00:00:00-04:00,10.33,10.49,9.36,9.39,2537868
2016-05-05 00:00:00-04:00,9.55,9.63,8.8,9.07,2284551
2016-05-06 00:00:00-04:00,8.89,9.14,8.63,8.97,1099323
2016-05-09 00:00:00-04:00,9.73,9.99,9.37,9.515,2061136
2016-05-10 00:00:00-04:00,9.75,9.78,9.1501,9.38,981411
2016-05-11 00:00:00-04:00,9.41,9.78,9.24,9.49,947317
2016-05-12 00:00:00-04:00,9.41,9.63,9.13,9.4,1211528
2016-05-13 00:00:00-04:00,9.36,9.6001,9.25,9.34,849613
2016-05-16 00:00:00-04:00,9.7,10.195,9.65,9.92,1393958
2016-05-17 00:00:00-04:00,9.91,10.29,9.75,10.065,1039290
2016-05-18 00:00:00-04:00,10.22,10.6,10.08,10.32,1590385
2016-05-19 00:00:00-04:00,10.34,10.4,9.98,10.1,886009
2016-05-20 00:00:00-04:00,10.12,10.59,10,10.45,1530421
2016-05-23 00:00:00-04:00,10.79,11.14,10.62,10.82,2047194
2016-05-24 00:00:00-04:00,11.18,11.18,10.83,11.13,1867488
2016-05-25 00:00:00-04:00,11.2,11.5,11.08,11.16,1749237
2016-05-26 00:00:00-04:00,11.24,11.26,10.66,10.69,1204291
2016-05-27 00:00:00-04:00,10.65,10.6895,10.03,10.61,1559057
2016-05-31 00:00:00-04:00,10.67,11.345,10.67,11.32,2059511
2016-06-01 00:00:00-04:00,11.13,11.59,11.13,11.24,1700486
2016-06-02 00:00:00-04:00,11.29,11.49,11.2,11.39,1045151
2016-06-03 00:00:00-04:00,11.35,11.49,11,11.1,1377697
2016-06-06 00:00:00-04:00,11.12,11.33,10.95,11.33,943401
2016-06-07 00:00:00-04:00,11.29,11.318,11.08,11.09,795761
2016-06-08 00:00:00-04:00,11.05,11.27,11.01,11.23,1038893
2016-06-09 00:00:00-04:00,11.14,11.547,11,11.02,1489268
2016-06-10 00:00:00-04:00,10.97,11,10.25,10.62,1551156
2016-06-13 00:00:00-04:00,10.52,10.76,10.17,10.2,1136723
2016-06-14 00:00:00-04:00,10.15,10.45,9.95,10.26,907096
2016-06-15 00:00:00-04:00,10.35,10.84,10.31,10.69,1169296
2016-06-16 00:00:00-04:00,10.59,10.75,10.35,10.74,874449
2016-06-17 00:00:00-04:00,10.8,10.87,10.45,10.48,1169344
2016-06-20 00:00:00-04:00,10.8,11.25,10.65,11.1911,2678034
2016-06-21 00:00:00-04:00,11.48,11.615,11.25,11.26,3407921
2016-06-22 00:00:00-04:00,10.93,11,10.133,10.19,3146213
2016-06-23 00:00:00-04:00,10.26,10.36,9.545,9.845,3020493
2016-06-24 00:00:00-04:00,9.11,9.49,9.03,9.16,2135009
2016-06-27 00:00:00-04:00,9.03,9.05,8.245,8.2801,2692635
2016-06-28 00:00:00-04:00,8.45,9.267,8.45,9.2,1899640
2016-06-29 00:00:00-04:00,9.59,9.6,9.0399,9.43,2036633
2016-06-30 00:00:00-04:00,9.54,9.54,9.12,9.24,1106511
2016-07-01 00:00:00-04:00,9.16,9.37,9.16,9.35,1055618
