date,1. open,2. high,3. low,4. close,5. volume
2015-12-22 00:00:00-05:00,1.73,1.74,1.67,1.7,316684
2015-12-23 00:00:00-05:00,1.7,1.75,1.6866,1.74,570643
2015-12-24 00:00:00-05:00,1.74,1.8,1.68,1.69,123633
2015-12-28 00:00:00-05:00,1.69,1.76,1.68,1.69,153217
2015-12-29 00:00:00-05:00,1.69,1.715,1.66,1.67,281581
2015-12-30 00:00:00-05:00,1.7,1.7,1.67,1.67,266330
2015-12-31 00:00:00-05:00,1.67,1.7,1.65,1.675,261509
2016-01-04 00:00:00-05:00,1.67,1.675,1.59,1.66,233672
2016-01-05 00:00:00-05:00,1.66,1.73,1.62,1.73,223876
2016-01-06 00:00:00-05:00,1.74,1.74,1.67,1.72,325664
2016-01-07 00:00:00-05:00,1.73,1.74,1.62,1.63,554985
2016-01-08 00:00:00-05:00,1.63,1.67,1.41,1.53,510460
2016-01-11 00:00:00-05:00,1.59,1.64,1.4401,1.51,182274
2016-01-12 00:00:00-05:00,1.54,1.58,1.41,1.49,427545
2016-01-13 00:00:00-05:00,1.52,1.52,1.415,1.44,167957
2016-01-14 00:00:00-05:00,1.43,1.45,0.99,1.22,2093938
2016-01-15 00:00:00-05:00,1.17,1.21,1.12,1.2,360340
2016-01-19 00:00:00-05:00,1.24,1.3,1.12,1.16,389733
2016-01-20 00:00:00-05:00,1.14,1.14,0.97,0.99,1791950
2016-01-21 00:00:00-05:00,1.02,1.07,0.98,1,630365
2016-01-22 00:00:00-05:00,1.02,1.11,0.9897,1.1,394146
2016-01-25 00:00:00-05:00,1.09,1.14,1.01,1.04,225133
2016-01-26 00:00:00-05:00,1.04,1.1,1.025,1.06,153199
2016-01-27 00:00:00-05:00,1.03,1.105,0.98,0.99,314299
2016-01-28 00:00:00-05:00,1,1.0261,0.84,0.94,518706
2016-01-29 00:00:00-05:00,0.95,1.08,0.95,1.08,181881
2016-02-01 00:00:00-05:00,1.07,1.07,0.98,0.9817,171018
2016-02-02 00:00:00-05:00,0.98,1.01,0.95,1.01,162375
2016-02-03 00:00:00-05:00,1.01,1.07,0.9646,1.01,262309
2016-02-04 00:00:00-05:00,1.01,1.07,0.9973,1.05,159421
2016-02-05 00:00:00-05:00,1.06,1.06,0.9999,1.02,185312
2016-02-08 00:00:00-05:00,1.01,1.055,0.95,0.9918,135590
2016-02-09 00:00:00-05:00,0.96,1.04,0.9502,1.02,126785
2016-02-10 00:00:00-05:00,1.01,1.13,1.01,1.02,247012
2016-02-11 00:00:00-05:00,1.02,1.06,0.98,1.05,174242
2016-02-12 00:00:00-05:00,1.04,1.15,1.01,1.13,201013
2016-02-16 00:00:00-05:00,1.15,1.24,1.14,1.22,275789
2016-02-17 00:00:00-05:00,1.24,1.4,1.24,1.39,256950
2016-02-18 00:00:00-05:00,1.38,1.44,1.28,1.32,418415
2016-02-19 00:00:00-05:00,1.33,1.575,1.32,1.36,588159
2016-02-22 00:00:00-05:00,1.41,1.45,1.31,1.39,251582
2016-02-23 00:00:00-05:00,1.38,1.41,1.31,1.35,122765
2016-02-24 00:00:00-05:00,1.34,1.56,1.32,1.5,235864
2016-02-25 00:00:00-05:00,1.54,1.7,1.53,1.64,417120
2016-02-26 00:00:00-05:00,1.63,1.7,1.56,1.65,298158
2016-02-29 00:00:00-05:00,1.66,1.7,1.56,1.63,170110
2016-03-01 00:00:00-05:00,1.64,1.65,1.57,1.61,243241
2016-03-02 00:00:00-05:00,1.61,1.66,1.56,1.64,304809
2016-03-03 00:00:00-05:00,1.64,1.67,1.58,1.65,333433
2016-03-04 00:00:00-05:00,1.65,1.75,1.61,1.69,413035
2016-03-07 00:00:00-05:00,1.71,1.73,1.67,1.69,585296
2016-03-08 00:00:00-05:00,1.7,1.7,1.63,1.67,132489
2016-03-09 00:00:00-05:00,1.67,1.7,1.59,1.6,135054
2016-03-10 00:00:00-05:00,1.59,1.672,1.5,1.53,96188
2016-03-11 00:00:00-05:00,1.53,1.566,1.5,1.54,71518
2016-03-14 00:00:00-04:00,1.53,1.68,1.5201,1.67,99819
2016-03-15 00:00:00-04:00,1.63,1.63,1.54,1.57,129465
