date,1. open,2. high,3. low,4. close,5. volume
2015-11-17 00:00:00-05:00,5.2,5.519,4.244,5.28,7080
2015-11-18 00:00:00-05:00,5.199,6,5.152,5.36,1650
2015-11-19 00:00:00-05:00,5.2,6.16,4.81,5.245,4217
2015-11-20 00:00:00-05:00,5.04,5.2,4.72,5.2,4814
2015-11-23 00:00:00-05:00,4.768,5.2,4.561,4.8,5193
2015-11-24 00:00:00-05:00,5.119,5.119,4.641,4.72,732
2015-11-25 00:00:00-05:00,4.8,4.96,4.48,4.96,5271
2015-11-27 00:00:00-05:00,5.12,5.12,4.75,4.854,331
2015-11-30 00:00:00-05:00,5.12,5.12,4.584,4.797,7474
2015-12-01 00:00:00-05:00,4.95,4.95,4.483,4.753,1434
2015-12-02 00:00:00-05:00,4.56,4.8,4.402,4.56,5174
2015-12-03 00:00:00-05:00,4.64,4.8,4.399,4.553,7806
2015-12-04 00:00:00-05:00,5.119,8,5.043,5.584,68437
2015-12-07 00:00:00-05:00,5.919,5.919,4.881,4.882,14089
2015-12-08 00:00:00-05:00,4.816,5.6,4.56,4.998,4564
2015-12-09 00:00:00-05:00,4.998,5.04,4.496,4.562,1783
2015-12-10 00:00:00-05:00,4.408,5.36,4.408,4.665,3101
2015-12-11 00:00:00-05:00,4.56,5.073,4.48,4.481,6104
2015-12-14 00:00:00-05:00,4.566,4.8,4.408,4.655,7072
2015-12-15 00:00:00-05:00,4.8,4.8,4.408,4.408,4983
2015-12-16 00:00:00-05:00,4.408,4.8,4.408,4.77,2825
2015-12-17 00:00:00-05:00,4.8,4.8,4.081,4.64,1949
2015-12-18 00:00:00-05:00,4.4,4.639,4.001,4.312,7197
2015-12-21 00:00:00-05:00,4.006,4.4,4.001,4.236,2433
2015-12-22 00:00:00-05:00,4.496,4.72,4.161,4.72,762
2015-12-23 00:00:00-05:00,4.72,4.72,4.08,4.16,7034
2015-12-24 00:00:00-05:00,4.16,4.398,4.032,4.266,2495
2015-12-28 00:00:00-05:00,4.399,4.42,4.032,4.08,3356
2015-12-29 00:00:00-05:00,4.033,4.32,3.68,4.32,17489
2015-12-30 00:00:00-05:00,4.08,4.4,3.52,4.001,10732
2015-12-31 00:00:00-05:00,4.08,4.4,4,4.4,1091
2016-01-04 00:00:00-05:00,4,4,3.6,4,2146
2016-01-05 00:00:00-05:00,3.92,3.999,3.6,3.92,985
2016-01-06 00:00:00-05:00,3.92,4,3.496,3.519,6703
2016-01-07 00:00:00-05:00,3.671,3.92,3.361,3.84,3328
2016-01-08 00:00:00-05:00,3.92,3.92,3.144,3.28,4337
2016-01-11 00:00:00-05:00,3.44,3.515,3.28,3.28,3142
2016-01-12 00:00:00-05:00,3.36,3.84,3.2,3.28,1194
2016-01-13 00:00:00-05:00,3.36,3.594,2.897,3.28,2885
2016-01-14 00:00:00-05:00,3.36,3.664,3.137,3.28,89
2016-01-15 00:00:00-05:00,3.278,3.68,2.787,3.04,309
2016-01-19 00:00:00-05:00,3.6,3.6,3.04,3.26,1101
2016-01-20 00:00:00-05:00,3.384,3.52,3.04,3.12,625
2016-01-21 00:00:00-05:00,3.44,3.679,3.28,3.679,128
2016-01-22 00:00:00-05:00,3.36,3.598,2.72,3.12,1990
2016-01-25 00:00:00-05:00,3.276,3.68,3.276,3.625,1989
2016-01-26 00:00:00-05:00,3.68,3.68,3.04,3.192,1271
2016-01-27 00:00:00-05:00,2.96,3.52,2.96,3.519,212
2016-01-28 00:00:00-05:00,3.519,3.57,3.2,3.44,22
2016-01-29 00:00:00-05:00,3.439,3.44,3.2,3.32,331
2016-02-01 00:00:00-05:00,3.6,3.6,2.641,3.137,1701
2016-02-02 00:00:00-05:00,3.439,3.52,3.281,3.52,118
2016-02-03 00:00:00-05:00,3.12,3.439,3.12,3.344,192
2016-02-04 00:00:00-05:00,3.152,3.28,2.8,2.941,528
2016-02-05 00:00:00-05:00,2.941,3.218,2.769,3.02,468
2016-02-08 00:00:00-05:00,2.769,3.039,2.449,3.039,427
2016-02-09 00:00:00-05:00,2.72,2.742,2.496,2.64,1325
2016-02-10 00:00:00-05:00,2.72,3.2,2,2.48,3575
2016-02-11 00:00:00-05:00,2.408,2.408,1.559,2.24,1484
2016-02-12 00:00:00-05:00,2.338,2.338,2.267,2.267,66
2016-02-16 00:00:00-05:00,2.267,2.339,2.056,2.16,635
2016-02-17 00:00:00-05:00,2.339,2.881,2.32,2.48,220
2016-02-18 00:00:00-05:00,2.32,3.2,1.761,2.4,8894
2016-02-19 00:00:00-05:00,2.96,3.032,1.84,2.24,4950
2016-02-22 00:00:00-05:00,2.6,2.6,2.2,2.559,90
2016-02-23 00:00:00-05:00,2,2.26,2,2.26,19
2016-02-24 00:00:00-05:00,1.92,2.64,1.92,2.544,1674
2016-02-25 00:00:00-05:00,2.64,2.919,2.4,2.4,542
2016-02-26 00:00:00-05:00,2.408,2.8,2.241,2.321,260
2016-02-29 00:00:00-05:00,2.632,2.639,2.009,2.559,112
2016-03-01 00:00:00-05:00,2.632,2.896,2,2.632,6411
2016-03-02 00:00:00-05:00,2.321,3.6,2.321,3.593,3443
2016-03-03 00:00:00-05:00,4.4,6.72,3.772,4.448,18011
2016-03-04 00:00:00-05:00,3.76,5.44,2.96,3.602,5189
2016-03-07 00:00:00-05:00,3.696,4.48,3.633,4,4176
2016-03-08 00:00:00-05:00,4.8,6.4,4.321,4.702,6544
2016-03-09 00:00:00-05:00,6,6,4.161,4.88,1729
2016-03-10 00:00:00-05:00,4.96,4.96,3.6,4.52,2602
2016-03-11 00:00:00-05:00,4.554,5.12,3.896,4.117,8297
2016-03-14 00:00:00-04:00,4.322,4.323,3.681,4.08,950
2016-03-15 00:00:00-04:00,4.08,4.08,3.68,3.76,706
2016-03-16 00:00:00-04:00,4.56,4.56,3.6,3.68,5585
2016-03-17 00:00:00-04:00,4.72,4.72,3.864,4.319,2348
2016-03-18 00:00:00-04:00,4.16,5.039,3.92,4.08,1764
2016-03-21 00:00:00-04:00,4.24,4.24,3.905,4,416
2016-03-22 00:00:00-04:00,4.08,4.08,3.706,3.76,1359
2016-03-23 00:00:00-04:00,3.6,4.08,3.52,3.638,3129
2016-03-24 00:00:00-04:00,4.08,4.08,3.201,3.678,4061
2016-03-28 00:00:00-04:00,3.679,3.679,2.321,2.992,18238
2016-03-29 00:00:00-04:00,2.96,3.08,2.841,2.961,723
2016-03-30 00:00:00-04:00,2.56,4,2.48,3.288,7004
2016-03-31 00:00:00-04:00,3.452,4,2.512,2.8,16189
2016-04-01 00:00:00-04:00,2.944,3.6,2.944,3.44,2525
2016-04-04 00:00:00-04:00,3.612,3.896,3.612,3.666,876
2016-04-05 00:00:00-04:00,3.2,4,3.12,3.36,10444
2016-04-06 00:00:00-04:00,3.36,3.624,3.12,3.36,3490
2016-04-07 00:00:00-04:00,3.44,3.806,3.2,3.2,5509
2016-04-08 00:00:00-04:00,3.6,3.6,3.12,3.12,1910
2016-04-11 00:00:00-04:00,3.28,3.52,3.2,3.36,37
2016-04-12 00:00:00-04:00,3.28,3.84,3.12,3.36,4299
2016-04-13 00:00:00-04:00,3.512,3.6,3.2,3.6,345
2016-04-14 00:00:00-04:00,3.28,3.6,3.2,3.28,322
2016-04-15 00:00:00-04:00,3.36,3.6,3.36,3.44,896
2016-04-18 00:00:00-04:00,3.6,3.84,3.52,3.52,161
2016-04-19 00:00:00-04:00,3.6,3.84,3.52,3.68,3492
2016-04-20 00:00:00-04:00,3.76,4.116,3.521,4,11030
2016-04-21 00:00:00-04:00,4.32,4.32,3.68,3.681,284
2016-04-22 00:00:00-04:00,4,4.163,3.92,4,280
2016-04-25 00:00:00-04:00,4,4.239,3.84,4.224,63
2016-04-26 00:00:00-04:00,4.112,4.24,3.84,4.24,29
