date,1. open,2. high,3. low,4. close,5. volume
2015-12-21 00:00:00-05:00,77.86,78.15,76.88,77.5,194954
2015-12-22 00:00:00-05:00,77.66,77.84,76.79,77.76,250066
2015-12-23 00:00:00-05:00,78.18,78.48,77.69,77.92,211105
2015-12-24 00:00:00-05:00,78.07,78.37,77.6101,78.14,154605
2015-12-28 00:00:00-05:00,77.81,78.44,77.68,78.44,463664
2015-12-29 00:00:00-05:00,78.62,79.44,78.47,79.25,228502
2015-12-30 00:00:00-05:00,79.32,79.64,78.9101,78.98,152858
2015-12-31 00:00:00-05:00,78.77,79.09,78.03,78.06,255962
2016-01-04 00:00:00-05:00,76.82,76.83,76.08,76.54,338265
2016-01-05 00:00:00-05:00,76.57,77.83,76.455,77.68,296869
2016-01-06 00:00:00-05:00,76.92,78.01,76.82,77.71,364441
2016-01-07 00:00:00-05:00,76.58,77.26,76,76.88,423273
2016-01-08 00:00:00-05:00,77.07,77.283,76.34,76.45,564872
2016-01-11 00:00:00-05:00,76.94,77.18,76.35,76.73,569340
2016-01-12 00:00:00-05:00,77.12,78.08,76.8,77.9,470944
2016-01-13 00:00:00-05:00,78.05,78.34,75.64,75.78,714949
2016-01-14 00:00:00-05:00,75.94,77.45,75.56,77.12,592252
2016-01-15 00:00:00-05:00,75.64,77.88,74.03,74.53,558117
2016-01-19 00:00:00-05:00,75.37,76.025,74.56,75.61,401670
2016-01-20 00:00:00-05:00,74.68,75.56,73.1801,75.14,524735
2016-01-21 00:00:00-05:00,75.28,77,74.92,76.57,747298
2016-01-22 00:00:00-05:00,77.51,78.74,76.9925,78.32,750187
2016-01-25 00:00:00-05:00,77.88,78.29,77.17,77.38,383941
2016-01-26 00:00:00-05:00,77.51,78.19,76.03,77.98,322598
2016-01-27 00:00:00-05:00,77.87,78.8,75.0001,77.92,359562
2016-01-28 00:00:00-05:00,78.81,78.96,77.525,78.15,327668
2016-01-29 00:00:00-05:00,78.57,81.28,78.39,81.21,537451
2016-02-01 00:00:00-05:00,81.22,82.16,80.85,81.33,368801
2016-02-02 00:00:00-05:00,80.88,81.54,80.32,80.73,479482
2016-02-03 00:00:00-05:00,80.79,82.89,78.62,79.88,778161
2016-02-04 00:00:00-05:00,79.44,79.8,76.07,79.74,426738
2016-02-05 00:00:00-05:00,79.75,79.89,78.02,78.61,494116
2016-02-08 00:00:00-05:00,77.98,78.175,76.09,76.57,536555
2016-02-09 00:00:00-05:00,75.61,77.11,75,76.6,481301
2016-02-10 00:00:00-05:00,77.04,78.25,76.6801,77.29,365489
2016-02-11 00:00:00-05:00,76.06,77.45,75.87,77,291676
2016-02-12 00:00:00-05:00,77.5,79.44,77.05,79.29,404098
2016-02-16 00:00:00-05:00,80.54,81.32,80.54,80.9601,720419
2016-02-17 00:00:00-05:00,81.23,81.7,79.58,80.02,364205
2016-02-18 00:00:00-05:00,80.45,82.13,80.04,82.11,516229
2016-02-19 00:00:00-05:00,82.01,83.29,81.79,83.05,314182
2016-02-22 00:00:00-05:00,83.68,84.7,83.62,84.3,544009
2016-02-23 00:00:00-05:00,84.13,84.66,83.54,83.56,659040
2016-02-24 00:00:00-05:00,83.18,84.15,82.375,83.87,283308
2016-02-25 00:00:00-05:00,83.99,84.42,83.3,84.41,218273
2016-02-26 00:00:00-05:00,84.75,85.03,82.8,83.24,787679
2016-02-29 00:00:00-05:00,83.17,83.75,82.14,82.23,380731
2016-03-01 00:00:00-05:00,82.63,83.04,81.83,82.81,519181
2016-03-02 00:00:00-05:00,82.82,82.83,81.28,82.14,323194
2016-03-03 00:00:00-05:00,81.92,82.3,81.49,82.13,309409
2016-03-04 00:00:00-05:00,82.08,82.43,81.01,82.26,269930
2016-03-07 00:00:00-05:00,81.79,82.17,81.39,81.91,214373
2016-03-08 00:00:00-05:00,81.435,81.82,80.9,80.99,280666
2016-03-09 00:00:00-05:00,81.31,81.59,80.83,81.01,436303
2016-03-10 00:00:00-05:00,81.2,82.14,80.71,81.11,737382
2016-03-11 00:00:00-05:00,81.14,82.1999,80.941,81.4,208066
2016-03-14 00:00:00-04:00,80.95,81.4045,80.66,81.24,509332
2016-03-15 00:00:00-04:00,80.87,82.0904,80.5301,81.2,266750
2016-03-16 00:00:00-04:00,80.96,82.23,80.8525,82.08,209831
2016-03-17 00:00:00-04:00,81.84,83.26,81.79,82.86,237957
2016-03-18 00:00:00-04:00,82.48,82.99,81.82,82.82,352856
2016-03-21 00:00:00-04:00,82.69,83.22,82.3,82.77,163571
2016-03-22 00:00:00-04:00,82.55,83.1999,82.301,82.92,207037
2016-03-23 00:00:00-04:00,82.94,83.34,82.56,82.96,238298
2016-03-24 00:00:00-04:00,82.58,83.13,82.42,82.99,146193
2016-03-28 00:00:00-04:00,82.9,83.4699,82.72,83.02,175399
2016-03-29 00:00:00-04:00,82.66,84.56,82.58,84.49,225168
2016-03-30 00:00:00-04:00,84.62,86.23,84.62,85.95,375452
2016-03-31 00:00:00-04:00,85.71,86.14,84.43,84.55,742548
2016-04-01 00:00:00-04:00,84.22,85.38,84.13,85.13,490933
2016-04-04 00:00:00-04:00,85.08,85.2,83.9801,84.11,239891
2016-04-05 00:00:00-04:00,83.5,84.07,83.28,83.5,222192
2016-04-06 00:00:00-04:00,83.33,84.52,83.31,84.41,321597
2016-04-07 00:00:00-04:00,83.88,84.14,83.04,83.74,275435
2016-04-08 00:00:00-04:00,84.14,84.495,83.35,83.5,207535
2016-04-11 00:00:00-04:00,84.1,84.61,82.6,82.65,219444
2016-04-12 00:00:00-04:00,82.92,83.19,81.5,82.17,273911
2016-04-13 00:00:00-04:00,82.7,82.96,81.87,82.56,249299
2016-04-14 00:00:00-04:00,82.41,82.78,81.82,82.25,284099
2016-04-15 00:00:00-04:00,82.35,82.7,81.99,82.41,246797
2016-04-18 00:00:00-04:00,81.91,82.65,81.91,82.47,277453
2016-04-19 00:00:00-04:00,83.16,83.52,82.3,83.3,260671
2016-04-20 00:00:00-04:00,83.13,83.7,82.57,83.1,198426
2016-04-21 00:00:00-04:00,83.15,83.15,82.08,82.09,261785
2016-04-22 00:00:00-04:00,82.05,82.579,81.26,81.9,201897
2016-04-25 00:00:00-04:00,81.78,82.35,80.9801,81.89,269858
2016-04-26 00:00:00-04:00,81.9,82.6699,81.333,82.23,185391
2016-04-27 00:00:00-04:00,82.09,83.06,81.298,82.13,234135
2016-04-28 00:00:00-04:00,82.02,82.99,81.0401,81.95,255574
2016-04-29 00:00:00-04:00,81.84,82.015,80.66,81.02,208552
2016-05-02 00:00:00-04:00,81.05,82.39,81.05,82.34,252521
2016-05-03 00:00:00-04:00,81.57,82.7,80.6793,81.45,324349
2016-05-04 00:00:00-04:00,80.49,84.13,80.33,83.08,512983
2016-05-05 00:00:00-04:00,83.37,83.8922,82.76,82.81,397308
2016-05-06 00:00:00-04:00,82.69,83.81,82.23,83.61,291484
2016-05-09 00:00:00-04:00,83.54,84.51,82.6,84.1,244757
2016-05-10 00:00:00-04:00,84.17,84.89,83.9675,84.76,131840
2016-05-11 00:00:00-04:00,84.59,84.88,83.5,83.6,566299
2016-05-12 00:00:00-04:00,84.1,84.58,83.73,84.43,155318
2016-05-13 00:00:00-04:00,84.04,84.46,83.23,83.67,259794
2016-05-16 00:00:00-04:00,83.86,85.28,83.79,84.72,248573
2016-05-17 00:00:00-04:00,84.55,85.1,83.6,83.82,242768
2016-05-18 00:00:00-04:00,83.57,84.16,82.94,83.57,356921
2016-05-19 00:00:00-04:00,83.4,83.74,81.96,82.84,319250
2016-05-20 00:00:00-04:00,83.34,83.54,82.785,83.06,297010
2016-05-23 00:00:00-04:00,82.86,83.05,82.02,82.2,351718
2016-05-24 00:00:00-04:00,82.59,84.16,82.26,84.01,258383
2016-05-25 00:00:00-04:00,84.45,84.45,83.48,83.62,207810
2016-05-26 00:00:00-04:00,83.59,83.9,83.03,83.49,249918
2016-05-27 00:00:00-04:00,83.66,84.35,83.29,84.35,137276
2016-05-31 00:00:00-04:00,84.57,84.8099,83.83,84.42,229287
2016-06-01 00:00:00-04:00,83.8,84.67,83.68,84.53,203721
2016-06-02 00:00:00-04:00,84.17,85.27,83.92,85.27,194425
2016-06-03 00:00:00-04:00,85.17,85.17,84.15,84.79,151535
2016-06-06 00:00:00-04:00,85.05,85.15,84.58,84.99,117133
2016-06-07 00:00:00-04:00,85.01,85.21,84.678,85.01,147679
2016-06-08 00:00:00-04:00,85.04,85.6,84.92,85.44,86621
2016-06-09 00:00:00-04:00,85.32,85.86,84.97,85.76,112235
2016-06-10 00:00:00-04:00,85.61,85.61,84.36,84.52,372616
2016-06-13 00:00:00-04:00,84.17,85.03,83.71,83.76,366071
2016-06-14 00:00:00-04:00,83.6,84.77,83.6,84.69,197284
2016-06-15 00:00:00-04:00,84.71,85.12,83.85,83.91,287245
2016-06-16 00:00:00-04:00,83.63,83.93,83.12,83.81,198505
2016-06-17 00:00:00-04:00,83.54,83.82,82.1,82.5,387372
2016-06-20 00:00:00-04:00,83.44,83.92,83.02,83.65,176929
2016-06-21 00:00:00-04:00,83.78,84.02,83.33,83.48,167669
2016-06-22 00:00:00-04:00,83.71,83.855,83.24,83.39,251246
2016-06-23 00:00:00-04:00,84.18,84.49,83.51,84.37,236211
2016-06-24 00:00:00-04:00,81.38,84.43,81,83.22,499692
2016-06-27 00:00:00-04:00,82.63,82.9,81.8,82.04,461348
