date,1. open,2. high,3. low,4. close,5. volume
2015-12-17 00:00:00-05:00,107.39,107.75,105.7801,106.26,58365
2015-12-18 00:00:00-05:00,105.57,106.09,103.52,103.57,105153
2015-12-21 00:00:00-05:00,104.3,106.59,104.3,106.59,68077
2015-12-22 00:00:00-05:00,106.92,109.15,106.13,107.18,56856
2015-12-23 00:00:00-05:00,107.77,109.34,107.3,108.3501,43442
2015-12-24 00:00:00-05:00,108.39,108.9899,107.92,108.36,16830
2015-12-28 00:00:00-05:00,108.02,108.85,106.42,107.36,27799
2015-12-29 00:00:00-05:00,107.71,108.93,106.9,108.54,33899
2015-12-30 00:00:00-05:00,108.62,108.87,106.98,107.45,50128
2015-12-31 00:00:00-05:00,107.07,109.01,106.8201,107,64872
2016-01-04 00:00:00-05:00,105.84,106.23,102.83,103.18,67756
2016-01-05 00:00:00-05:00,103.59,104.91,102.65,104.61,66682
2016-01-06 00:00:00-05:00,103.02,104.89,101.67,102.02,75063
2016-01-07 00:00:00-05:00,100.31,100.96,96.91,97.08,80270
2016-01-08 00:00:00-05:00,97.71,100.29,97.068,98.71,155516
2016-01-11 00:00:00-05:00,99.85,101.11,97.83,98.95,142716
2016-01-12 00:00:00-05:00,99.92,100.06,96.89,98.42,58440
2016-01-13 00:00:00-05:00,99.07,99.97,96.46,97.03,84768
2016-01-14 00:00:00-05:00,97.73,101.9099,96.1,97.96,113666
2016-01-15 00:00:00-05:00,95.09,97.26,94.09,96.71,107799
2016-01-19 00:00:00-05:00,97.75,97.75,90.61,95.12,105545
2016-01-20 00:00:00-05:00,93.89,95.8,92.42,93.99,138297
2016-01-21 00:00:00-05:00,94.42,96.68,93.57,95.29,152006
2016-01-22 00:00:00-05:00,96.54,97.16,95.17,97.15,123354
2016-01-25 00:00:00-05:00,97,97.96,96.3901,97.35,114744
2016-01-26 00:00:00-05:00,97.9,100.86,97.61,100.47,129496
2016-01-27 00:00:00-05:00,100.19,100.76,98.94,99.33,108873
2016-01-28 00:00:00-05:00,100.38,100.63,98.82,100.16,161321
2016-01-29 00:00:00-05:00,100.29,102,100.03,101.91,97828
2016-02-01 00:00:00-05:00,101.19,103.15,100.04,102.32,104271
2016-02-02 00:00:00-05:00,110.09,112.98,106.21,111.72,211797
2016-02-03 00:00:00-05:00,112.88,113.44,106.4388,107.85,235246
2016-02-04 00:00:00-05:00,107.61,111.4,107.61,111.19,173721
2016-02-05 00:00:00-05:00,111,111,108.69,109.36,122895
2016-02-08 00:00:00-05:00,108.46,108.76,106.83,108.15,111697
2016-02-09 00:00:00-05:00,107.06,109.64,105.0501,108.01,147368
2016-02-10 00:00:00-05:00,108.59,109.59,106.99,107.61,116369
2016-02-11 00:00:00-05:00,105.93,109.37,105.93,108.03,81486
2016-02-12 00:00:00-05:00,109.17,110.7199,107.89,110.28,46802
2016-02-16 00:00:00-05:00,110.88,114.67,110.32,113.34,142677
2016-02-17 00:00:00-05:00,113.88,114.7899,112.7701,113.46,91297
2016-02-18 00:00:00-05:00,113.93,114.8,113.1,113.3,79240
2016-02-19 00:00:00-05:00,113.23,114.27,112.62,113.26,72914
2016-02-22 00:00:00-05:00,114.15,114.78,111.87,112.99,113792
2016-02-23 00:00:00-05:00,112.52,114.8,111.46,113.9,105517
2016-02-24 00:00:00-05:00,113.23,114.94,112.33,114,108523
2016-02-25 00:00:00-05:00,114.17,114.94,113.7,114.25,85717
2016-02-26 00:00:00-05:00,114.69,115.43,113.34,114,121061
2016-02-29 00:00:00-05:00,114.19,115.639,113.29,113.62,123081
2016-03-01 00:00:00-05:00,114.1,116.79,114.04,116.39,76683
2016-03-02 00:00:00-05:00,116.19,118.75,115.0301,117.41,97740
2016-03-03 00:00:00-05:00,117.49,118.055,116.36,117.11,72327
2016-03-04 00:00:00-05:00,117.18,117.36,115.79,116.93,118981
2016-03-07 00:00:00-05:00,116.46,117.37,115.9001,117.17,89589
2016-03-08 00:00:00-05:00,116.76,117.2499,115,115.82,33070
2016-03-09 00:00:00-05:00,116.19,117.05,115.0101,116.29,68092
