date,1. open,2. high,3. low,4. close,5. volume
2015-07-31 00:00:00-04:00,5.56,5.86,5.56,5.62,1711
2015-08-03 00:00:00-04:00,5.3301,5.61,5,5,17427
2015-08-04 00:00:00-04:00,5.17,5.17,4.65,4.6501,5255
2015-08-05 00:00:00-04:00,4.71,5.15,4.6001,4.66,22904
2015-08-06 00:00:00-04:00,4.5826,4.95,4.5826,4.72,51328
2015-08-07 00:00:00-04:00,4.76,4.763,4.72,4.72,2324
2015-08-10 00:00:00-04:00,4.73,4.9,4.59,4.6772,4268
2015-08-11 00:00:00-04:00,4.58,4.59,4.21,4.4,11710
2015-08-12 00:00:00-04:00,4.28,4.54,3.88,3.94,11421
2015-08-13 00:00:00-04:00,4.33,4.3499,4,4.2399,41706
2015-08-14 00:00:00-04:00,4.23,4.315,4.07,4.07,14912
2015-08-17 00:00:00-04:00,4.1799,4.3036,4.061,4.2975,5476
2015-08-18 00:00:00-04:00,4.48,4.59,4.12,4.22,7002
2015-08-19 00:00:00-04:00,4.29,4.3,4.13,4.14,1300
2015-08-20 00:00:00-04:00,4.14,4.3,4.14,4.14,3315
2015-08-21 00:00:00-04:00,4.1001,4.446,3.4,4.0601,22620
2015-08-24 00:00:00-04:00,3.92,4.0499,3.6,4.0499,19226
2015-08-25 00:00:00-04:00,3.95,4.05,3.6639,4.0499,5341
2015-08-27 00:00:00-04:00,3.882,3.9,3.75,3.82,1173
2015-08-28 00:00:00-04:00,3.74,4.15,3.74,3.92,3281
2015-09-01 00:00:00-04:00,4.1899,4.1899,3.51,3.54,3290
2015-09-03 00:00:00-04:00,3.65,3.9825,3.53,3.72,11056
2015-09-04 00:00:00-04:00,3.8,4.19,3.8,4.12,12935
2015-09-08 00:00:00-04:00,4.2,4.2,3.85,4.1,2350
2015-09-09 00:00:00-04:00,4.0801,4.0801,4.08,4.08,600
2015-09-10 00:00:00-04:00,3.9601,4.1899,3.9601,4,1653
2015-09-11 00:00:00-04:00,4.08,4.08,4,4.03,4410
2015-09-14 00:00:00-04:00,4.05,4.15,3.95,4.15,2411
2015-09-15 00:00:00-04:00,4.18,4.19,4.16,4.19,2294
2015-09-16 00:00:00-04:00,4.07,4.12,3.96,4.0899,2197
2015-09-17 00:00:00-04:00,4.01,4.1599,3.98,4.0901,1932
2015-09-18 00:00:00-04:00,4.1599,4.1599,3.99,4,2415
2015-09-21 00:00:00-04:00,4.1499,4.1499,4.13,4.13,241
2015-09-22 00:00:00-04:00,4,4,4,4,315
2015-09-23 00:00:00-04:00,4.01,4.01,3.94,3.94,400
2015-09-25 00:00:00-04:00,3.94,3.94,3.94,3.94,200
2015-09-28 00:00:00-04:00,3.93,3.93,3.93,3.93,200
2015-09-29 00:00:00-04:00,3.93,3.99,3.7001,3.85,3092
2015-09-30 00:00:00-04:00,3.72,3.8037,3.646,3.72,5905
2015-10-02 00:00:00-04:00,3.76,3.9399,3.74,3.9399,1365
2015-10-05 00:00:00-04:00,3.82,3.82,3.6899,3.69,1202
2015-10-06 00:00:00-04:00,3.7,3.7999,3.66,3.71,6700
2015-10-07 00:00:00-04:00,3.5,3.96,3.5,3.96,6168
