date,1. open,2. high,3. low,4. close,5. volume
2018-07-26 00:00:00-04:00,12.45,13.43,10.8,11,1699319
2018-07-27 00:00:00-04:00,11.75,11.78,10.8,10.995,179944
2018-07-30 00:00:00-04:00,11,11.317,10.9,11,64539
2018-07-31 00:00:00-04:00,10.91,11,10.91,11,16589
2018-08-01 00:00:00-04:00,11,11.02,10.85,11,24137
2018-08-02 00:00:00-04:00,11.09,11.17,10.85,11,31594
2018-08-03 00:00:00-04:00,11.1,11.5,10.521,10.98,51808
2018-08-06 00:00:00-04:00,11.31,11.59,11.11,11.5,17217
2018-08-07 00:00:00-04:00,11.58,11.89,11.061,11.37,13114
2018-08-08 00:00:00-04:00,11.46,12.29,11.12,11.71,24207
2018-08-09 00:00:00-04:00,12,12.82,12,12.75,22770
2018-08-10 00:00:00-04:00,12.97,13.9,12.56,13.04,16094
2018-08-13 00:00:00-04:00,13.91,14,13.16,13.4,27333
2018-08-14 00:00:00-04:00,13.5,14.98,13.31,14.83,44594
2018-08-15 00:00:00-04:00,14.83,15,14.0691,14.3,9852
2018-08-16 00:00:00-04:00,14.4,14.929,13.51,14.01,22250
2018-08-17 00:00:00-04:00,14.18,15,13.8107,14.86,7949
2018-08-20 00:00:00-04:00,15.05,16.37,15.05,16.35,82590
2018-08-21 00:00:00-04:00,16.64,16.9,15.5,16.21,47024
2018-08-22 00:00:00-04:00,16.4824,16.73,15.751,16.3,52170
2018-08-23 00:00:00-04:00,16.8,18.25,16.27,16.27,118226
2018-08-24 00:00:00-04:00,16.54,17.8,16.51,16.91,30845
2018-08-27 00:00:00-04:00,16.77,16.8549,15.7,15.85,67522
2018-08-28 00:00:00-04:00,15.5,15.8,15.2306,15.7,43678
2018-08-29 00:00:00-04:00,15.86,16.18,15.31,15.68,24668
2018-08-30 00:00:00-04:00,15.63,16.0564,15.1,15.285,20354
2018-08-31 00:00:00-04:00,15.48,15.5405,15.35,15.41,8662
2018-09-04 00:00:00-04:00,15.5,17.5,15.5,17.23,73316
2018-09-05 00:00:00-04:00,17.52,18.3337,16.41,17.9,49331
2018-09-06 00:00:00-04:00,17.33,17.4116,16.5,17.24,63057
2018-09-07 00:00:00-04:00,16.96,18.9629,16.955,17.5,65311
2018-09-10 00:00:00-04:00,17.25,18.99,17.11,18.99,78355
2018-09-11 00:00:00-04:00,19.26,21.31,18.51,19.25,86021
2018-09-12 00:00:00-04:00,19.67,20.88,18.59,19.25,133622
2018-09-13 00:00:00-04:00,19.49,20.5,17.03,19.5,83969
2018-09-14 00:00:00-04:00,19.4,20.39,18.1,18.38,79666
2018-09-17 00:00:00-04:00,18.26,20.1626,18.04,19.37,59417
2018-09-18 00:00:00-04:00,19.6,21,19.55,19.55,107076
2018-09-19 00:00:00-04:00,19.8,20.05,18.37,18.44,65976
2018-09-20 00:00:00-04:00,18.5,20.8,18.49,18.84,95662
2018-09-21 00:00:00-04:00,19.21,20.91,18.9449,20.3,70938
2018-09-24 00:00:00-04:00,20,21,19.98,20.565,34347
2018-09-25 00:00:00-04:00,20.56,23.95,20.56,22.71,84919
2018-09-26 00:00:00-04:00,22.68,26,21.494,24.955,142329
2018-09-27 00:00:00-04:00,25.8,29.39,25.8,28.98,201650
2018-09-28 00:00:00-04:00,29.16,32.2552,24.71,27.4,282480
2018-10-01 00:00:00-04:00,27.57,27.57,25.1784,26.44,93561
2018-10-02 00:00:00-04:00,26.61,30.22,25.121,30,104221
2018-10-03 00:00:00-04:00,30.06,35.62,30,34.09,173496
2018-10-04 00:00:00-04:00,34.01,34.63,30.8,32.96,105902
2018-10-05 00:00:00-04:00,33.03,33.03,30.52,31.21,45391
2018-10-08 00:00:00-04:00,30.96,32.3464,30.53,31.17,21003
2018-10-09 00:00:00-04:00,30.81,38.46,30.6904,37.18,39313
2018-10-10 00:00:00-04:00,37.17,37.72,31.84,33.66,70954
2018-10-11 00:00:00-04:00,31.31,33.525,30.26,32.19,47270
2018-10-12 00:00:00-04:00,33.81,34.39,26.65,28.87,79968
2018-10-15 00:00:00-04:00,28.81,28.81,26.755,28.265,56557
2018-10-16 00:00:00-04:00,28.5,29.7985,27.1853,28.73,108074
2018-10-17 00:00:00-04:00,28.66,28.66,26.62,28.11,29446
2018-10-18 00:00:00-04:00,27.91,27.91,26.3,27.5,35575
2018-10-19 00:00:00-04:00,27.53,28.5,26.54,27.245,22306
2018-10-22 00:00:00-04:00,27.07,27.07,24.275,24.57,14368
