date,1. open,2. high,3. low,4. close,5. volume
2019-11-05 00:00:00-05:00,10,10.01,9.97,10,3241292
2019-11-06 00:00:00-05:00,10,10.01,10,10,642050
2019-11-07 00:00:00-05:00,9.98,10,9.98,10,265150
2019-11-08 00:00:00-05:00,10,10,9.96,9.99,141100
2019-11-11 00:00:00-05:00,9.9803,10,9.9803,10,4950
2019-11-12 00:00:00-05:00,9.9573,10,9.9573,10,24450
2019-11-13 00:00:00-05:00,10,10,9.97,10,924
2019-11-14 00:00:00-05:00,9.99,10,9.9794,10,463800
2019-11-15 00:00:00-05:00,10,10,9.9904,10,7479
2019-11-18 00:00:00-05:00,10,10,9.97,9.99,378246
2019-11-19 00:00:00-05:00,9.97,10,9.97,9.98,102600
2019-11-20 00:00:00-05:00,10,10,9.98,9.9936,3652
2019-11-22 00:00:00-05:00,9.9817,9.9845,9.981,9.981,1000
2019-11-25 00:00:00-05:00,10,10,9.9819,9.9837,1258
2019-11-26 00:00:00-05:00,9.99,10,9.99,10,27950
2019-11-27 00:00:00-05:00,10,10,10,10,4
2019-11-29 00:00:00-05:00,10,10,9.96,9.97,12910
2019-12-02 00:00:00-05:00,9.99,9.99,9.96,9.96,4465
2019-12-03 00:00:00-05:00,9.97,9.99,9.97,9.99,127400
2019-12-04 00:00:00-05:00,9.99,10,9.97,9.97,6200
2019-12-05 00:00:00-05:00,9.99,9.99,9.97,9.97,1025
2019-12-06 00:00:00-05:00,9.97,9.97,9.96,9.9601,2870
2019-12-10 00:00:00-05:00,9.97,9.99,9.97,9.99,76500
2019-12-11 00:00:00-05:00,9.99,9.995,9.99,9.99,156932
