date,1. open,2. high,3. low,4. close,5. volume
2015-12-17 00:00:00-05:00,9.18,9.24,8.94,9.13,79424
2015-12-18 00:00:00-05:00,9.01,9.2,8.86,8.88,178412
2015-12-21 00:00:00-05:00,8.88,8.98,8.8,8.97,66293
2015-12-22 00:00:00-05:00,9,9.33,8.9,9.27,60248
2015-12-23 00:00:00-05:00,9.22,9.36,9.1,9.3,85260
2015-12-24 00:00:00-05:00,9.31,10.5,8.324,9.42,42689
2015-12-28 00:00:00-05:00,9.37,9.43,9.02,9.15,67115
2015-12-29 00:00:00-05:00,9.16,9.48,9.07,9.21,58647
2015-12-30 00:00:00-05:00,9.19,9.2899,9.12,9.16,33911
2015-12-31 00:00:00-05:00,9.15,9.19,8.94,9.05,85071
2016-01-04 00:00:00-05:00,8.86,9.41,8.575,9.15,124395
2016-01-05 00:00:00-05:00,9.14,9.385,8.53,8.75,202394
2016-01-06 00:00:00-05:00,8.57,9.42,8.25,8.68,147129
2016-01-07 00:00:00-05:00,8.53,8.81,8.37,8.56,93908
2016-01-08 00:00:00-05:00,8.55,8.5699,8.28,8.35,77023
2016-01-11 00:00:00-05:00,8.4,8.41,7.92,7.99,88966
2016-01-12 00:00:00-05:00,8.08,8.08,7.57,7.9,169420
2016-01-13 00:00:00-05:00,8.29,8.63,7.9,8.12,206508
2016-01-14 00:00:00-05:00,8.08,8.32,8.025,8.2,84333
2016-01-15 00:00:00-05:00,8,8.335,7.83,8.03,93251
2016-01-19 00:00:00-05:00,8.07,8.07,7.46,7.52,81545
2016-01-20 00:00:00-05:00,7.41,7.53,7.07,7.3911,98065
2016-01-21 00:00:00-05:00,7.42,7.62,7.34,7.36,39203
2016-01-22 00:00:00-05:00,7.46,7.73,7.31,7.64,71725
2016-01-25 00:00:00-05:00,7.58,7.58,7.04,7.17,76173
2016-01-26 00:00:00-05:00,7.21,7.47,7.035,7.4,46887
2016-01-27 00:00:00-05:00,7.25,7.255,6.92,6.94,127535
2016-01-28 00:00:00-05:00,7.01,7.29,6.77,6.905,164384
2016-01-29 00:00:00-05:00,6.94,7.39,6.82,7.35,108769
2016-02-01 00:00:00-05:00,7.23,7.45,7.07,7.26,98934
2016-02-02 00:00:00-05:00,7.13,7.19,6.82,6.91,85110
2016-02-03 00:00:00-05:00,6.99,7.4899,6.51,6.88,63632
2016-02-04 00:00:00-05:00,6.86,7.12,6.5,6.5,167384
2016-02-05 00:00:00-05:00,6.49,6.75,6.35,6.7,311610
2016-02-08 00:00:00-05:00,6.59,6.59,6.23,6.28,142408
2016-02-09 00:00:00-05:00,6.16,6.47,5.949,6.02,305400
2016-02-10 00:00:00-05:00,6.07,6.59,6.03,6.56,210432
2016-02-11 00:00:00-05:00,6.36,6.77,6.13,6.13,114169
2016-02-12 00:00:00-05:00,6.76,8.41,6.62,8.121,1102228
2016-02-16 00:00:00-05:00,8.16,8.44,7.64,7.69,414814
2016-02-17 00:00:00-05:00,7.79,8.29,7.67,7.92,528233
2016-02-18 00:00:00-05:00,7.97,8.43,7.78,8.14,983417
2016-02-19 00:00:00-05:00,8.12,8.315,7.8,7.81,256615
2016-02-22 00:00:00-05:00,8.05,8.41,7.78,8.23,229979
2016-02-23 00:00:00-05:00,8.23,8.705,8,8.44,218148
2016-02-24 00:00:00-05:00,8.31,8.4,8.25,8.3,136647
2016-02-25 00:00:00-05:00,8.3,8.36,8.15,8.35,76963
2016-02-26 00:00:00-05:00,8.37,8.53,8.185,8.4,120396
2016-02-29 00:00:00-05:00,8.39,9.54,8.31,9.1,337347
2016-03-01 00:00:00-05:00,9.15,9.15,8.81,8.85,365786
2016-03-02 00:00:00-05:00,8.74,8.9125,8.6111,8.85,273506
2016-03-03 00:00:00-05:00,8.82,9.03,8.81,9,338257
2016-03-04 00:00:00-05:00,9,9.1,8.81,8.88,189887
2016-03-07 00:00:00-05:00,8.84,9.09,8.82,8.95,239498
2016-03-08 00:00:00-05:00,8.91,8.98,8.8,8.9,238800
2016-03-09 00:00:00-05:00,8.85,8.97,8.59,8.74,84622
2016-03-10 00:00:00-05:00,8.69,8.77,8.2,8.35,156725
2016-03-11 00:00:00-05:00,8.43,8.89,8.43,8.84,105955
2016-03-14 00:00:00-04:00,8.68,8.865,8.49,8.6296,89070
2016-03-15 00:00:00-04:00,8.54,8.62,8.17,8.32,132220
2016-03-16 00:00:00-04:00,8.29,8.57,8.29,8.54,115638
2016-03-17 00:00:00-04:00,8.52,8.82,8.5,8.75,133463
2016-03-18 00:00:00-04:00,8.73,9.02,8.7,8.95,263536
2016-03-21 00:00:00-04:00,8.84,9.01,8.71,8.87,174969
2016-03-22 00:00:00-04:00,8.92,8.96,8.4699,8.68,267930
2016-03-23 00:00:00-04:00,8.54,8.54,8.18,8.3,129178
2016-03-24 00:00:00-04:00,8.19,8.66,8,8.6,150006
2016-03-28 00:00:00-04:00,8.68,8.98,8.47,8.7,166273
2016-03-29 00:00:00-04:00,8.64,9.2,8.61,9.15,175192
2016-03-30 00:00:00-04:00,9.17,9.25,9.02,9.03,114924
2016-03-31 00:00:00-04:00,9.07,9.51,8.942,9.45,266890
2016-04-01 00:00:00-04:00,9.31,9.53,8.97,9.27,265403
2016-04-04 00:00:00-04:00,9.29,9.47,9.08,9.295,69829
2016-04-05 00:00:00-04:00,9.22,9.32,9.11,9.175,96344
2016-04-06 00:00:00-04:00,9.16,9.38,9.04,9.28,69525
2016-04-07 00:00:00-04:00,9.2,9.34,9.01,9.1,84705
2016-04-08 00:00:00-04:00,9.18,9.25,8.87,8.895,81852
2016-04-11 00:00:00-04:00,8.97,9.13,8.82,9.02,122290
2016-04-12 00:00:00-04:00,9.03,9.39,9.01,9.275,75887
2016-04-13 00:00:00-04:00,9.32,9.46,9.22,9.38,171000
2016-04-14 00:00:00-04:00,9.43,9.5748,9.3,9.36,158255
2016-04-15 00:00:00-04:00,9.31,9.785,9.26,9.63,200523
2016-04-18 00:00:00-04:00,9.77,10.24,9.585,10.08,301350
2016-04-19 00:00:00-04:00,10.1,10.42,9.94,9.9703,150770
2016-04-20 00:00:00-04:00,10,10.285,9.8,9.86,140966
2016-04-21 00:00:00-04:00,9.86,9.925,9.65,9.6501,65718
2016-04-22 00:00:00-04:00,9.66,9.92,9.59,9.76,104067
2016-04-25 00:00:00-04:00,9.76,9.82,9.2,9.41,119596
2016-04-26 00:00:00-04:00,9.49,9.89,9.45,9.69,182569
2016-04-27 00:00:00-04:00,9.75,9.89,9.555,9.63,139695
2016-04-28 00:00:00-04:00,9.67,9.85,9.47,9.55,153620
2016-04-29 00:00:00-04:00,8.6,8.93,7.13,8.39,610251
2016-05-02 00:00:00-04:00,8.45,8.61,8.22,8.59,190738
2016-05-03 00:00:00-04:00,8.51,8.67,8.24,8.46,213453
2016-05-04 00:00:00-04:00,8.3,8.58,8.28,8.53,170779
2016-05-05 00:00:00-04:00,8.55,8.6,8.4,8.6,219763
2016-05-06 00:00:00-04:00,8.54,8.83,8.41,8.7325,196232
2016-05-09 00:00:00-04:00,8.74,8.95,8.41,8.89,159070
2016-05-10 00:00:00-04:00,8.9,9.11,8.67,8.81,174025
2016-05-11 00:00:00-04:00,8.76,8.94,8.66,8.75,93555
2016-05-12 00:00:00-04:00,8.76,8.83,8.45,8.5503,107563
2016-05-13 00:00:00-04:00,8.49,8.65,8.355,8.5203,197145
2016-05-16 00:00:00-04:00,8.6,8.82,8.585,8.64,155871
2016-05-17 00:00:00-04:00,8.61,8.79,8.443,8.56,77634
2016-05-18 00:00:00-04:00,8.5,8.59,8.3,8.4,203620
2016-05-19 00:00:00-04:00,8.34,8.97,8.25,8.92,263026
2016-05-20 00:00:00-04:00,8.92,9.19,8.58,8.91,154970
2016-05-23 00:00:00-04:00,8.93,9.14,8.82,8.85,138169
2016-05-24 00:00:00-04:00,8.87,8.915,8.67,8.72,176462
2016-05-25 00:00:00-04:00,8.76,8.98,8.73,8.94,173175
2016-05-26 00:00:00-04:00,9.01,9.22,8.87,8.94,213233
2016-05-27 00:00:00-04:00,8.93,9.2,8.85,9.12,195008
2016-05-31 00:00:00-04:00,9.07,9.19,8.65,9,265504
2016-06-01 00:00:00-04:00,8.98,9.1,8.7,8.99,166374
2016-06-02 00:00:00-04:00,8.98,9.13,8.695,8.96,203032
2016-06-03 00:00:00-04:00,9,9.27,8.82,9.12,266807
2016-06-06 00:00:00-04:00,9.16,9.41,9,9.4,332948
