date,1. open,2. high,3. low,4. close,5. volume
2019-11-08 00:00:00-05:00,10.1,10.62,9.43,10.01,415439
2019-11-11 00:00:00-05:00,10.05,10.13,9.8,10.13,128298
2019-11-12 00:00:00-05:00,10.03,10.15,9.8,9.98,41345
2019-11-13 00:00:00-05:00,9.92,9.96,9.8,9.96,29937
2019-11-14 00:00:00-05:00,10.1,10.1,9.6,9.85,32319
2019-11-15 00:00:00-05:00,9.65,9.75,9.6,9.75,12613
2019-11-18 00:00:00-05:00,9.95,10.34,9.78,9.78,55764
2019-11-19 00:00:00-05:00,10.46,10.5,9.6302,9.88,22346
2019-11-20 00:00:00-05:00,9.6,9.92,9.6,9.68,4532
2019-11-21 00:00:00-05:00,9.57,9.57,9.2,9.2139,39365
2019-11-22 00:00:00-05:00,9.2,9.41,9.07,9.13,4538
2019-11-25 00:00:00-05:00,9.18,9.18,7.67,9,43090
2019-11-26 00:00:00-05:00,9.1,9.1,8,8.01,59882
2019-11-27 00:00:00-05:00,8,8.66,8,8.4613,15309
2019-11-29 00:00:00-05:00,8.19,8.25,7.4,7.81,4314
2019-12-02 00:00:00-05:00,7.85,7.9878,7.81,7.91,18399
2019-12-03 00:00:00-05:00,8.7033,8.7033,7.775,8.6,45765
2019-12-04 00:00:00-05:00,8.07,8.75,8.05,8.69,28843
2019-12-05 00:00:00-05:00,8.09,8.9,8.09,8.7,15336
2019-12-06 00:00:00-05:00,8.83,8.97,8.53,8.685,4653
2019-12-09 00:00:00-05:00,8.72,8.72,8.2,8.4921,12403
2019-12-10 00:00:00-05:00,8.7,8.7066,8.141,8.141,8264
2019-12-11 00:00:00-05:00,8.19,8.24,8.19,8.24,300
