date,1. open,2. high,3. low,4. close,5. volume
2018-03-12 00:00:00-04:00,9.56,9.59,9.56,9.59,920500
2018-03-13 00:00:00-04:00,9.59,9.59,9.59,9.59,300000
2018-03-14 00:00:00-04:00,9.59,9.6,9.59,9.6,225900
2018-03-16 00:00:00-04:00,9.6,9.6,9.55,9.55,54200
2018-03-19 00:00:00-04:00,9.62,9.62,9.55,9.62,1900
2018-03-20 00:00:00-04:00,9.62,9.62,9.62,9.62,94
2018-03-22 00:00:00-04:00,9.6007,9.6007,9.5738,9.5738,2000
2018-03-26 00:00:00-04:00,9.5848,9.5848,9.5848,9.5848,400
2018-03-28 00:00:00-04:00,9.6008,9.62,9.6008,9.6009,9000
2018-04-03 00:00:00-04:00,9.595,9.62,9.595,9.62,484400
2018-04-04 00:00:00-04:00,9.55,9.61,9.55,9.61,2942
2018-04-11 00:00:00-04:00,9.6,9.6,9.6,9.6,200000
2018-04-13 00:00:00-04:00,9.6,9.6,9.6,9.6,150000
2018-04-16 00:00:00-04:00,9.6,9.6,9.6,9.6,96000
2018-04-17 00:00:00-04:00,9.6,9.6,9.6,9.6,200000
2018-04-18 00:00:00-04:00,9.6,9.62,9.6,9.6,401598
2018-04-19 00:00:00-04:00,9.6,9.6,9.6,9.6,1800
2018-04-24 00:00:00-04:00,9.6,9.6,9.6,9.6,93
2018-04-25 00:00:00-04:00,9.62,9.62,9.62,9.62,100
2018-04-26 00:00:00-04:00,9.62,9.62,9.62,9.62,10500
2018-04-30 00:00:00-04:00,9.62,10.36,9.62,9.67,2304
2018-05-03 00:00:00-04:00,9.61,9.61,9.61,9.61,400000
2018-05-04 00:00:00-04:00,9.61,9.61,9.61,9.61,100000
2018-05-08 00:00:00-04:00,9.61,9.61,9.6,9.6,4
2018-05-10 00:00:00-04:00,9.63,9.67,9.61,9.67,753300
2018-05-14 00:00:00-04:00,9.71,9.71,9.61,9.61,400
2018-05-15 00:00:00-04:00,9.67,9.67,9.61,9.61,2700
2018-05-16 00:00:00-04:00,9.63,9.63,9.62,9.62,44802
2018-05-18 00:00:00-04:00,9.63,9.63,9.63,9.63,655000
2018-05-21 00:00:00-04:00,9.63,9.65,9.63,9.63,60
2018-05-22 00:00:00-04:00,9.94,9.94,9.63,9.63,651052
2018-05-23 00:00:00-04:00,9.62,9.63,9.62,9.63,105600
2018-05-24 00:00:00-04:00,9.63,9.63,9.61,9.61,322204
2018-05-25 00:00:00-04:00,9.63,9.63,9.63,9.63,412
2018-05-29 00:00:00-04:00,9.63,9.74,9.63,9.74,19140
2018-05-31 00:00:00-04:00,9.64,9.64,9.61,9.62,507515
2018-06-01 00:00:00-04:00,9.61,9.61,9.61,9.61,100
2018-06-04 00:00:00-04:00,9.64,9.64,9.6,9.61,600
2018-06-05 00:00:00-04:00,9.61,9.64,9.6,9.61,563200
2018-06-06 00:00:00-04:00,9.61,9.61,9.61,9.61,3900
2018-06-07 00:00:00-04:00,9.61,9.63,9.61,9.63,1100
2018-06-11 00:00:00-04:00,9.62,9.64,9.6,9.64,255766
2018-06-13 00:00:00-04:00,9.63,9.63,9.62,9.62,52402
2018-06-14 00:00:00-04:00,9.6,9.63,9.6,9.63,636999
2018-06-15 00:00:00-04:00,9.6,9.64,9.6,9.63,50200
2018-06-18 00:00:00-04:00,9.63,9.63,9.61,9.62,25090
2018-06-19 00:00:00-04:00,9.63,9.63,9.61,9.61,52400
2018-06-20 00:00:00-04:00,9.65,9.65,9.62,9.62,7100
2018-06-21 00:00:00-04:00,9.65,9.65,9.64,9.64,800
2018-06-27 00:00:00-04:00,9.63,9.63,9.63,9.63,40000
2018-06-28 00:00:00-04:00,9.64,9.65,9.64,9.64,6500
2018-07-02 00:00:00-04:00,9.64,9.64,9.64,9.64,50100
2018-07-11 00:00:00-04:00,9.6852,9.6852,9.6852,9.6852,100
2018-07-16 00:00:00-04:00,9.66,9.66,9.65,9.66,8200
2018-07-17 00:00:00-04:00,9.67,9.67,9.66,9.66,700
2018-07-18 00:00:00-04:00,9.65,9.65,9.65,9.65,4600
2018-07-23 00:00:00-04:00,9.7,9.71,9.67,9.68,88600
2018-07-24 00:00:00-04:00,9.75,9.75,9.75,9.75,2
2018-07-25 00:00:00-04:00,9.74,9.74,9.74,9.74,200
2018-07-26 00:00:00-04:00,9.63,9.64,9.63,9.63,276900
2018-07-31 00:00:00-04:00,9.6536,9.6536,9.6536,9.6536,300
2018-08-01 00:00:00-04:00,9.66,9.67,9.66,9.66,145700
2018-08-03 00:00:00-04:00,9.66,9.66,9.66,9.66,100000
2018-08-07 00:00:00-04:00,9.7,9.7,9.66,9.66,25200
2018-08-09 00:00:00-04:00,9.67,9.67,9.67,9.67,498
2018-08-14 00:00:00-04:00,9.65,9.66,9.65,9.66,19700
2018-08-16 00:00:00-04:00,9.63,9.63,9.63,9.63,2000
2018-08-20 00:00:00-04:00,9.64,9.64,9.63,9.63,142660
2018-08-21 00:00:00-04:00,9.66,9.66,9.66,9.66,600
2018-08-22 00:00:00-04:00,9.61,9.6999,9.6,9.68,160510
2018-08-27 00:00:00-04:00,9.65,9.65,9.65,9.65,43200
2018-08-28 00:00:00-04:00,9.6701,9.6701,9.62,9.66,1400
