date,1. open,2. high,3. low,4. close,5. volume
2015-12-22 00:00:00-05:00,19.68,20.16,18.72,19.44,6615
2015-12-23 00:00:00-05:00,20,20.72,18.666,20.64,8592
2015-12-24 00:00:00-05:00,20.24,21.28,19.6,20,4846
2015-12-28 00:00:00-05:00,20,20.24,18.4,18.4,19331
2015-12-29 00:00:00-05:00,23.28,23.68,18.161,18.32,395225
2015-12-30 00:00:00-05:00,16.32,16.8,15.04,16.474,61870
2015-12-31 00:00:00-05:00,15.92,17.039,15.013,15.76,13633
2016-01-04 00:00:00-05:00,15.36,15.68,14.649,15.04,17460
2016-01-05 00:00:00-05:00,14.64,15.2,13.68,14,14134
2016-01-06 00:00:00-05:00,13.6,18.76,12.8,13.68,139302
2016-01-07 00:00:00-05:00,12.88,14.32,10.8,12.48,27328
2016-01-08 00:00:00-05:00,12.4,12.88,12.4,12.56,3310
2016-01-11 00:00:00-05:00,14.32,14.32,12.481,13.06,9054
2016-01-12 00:00:00-05:00,15.2,16,13.248,13.52,54303
2016-01-13 00:00:00-05:00,14,14.07,12.48,12.799,11918
2016-01-14 00:00:00-05:00,12.72,13.12,12.568,13.04,4465
2016-01-15 00:00:00-05:00,14.08,14.08,12.56,12.951,4139
2016-01-19 00:00:00-05:00,13.2,13.455,12.32,12.88,7453
2016-01-20 00:00:00-05:00,12.4,13.28,11.44,13.28,8449
2016-01-21 00:00:00-05:00,14.4,15.12,13.36,13.52,10341
2016-01-22 00:00:00-05:00,13.68,14.32,13.288,14.16,8266
2016-01-25 00:00:00-05:00,14,14,13.36,13.68,1849
2016-01-26 00:00:00-05:00,14.32,14.56,13.446,13.84,1388
2016-01-27 00:00:00-05:00,13.84,13.84,12.88,13.2,4147
2016-01-28 00:00:00-05:00,13.44,14.8,12.8,13.44,5958
2016-01-29 00:00:00-05:00,13.192,14.8,12.96,13.04,21014
2016-02-01 00:00:00-05:00,13.6,14.32,13.04,13.2,16065
2016-02-02 00:00:00-05:00,14.16,14.16,12.64,12.8,4154
2016-02-03 00:00:00-05:00,13.12,13.84,12.08,12.32,5344
2016-02-04 00:00:00-05:00,12.24,12.72,12.24,12.72,3510
2016-02-05 00:00:00-05:00,12.24,12.8,11.64,11.84,17470
2016-02-08 00:00:00-05:00,11.04,11.68,10.926,11.281,3222
2016-02-09 00:00:00-05:00,11.28,11.6,11.04,11.122,2228
2016-02-10 00:00:00-05:00,11.44,12.319,11.173,12.08,4742
2016-02-11 00:00:00-05:00,12.4,12.8,11.2,11.52,1775
2016-02-12 00:00:00-05:00,11.52,12.559,11.52,12.079,1531
2016-02-16 00:00:00-05:00,11.68,12.32,11.52,12,2112
2016-02-17 00:00:00-05:00,11.76,12.56,11.6,11.84,2210
2016-02-18 00:00:00-05:00,11.84,12.16,11.521,12.16,4429
2016-02-19 00:00:00-05:00,11.92,11.921,11.696,11.921,2301
2016-02-22 00:00:00-05:00,11.999,11.999,11.68,11.84,1578
2016-02-23 00:00:00-05:00,11.689,12,11.52,11.76,3401
2016-02-24 00:00:00-05:00,11.84,11.92,11.52,11.84,2240
2016-02-25 00:00:00-05:00,11.868,11.92,11.52,11.84,2401
2016-02-26 00:00:00-05:00,11.6,12,11.6,12,869
2016-02-29 00:00:00-05:00,12,12,11.565,11.6,1053
2016-03-01 00:00:00-05:00,11.84,12,11.44,11.92,1477
2016-03-02 00:00:00-05:00,12,12.16,11.76,12,1455
2016-03-03 00:00:00-05:00,11.841,12.48,11.68,11.837,3065
2016-03-04 00:00:00-05:00,12,12.16,11.68,11.92,3811
2016-03-07 00:00:00-05:00,12.16,13.919,12.16,13.76,9278
2016-03-08 00:00:00-05:00,13.92,14.48,12.88,14.16,18719
2016-03-09 00:00:00-05:00,14.16,14.799,14.013,14.598,12520
2016-03-10 00:00:00-05:00,14.72,14.8,14.16,14.56,4413
2016-03-11 00:00:00-05:00,14.8,14.8,13.36,14.4,6687
2016-03-14 00:00:00-04:00,14.4,14.4,13.815,14,3195
2016-03-15 00:00:00-04:00,13.84,14,13.68,13.84,1219
