date,1. open,2. high,3. low,4. close,5. volume
2015-12-18 00:00:00-05:00,55.25,56.38,53.85,54.61,26242
2015-12-21 00:00:00-05:00,55.39,55.7999,54.26,55.76,8537
2015-12-22 00:00:00-05:00,55.53,56.91,55.06,56.83,6122
2015-12-23 00:00:00-05:00,57.3,57.77,56.39,57.75,11518
2015-12-24 00:00:00-05:00,57.52,59.7799,56.3001,58.27,7160
2015-12-28 00:00:00-05:00,58.52,58.52,56.77,56.86,7427
2015-12-29 00:00:00-05:00,57.34,58.14,56.1001,58.14,12483
2015-12-30 00:00:00-05:00,58.13,58.62,56.93,58.46,2979
2015-12-31 00:00:00-05:00,58.05,58.5,56.18,56.6,7077
2016-01-04 00:00:00-05:00,56.09,56.57,54.26,54.28,7301
2016-01-05 00:00:00-05:00,54.3,55.98,53.18,53.9899,3435
2016-01-06 00:00:00-05:00,53,54.8399,53,54.07,7011
2016-01-07 00:00:00-05:00,53.81,54.79,51.8,51.8,17529
2016-01-08 00:00:00-05:00,52.66,52.9899,51.32,51.81,16350
2016-01-11 00:00:00-05:00,51.77,51.77,50,50.5,7563
2016-01-12 00:00:00-05:00,50.65,51.8834,47.91,47.91,23806
2016-01-13 00:00:00-05:00,48.5,51.24,48.14,49.26,24114
2016-01-14 00:00:00-05:00,49.4,50.75,49.07,50.25,34310
2016-01-15 00:00:00-05:00,49.32,50.8,49.32,50.44,15799
2016-01-19 00:00:00-05:00,50.88,51.07,49.53,50.06,12021
2016-01-20 00:00:00-05:00,49.97,52,49.74,51.65,18408
2016-01-21 00:00:00-05:00,50.19,52.97,49.26,50.98,26474
2016-01-22 00:00:00-05:00,51.72,51.87,50.4701,51.65,5801
2016-01-25 00:00:00-05:00,50.93,54.1,49.3,49.5,12729
2016-01-26 00:00:00-05:00,50.24,50.99,49.05,49.81,8395
2016-01-27 00:00:00-05:00,50.11,50.57,48.82,49.1,7042
2016-01-28 00:00:00-05:00,48.97,49.7,47.05,47.45,18566
2016-01-29 00:00:00-05:00,47.4,49.99,46.98,49.6,6464
2016-02-01 00:00:00-05:00,49.42,49.42,48.22,48.22,11973
2016-02-02 00:00:00-05:00,47.94,48.6,47.1,47.29,8261
2016-02-03 00:00:00-05:00,47.57,47.9899,46.58,46.85,20076
2016-02-04 00:00:00-05:00,46.9,48.47,46.25,47.235,42380
2016-02-05 00:00:00-05:00,47.1,47.61,46,46.01,21533
2016-02-08 00:00:00-05:00,46,46.7499,45.47,46.31,11219
2016-02-09 00:00:00-05:00,46.11,47.84,45.6,47.35,2937
2016-02-10 00:00:00-05:00,47.63,49.1,45.9,46.28,9779
2016-02-11 00:00:00-05:00,45.95,47.32,45.75,46.96,9394
2016-02-12 00:00:00-05:00,47.67,48.6899,47.1,47.82,13510
2016-02-16 00:00:00-05:00,48.1,49.05,47.65,48.85,6693
2016-02-17 00:00:00-05:00,49.11,50.78,49.03,50.4,6621
2016-02-18 00:00:00-05:00,50.16,51.9,49.53,50.525,8793
2016-02-19 00:00:00-05:00,50.47,52.94,50.13,50.71,17374
2016-02-22 00:00:00-05:00,51.47,52.3241,51,51,11479
2016-02-23 00:00:00-05:00,50.79,51.56,49.05,49.05,19515
2016-02-24 00:00:00-05:00,49,50.48,49,49.99,17152
2016-02-25 00:00:00-05:00,50.2,50.9699,49.8,50.5599,6295
2016-02-26 00:00:00-05:00,50.42,50.88,49.8,50.06,7850
2016-02-29 00:00:00-05:00,50.16,51.3,50.16,50.8,7119
2016-03-01 00:00:00-05:00,51.1,51.97,50.85,51.38,12025
2016-03-02 00:00:00-05:00,51.5,52.95,51.45,52.59,13860
2016-03-03 00:00:00-05:00,52.5,54,52.04,53.55,12782
2016-03-04 00:00:00-05:00,53.42,54.795,53.06,53.38,14206
2016-03-07 00:00:00-05:00,53.75,53.96,52.5,52.51,7897
2016-03-08 00:00:00-05:00,52.71,54.6799,52.56,53.87,8924
2016-03-09 00:00:00-05:00,54,54.96,53.96,54.76,7698
2016-03-10 00:00:00-05:00,55,55.39,54,54,7939
2016-03-11 00:00:00-05:00,54.58,55.3,53.2,53.91,4986
2016-03-14 00:00:00-04:00,54,55.25,53.61,54.05,8328
2016-03-15 00:00:00-04:00,54.01,55.2699,53.34,54.09,3073
2016-03-16 00:00:00-04:00,53.83,55,53.63,54.14,6489
2016-03-17 00:00:00-04:00,54.35,55.16,54.1,54.97,10047
2016-03-18 00:00:00-04:00,55.25,55.5,54.31,55.47,13591
2016-03-21 00:00:00-04:00,55.36,56.06,55.05,55.37,7769
2016-03-22 00:00:00-04:00,55.11,56.029,55.05,55.51,7590
2016-03-23 00:00:00-04:00,55.65,56.2,55.52,55.56,7182
2016-03-24 00:00:00-04:00,55.51,56.9899,54.49,54.75,5089
2016-03-28 00:00:00-04:00,55.05,56.25,54.9,54.9,10395
2016-03-29 00:00:00-04:00,55.02,57,54.38,57,18312
2016-03-30 00:00:00-04:00,57,57.77,55.7,56.81,9155
2016-03-31 00:00:00-04:00,56.84,57.872,54.954,56.545,8442
2016-04-01 00:00:00-04:00,56.01,56.91,56,56.49,4505
2016-04-04 00:00:00-04:00,56.44,57.24,56.03,56.04,6938
2016-04-05 00:00:00-04:00,56.06,57.16,55.8,56.04,8016
2016-04-06 00:00:00-04:00,56.29,56.71,54.4501,56.265,12765
2016-04-07 00:00:00-04:00,56.07,57.5,56.05,56.27,1089
2016-04-08 00:00:00-04:00,56.3,58.1919,56.3,56.42,5413
2016-04-11 00:00:00-04:00,56.62,58.53,56.05,56.39,2541
2016-04-12 00:00:00-04:00,56.43,58.64,56.19,56.47,4333
2016-04-13 00:00:00-04:00,56.91,58.8414,56.06,57.98,10304
2016-04-14 00:00:00-04:00,57.81,58,56.8101,57.98,2968
2016-04-15 00:00:00-04:00,57.64,57.97,57.32,57.735,4429
2016-04-18 00:00:00-04:00,57.82,58.33,57.13,58.1,3683
2016-04-19 00:00:00-04:00,58.47,59.37,57.46,58.44,8867
2016-04-20 00:00:00-04:00,58.6,58.78,57.56,58.38,9523
2016-04-21 00:00:00-04:00,58.66,58.88,57.5301,58.42,8986
2016-04-22 00:00:00-04:00,58.68,59.18,58,58.84,2254
2016-04-25 00:00:00-04:00,58.59,58.7,58,58.42,3683
2016-04-26 00:00:00-04:00,58.29,58.88,58.2,58.87,4228
2016-04-27 00:00:00-04:00,58.78,59.5,58,58.76,4160
2016-04-28 00:00:00-04:00,58.75,58.75,57.86,58.07,20989
2016-04-29 00:00:00-04:00,58.3,58.46,55.82,57.2,8150
2016-05-02 00:00:00-04:00,57.25,57.38,56.08,56.87,4109
2016-05-03 00:00:00-04:00,56.45,56.96,56.3,56.82,2435
2016-05-04 00:00:00-04:00,56.09,57.04,56,56.75,3702
2016-05-05 00:00:00-04:00,56.54,58.4,56.02,57.45,5802
2016-05-06 00:00:00-04:00,57.45,58.39,56.84,57.8,8072
2016-05-09 00:00:00-04:00,57.85,58.4,57.45,57.45,6422
2016-05-10 00:00:00-04:00,57.67,57.92,56.62,57.04,7043
2016-05-11 00:00:00-04:00,57.49,57.75,56.67,57.4,8316
2016-05-12 00:00:00-04:00,56.13,56.93,55.87,56.825,4979
2016-05-13 00:00:00-04:00,56.65,57,56.09,56.16,5189
2016-05-16 00:00:00-04:00,56.4,56.9989,56.12,56.22,3832
2016-05-17 00:00:00-04:00,56.32,56.45,54,54.02,7586
2016-05-18 00:00:00-04:00,54.07,54.09,52.16,53.5,11712
2016-05-19 00:00:00-04:00,53.12,53.69,52.2,53.215,5336
2016-05-20 00:00:00-04:00,52.67,56.24,52.03,56.13,8991
2016-05-23 00:00:00-04:00,56,56.2,54.09,56,13966
2016-05-24 00:00:00-04:00,56.29,57.2399,56.14,56.93,8708
2016-05-25 00:00:00-04:00,56.93,58.25,56.93,57.72,15108
2016-05-26 00:00:00-04:00,57.99,57.99,55.45,56.29,3308
2016-05-27 00:00:00-04:00,56.67,58,55.11,56.74,3843
2016-05-31 00:00:00-04:00,56.73,57.2499,55.5,56.84,3386
2016-06-01 00:00:00-04:00,56.06,56.7199,55.5025,56.69,2462
2016-06-02 00:00:00-04:00,56.68,56.9,55.89,56.53,3031
2016-06-03 00:00:00-04:00,56.46,56.98,55.88,56.13,3401
2016-06-06 00:00:00-04:00,56.44,57.5,55.5001,57.5,5199
2016-06-07 00:00:00-04:00,57.23,57.75,56.38,56.669,3378
2016-06-08 00:00:00-04:00,56.46,57.51,56.08,56.8847,12891
2016-06-09 00:00:00-04:00,56.89,57.77,55.5,56.73,10319
2016-06-10 00:00:00-04:00,56.15,56.86,55.2,55.99,21686
2016-06-13 00:00:00-04:00,55.35,56.28,55,55.44,3866
2016-06-14 00:00:00-04:00,55.23,56.4799,53.21,54.5,3393
2016-06-15 00:00:00-04:00,54.78,58,54.1,56.98,32686
2016-06-16 00:00:00-04:00,56.79,57.97,55.31,56.88,3033
2016-06-17 00:00:00-04:00,57.01,57.96,55.3,57.3,14067
2016-06-20 00:00:00-04:00,58.24,58.24,55.571,58.02,5151
2016-06-21 00:00:00-04:00,57.81,58.1,57.6201,58.1,4468
2016-06-22 00:00:00-04:00,58.18,59,56.0601,58.13,6516
2016-06-23 00:00:00-04:00,58.46,58.9,58,58.38,8564
2016-06-24 00:00:00-04:00,56.41,58.24,54.58,58.24,7724
2016-06-27 00:00:00-04:00,57.46,58.61,55.5201,58.07,18966
2016-06-28 00:00:00-04:00,58.82,58.99,56.6,56.91,6591
2016-06-29 00:00:00-04:00,57.37,58.5,56.72,58.19,10172
2016-06-30 00:00:00-04:00,58.8,58.8,58.491,58.65,7015
2016-07-01 00:00:00-04:00,58.88,58.88,56.73,58.71,3054
2016-07-05 00:00:00-04:00,58.52,59.115,58.4,58.43,13746
2016-07-06 00:00:00-04:00,58.9699,58.97,57.08,58.37,4067
2016-07-07 00:00:00-04:00,58.42,58.9799,57.34,57.43,9375
2016-07-08 00:00:00-04:00,58.17,58.4499,57.0101,57.545,17082
2016-07-11 00:00:00-04:00,57.79,58.25,56.55,57.67,10952
2016-07-12 00:00:00-04:00,57.63,58.88,57.1801,58.87,7263
2016-07-13 00:00:00-04:00,58.95,58.95,57.505,58.86,4988
2016-07-14 00:00:00-04:00,59,59.5,58.5,58.5675,12331
2016-07-15 00:00:00-04:00,58.99,59.0266,57.36,58.09,10982
2016-07-18 00:00:00-04:00,57.76,59.2499,55.59,55.59,17578
2016-07-19 00:00:00-04:00,55.86,56.229,52.5,53.1,19092
2016-07-20 00:00:00-04:00,53.68,56.18,53.68,54.73,35708
2016-07-21 00:00:00-04:00,55.49,59.82,55.49,57.6,58638
2016-07-22 00:00:00-04:00,57.58,58.85,56.7801,57.26,4637
2016-07-25 00:00:00-04:00,57.64,58.75,57,57.75,15986
2016-07-26 00:00:00-04:00,57.66,58.8,57.66,58.79,14373
2016-07-27 00:00:00-04:00,58.99,59.22,58.57,58.91,50447
2016-07-28 00:00:00-04:00,57.86,57.86,56.35,57.58,10531
2016-07-29 00:00:00-04:00,57.32,57.49,56.3013,57.21,7361
2016-08-01 00:00:00-04:00,57.01,57.42,56.33,57.2,12209
2016-08-02 00:00:00-04:00,57.39,58.92,56.74,57.77,16155
2016-08-03 00:00:00-04:00,57.2,58,57.16,57.5,3633
2016-08-04 00:00:00-04:00,57.94,58,57.09,57.47,3357
2016-08-05 00:00:00-04:00,57.61,58.5,56.881,58,12955
2016-08-08 00:00:00-04:00,58.08,58.5,57,58.3,11976
2016-08-09 00:00:00-04:00,58.35,58.75,56.9,58.43,5127
2016-08-10 00:00:00-04:00,58.14,58.75,57.79,57.8001,2897
2016-08-11 00:00:00-04:00,57.69,58.5535,57.0801,58.46,6879
2016-08-12 00:00:00-04:00,58.24,58.4,57.1001,57.935,4764
2016-08-15 00:00:00-04:00,58.01,58.3,56.58,56.88,12445
2016-08-16 00:00:00-04:00,56.45,57.4399,56.37,56.45,3111
