date,1. open,2. high,3. low,4. close,5. volume
2018-07-27 00:00:00-04:00,14.34,15.62,12.29,13.1,6688874
2018-07-30 00:00:00-04:00,12.67,12.95,11.85,12.01,2222512
2018-07-31 00:00:00-04:00,12.03,12.3,12.01,12.08,396463
2018-08-01 00:00:00-04:00,12.19,12.2,12,12.14,340283
2018-08-02 00:00:00-04:00,12.18,12.18,11.98,12.05,620518
2018-08-03 00:00:00-04:00,12.01,12.14,11.5,11.5,1032851
2018-08-06 00:00:00-04:00,11.52,13.7,11.49,13.45,1075515
2018-08-07 00:00:00-04:00,13.64,14.24,13.03,13.62,686420
2018-08-08 00:00:00-04:00,13.7,13.969,12.601,13.4,455570
2018-08-09 00:00:00-04:00,13.64,13.64,12.95,13.48,232530
2018-08-10 00:00:00-04:00,13.3,13.52,12.76,13.42,250278
2018-08-13 00:00:00-04:00,13.73,13.73,12.93,13.07,110595
2018-08-14 00:00:00-04:00,13.16,13.3,12.76,12.86,119218
2018-08-15 00:00:00-04:00,12,12.2,10.22,10.6,844191
2018-08-16 00:00:00-04:00,10.85,11.5,10.85,11.5,202463
2018-08-17 00:00:00-04:00,11.56,11.56,10.54,10.93,171522
2018-08-20 00:00:00-04:00,10.98,11.33,10.95,11.29,123729
2018-08-21 00:00:00-04:00,11.29,12.419,11.25,12.15,154288
2018-08-22 00:00:00-04:00,12.72,12.72,12.14,12.61,133173
2018-08-23 00:00:00-04:00,12.53,12.66,12.33,12.59,119665
2018-08-24 00:00:00-04:00,12.97,13.5,12.97,13.305,1398094
2018-08-27 00:00:00-04:00,13.42,13.7,13.36,13.58,313453
2018-08-28 00:00:00-04:00,13.55,13.56,12.32,12.43,205629
2018-08-29 00:00:00-04:00,12.49,12.98,12.37,12.46,111153
2018-08-30 00:00:00-04:00,12.43,12.7,11.95,12.25,277800
2018-08-31 00:00:00-04:00,12.2,12.33,11.76,11.81,88997
2018-09-04 00:00:00-04:00,11.8,12.19,11.8,12.0649,60143
2018-09-05 00:00:00-04:00,12.03,12.03,11.3941,11.6,90456
2018-09-06 00:00:00-04:00,11.63,11.71,11.39,11.5,48371
2018-09-07 00:00:00-04:00,11.48,12.2645,11.1,11.45,47587
2018-09-10 00:00:00-04:00,11.34,11.4338,11.2,11.29,35266
2018-09-11 00:00:00-04:00,11.26,11.36,10.98,11.09,36933
2018-09-12 00:00:00-04:00,11.11,11.11,10.94,11.02,59449
2018-09-13 00:00:00-04:00,11.11,11.6,11.03,11.4,55390
2018-09-14 00:00:00-04:00,11.43,11.64,10.97,11.1112,89071
2018-09-17 00:00:00-04:00,11.15,11.15,10.5,10.8,232416
2018-09-18 00:00:00-04:00,10.76,10.81,10.09,10.11,129815
2018-09-19 00:00:00-04:00,10.14,10.2599,9.9,9.9,297285
2018-09-20 00:00:00-04:00,10,10.09,9.52,9.91,151943
2018-09-21 00:00:00-04:00,9.96,9.9791,9.65,9.66,162416
2018-09-24 00:00:00-04:00,9.6,9.7,9.01,9.04,204093
2018-09-25 00:00:00-04:00,9.1,9.23,8.82,8.82,108483
2018-09-26 00:00:00-04:00,8.81,9.3181,8.68,9.04,226676
2018-09-27 00:00:00-04:00,9.15,9.5,9,9.06,40735
2018-09-28 00:00:00-04:00,8.97,9.1104,8.9,9,76682
2018-10-01 00:00:00-04:00,9.09,9.2161,8.72,8.9,130071
2018-10-02 00:00:00-04:00,8.85,9.7,8.8366,9.12,256229
2018-10-03 00:00:00-04:00,9.24,9.72,9.15,9.24,323452
2018-10-04 00:00:00-04:00,9.16,9.16,8.8,8.98,101882
2018-10-05 00:00:00-04:00,9,9.62,8.75,8.82,238173
2018-10-08 00:00:00-04:00,8.8,8.8,8.15,8.54,175755
2018-10-09 00:00:00-04:00,8.49,8.75,8.31,8.5,77794
2018-10-10 00:00:00-04:00,8.5,8.55,8.07,8.16,157047
2018-10-11 00:00:00-04:00,8.06,8.18,7.66,7.75,193934
2018-10-12 00:00:00-04:00,7.92,7.92,7.7,7.745,154158
2018-10-15 00:00:00-04:00,7.83,7.9299,7.57,7.72,173653
2018-10-16 00:00:00-04:00,7.79,7.9,7.67,7.82,267317
2018-10-17 00:00:00-04:00,7.71,7.79,7.4,7.43,182305
2018-10-18 00:00:00-04:00,7.59,7.59,6.85,7.105,481040
2018-10-19 00:00:00-04:00,7.2,7.4999,6.8,6.8,279103
2018-10-22 00:00:00-04:00,6.86,7.3894,6.56,6.6338,618828
2018-10-23 00:00:00-04:00,6.56,6.919,6.35,6.69,335596
2018-10-24 00:00:00-04:00,6.72,6.849,6.45,6.52,204746
2018-10-25 00:00:00-04:00,6.59,7.23,6.35,7.05,271455
2018-10-26 00:00:00-04:00,6.77,7.25,6.57,7.1,157090
2018-10-29 00:00:00-04:00,7.24,7.469,6.86,7.04,290567
2018-10-30 00:00:00-04:00,7.04,7.27,6.76,6.78,254011
2018-10-31 00:00:00-04:00,6.84,6.86,6.45,6.62,178663
2018-11-01 00:00:00-04:00,6.86,7.26,6.74,7.055,869720
2018-11-02 00:00:00-04:00,7.18,7.18,6.5,6.75,284664
2018-11-05 00:00:00-05:00,6.77,7.03,6.61,6.86,412705
2018-11-06 00:00:00-05:00,6.87,6.9,6.23,6.54,388267
2018-11-07 00:00:00-05:00,6.4101,6.72,6.4101,6.42,139593
2018-11-08 00:00:00-05:00,6.95,7.45,6.31,7.43,1224990
2018-11-09 00:00:00-05:00,7.37,7.37,6.6667,6.9,876339
2018-11-12 00:00:00-05:00,6.95,7.05,6.52,6.68,250606
2018-11-13 00:00:00-05:00,6.7136,6.7853,6.25,6.4844,555671
2018-11-14 00:00:00-05:00,6.47,6.91,6.42,6.75,369332
2018-11-15 00:00:00-05:00,6.75,6.82,6.55,6.63,215962
2018-11-16 00:00:00-05:00,6.56,6.85,6.56,6.75,118106
2018-11-19 00:00:00-05:00,6.71,6.79,6.56,6.665,159619
2018-11-20 00:00:00-05:00,6.55,6.7299,6.52,6.61,134469
2018-11-21 00:00:00-05:00,6.76,7.1,6.6792,6.97,116444
2018-11-23 00:00:00-05:00,6.92,7.15,6.85,6.94,45003
2018-11-26 00:00:00-05:00,7.01,7.025,6.82,6.92,101739
2018-11-27 00:00:00-05:00,6.9,6.9,6.53,6.61,108692
2018-11-28 00:00:00-05:00,6.65,6.8,6.52,6.78,95348
2018-11-29 00:00:00-05:00,6.89,6.9,6.59,6.81,169440
2018-11-30 00:00:00-05:00,6.96,6.98,6.69,6.91,157752
2018-12-03 00:00:00-05:00,6.9,7.09,6.8,6.97,137218
2018-12-04 00:00:00-05:00,7,7,6.09,6.09,431645
2018-12-06 00:00:00-05:00,6.25,6.5,6.14,6.37,154631
2018-12-07 00:00:00-05:00,6.36,6.36,6.0268,6.14,179338
2018-12-10 00:00:00-05:00,6.1,6.25,5.95,5.97,107450
2018-12-11 00:00:00-05:00,6.06,6.06,5.6,5.64,84213
2018-12-12 00:00:00-05:00,5.66,5.84,5.65,5.66,123625
2018-12-13 00:00:00-05:00,5.7,5.7,5.45,5.57,57966
2018-12-14 00:00:00-05:00,5.48,5.83,5.48,5.69,61792
2018-12-17 00:00:00-05:00,5.69,5.8088,5.42,5.74,115331
2018-12-18 00:00:00-05:00,5.6897,5.775,5.56,5.65,129401
2018-12-19 00:00:00-05:00,5.67,5.69,5.39,5.45,162759
2018-12-20 00:00:00-05:00,5.42,5.68,5.31,5.6,113933
2018-12-21 00:00:00-05:00,5.66,5.765,5.45,5.51,77167
2018-12-24 00:00:00-05:00,5.5,5.65,5.35,5.56,17566
2018-12-26 00:00:00-05:00,5.56,5.6,5.33,5.55,58793
2018-12-27 00:00:00-05:00,5.6,5.6,5.35,5.48,107050
2018-12-28 00:00:00-05:00,5.54,5.92,5.38,5.8,96544
2018-12-31 00:00:00-05:00,5.77,5.77,5.5,5.56,16404
2019-01-02 00:00:00-05:00,5.51,6.305,5.51,6.03,95172
2019-01-03 00:00:00-05:00,6.07,6.29,6.02,6.06,129588
2019-01-04 00:00:00-05:00,6.13,6.23,6.06,6.12,96072
2019-01-07 00:00:00-05:00,6.22,6.32,6.17,6.2,124945
2019-01-08 00:00:00-05:00,6.29,6.61,6.17,6.52,178106
2019-01-09 00:00:00-05:00,6.6,7.585,6.6,7.52,337914
2019-01-10 00:00:00-05:00,7.4,7.9568,7.17,7.8,239964
2019-01-11 00:00:00-05:00,7.78,7.89,7.54,7.55,226302
2019-01-14 00:00:00-05:00,7.58,7.585,7.02,7.1625,131113
2019-01-15 00:00:00-05:00,7.2,7.66,7.2,7.3,87273
2019-01-16 00:00:00-05:00,7.2,7.5,7,7.36,103896
2019-01-17 00:00:00-05:00,7.33,7.565,7.33,7.5,77204
2019-01-18 00:00:00-05:00,7.61,7.99,7.51,7.61,293111
2019-01-22 00:00:00-05:00,7.6,7.7399,7.2161,7.5799,151614
2019-01-23 00:00:00-05:00,7.59,7.75,7.47,7.685,115697
2019-01-24 00:00:00-05:00,7.74,7.93,7.55,7.59,148925
2019-01-25 00:00:00-05:00,7.65,7.895,7.24,7.5,169237
2019-01-28 00:00:00-05:00,7.46,7.795,7.32,7.32,322564
2019-01-29 00:00:00-05:00,7.34,8.2,7.31,8.05,172833
2019-01-30 00:00:00-05:00,8.02,8.36,7.8827,8.11,159543
2019-01-31 00:00:00-05:00,8.15,8.65,7.9766,8.21,173346
2019-02-01 00:00:00-05:00,8.2,8.5174,7.72,7.85,336228
2019-02-04 00:00:00-05:00,7.87,8.3,7.71,7.76,160914
2019-02-05 00:00:00-05:00,7.85,8.13,7.75,8.02,75233
2019-02-06 00:00:00-05:00,7.95,8.15,7.8,7.8,114977
2019-02-07 00:00:00-05:00,7.82,7.9801,7.61,7.76,63528
2019-02-08 00:00:00-05:00,7.7,7.99,7.7,7.95,25984
2019-02-11 00:00:00-05:00,7.89,7.99,7.63,7.84,23447
2019-02-12 00:00:00-05:00,7.9,8.34,7.87,7.99,86342
2019-02-13 00:00:00-05:00,8.07,8.5,7.96,8.36,141801
2019-02-14 00:00:00-05:00,8.45,8.516,8.14,8.25,29633
2019-02-15 00:00:00-05:00,8.11,8.11,8.11,8.11,359
2019-02-19 00:00:00-05:00,8.13,8.39,8.01,8.28,40340
2019-02-20 00:00:00-05:00,8.34,8.6394,8.16,8.565,85792
2019-02-21 00:00:00-05:00,8.7,9.8033,8.2,8.45,241193
2019-02-22 00:00:00-05:00,8.6,9.495,8.6,8.94,184315
2019-02-25 00:00:00-05:00,8.98,9.4,8.78,9.19,102870
2019-02-26 00:00:00-05:00,9.1,9.28,8.97,9.09,88604
2019-02-27 00:00:00-05:00,8.8301,9.21,8.8301,9.07,49858
2019-02-28 00:00:00-05:00,9.02,9.22,8.72,8.93,195084
2019-03-01 00:00:00-05:00,9,9,8.65,8.8,242712
2019-03-04 00:00:00-05:00,8.79,8.79,7.9,7.97,126321
2019-03-05 00:00:00-05:00,7.98,8.01,7.6601,7.8,101060
2019-03-06 00:00:00-05:00,7.85,7.99,7.625,7.79,68249
2019-03-07 00:00:00-05:00,7.74,7.8916,7.42,7.69,60479
2019-03-08 00:00:00-05:00,7.6,7.8,7.2,7.35,137398
2019-03-11 00:00:00-04:00,7.19,7.8,7.19,7.7,165527
2019-03-12 00:00:00-04:00,7.65,7.8,7.64,7.68,53822
2019-03-13 00:00:00-04:00,7.69,7.74,7.55,7.64,64353
2019-03-14 00:00:00-04:00,7.49,7.5,7.48,7.5,1269
2019-03-15 00:00:00-04:00,7.47,7.55,7.3,7.48,30002
2019-03-18 00:00:00-04:00,7.4,7.49,7.26,7.39,33995
2019-03-19 00:00:00-04:00,7.28,7.4129,6.93,7,69191
2019-03-20 00:00:00-04:00,7.05,7.37,6.975,7.09,100349
2019-03-21 00:00:00-04:00,7.18,7.47,7.16,7.2,104648
2019-03-22 00:00:00-04:00,7.2,7.25,6.85,6.9,131439
2019-03-25 00:00:00-04:00,6.82,7.04,6.6,6.79,61208
2019-03-26 00:00:00-04:00,6.74,6.9,6.69,6.865,55623
2019-03-27 00:00:00-04:00,6.9,6.99,6.65,6.7,80212
2019-03-28 00:00:00-04:00,6.69,6.8,6.36,6.48,76586
2019-03-29 00:00:00-04:00,6.6,6.62,6.57,6.57,2611
2019-04-01 00:00:00-04:00,6.55,6.71,6.46,6.6,51121
2019-04-02 00:00:00-04:00,6.6,6.7,6.51,6.6,157990
2019-04-03 00:00:00-04:00,6.68,7.2,6.6,7.08,447845
2019-04-04 00:00:00-04:00,7.17,7.34,6.7,7.28,596137
2019-04-05 00:00:00-04:00,7.41,7.41,6.9701,7.34,156793
2019-04-08 00:00:00-04:00,7.27,7.455,7.19,7.35,150762
2019-04-09 00:00:00-04:00,7.31,7.75,7.26,7.69,186926
2019-04-10 00:00:00-04:00,7.7,8.05,7.5975,7.95,184031
2019-04-11 00:00:00-04:00,7.94,7.94,7.73,7.85,25722
2019-04-12 00:00:00-04:00,7.99,8.06,7.82,7.885,108736
2019-04-15 00:00:00-04:00,8.03,8.45,8,8.37,147691
2019-04-16 00:00:00-04:00,8.38,9.2,8.38,9.02,165024
2019-04-17 00:00:00-04:00,9.05,9.1068,8.65,8.995,150319
2019-04-18 00:00:00-04:00,9.03,9.04,8.6007,8.605,107509
2019-04-22 00:00:00-04:00,8.62,8.761,7.55,8.56,290374
2019-04-23 00:00:00-04:00,8.57,9.075,8.57,9,129711
2019-04-24 00:00:00-04:00,9.03,9.03,8.66,8.85,66761
2019-04-25 00:00:00-04:00,8.9,9.33,8.67,9.13,94549
2019-04-26 00:00:00-04:00,9.24,9.24,8.53,8.79,133641
2019-04-29 00:00:00-04:00,8.85,9.19,8.5,9.19,124019
2019-04-30 00:00:00-04:00,8.97,9.79,8.95,9.57,261064
2019-05-01 00:00:00-04:00,9.68,10.054,9.41,10.01,192627
2019-05-02 00:00:00-04:00,9.87,10.21,9.57,9.57,159291
2019-05-03 00:00:00-04:00,9.7,9.73,9.43,9.43,52253
2019-05-06 00:00:00-04:00,9.19,9.81,8.88,9.48,59319
2019-05-07 00:00:00-04:00,9.42,9.93,9.33,9.39,94050
2019-05-08 00:00:00-04:00,9.47,9.69,9.027,9.535,92247
2019-05-09 00:00:00-04:00,9.42,9.8,9.165,9.45,58046
2019-05-10 00:00:00-04:00,9.46,9.91,9.11,9.58,50006
2019-05-13 00:00:00-04:00,9.28,9.87,9.17,9.47,117288
2019-05-14 00:00:00-04:00,9.5,9.8,9.45,9.625,41255
2019-05-15 00:00:00-04:00,9.53,9.98,9.2105,9.85,166410
2019-05-16 00:00:00-04:00,9.85,9.91,9.56,9.71,136878
2019-05-17 00:00:00-04:00,9.68,10.25,9.6,9.7,139470
2019-05-20 00:00:00-04:00,9.58,9.76,9.25,9.31,190755
2019-05-21 00:00:00-04:00,9.42,9.6,9.13,9.59,112790
2019-05-22 00:00:00-04:00,9.9,10.64,9.12,9.79,139169
2019-05-23 00:00:00-04:00,9.85,9.85,9.24,9.5,202298
2019-05-24 00:00:00-04:00,9.57,10.94,9.49,10.88,236552
2019-05-28 00:00:00-04:00,10.91,12.19,10.91,12,432202
2019-05-29 00:00:00-04:00,12,12,11.55,11.76,320964
2019-05-30 00:00:00-04:00,11.81,12.44,11.7913,12.15,799869
2019-05-31 00:00:00-04:00,12.06,12.1,10.81,11.47,545033
2019-06-04 00:00:00-04:00,10.51,10.86,10.285,10.71,204974
2019-06-05 00:00:00-04:00,10.8,11.16,9.87,10.03,149803
