date,1. open,2. high,3. low,4. close,5. volume
2017-05-05 00:00:00-04:00,14,14.48,12.08,12.26,1547336
2017-05-08 00:00:00-04:00,12.26,12.9,12.2,12.83,81592
2017-05-09 00:00:00-04:00,12.8,13.5,12.5,13.1,42796
2017-05-10 00:00:00-04:00,13.35,13.71,12.7555,13.59,67494
2017-05-11 00:00:00-04:00,13.93,13.9999,13.675,13.835,29466
2017-05-12 00:00:00-04:00,13.51,13.88,13.1734,13.74,46687
2017-05-15 00:00:00-04:00,13.88,14,13.7,13.85,45942
2017-05-16 00:00:00-04:00,13.71,14,13.45,13.75,60706
2017-05-17 00:00:00-04:00,13.75,13.7999,12.75,13.725,40003
2017-05-18 00:00:00-04:00,13.63,15.929,13.48,14.95,48988
2017-05-19 00:00:00-04:00,15,15.1499,14.63,15,72845
2017-05-22 00:00:00-04:00,15,15.05,14.7601,14.93,25056
2017-05-23 00:00:00-04:00,14.56,14.95,13.91,14.935,42691
2017-05-24 00:00:00-04:00,15,15.01,13.4903,13.6101,40095
2017-05-25 00:00:00-04:00,14.54,14.95,14.22,14.57,35005
2017-05-26 00:00:00-04:00,14.62,14.9,14.46,14.48,20010
2017-05-30 00:00:00-04:00,14.5,14.5,13.25,13.42,92479
2017-05-31 00:00:00-04:00,13.36,13.78,12.525,12.58,57165
2017-06-01 00:00:00-04:00,12.71,12.98,11.46,11.58,68450
2017-06-02 00:00:00-04:00,11.56,12.49,11.55,12.16,130113
2017-06-05 00:00:00-04:00,12.27,12.81,12.1,12.4,125490
2017-06-06 00:00:00-04:00,12.3,12.459,11.49,11.68,73347
2017-06-07 00:00:00-04:00,11.69,12.01,10.71,11.27,96170
2017-06-08 00:00:00-04:00,11.29,12.5,10.8,12.445,96667
2017-06-09 00:00:00-04:00,12.3,13.93,11.95,13.87,75054
2017-06-12 00:00:00-04:00,13.84,14.7994,12.21,13.21,54361
2017-06-13 00:00:00-04:00,13.11,14.5,12.21,14.4,47192
2017-06-14 00:00:00-04:00,14.54,14.54,13.25,13.93,38251
2017-06-15 00:00:00-04:00,13.78,14.27,13.69,14,24197
2017-06-16 00:00:00-04:00,13.85,14,13.04,13.51,57347
2017-06-19 00:00:00-04:00,13.34,13.84,12.77,13.18,43382
2017-06-20 00:00:00-04:00,13.14,14.348,12.52,12.79,41374
2017-06-21 00:00:00-04:00,12.79,13.4075,12.2504,12.41,57934
2017-06-22 00:00:00-04:00,12.64,14.03,12.35,12.855,79159
2017-06-23 00:00:00-04:00,12.74,12.97,11.1668,11.56,190061
2017-06-26 00:00:00-04:00,11.97,12.19,10.8075,11.44,132444
2017-06-27 00:00:00-04:00,11.5,11.69,10.3,11.02,176750
2017-06-28 00:00:00-04:00,10.94,10.97,10.05,10.6,58384
2017-06-29 00:00:00-04:00,10.53,10.7699,10.13,10.69,56960
2017-06-30 00:00:00-04:00,10.72,11,10.34,10.47,22601
2017-07-03 00:00:00-04:00,10.59,10.94,10.07,10.15,24499
2017-07-05 00:00:00-04:00,10.15,10.58,9.97,10.19,42550
2017-07-06 00:00:00-04:00,10.26,10.3,9.88,10.07,19840
2017-07-07 00:00:00-04:00,10.09,10.22,9.58,9.59,40455
2017-07-10 00:00:00-04:00,9.66,9.86,8.785,9.01,69869
2017-07-11 00:00:00-04:00,8.97,9.46,8.94,9.32,42920
2017-07-12 00:00:00-04:00,9.32,9.9,9.12,9.62,74910
2017-07-13 00:00:00-04:00,9.62,9.8152,9.0201,9.29,46206
2017-07-14 00:00:00-04:00,9.23,9.71,9.02,9.315,44224
2017-07-17 00:00:00-04:00,9.27,9.572,9.12,9.3,40485
2017-07-18 00:00:00-04:00,9.0401,9.33,9.0401,9.31,20347
2017-07-19 00:00:00-04:00,9.6,9.6658,9.11,9.48,67469
2017-07-20 00:00:00-04:00,9.36,9.63,9.12,9.29,40875
2017-07-21 00:00:00-04:00,9.53,9.57,9.0601,9.14,32840
2017-07-24 00:00:00-04:00,9.17,9.5458,8.8443,9.04,37499
2017-07-25 00:00:00-04:00,9.15,9.2,8.82,8.86,20853
2017-07-26 00:00:00-04:00,8.86,9.31,8.78,8.88,21514
2017-07-27 00:00:00-04:00,8.94,9.218,7.8201,8.24,49440
2017-07-28 00:00:00-04:00,8.16,8.95,8.01,8.16,60771
2017-07-31 00:00:00-04:00,8.1,8.66,8.1,8.18,39996
2017-08-01 00:00:00-04:00,8.14,8.4089,8.06,8.12,44469
2017-08-02 00:00:00-04:00,8.15,8.3177,7.81,7.82,46418
2017-08-03 00:00:00-04:00,7.86,8.38,7.34,7.37,56890
2017-08-04 00:00:00-04:00,7.37,7.6238,6.96,6.97,49519
2017-08-07 00:00:00-04:00,6.95,7.81,6.95,7.43,72219
2017-08-08 00:00:00-04:00,7.48,7.61,7.09,7.2,32244
2017-08-09 00:00:00-04:00,7.09,7.31,6.27,6.38,45856
