date,1. open,2. high,3. low,4. close,5. volume
2015-06-10 00:00:00-04:00,12.3,12.3,12.08,12.24,3919
2015-06-11 00:00:00-04:00,12.3,12.3,12.15,12.25,3763
2015-06-12 00:00:00-04:00,12.3,12.36,12.09,12.19,7517
2015-06-15 00:00:00-04:00,12.32,12.35,12.05,12.32,7227
2015-06-16 00:00:00-04:00,12.32,12.35,12.09,12.35,3014
2015-06-17 00:00:00-04:00,12.35,12.35,12.01,12.32,5807
2015-06-18 00:00:00-04:00,12.27,12.33,12.12,12.12,5824
2015-06-19 00:00:00-04:00,12.13,12.45,11.26,11.67,11857
2015-06-22 00:00:00-04:00,11.6,12.3,11.6,11.95,2479
2015-06-23 00:00:00-04:00,11.98,11.98,11.93,11.97,900
2015-06-24 00:00:00-04:00,11.77,11.7899,11.45,11.71,766
2015-06-25 00:00:00-04:00,11.66,11.674,11.63,11.67,2748
2015-06-26 00:00:00-04:00,11.58,11.58,11.58,11.58,100
2015-06-29 00:00:00-04:00,12.17,12.17,11.645,11.89,4314
2015-06-30 00:00:00-04:00,11.9988,11.9988,11.76,11.855,1221
2015-07-01 00:00:00-04:00,11.8499,11.8499,11.64,11.64,1203
2015-07-02 00:00:00-04:00,11.8,11.95,11.75,11.75,735
2015-07-06 00:00:00-04:00,11.9,11.9,11.7,11.7,2940
2015-07-07 00:00:00-04:00,11.6499,11.6499,11.5,11.55,504
2015-07-08 00:00:00-04:00,11.42,11.74,11.42,11.69,3323
2015-07-09 00:00:00-04:00,11.44,11.44,11.44,11.44,4
2015-07-10 00:00:00-04:00,11.73,11.75,11.52,11.75,3845
2015-07-13 00:00:00-04:00,11.56,11.86,11.56,11.76,204
2015-07-14 00:00:00-04:00,11.88,11.88,11.74,11.74,525
2015-07-15 00:00:00-04:00,11.48,11.78,11.42,11.77,3372
2015-07-16 00:00:00-04:00,11.76,11.7899,11.46,11.46,1304
2015-07-17 00:00:00-04:00,11.77,11.77,11.44,11.44,110
2015-07-20 00:00:00-04:00,11.45,11.76,11.45,11.54,89
2015-07-21 00:00:00-04:00,11.8,11.8,11.56,11.56,2754
2015-07-22 00:00:00-04:00,11.4,11.544,11.4,11.544,1386
2015-07-23 00:00:00-04:00,11.5617,11.73,11.5617,11.6,134
2015-07-24 00:00:00-04:00,11.42,11.42,11.42,11.42,10
2015-07-27 00:00:00-04:00,11.4,11.47,11.4,11.47,1416
2015-07-28 00:00:00-04:00,11.72,11.72,11.65,11.65,200
2015-07-29 00:00:00-04:00,11.67,11.73,11.4,11.73,1892
2015-07-31 00:00:00-04:00,11.5358,11.5358,11.4301,11.4301,600
2015-08-03 00:00:00-04:00,11.53,11.74,11.5,11.5,118
2015-08-04 00:00:00-04:00,11.741,11.741,11.45,11.45,1102
2015-08-06 00:00:00-04:00,11.44,11.44,11.25,11.25,1885
2015-08-07 00:00:00-04:00,11,11.2199,11,11.13,757
2015-08-10 00:00:00-04:00,11.24,11.24,10.8975,10.9899,4300
2015-08-11 00:00:00-04:00,10.8,10.8,10.8,10.8,6
2015-08-12 00:00:00-04:00,10.82,10.9,10.81,10.81,1500
2015-08-13 00:00:00-04:00,10.8,10.97,10.75,10.9501,14425
2015-08-14 00:00:00-04:00,10.95,11.3,10.95,11.3,746
2015-08-17 00:00:00-04:00,11.25,11.25,10.95,11.06,1600
2015-08-18 00:00:00-04:00,11.265,11.265,10.94,10.99,2299
2015-08-19 00:00:00-04:00,10.94,10.96,10.94,10.94,2179
