date,1. open,2. high,3. low,4. close,5. volume
2015-12-21 00:00:00-05:00,54.47,55.77,53.25,53.62,452252
2015-12-22 00:00:00-05:00,53.71,55.16,53.06,54.94,553811
2015-12-23 00:00:00-05:00,55.03,55.5,53.35,54.19,413286
2015-12-24 00:00:00-05:00,54.25,54.85,53.82,53.92,165411
2015-12-28 00:00:00-05:00,53.82,54.89,53.41,54.21,175268
2015-12-29 00:00:00-05:00,54.7,55.94,53.79,55.34,232886
2015-12-30 00:00:00-05:00,55.57,55.88,54.85,55.44,221335
2015-12-31 00:00:00-05:00,55.37,56.55,55.14,55.2,346892
2016-01-04 00:00:00-05:00,54.58,57.56,53.39,57.52,608350
2016-01-05 00:00:00-05:00,58.07,59.36,57.56,58.69,1008502
2016-01-06 00:00:00-05:00,57.45,59.66,57.45,59.22,539290
2016-01-07 00:00:00-05:00,60.01,63.29,60.01,63.21,1294960
2016-01-08 00:00:00-05:00,62.56,63.05,60.21,61.3,1034787
2016-01-11 00:00:00-05:00,62.52,63.83,61.7,63.74,1005464
2016-01-12 00:00:00-05:00,63.99,65.2,63.53,64.63,853242
2016-01-13 00:00:00-05:00,64.74,64.89,62.995,64,656724
2016-01-14 00:00:00-05:00,63.86,64.03,62.19,62.39,703433
2016-01-15 00:00:00-05:00,61.5,62.98,61.28,62.21,460948
2016-01-19 00:00:00-05:00,63.63,64.9799,61.42,62.545,379953
2016-01-20 00:00:00-05:00,61.61,63.65,60.9,63.17,448572
2016-01-21 00:00:00-05:00,63,65.1,62.77,64.3,503287
2016-01-22 00:00:00-05:00,64.39,64.9,63.402,64.9,435506
2016-01-25 00:00:00-05:00,64.97,65.15,62.38,62.68,363747
2016-01-26 00:00:00-05:00,63.28,65.77,62.58,64.61,448864
2016-01-27 00:00:00-05:00,64.27,64.87,63.26,64.14,488062
2016-01-28 00:00:00-05:00,64.87,65.33,64.245,64.61,285740
2016-01-29 00:00:00-05:00,64.86,65.81,64.4,65.1,467282
2016-02-01 00:00:00-05:00,64.43,65.5,64.23,64.86,327090
2016-02-02 00:00:00-05:00,64.93,66.86,64.46,65.26,339087
2016-02-03 00:00:00-05:00,65.44,65.615,63.8501,64.65,280392
2016-02-04 00:00:00-05:00,63.94,64.2,61.605,62.7,402766
