date,1. open,2. high,3. low,4. close,5. volume
2019-09-19 00:00:00-04:00,24.33,24.33,24.33,24.33,40
2019-09-20 00:00:00-04:00,23.8039,23.9798,23.8039,23.911,2164
2019-09-23 00:00:00-04:00,24.37,24.37,23.74,23.76,8421
2019-09-24 00:00:00-04:00,23.8,23.8,22.5011,22.7086,5489
2019-09-25 00:00:00-04:00,22.6,22.6,21.8256,22.4,4021
2019-09-26 00:00:00-04:00,22.4,22.654,22.37,22.63,3066
2019-09-27 00:00:00-04:00,22.45,22.61,21.85,21.9736,5725
2019-09-30 00:00:00-04:00,21.83,21.83,20.85,20.929,3548
2019-10-01 00:00:00-04:00,20.79,20.79,19.96,20,7493
2019-10-02 00:00:00-04:00,20.16,20.49,19.14,20.1451,5471
2019-10-03 00:00:00-04:00,20.07,20.9028,20.07,20.9028,440
2019-10-04 00:00:00-04:00,21.16,21.55,20.8237,20.8237,3636
2019-10-07 00:00:00-04:00,20.84,20.84,20.262,20.45,9510
2019-10-08 00:00:00-04:00,20.25,20.25,19.7666,20,7960
2019-10-09 00:00:00-04:00,20.05,20.0573,19.8,19.8,8134
2019-10-10 00:00:00-04:00,19.41,19.41,18,18,60866
2019-10-11 00:00:00-04:00,18.15,18.5201,17.8456,17.8456,6200
2019-10-14 00:00:00-04:00,17.7,17.7967,17.65,17.77,19544
2019-10-15 00:00:00-04:00,18.07,19.01,17.84,18.736,42530
2019-10-16 00:00:00-04:00,18.56,18.97,18.2289,18.35,19600
2019-10-17 00:00:00-04:00,19.39,19.39,18.65,19.1375,14442
2019-10-18 00:00:00-04:00,19.62,19.62,18.5,18.5604,19670
2019-10-21 00:00:00-04:00,18.4207,18.81,18.0931,18.79,6893
2019-10-22 00:00:00-04:00,18.39,18.79,18.39,18.4,4979
2019-10-23 00:00:00-04:00,18.5,19.01,18.35,18.9702,9565
2019-10-24 00:00:00-04:00,19.47,19.47,18.9084,19.21,11432
2019-10-25 00:00:00-04:00,19.12,19.421,18.98,19.335,8812
2019-10-28 00:00:00-04:00,19.42,19.61,19.07,19.07,8517
2019-10-29 00:00:00-04:00,18.97,18.97,18.3223,18.3223,9156
2019-10-30 00:00:00-04:00,18.26,18.45,18.02,18.116,7921
2019-10-31 00:00:00-04:00,18.09,18.09,17.6689,17.95,12222
2019-11-01 00:00:00-04:00,18.02,18.18,17.9,18.14,4788
2019-11-04 00:00:00-05:00,18.59,18.59,17.95,17.95,18644
2019-11-05 00:00:00-05:00,17.85,18.302,17.85,18.0869,7782
2019-11-06 00:00:00-05:00,18,18,17.76,17.82,17216
2019-11-07 00:00:00-05:00,18.01,18.01,17.4243,17.48,11572
2019-11-08 00:00:00-05:00,17.595,18.42,17.5325,18.27,33666
2019-11-11 00:00:00-05:00,18.35,18.35,17.687,17.8,12028
2019-11-12 00:00:00-05:00,17.85,17.85,17.09,17.14,30596
2019-11-13 00:00:00-05:00,17,17.1246,16.3115,16.3625,27831
2019-11-14 00:00:00-05:00,16.38,16.38,15.1565,15.6095,58521
2019-11-15 00:00:00-05:00,15.26,15.32,14.83,14.9535,14051
2019-11-18 00:00:00-05:00,15.1,15.1,14.05,14.12,39853
2019-11-19 00:00:00-05:00,14,14.8,14,14.8,17270
2019-11-20 00:00:00-05:00,14.79,15.776,14.79,15.57,49984
2019-11-21 00:00:00-05:00,15.96,17.78,15.96,17.1223,49520
2019-11-22 00:00:00-05:00,17.1,17.49,15.9,16.001,34144
2019-11-25 00:00:00-05:00,16,16.37,15.48,15.48,30130
2019-11-26 00:00:00-05:00,15.5,15.5,14.86,15.04,12465
2019-11-27 00:00:00-05:00,15.31,15.38,15.163,15.31,10785
2019-11-29 00:00:00-05:00,15.76,15.76,15.2785,15.3601,5784
2019-12-02 00:00:00-05:00,15.4,15.4009,15.0075,15.0677,21548
2019-12-03 00:00:00-05:00,14.88,15.2896,14.8262,15.272,8432
2019-12-04 00:00:00-05:00,15.34,15.34,15.0816,15.1,5143
2019-12-05 00:00:00-05:00,15.03,15.1318,14.8722,14.8873,3809
2019-12-06 00:00:00-05:00,14.9,14.9,14.8,14.85,4015
2019-12-09 00:00:00-05:00,14.93,15.49,14.93,15.43,16997
2019-12-10 00:00:00-05:00,15.53,15.53,15.155,15.18,5864
2019-12-11 00:00:00-05:00,15.2,15.2642,15.0001,15.01,3937
