date,1. open,2. high,3. low,4. close,5. volume
2019-10-29 00:00:00-04:00,9.8,10.1,9.6744,9.88,8199
2019-10-30 00:00:00-04:00,9.98,9.98,9.3508,9.584,13252
2019-10-31 00:00:00-04:00,9.5767,9.68,9.5376,9.58,9702
2019-11-01 00:00:00-04:00,9.86,9.9699,9.4555,9.555,14250
2019-11-04 00:00:00-05:00,9.71,9.72,9.48,9.51,6058
2019-11-05 00:00:00-05:00,9.56,9.97,9.37,9.6,3405
2019-11-06 00:00:00-05:00,9.5069,9.56,9.5,9.56,1855
2019-11-07 00:00:00-05:00,9.25,9.6236,9.25,9.33,6543
2019-11-08 00:00:00-05:00,9.2815,9.68,9.0801,9.39,5035
2019-11-11 00:00:00-05:00,9.07,9.1,8.8,8.81,8750
2019-11-12 00:00:00-05:00,9.0776,9.0776,8.69,8.7268,9103
2019-11-13 00:00:00-05:00,8.7,8.814,8.565,8.6362,6100
2019-11-14 00:00:00-05:00,8.6569,8.67,8.511,8.57,3363
2019-11-15 00:00:00-05:00,8.675,8.8224,8.673,8.7,5950
2019-11-18 00:00:00-05:00,8.278,8.65,8.278,8.5,2674
2019-11-19 00:00:00-05:00,8.4,8.615,8,8.29,10640
2019-11-20 00:00:00-05:00,8.32,8.34,8.3,8.3313,1832
2019-11-21 00:00:00-05:00,8.56,8.56,8.1147,8.34,4868
2019-11-22 00:00:00-05:00,8.3,8.475,8.2407,8.27,14900
2019-11-25 00:00:00-05:00,8.33,8.51,8.18,8.3556,15381
2019-11-26 00:00:00-05:00,8.36,8.36,7.97,7.97,6566
2019-11-27 00:00:00-05:00,7.93,7.93,7.6,7.8,10311
2019-11-29 00:00:00-05:00,7.8134,7.85,7.8134,7.85,360
2019-12-02 00:00:00-05:00,8.18,8.18,7.66,7.75,7391
2019-12-03 00:00:00-05:00,7.72,7.9999,7.6601,7.8054,14369
2019-12-04 00:00:00-05:00,8.0752,8.1189,7.9,8.05,10410
2019-12-05 00:00:00-05:00,8.27,8.4554,8.12,8.35,6809
2019-12-06 00:00:00-05:00,8.6101,8.771,8.48,8.48,9759
2019-12-09 00:00:00-05:00,8.53,9.14,8.48,9.1279,5716
2019-12-10 00:00:00-05:00,9.16,9.425,9.0653,9.4,6874
2019-12-11 00:00:00-05:00,9.47,9.5572,9.2,9.2742,6787
