date,1. open,2. high,3. low,4. close,5. volume
2015-12-21 00:00:00-05:00,1.15,1.17,1.13,1.135,323317
2015-12-22 00:00:00-05:00,1.1,1.14,1.09,1.1,283445
2015-12-23 00:00:00-05:00,1.07,1.13,1.04,1.12,675044
2015-12-24 00:00:00-05:00,1.08,1.12,1.08,1.11,82151
2015-12-28 00:00:00-05:00,1.07,1.09,1.03,1.03,446190
2015-12-29 00:00:00-05:00,1.02,1.04,1.02,1.035,235489
2015-12-30 00:00:00-05:00,1,1.02,0.99,0.9979,436301
2015-12-31 00:00:00-05:00,1.22,1.23,1.1,1.13,3904276
2016-01-04 00:00:00-05:00,1.1,1.11,1.07,1.11,453166
2016-01-05 00:00:00-05:00,1.13,1.16,1.1,1.11,313411
2016-01-06 00:00:00-05:00,1.12,1.12,1.04,1.06,342480
2016-01-07 00:00:00-05:00,1.02,1.04,1,1,278630
2016-01-08 00:00:00-05:00,1.05,1.08,1,1,354522
2016-01-11 00:00:00-05:00,1.04,1.04,0.9074,0.943,413315
2016-01-12 00:00:00-05:00,0.989,1.02,0.9211,0.9309,333546
2016-01-13 00:00:00-05:00,0.93,0.9842,0.7784,0.8632,502336
2016-01-14 00:00:00-05:00,0.8711,0.9037,0.8177,0.82,307368
2016-01-15 00:00:00-05:00,0.83,0.8499,0.778,0.827,292107
2016-01-19 00:00:00-05:00,0.8201,0.8399,0.7511,0.8043,151795
2016-01-20 00:00:00-05:00,0.7589,0.79,0.71,0.7601,274522
2016-01-21 00:00:00-05:00,0.8,0.82,0.77,0.8,201076
2016-01-22 00:00:00-05:00,0.785,0.8962,0.785,0.873,254105
2016-01-25 00:00:00-05:00,0.8798,0.9145,0.85,0.8809,225260
2016-01-26 00:00:00-05:00,0.86,0.9014,0.8502,0.87,75345
2016-01-27 00:00:00-05:00,0.8901,0.8966,0.8328,0.8328,121178
2016-01-28 00:00:00-05:00,0.8801,0.8949,0.7999,0.8309,243486
2016-01-29 00:00:00-05:00,0.85,0.88,0.8355,0.8794,94597
2016-02-01 00:00:00-05:00,0.85,0.88,0.8243,0.8315,199989
2016-02-02 00:00:00-05:00,0.83,0.8499,0.8,0.8003,192658
2016-02-03 00:00:00-05:00,0.84,0.8598,0.8133,0.8401,37515
2016-02-04 00:00:00-05:00,0.8499,0.8858,0.83,0.8701,58597
2016-02-05 00:00:00-05:00,0.87,0.9,0.8301,0.859,72869
2016-02-08 00:00:00-05:00,0.8236,0.825,0.7802,0.8019,143698
2016-02-09 00:00:00-05:00,0.786,0.7996,0.7557,0.7669,106354
2016-02-10 00:00:00-05:00,0.8135,0.84,0.78,0.8,93528
2016-02-11 00:00:00-05:00,0.79,0.8166,0.7701,0.795,101950
2016-02-12 00:00:00-05:00,0.78,0.83,0.78,0.8098,40083
2016-02-16 00:00:00-05:00,0.8201,1.11,0.8201,1.08,1069287
2016-02-17 00:00:00-05:00,1.15,1.39,1.1,1.29,1632810
2016-02-18 00:00:00-05:00,1.35,1.35,1.13,1.25,579742
2016-02-19 00:00:00-05:00,1.28,1.3,1.17,1.25,237104
2016-02-22 00:00:00-05:00,1.34,1.35,1.28,1.3389,651154
2016-02-23 00:00:00-05:00,1.34,1.34,1.26,1.26,209379
2016-02-24 00:00:00-05:00,1.25,1.25,1.19,1.21,169017
2016-02-25 00:00:00-05:00,1.24,1.24,1.16,1.22,203719
2016-02-26 00:00:00-05:00,1.25,1.2598,1.2,1.24,99485
2016-02-29 00:00:00-05:00,1.32,1.32,1.27,1.298,142110
2016-03-01 00:00:00-05:00,1.29,1.3,1.27,1.3,186586
2016-03-02 00:00:00-05:00,1.25,1.29,1.24,1.28,146758
2016-03-03 00:00:00-05:00,1.28,1.3,1.27,1.29,232440
2016-03-04 00:00:00-05:00,1.27,1.4,1.27,1.37,420346
2016-03-07 00:00:00-05:00,1.4,1.67,1.396,1.5575,1183139
2016-03-08 00:00:00-05:00,1.56,1.56,1.4101,1.5,579344
2016-03-09 00:00:00-05:00,1.54,1.59,1.52,1.55,388053
2016-03-10 00:00:00-05:00,1.64,1.66,1.56,1.6206,520430
2016-03-11 00:00:00-05:00,1.7,1.72,1.65,1.66,292448
2016-03-14 00:00:00-04:00,1.68,1.69,1.61,1.645,330376
2016-03-15 00:00:00-04:00,1.63,1.6499,1.56,1.58,238221
2016-03-16 00:00:00-04:00,1.54,1.54,1.4602,1.5,328323
2016-03-17 00:00:00-04:00,1.51,1.51,1.45,1.47,178733
2016-03-18 00:00:00-04:00,1.49,1.5,1.45,1.495,146142
2016-03-21 00:00:00-04:00,1.6,1.64,1.57,1.63,248473
2016-03-22 00:00:00-04:00,1.62,1.64,1.6,1.63,137274
2016-03-23 00:00:00-04:00,1.64,1.64,1.57,1.61,219968
2016-03-24 00:00:00-04:00,1.62,1.65,1.594,1.63,89977
2016-03-28 00:00:00-04:00,1.64,1.65,1.57,1.6,81576
2016-03-29 00:00:00-04:00,1.54,1.59,1.51,1.56,134488
2016-03-30 00:00:00-04:00,1.57,1.58,1.5401,1.555,64934
2016-03-31 00:00:00-04:00,1.57,1.61,1.56,1.6,137870
2016-04-01 00:00:00-04:00,1.61,1.62,1.57,1.61,100546
2016-04-04 00:00:00-04:00,1.62,1.68,1.6,1.64,231104
2016-04-05 00:00:00-04:00,1.58,1.61,1.571,1.58,71370
2016-04-06 00:00:00-04:00,1.57,1.63,1.56,1.61,137119
2016-04-07 00:00:00-04:00,1.6,1.61,1.57,1.6,70316
