date,1. open,2. high,3. low,4. close,5. volume
2015-01-13 00:00:00-05:00,14.45,14.85,14.45,14.85,11427
2015-01-14 00:00:00-05:00,14.85,14.95,14.5,14.5,7526
2015-01-15 00:00:00-05:00,14.4,14.6,13,14.4,3326
2015-01-16 00:00:00-05:00,14.4,14.45,14,14.1,5477
2015-01-20 00:00:00-05:00,14,14.35,13.15,14.25,676
2015-01-21 00:00:00-05:00,14.25,14.25,13.55,14,1014
2015-01-22 00:00:00-05:00,14.95,14.95,13.75,14,1726
2015-01-23 00:00:00-05:00,13.75,14,13.5,13.95,948
2015-01-26 00:00:00-05:00,14.1,14.1,13,13.6,2742
2015-01-27 00:00:00-05:00,13,14.95,13,14,4132
2015-01-28 00:00:00-05:00,14.5,14.5,13.75,14.15,1748
2015-01-29 00:00:00-05:00,14.5,14.5,13.05,13.75,4652
2015-01-30 00:00:00-05:00,14,14.45,13.3,14,2980
2015-02-02 00:00:00-05:00,14,14,13.34,13.34,1489
2015-02-03 00:00:00-05:00,14.15,15,13.15,15,6347
2015-02-04 00:00:00-05:00,15,15,13.5,13.85,14626
2015-02-05 00:00:00-05:00,13.75,13.85,13.2,13.5,3487
2015-02-06 00:00:00-05:00,14.25,14.25,12.65,13.1,4920
2015-02-09 00:00:00-05:00,12.7,13.5,12.7,13,7323
2015-02-10 00:00:00-05:00,13.05,13.05,12,12.95,4347
2015-02-11 00:00:00-05:00,13,13.05,12.997,13,12958
2015-02-12 00:00:00-05:00,13.05,13.5,12.05,13,8510
2015-02-13 00:00:00-05:00,12.988,13,11.3,12.5,3054
2015-02-17 00:00:00-05:00,12.55,14.11,12.55,13.55,4990
2015-02-18 00:00:00-05:00,13.65,14.25,13.6,13.7,11799
2015-02-19 00:00:00-05:00,13.85,14.1,13.05,13.5,13039
2015-02-20 00:00:00-05:00,13.75,13.75,13.25,13.45,6558
2015-02-23 00:00:00-05:00,13.75,14,13.3,13.5,6919
2015-02-24 00:00:00-05:00,13.5,13.75,12.5,13.5,7829
2015-02-25 00:00:00-05:00,13.5,13.7,13.4,13.4,4738
2015-02-26 00:00:00-05:00,15.25,15.5,13.75,14,12841
2015-02-27 00:00:00-05:00,14,14.4,13.4,13.7,19227
2015-03-02 00:00:00-05:00,13.95,14.65,13.4,13.75,13351
2015-03-03 00:00:00-05:00,13.5,13.5,12.55,13,13949
2015-03-04 00:00:00-05:00,12.6,13.25,12.6,13,14273
2015-03-05 00:00:00-05:00,13,13.4,12.55,13,30226
2015-03-06 00:00:00-05:00,13.1,13.25,12.5,13.248,11048
2015-03-09 00:00:00-04:00,14,15.5,13.5,13.9,42935
2015-03-10 00:00:00-04:00,14.5,14.5,13.35,13.45,54865
2015-03-11 00:00:00-04:00,15.5,15.5,13.75,14.45,61795
2015-03-12 00:00:00-04:00,16.1,19.25,15.25,16.5,124954
2015-03-13 00:00:00-04:00,18,18.75,16.5,17.75,128595
