date,1. open,2. high,3. low,4. close,5. volume
2015-12-15 00:00:00-05:00,13.47,13.47,13.21,13.27,353
2015-12-16 00:00:00-05:00,13.5,13.57,13.2,13.32,4269
2015-12-17 00:00:00-05:00,13.44,13.5,13.32,13.5,6004
2015-12-18 00:00:00-05:00,13.6905,13.7,13.3215,13.3215,1276
2015-12-21 00:00:00-05:00,13.7,13.7,13.63,13.63,152
2015-12-22 00:00:00-05:00,13.55,13.55,13.55,13.55,53
2015-12-23 00:00:00-05:00,13.63,13.63,12.86,12.99,3999
2015-12-24 00:00:00-05:00,12.95,13.25,12.69,12.69,202
2015-12-28 00:00:00-05:00,12.9,13,12.9,12.9,1702
2015-12-29 00:00:00-05:00,12.7,13.1,12.7,12.92,2887
2015-12-30 00:00:00-05:00,12.97,13,12.74,12.74,3922
2015-12-31 00:00:00-05:00,13.03,13.13,13.03,13.13,268
2016-01-04 00:00:00-05:00,13.0001,13.13,13,13.13,3810
2016-01-05 00:00:00-05:00,13.18,13.25,13.02,13.25,6528
2016-01-06 00:00:00-05:00,13.25,13.25,12.93,12.95,15985
2016-01-07 00:00:00-05:00,12.77,13,12.7001,12.97,5108
2016-01-08 00:00:00-05:00,13,13,12.75,12.75,1763
2016-01-11 00:00:00-05:00,12.8,12.8,12.75,12.78,372
2016-01-12 00:00:00-05:00,12.7001,12.9999,12.7001,12.9999,41
2016-01-13 00:00:00-05:00,13,13,12.6,12.6,740
2016-01-14 00:00:00-05:00,12.89,13.1,12.89,13,14933
2016-01-15 00:00:00-05:00,12.772,13,12.6025,13,454
2016-01-19 00:00:00-05:00,12.7501,13.09,12.7501,13.09,924
2016-01-20 00:00:00-05:00,13.07,13.07,13.07,13.07,1
2016-01-21 00:00:00-05:00,13.06,13.06,13.06,13.06,2
2016-01-22 00:00:00-05:00,13.1,13.1,13.09,13.09,1501
2016-01-25 00:00:00-05:00,13.1,13.1,12.9092,12.9092,465
2016-01-26 00:00:00-05:00,12.6601,13,12.6601,13,2126
2016-01-27 00:00:00-05:00,13,13.055,13,13.055,6382
2016-01-28 00:00:00-05:00,13.1,13.1,12.8129,13.1,479
2016-01-29 00:00:00-05:00,12.7275,13.45,12.7001,13.25,9627
2016-02-01 00:00:00-05:00,12.75,13.4,12.75,13.4,332
2016-02-02 00:00:00-05:00,12.96,13.24,12.96,13,328
2016-02-03 00:00:00-05:00,13.0373,13.0373,12.7601,12.8,4151
2016-02-04 00:00:00-05:00,12.7999,12.7999,12.7999,12.7999,500
2016-02-05 00:00:00-05:00,12.75,12.7975,12.7325,12.7325,1181
2016-02-08 00:00:00-05:00,12.799,12.83,12.799,12.82,2228
2016-02-09 00:00:00-05:00,13,13,12.23,12.23,2544
2016-02-10 00:00:00-05:00,12.11,12.11,12.11,12.11,20
2016-02-11 00:00:00-05:00,12.6899,12.6899,12.2,12.2,86
2016-02-12 00:00:00-05:00,12.195,12.9935,11.43,12.5,15106
2016-02-16 00:00:00-05:00,11.4201,12.17,11.4201,12.17,51
2016-02-17 00:00:00-05:00,12.5,12.9,12.5,12.75,2979
2016-02-18 00:00:00-05:00,12.844,13,12.844,12.97,4682
2016-02-19 00:00:00-05:00,12.78,13,12.56,12.56,157
2016-02-22 00:00:00-05:00,13,13.1,11.79,13.1,6327
2016-02-24 00:00:00-05:00,13.1,13.1,12.83,12.83,2052
2016-02-25 00:00:00-05:00,13.08,13.19,12.996,13.09,6199
2016-02-26 00:00:00-05:00,13.09,13.35,13.05,13.0501,658
2016-02-29 00:00:00-05:00,13.28,13.28,13.1,13.2,2645
2016-03-01 00:00:00-05:00,13.45,13.45,13.2001,13.25,2244
2016-03-02 00:00:00-05:00,13.08,13.14,12.84,13.0938,7765
2016-03-03 00:00:00-05:00,13.045,13.25,13.045,13.25,4183
2016-03-04 00:00:00-05:00,13.15,13.1726,13.1,13.15,22445
2016-03-07 00:00:00-05:00,13.22,13.24,13.16,13.24,361
2016-03-08 00:00:00-05:00,13.15,13.25,13.05,13.1,2380
2016-03-09 00:00:00-05:00,13.1,13.25,13.1,13.23,14963
2016-03-10 00:00:00-05:00,13.2489,13.2489,13.2489,13.2489,80
2016-03-11 00:00:00-05:00,13.29,13.29,12.77,12.7853,4039
2016-03-14 00:00:00-04:00,12.98,13.248,12.98,13.07,2495
2016-03-15 00:00:00-04:00,13.05,13.05,12.6,12.8,5547
2016-03-16 00:00:00-04:00,12.73,12.799,12.73,12.799,57
2016-03-17 00:00:00-04:00,12.64,13.14,12.1,12.83,12654
2016-03-18 00:00:00-04:00,12.94,13.03,12.73,12.87,3376
