date,1. open,2. high,3. low,4. close,5. volume
2015-12-17 00:00:00-05:00,6.83,6.83,6.1,6.15,7999
2015-12-18 00:00:00-05:00,6.18,6.265,6.1,6.15,7867
2015-12-21 00:00:00-05:00,6,6,5.51,5.77,38192
2015-12-22 00:00:00-05:00,5.79,6.35,5.75,5.995,23075
2015-12-23 00:00:00-05:00,6.3,6.68,5.81,6.05,35065
2015-12-24 00:00:00-05:00,5.93,6.42,5.69,5.74,13318
2015-12-28 00:00:00-05:00,5.93,6.4978,5.82,5.8886,128427
2015-12-29 00:00:00-05:00,6.47,6.69,5.8,5.99,26627
2015-12-30 00:00:00-05:00,5.99,6.51,5.81,6.17,16443
2015-12-31 00:00:00-05:00,6.3,6.75,6.01,6.55,16359
2016-01-04 00:00:00-05:00,5.7615,6.29,5.75,6.12,58320
2016-01-05 00:00:00-05:00,6.7,6.78,5.9,5.92,12213
2016-01-06 00:00:00-05:00,6,6.25,5.75,5.75,5912
2016-01-07 00:00:00-05:00,5.8,6.31,5.22,5.24,143801
2016-01-08 00:00:00-05:00,5.77,5.9599,5.26,5.28,15420
2016-01-11 00:00:00-05:00,5.64,5.76,5.12,5.13,15306
2016-01-12 00:00:00-05:00,5.4,5.52,4.61,4.65,27955
2016-01-13 00:00:00-05:00,5.15,5.54,4.548,5.02,14377
2016-01-14 00:00:00-05:00,5,5.38,4.61,5.14,14589
2016-01-15 00:00:00-05:00,5,5.39,4.91,5,21714
2016-01-19 00:00:00-05:00,4.7,5.24,4.64,4.85,9078
2016-01-20 00:00:00-05:00,4.85,5.18,4.55,5,68165
2016-01-21 00:00:00-05:00,5.22,5.24,4.632,4.88,18417
2016-01-22 00:00:00-05:00,4.855,5.16,4.5201,4.7,54891
2016-01-25 00:00:00-05:00,4.83,5,4.62,4.68,4810
2016-01-26 00:00:00-05:00,4.97,4.99,4.97,4.99,4
2016-01-27 00:00:00-05:00,4.99,4.99,4.745,4.745,1176
2016-01-28 00:00:00-05:00,5.4,5.49,4.7,4.79,81259
2016-01-29 00:00:00-05:00,4.8,5.02,4.623,4.768,7297
2016-02-01 00:00:00-05:00,4.79,4.79,4.66,4.675,76008
2016-02-02 00:00:00-05:00,4.96,4.96,4.61,4.6601,9161
2016-02-03 00:00:00-05:00,4.83,5.14,4.72,4.79,4751
2016-02-04 00:00:00-05:00,4.91,5.55,4.88,5.2,12729
2016-02-05 00:00:00-05:00,5.53,5.53,4.71,5.2,14776
2016-02-08 00:00:00-05:00,5.49,5.49,4.72,5.27,13988
2016-02-09 00:00:00-05:00,5.18,5.18,4.67,4.67,7329
2016-02-10 00:00:00-05:00,4.69,5.12,4.67,4.7,5209
2016-02-11 00:00:00-05:00,4.67,4.8649,4.57,4.6,3092
2016-02-12 00:00:00-05:00,4.6,4.6,4.6,4.6,143
2016-02-16 00:00:00-05:00,4.74,4.8,4.55,4.6,7714
2016-02-17 00:00:00-05:00,4.9,5.12,4.67,4.7,4008
2016-02-18 00:00:00-05:00,5.14,5.14,4.81,5.03,907
2016-02-19 00:00:00-05:00,5.49,5.49,4.73,4.77,4525
2016-02-22 00:00:00-05:00,4.91,5.1336,4.61,4.63,4137
2016-02-24 00:00:00-05:00,4.82,5.06,4.6,4.67,2002
2016-02-25 00:00:00-05:00,4.65,5,4.64,4.7301,2641
2016-02-26 00:00:00-05:00,4.73,4.73,4.7,4.7,200
2016-02-29 00:00:00-05:00,4.9186,4.9186,4.89,4.9,488
2016-03-02 00:00:00-05:00,4.85,5.15,4.61,4.61,3722
2016-03-03 00:00:00-05:00,5.498,5.498,4.62,4.62,2558
2016-03-04 00:00:00-05:00,4.67,4.75,4.36,4.36,35179
2016-03-07 00:00:00-05:00,4.3,4.51,4.3,4.35,13370
2016-03-08 00:00:00-05:00,4.9,4.9,4.36,4.4,3200
2016-03-09 00:00:00-05:00,4.4,4.41,4.28,4.28,17224
2016-03-10 00:00:00-05:00,4.28,4.28,4.16,4.22,8868
2016-03-11 00:00:00-05:00,4.2999,4.2999,4.16,4.16,533
2016-03-14 00:00:00-04:00,4.08,4.2,4.01,4.1,9154
2016-03-15 00:00:00-04:00,4.01,4.23,4.01,4.01,3054
2016-03-16 00:00:00-04:00,4.16,4.38,4.16,4.31,1703
2016-03-17 00:00:00-04:00,4.57,4.77,4.2,4.21,6388
2016-03-18 00:00:00-04:00,4.38,4.38,4.07,4.07,7733
2016-03-21 00:00:00-04:00,4.28,4.28,4.19,4.2,13528
2016-03-22 00:00:00-04:00,4.2,4.2,4.018,4.14,1205
2016-03-23 00:00:00-04:00,4.27,4.27,4.14,4.14,33
2016-03-28 00:00:00-04:00,4.59,4.59,4.24,4.4,1108
2016-03-29 00:00:00-04:00,4.55,4.55,4.01,4.05,2601
2016-03-30 00:00:00-04:00,4.09,4.16,4.09,4.1,2060
2016-03-31 00:00:00-04:00,4.21,4.2599,4.05,4.06,4762
2016-04-01 00:00:00-04:00,4.05,4.1393,4.05,4.05,2662
2016-04-04 00:00:00-04:00,4.325,4.325,4.05,4.15,3400
2016-04-05 00:00:00-04:00,4.15,4.3491,4.11,4.12,8577
2016-04-06 00:00:00-04:00,4.15,4.35,4.01,4.1,4660
2016-04-07 00:00:00-04:00,4.15,4.24,4.04,4.24,2726
2016-04-08 00:00:00-04:00,4.15,4.175,4.04,4.175,3565
2016-04-11 00:00:00-04:00,4.29,4.5399,4.24,4.38,11287
2016-04-12 00:00:00-04:00,4.0601,4.44,4.0601,4.44,157
2016-04-13 00:00:00-04:00,4.28,4.5,4.28,4.48,1338
2016-04-14 00:00:00-04:00,4.45,4.45,4.28,4.37,4352
2016-04-15 00:00:00-04:00,4.43,4.62,4.22,4.22,51249
2016-04-18 00:00:00-04:00,4.1716,4.3799,4.1716,4.23,26602
2016-04-19 00:00:00-04:00,4.31,4.6,4.201,4.31,26245
2016-04-20 00:00:00-04:00,4.25,4.3,4.2,4.215,12168
2016-04-21 00:00:00-04:00,4.23,4.3,4.21,4.25,9545
2016-04-22 00:00:00-04:00,4.3,4.3,4.11,4.19,20841
2016-04-25 00:00:00-04:00,4.25,4.29,4.1,4.17,36814
2016-04-26 00:00:00-04:00,4.22,4.22,3.88,3.92,47145
2016-04-27 00:00:00-04:00,4.02,4.08,3.88,4.07,1403
2016-04-28 00:00:00-04:00,3.975,4,3.909,3.96,13961
2016-04-29 00:00:00-04:00,3.93,4.06,3.91,3.98,3832
2016-05-02 00:00:00-04:00,3.9101,4,3.91,3.99,3305
2016-05-03 00:00:00-04:00,3.9101,3.95,3.91,3.93,7754
2016-05-04 00:00:00-04:00,3.95,4.0016,3.93,3.94,11247
2016-05-05 00:00:00-04:00,3.9401,3.98,3.94,3.95,10020
2016-05-06 00:00:00-04:00,3.9601,3.97,3.96,3.97,1150
2016-05-09 00:00:00-04:00,4.22,4.22,3.91,3.91,8641
2016-05-10 00:00:00-04:00,3.9885,3.99,3.77,3.8,6141
2016-05-11 00:00:00-04:00,3.78,3.9875,3.78,3.81,1525
2016-05-12 00:00:00-04:00,3.89,3.89,3.69,3.69,12872
2016-05-13 00:00:00-04:00,3.91,3.92,3.14,3.1615,46872
2016-05-16 00:00:00-04:00,3.44,3.4599,3.1,3.1,9171
2016-05-17 00:00:00-04:00,3.13,3.39,3.11,3.21,9005
2016-05-18 00:00:00-04:00,3.56,3.56,2.82,2.82,3898
2016-05-19 00:00:00-04:00,2.94,3.27,2.92,3,15265
2016-05-20 00:00:00-04:00,3.09,3.26,2.98,3.18,16282
2016-05-23 00:00:00-04:00,3.1171,3.25,3.06,3.24,18238
2016-05-24 00:00:00-04:00,3.234,3.8,3.234,3.24,47244
2016-05-25 00:00:00-04:00,3.37,3.79,3.2,3.39,63741
2016-05-26 00:00:00-04:00,3.3,3.44,3.26,3.3,9464
2016-05-27 00:00:00-04:00,3.38,3.6899,3.3,3.57,110565
2016-05-31 00:00:00-04:00,3.84,3.99,3.65,3.94,212409
2016-06-01 00:00:00-04:00,4.05,4.2999,3.8056,4,82585
2016-06-02 00:00:00-04:00,4.15,4.155,3.96,4.01,61158
2016-06-03 00:00:00-04:00,3.98,4.0999,3.92,3.985,492892
2016-06-06 00:00:00-04:00,3.96,4.14,3.85,3.98,63292
2016-06-07 00:00:00-04:00,4.4,4.4,4.1,4.14,278925
2016-06-08 00:00:00-04:00,4.1,4.21,4.01,4.04,80860
2016-06-09 00:00:00-04:00,3.76,3.83,2.85,3.08,1077452
2016-06-10 00:00:00-04:00,3.25,3.35,3.12,3.19,252691
2016-06-13 00:00:00-04:00,3.19,3.3,3.05,3.1,110013
2016-06-14 00:00:00-04:00,3.08,3.08,2.48,2.8,287370
2016-06-15 00:00:00-04:00,2.8,2.89,2.64,2.75,72440
2016-06-16 00:00:00-04:00,2.74,2.8299,2.6,2.69,87822
2016-06-17 00:00:00-04:00,2.67,2.7,2.45,2.5,167257
2016-06-20 00:00:00-04:00,2.5,2.77,2.2,2.71,236175
2016-06-21 00:00:00-04:00,2.35,2.36,2.23,2.26,590163
2016-06-22 00:00:00-04:00,2.23,2.3,2.2,2.22,266576
2016-06-23 00:00:00-04:00,2.22,2.25,2.2,2.21,107255
2016-06-24 00:00:00-04:00,2.09,2.25,2.05,2.2,278697
2016-06-27 00:00:00-04:00,2.2,2.2499,2.08,2.12,118628
2016-06-28 00:00:00-04:00,2.18,2.27,2.18,2.22,239484
2016-06-29 00:00:00-04:00,2.23,2.27,2.13,2.22,204459
2016-06-30 00:00:00-04:00,2.25,2.254,2.1501,2.16,260515
2016-07-01 00:00:00-04:00,2.15,2.2914,2.15,2.22,758135
2016-07-05 00:00:00-04:00,2.25,2.3,2.2,2.2486,408491
2016-07-06 00:00:00-04:00,2.25,2.28,2.21,2.24,279407
2016-07-07 00:00:00-04:00,2.27,2.27,2.16,2.18,477015
2016-07-08 00:00:00-04:00,2.2,2.25,2.18,2.2,238575
2016-07-11 00:00:00-04:00,2.27,2.3,2.12,2.14,461543
2016-07-12 00:00:00-04:00,2.16,2.2,2.08,2.1,372690
2016-07-13 00:00:00-04:00,2.09,2.0999,1.97,1.99,437512
2016-07-14 00:00:00-04:00,2.09,2.09,1.74,1.86,564599
2016-07-15 00:00:00-04:00,1.83,2.0899,1.82,2.05,286891
2016-07-18 00:00:00-04:00,2.05,2.089,1.96,2.03,144900
2016-07-19 00:00:00-04:00,2,2.08,1.95,1.96,96163
2016-07-20 00:00:00-04:00,1.97,2.07,1.901,2.05,158562
2016-07-21 00:00:00-04:00,2.06,2.25,2,2.22,429765
2016-07-22 00:00:00-04:00,2.3,2.35,2.2,2.3,701795
2016-07-25 00:00:00-04:00,2.35,2.35,2.08,2.15,327648
2016-07-26 00:00:00-04:00,2.12,2.1596,2.0301,2.04,227237
2016-07-27 00:00:00-04:00,2.05,2.19,2.05,2.145,232499
2016-07-28 00:00:00-04:00,2.17,2.2689,2.1,2.13,224923
2016-07-29 00:00:00-04:00,2.15,2.189,2,2.02,277520
2016-08-01 00:00:00-04:00,1.9,2.1899,1.9,1.99,353012
2016-08-02 00:00:00-04:00,2.02,2.0699,1.85,1.91,248403
2016-08-03 00:00:00-04:00,1.94,2.095,1.8774,2.06,231502
2016-08-04 00:00:00-04:00,2.06,2.1,2.0137,2.07,143977
2016-08-05 00:00:00-04:00,2.08,2.08,2,2.065,121349
2016-08-08 00:00:00-04:00,2.01,2.13,2.01,2.06,347213
2016-08-09 00:00:00-04:00,2.22,2.22,2.02,2.05,471175
2016-08-10 00:00:00-04:00,2.15,2.15,2.04,2.06,191480
2016-08-11 00:00:00-04:00,2.16,2.17,2.08,2.15,161390
2016-08-12 00:00:00-04:00,2.15,2.185,2.13,2.14,319676
2016-08-15 00:00:00-04:00,2.16,2.29,2.06,2.12,348616
2016-08-16 00:00:00-04:00,2.15,2.15,2.03,2.05,192174
2016-08-17 00:00:00-04:00,2.55,2.75,2.31,2.6,6556378
2016-08-18 00:00:00-04:00,2.84,3.1,2.72,2.7892,5123645
2016-08-19 00:00:00-04:00,2.79,2.84,2.61,2.7981,1060320
2016-08-22 00:00:00-04:00,2.84,3.1372,2.8121,3.012,1428909
2016-08-23 00:00:00-04:00,3.03,3.11,2.83,2.83,863831
2016-08-24 00:00:00-04:00,3.03,3.3,2.83,2.8727,2382696
2016-08-25 00:00:00-04:00,2.88,2.95,2.67,2.804,914342
2016-08-26 00:00:00-04:00,2.81,2.889,2.65,2.705,387190
2016-08-29 00:00:00-04:00,2.74,2.8,2.62,2.8,302954
2016-08-30 00:00:00-04:00,2.76,2.85,2.731,2.82,244163
2016-08-31 00:00:00-04:00,2.82,2.93,2.79,2.89,362849
2016-09-01 00:00:00-04:00,2.91,2.94,2.81,2.86,244887
2016-09-02 00:00:00-04:00,2.87,2.8899,2.71,2.76,287387
2016-09-06 00:00:00-04:00,2.78,2.84,2.7,2.83,210714
2016-09-07 00:00:00-04:00,2.86,3.005,2.8201,2.96,481946
2016-09-08 00:00:00-04:00,3,3.15,2.95,3.14,563375
2016-09-09 00:00:00-04:00,3.11,3.35,3.06,3.11,840437
2016-09-12 00:00:00-04:00,3.09,3.1899,3.01,3.1,461553
2016-09-13 00:00:00-04:00,3.09,3.12,2.82,2.97,556525
2016-09-14 00:00:00-04:00,2.97,3.03,2.84,2.88,321688
2016-09-15 00:00:00-04:00,2.86,2.98,2.73,2.92,400226
2016-09-16 00:00:00-04:00,2.96,3.3,2.9,3.22,1096371
2016-09-19 00:00:00-04:00,3.28,3.69,3.26,3.48,1404555
2016-09-20 00:00:00-04:00,3.55,3.72,3.5,3.69,633712
2016-09-21 00:00:00-04:00,3.72,3.7399,3.4,3.55,832078
2016-09-22 00:00:00-04:00,3.57,3.66,3.47,3.53,399409
2016-09-23 00:00:00-04:00,3.55,4.05,3.5269,3.93,1008689
2016-09-26 00:00:00-04:00,3.95,4.11,3.81,3.98,599189
2016-09-27 00:00:00-04:00,4.03,4.3543,3.71,3.9488,895951
2016-09-28 00:00:00-04:00,4,4.1,3.8501,4.05,439151
2016-09-29 00:00:00-04:00,4.01,4.0831,3.73,3.79,561682
2016-09-30 00:00:00-04:00,3.85,3.97,3.7603,3.89,381898
2016-10-03 00:00:00-04:00,4.09,4.84,4.04,4.5473,2030533
2016-10-04 00:00:00-04:00,4.51,4.589,4.27,4.4989,554870
2016-10-05 00:00:00-04:00,4.19,4.99,4.02,4.79,996033
2016-10-06 00:00:00-04:00,5.51,5.51,4.69,4.81,3520308
2016-10-07 00:00:00-04:00,5.22,5.22,4.88,4.98,1310350
2016-10-10 00:00:00-04:00,5,5.0789,4.76,4.9,660001
2016-10-11 00:00:00-04:00,4.89,4.95,4.49,4.54,733323
2016-10-12 00:00:00-04:00,4.55,4.59,4.22,4.3,550422
2016-10-13 00:00:00-04:00,4.2,4.2852,3.89,4.11,909733
2016-10-14 00:00:00-04:00,4.1,4.1465,3.83,3.87,463026
2016-10-17 00:00:00-04:00,3.82,3.954,3.65,3.89,622417
2016-10-18 00:00:00-04:00,3.92,4.21,3.74,3.86,1619039
2016-10-19 00:00:00-04:00,3.84,3.9132,3.6,3.63,584655
2016-10-20 00:00:00-04:00,4.05,4.06,3.721,3.76,906112
2016-10-21 00:00:00-04:00,3.8,3.81,3.6,3.68,471253
2016-10-24 00:00:00-04:00,3.65,3.69,3.51,3.6,467959
2016-10-25 00:00:00-04:00,3.63,4.08,3.6,3.71,860224
2016-10-26 00:00:00-04:00,3.7,3.7924,3.6,3.68,400624
2016-10-27 00:00:00-04:00,3.68,3.83,3.45,3.5,647358
2016-10-28 00:00:00-04:00,3.28,3.59,3.25,3.33,512766
2016-10-31 00:00:00-04:00,3.38,3.45,3.2,3.21,231472
2016-11-01 00:00:00-04:00,3.19,3.363,3.07,3.15,377468
2016-11-02 00:00:00-04:00,3.12,3.1999,3.1,3.16,217035
2016-11-03 00:00:00-04:00,3.15,3.15,2.835,2.86,491683
2016-11-04 00:00:00-04:00,2.87,3.21,2.85,3.09,317517
2016-11-07 00:00:00-05:00,3.15,3.25,3.0256,3.16,259848
2016-11-08 00:00:00-05:00,3.19,3.37,3,3.23,308484
2016-11-09 00:00:00-05:00,3.28,3.4,3.04,3.37,397282
2016-11-10 00:00:00-05:00,3.46,3.75,3.4576,3.64,664452
2016-11-11 00:00:00-05:00,3.61,3.7,3.5146,3.64,229248
2016-11-14 00:00:00-05:00,3.64,3.739,3.51,3.54,346615
2016-11-15 00:00:00-05:00,3.55,3.5522,3.37,3.52,273183
2016-11-16 00:00:00-05:00,3.49,3.6799,3.36,3.53,298516
2016-11-17 00:00:00-05:00,3.51,3.6799,3.51,3.58,198811
2016-11-18 00:00:00-05:00,3.63,3.84,3.51,3.64,187517
2016-11-21 00:00:00-05:00,3.67,3.74,3.55,3.6802,254799
2016-11-22 00:00:00-05:00,3.69,3.7299,3.49,3.56,284769
2016-11-23 00:00:00-05:00,3.47,3.79,3.42,3.66,206555
2016-11-25 00:00:00-05:00,3.72,3.756,3.6,3.735,117059
2016-11-28 00:00:00-05:00,3.8,4.04,3.68,3.85,480965
2016-11-29 00:00:00-05:00,3.97,3.97,3.75,3.91,386338
2016-11-30 00:00:00-05:00,3.9,3.99,3.7628,3.86,389873
2016-12-01 00:00:00-05:00,3.82,3.88,3.57,3.619,349785
2016-12-02 00:00:00-05:00,3.6,3.639,3.41,3.58,513230
2016-12-05 00:00:00-05:00,3.58,3.6899,3.44,3.62,274049
2016-12-06 00:00:00-05:00,3.61,3.7,3.5045,3.63,261262
2016-12-07 00:00:00-05:00,3.56,3.72,3.47,3.5,245943
2016-12-08 00:00:00-05:00,3.49,3.563,3.33,3.55,236149
2016-12-09 00:00:00-05:00,3.51,3.7799,3.4255,3.5,282377
2016-12-12 00:00:00-05:00,3.48,3.52,3.26,3.43,312193
2016-12-13 00:00:00-05:00,3.5,3.5799,3.3,3.35,383682
2016-12-14 00:00:00-05:00,3.35,3.36,3.1001,3.3,418648
2016-12-15 00:00:00-05:00,3.31,3.315,3.15,3.24,179252
2016-12-16 00:00:00-05:00,3.25,3.2999,3.22,3.25,154318
2016-12-19 00:00:00-05:00,3.29,3.4,3.29,3.331,304203
2016-12-20 00:00:00-05:00,3.4,3.4,3.29,3.36,176889
2016-12-21 00:00:00-05:00,3.35,3.3599,3.25,3.27,131869
2016-12-22 00:00:00-05:00,3.4,3.5,3.32,3.39,301746
2016-12-23 00:00:00-05:00,3.37,3.59,3.35,3.53,216697
2016-12-27 00:00:00-05:00,3.6,3.73,3.54,3.64,244889
2016-12-28 00:00:00-05:00,3.69,3.73,3.371,3.39,431142
2016-12-29 00:00:00-05:00,3.37,3.4899,3.24,3.24,311852
2016-12-30 00:00:00-05:00,3.24,3.3,3.18,3.19,232253
2017-01-03 00:00:00-05:00,3.2,3.4327,3.19,3.36,464870
2017-01-04 00:00:00-05:00,3.4,3.47,3.31,3.335,238881
2017-01-05 00:00:00-05:00,3.36,3.39,3.27,3.33,165658
2017-01-06 00:00:00-05:00,3.31,3.42,3.291,3.365,170184
2017-01-09 00:00:00-05:00,3.5,3.68,3.32,3.53,1603461
2017-01-10 00:00:00-05:00,3.58,3.6,3.41,3.54,220073
2017-01-11 00:00:00-05:00,3.54,3.6,3.32,3.35,244600
2017-01-12 00:00:00-05:00,3.31,3.45,3.26,3.4,315902
