date,1. open,2. high,3. low,4. close,5. volume
2019-11-21 00:00:00-05:00,16.9,19.14,16.21,18.8,1189814
2019-11-22 00:00:00-05:00,18.65,18.999,17.27,18.05,148195
2019-11-25 00:00:00-05:00,18,18.8,16.55,17.17,151740
2019-11-26 00:00:00-05:00,17.17,17.69,16.7,16.92,32533
2019-11-27 00:00:00-05:00,16.99,17.64,16.99,17.29,118421
2019-11-29 00:00:00-05:00,17.51,17.6,17.0899,17.5,5603
2019-12-02 00:00:00-05:00,17.5,18.1799,16.37,16.65,74357
2019-12-03 00:00:00-05:00,16.8,17.48,16.1049,16.725,65636
2019-12-04 00:00:00-05:00,16.77,17.11,16.74,16.85,61389
2019-12-05 00:00:00-05:00,16.95,16.95,16.05,16.84,44735
2019-12-06 00:00:00-05:00,16.7,18,16.2207,18,79986
2019-12-09 00:00:00-05:00,18.04,21.22,17.1855,20.3,154903
2019-12-10 00:00:00-05:00,20.3,21.1,19.2,19.5556,119505
2019-12-11 00:00:00-05:00,19.65,20.95,19.25,20.2,32101
