date,1. open,2. high,3. low,4. close,5. volume
2015-12-21 00:00:00-05:00,2.48,2.6,2.46,2.57,39828
2015-12-22 00:00:00-05:00,2.59,2.59,2.52,2.56,30944
2015-12-23 00:00:00-05:00,2.5,2.5,2.45,2.48,76870
2015-12-24 00:00:00-05:00,2.48,2.53,2.421,2.46,22257
2015-12-28 00:00:00-05:00,2.42,2.5,2.42,2.46,14857
2015-12-29 00:00:00-05:00,2.45,2.5001,2.44,2.46,28419
2015-12-30 00:00:00-05:00,2.4742,2.5,2.46,2.48,6733
2015-12-31 00:00:00-05:00,2.65,2.65,2.49,2.53,110622
2016-01-04 00:00:00-05:00,2.57,2.57,2.48,2.48,22081
2016-01-05 00:00:00-05:00,2.4748,2.49,2.47,2.47,10968
2016-01-06 00:00:00-05:00,2.5,2.53,2.46,2.47,31254
2016-01-07 00:00:00-05:00,2.44,2.4532,2.42,2.42,67150
2016-01-08 00:00:00-05:00,2.04,2.15,1.56,1.74,315586
2016-01-11 00:00:00-05:00,1.98,1.98,1.69,1.71,64256
2016-01-12 00:00:00-05:00,1.72,1.76,1.7,1.72,25513
2016-01-13 00:00:00-05:00,1.78,1.78,1.72,1.72,21201
2016-01-14 00:00:00-05:00,1.72,1.77,1.71,1.72,15754
2016-01-15 00:00:00-05:00,1.72,1.72,1.6602,1.67,50600
2016-01-19 00:00:00-05:00,1.66,1.7,1.4558,1.54,51866
2016-01-20 00:00:00-05:00,1.5,1.6,1.5,1.58,43085
2016-01-21 00:00:00-05:00,1.66,1.81,1.62,1.67,17920
2016-01-22 00:00:00-05:00,1.65,1.8303,1.65,1.67,25965
2016-01-25 00:00:00-05:00,1.69,1.78,1.65,1.65,2141
2016-01-26 00:00:00-05:00,1.65,1.65,1.62,1.62,8869
2016-01-27 00:00:00-05:00,1.62,1.65,1.62,1.63,21708
2016-01-28 00:00:00-05:00,1.632,1.71,1.632,1.65,18447
2016-01-29 00:00:00-05:00,1.67,1.73,1.65,1.65,9909
2016-02-01 00:00:00-05:00,1.68,1.68,1.62,1.63,15927
2016-02-02 00:00:00-05:00,1.62,1.675,1.6,1.6232,15680
2016-02-03 00:00:00-05:00,1.73,1.73,1.6,1.68,45625
2016-02-04 00:00:00-05:00,1.7,1.75,1.61,1.61,33369
2016-02-05 00:00:00-05:00,1.65,1.65,1.6,1.6,11175
2016-02-08 00:00:00-05:00,1.63,1.64,1.6,1.62,61002
2016-02-09 00:00:00-05:00,1.6831,1.6831,1.63,1.64,1228
2016-02-10 00:00:00-05:00,1.62,1.63,1.39,1.51,135824
2016-02-11 00:00:00-05:00,1.53,1.53,1.4211,1.48,36754
2016-02-12 00:00:00-05:00,1.4795,1.48,1.43,1.45,44332
2016-02-16 00:00:00-05:00,1.45,1.53,1.45,1.52,8818
2016-02-17 00:00:00-05:00,1.52,1.62,1.5,1.59,52000
2016-02-18 00:00:00-05:00,1.6,1.61,1.59,1.6,8416
2016-02-19 00:00:00-05:00,1.6,1.61,1.47,1.572,44158
2016-02-22 00:00:00-05:00,1.6,1.6011,1.59,1.6,15225
2016-02-23 00:00:00-05:00,1.601,1.61,1.54,1.61,16449
2016-02-24 00:00:00-05:00,1.5783,1.61,1.5783,1.6001,11900
2016-02-25 00:00:00-05:00,1.61,1.61,1.56,1.5616,12603
2016-02-26 00:00:00-05:00,1.61,1.61,1.58,1.5801,3401
2016-02-29 00:00:00-05:00,1.58,1.6,1.58,1.6,11089
2016-03-01 00:00:00-05:00,1.6,1.6,1.5801,1.6,6654
2016-03-02 00:00:00-05:00,1.6,1.71,1.55,1.62,65491
2016-03-03 00:00:00-05:00,1.6,1.69,1.6,1.68,6291
2016-03-04 00:00:00-05:00,1.68,1.75,1.68,1.75,18399
2016-03-07 00:00:00-05:00,1.7,1.81,1.61,1.69,13375
2016-03-08 00:00:00-05:00,1.7701,1.82,1.7301,1.77,14566
2016-03-09 00:00:00-05:00,1.74,1.83,1.71,1.72,15631
2016-03-10 00:00:00-05:00,1.73,1.73,1.6601,1.6601,11963
2016-03-11 00:00:00-05:00,1.6901,1.79,1.63,1.688,61680
2016-03-14 00:00:00-04:00,1.76,1.8,1.74,1.79,14266
2016-03-15 00:00:00-04:00,1.8,1.81,1.7394,1.76,1368
2016-03-16 00:00:00-04:00,1.7599,1.76,1.7599,1.76,460
2016-03-17 00:00:00-04:00,1.73,1.76,1.73,1.7384,4176
2016-03-18 00:00:00-04:00,1.693,1.76,1.691,1.73,10346
2016-03-21 00:00:00-04:00,1.76,1.76,1.72,1.75,6031
2016-03-22 00:00:00-04:00,1.75,1.8,1.72,1.795,18992
2016-03-23 00:00:00-04:00,1.73,1.78,1.61,1.61,12999
2016-03-24 00:00:00-04:00,1.66,1.66,1.63,1.65,602
2016-03-28 00:00:00-04:00,1.67,1.74,1.67,1.7099,25312
2016-03-29 00:00:00-04:00,1.73,1.73,1.638,1.7099,1713
2016-03-30 00:00:00-04:00,1.72,1.75,1.67,1.74,11502
2016-03-31 00:00:00-04:00,1.82,1.85,1.75,1.8,25159
2016-04-01 00:00:00-04:00,1.79,1.79,1.7201,1.78,9396
2016-04-04 00:00:00-04:00,1.76,1.76,1.7101,1.75,9197
2016-04-05 00:00:00-04:00,1.7,1.7,1.66,1.674,11217
2016-04-06 00:00:00-04:00,1.6701,1.6701,1.6183,1.64,11687
2016-04-07 00:00:00-04:00,1.63,1.67,1.63,1.66,14035
2016-04-08 00:00:00-04:00,1.65,1.68,1.62,1.6697,8385
2016-04-11 00:00:00-04:00,1.65,1.72,1.65,1.69,26698
2016-04-12 00:00:00-04:00,1.71,1.71,1.67,1.68,5924
2016-04-13 00:00:00-04:00,1.69,1.71,1.68,1.71,7610
2016-04-14 00:00:00-04:00,1.7,1.7,1.68,1.7,8290
2016-04-15 00:00:00-04:00,1.7,1.72,1.68,1.71,8402
2016-04-18 00:00:00-04:00,1.7,1.7,1.69,1.7,16817
2016-04-19 00:00:00-04:00,1.67,1.7,1.61,1.68,35654
2016-04-20 00:00:00-04:00,1.68,1.7,1.66,1.67,35060
2016-04-21 00:00:00-04:00,1.68,1.7,1.68,1.69,2024
2016-04-22 00:00:00-04:00,1.7,1.7,1.67,1.685,5327
2016-04-25 00:00:00-04:00,1.7,1.7,1.6701,1.6889,2272
2016-04-26 00:00:00-04:00,1.6999,1.74,1.6801,1.6932,33849
2016-04-27 00:00:00-04:00,1.6701,1.73,1.6701,1.71,21319
2016-04-28 00:00:00-04:00,1.71,1.71,1.63,1.66,49629
2016-04-29 00:00:00-04:00,1.64,1.75,1.64,1.7,20072
2016-05-02 00:00:00-04:00,1.72,1.72,1.6601,1.6895,9406
2016-05-03 00:00:00-04:00,1.71,1.71,1.6511,1.6511,11499
2016-05-04 00:00:00-04:00,1.6789,1.68,1.6401,1.66,7900
2016-05-05 00:00:00-04:00,1.69,1.75,1.68,1.72,23524
2016-05-06 00:00:00-04:00,1.75,1.75,1.7,1.71,2095
2016-05-09 00:00:00-04:00,1.7,1.78,1.6601,1.68,25242
2016-05-10 00:00:00-04:00,1.68,1.73,1.6799,1.6799,11195
2016-05-11 00:00:00-04:00,1.6642,1.696,1.62,1.648,14307
2016-05-12 00:00:00-04:00,1.6256,1.68,1.62,1.64,19107
2016-05-13 00:00:00-04:00,1.67,1.71,1.65,1.7,28826
2016-05-16 00:00:00-04:00,1.7,1.7,1.5001,1.675,171131
2016-05-17 00:00:00-04:00,1.71,1.71,1.6001,1.68,28490
2016-05-18 00:00:00-04:00,1.71,1.71,1.7,1.7,26564
2016-05-19 00:00:00-04:00,1.7089,1.71,1.66,1.71,7253
2016-05-20 00:00:00-04:00,1.6601,1.71,1.6601,1.68,663
2016-05-23 00:00:00-04:00,1.67,1.74,1.65,1.74,19578
2016-05-24 00:00:00-04:00,1.7,1.75,1.7,1.75,53201
2016-05-25 00:00:00-04:00,1.68,1.75,1.68,1.75,2226
2016-05-26 00:00:00-04:00,1.7001,1.75,1.68,1.69,8750
2016-05-27 00:00:00-04:00,1.68,1.74,1.6501,1.69,23464
2016-05-31 00:00:00-04:00,1.67,1.72,1.67,1.7101,9231
2016-06-01 00:00:00-04:00,1.71,1.7199,1.68,1.7,34439
2016-06-02 00:00:00-04:00,1.69,1.72,1.66,1.68,16902
2016-06-03 00:00:00-04:00,1.68,1.7,1.68,1.7,2792
2016-06-06 00:00:00-04:00,1.7,1.72,1.6999,1.72,22379
2016-06-07 00:00:00-04:00,1.75,1.93,1.749,1.8,53897
2016-06-08 00:00:00-04:00,1.82,1.8328,1.7501,1.83,10877
2016-06-09 00:00:00-04:00,1.7942,1.8,1.75,1.78,16181
2016-06-10 00:00:00-04:00,1.75,1.85,1.75,1.7601,185
2016-06-13 00:00:00-04:00,1.8,1.8299,1.7601,1.79,3608
2016-06-14 00:00:00-04:00,1.7501,1.77,1.75,1.77,2244
2016-06-15 00:00:00-04:00,1.75,1.7799,1.75,1.7692,3315
2016-06-16 00:00:00-04:00,1.75,1.829,1.75,1.8099,2728
2016-06-17 00:00:00-04:00,1.77,1.84,1.77,1.83,6395
2016-06-20 00:00:00-04:00,1.84,1.84,1.76,1.79,6895
2016-06-21 00:00:00-04:00,1.84,1.84,1.75,1.76,7718
2016-06-22 00:00:00-04:00,1.7601,1.7799,1.74,1.74,3302
2016-06-23 00:00:00-04:00,1.68,1.7299,1.58,1.7299,29047
2016-06-24 00:00:00-04:00,1.63,1.67,1.5789,1.65,22347
2016-06-27 00:00:00-04:00,1.65,1.704,1.65,1.65,5643
2016-06-28 00:00:00-04:00,1.68,1.98,1.68,1.75,389775
2016-06-29 00:00:00-04:00,1.81,1.97,1.81,1.9399,33925
2016-06-30 00:00:00-04:00,1.99,1.99,1.75,1.83,27012
2016-07-01 00:00:00-04:00,1.77,1.82,1.77,1.79,3246
2016-07-05 00:00:00-04:00,1.77,1.7851,1.7,1.71,10889
2016-07-06 00:00:00-04:00,1.71,1.74,1.7,1.7,4206
2016-07-07 00:00:00-04:00,1.7,1.78,1.68,1.7,3540
2016-07-08 00:00:00-04:00,1.75,1.79,1.7448,1.77,10756
2016-07-11 00:00:00-04:00,1.77,1.8,1.77,1.79,4565
2016-07-12 00:00:00-04:00,1.78,1.86,1.706,1.72,35871
2016-07-13 00:00:00-04:00,1.75,1.76,1.6958,1.76,2729
2016-07-14 00:00:00-04:00,1.77,1.77,1.72,1.735,6314
2016-07-15 00:00:00-04:00,1.73,1.7699,1.71,1.72,7912
2016-07-18 00:00:00-04:00,1.73,1.75,1.7219,1.7219,6094
2016-07-19 00:00:00-04:00,1.73,1.8299,1.73,1.79,50177
2016-07-20 00:00:00-04:00,1.78,1.797,1.77,1.77,14353
2016-07-21 00:00:00-04:00,1.77,1.85,1.77,1.8,21233
2016-07-22 00:00:00-04:00,1.82,1.82,1.7701,1.8,7030
2016-07-25 00:00:00-04:00,1.82,1.8316,1.77,1.77,30667
2016-07-26 00:00:00-04:00,1.8,1.8,1.76,1.76,13912
2016-07-27 00:00:00-04:00,1.8,1.82,1.76,1.77,17601
2016-07-28 00:00:00-04:00,1.761,1.8099,1.761,1.79,2999
2016-07-29 00:00:00-04:00,1.77,1.78,1.72,1.72,3605
2016-08-01 00:00:00-04:00,1.76,1.79,1.72,1.72,34415
2016-08-02 00:00:00-04:00,1.75,1.82,1.72,1.79,9356
2016-08-03 00:00:00-04:00,1.81,1.81,1.738,1.8,7605
2016-08-04 00:00:00-04:00,1.79,1.8,1.76,1.7892,4007
2016-08-05 00:00:00-04:00,1.8,1.83,1.7999,1.82,13161
2016-08-08 00:00:00-04:00,1.79,1.83,1.78,1.78,18307
2016-08-09 00:00:00-04:00,1.78,1.8199,1.76,1.79,11661
2016-08-10 00:00:00-04:00,1.77,1.8595,1.77,1.84,43319
2016-08-11 00:00:00-04:00,1.8,1.86,1.8,1.84,13005
2016-08-12 00:00:00-04:00,1.81,1.8661,1.81,1.85,19438
2016-08-15 00:00:00-04:00,2.33,3.19,2.32,2.8509,9425334
2016-08-16 00:00:00-04:00,2.82,2.95,2.49,2.54,1425822
2016-08-17 00:00:00-04:00,2.55,2.57,2.33,2.439,299638
2016-08-18 00:00:00-04:00,2.46,2.46,2.16,2.26,273398
2016-08-19 00:00:00-04:00,2.25,2.4,2.1486,2.29,364874
2016-08-22 00:00:00-04:00,2.26,2.38,2.21,2.34,178187
2016-08-23 00:00:00-04:00,2.33,2.36,2.23,2.26,68184
2016-08-24 00:00:00-04:00,2.25,2.312,2.121,2.17,131239
2016-08-25 00:00:00-04:00,2.14,2.14,2,2.0301,126826
