date,1. open,2. high,3. low,4. close,5. volume
2015-12-18 00:00:00-05:00,16.18,16.28,15.835,15.91,735579
2015-12-21 00:00:00-05:00,16,16.07,15.64,15.75,589936
2015-12-22 00:00:00-05:00,15.79,16.16,15.745,16.16,665026
2015-12-23 00:00:00-05:00,16.26,16.5,16.1501,16.35,494757
2015-12-24 00:00:00-05:00,16.31,16.39,16.25,16.3,76337
2015-12-28 00:00:00-05:00,16.21,16.22,16,16.13,285916
2015-12-29 00:00:00-05:00,16.19,16.435,16.09,16.35,461719
2015-12-30 00:00:00-05:00,16.1,16.19,15.9,16.02,203821
2015-12-31 00:00:00-05:00,16,16.11,15.85,15.89,409794
2016-01-04 00:00:00-05:00,15.62,15.83,15.34,15.44,504763
2016-01-05 00:00:00-05:00,15.44,15.68,15.235,15.58,438634
2016-01-06 00:00:00-05:00,15.27,15.31,14.46,14.95,1358508
2016-01-07 00:00:00-05:00,14.66,14.81,14.5,14.65,488280
2016-01-08 00:00:00-05:00,14.77,14.86,14.4,14.49,561875
2016-01-11 00:00:00-05:00,14.48,14.64,14.28,14.61,552599
2016-01-12 00:00:00-05:00,14.72,14.785,14.37,14.555,508198
2016-01-13 00:00:00-05:00,14.56,14.59,13.78,13.83,309239
2016-01-14 00:00:00-05:00,12.74,13.76,12.74,13.43,1217520
2016-01-15 00:00:00-05:00,13.07,13.2,12.765,13.01,656825
2016-01-19 00:00:00-05:00,13.09,13.14,12.03,12.15,987782
2016-01-20 00:00:00-05:00,12.02,12.54,11.615,12.43,710716
2016-01-21 00:00:00-05:00,12.46,13,12.37,12.91,574438
2016-01-22 00:00:00-05:00,13.11,13.48,12.95,13.22,846384
2016-01-25 00:00:00-05:00,13.15,13.31,12.66,12.75,437240
2016-01-26 00:00:00-05:00,12.79,13.26,12.79,13.09,269406
2016-01-27 00:00:00-05:00,13.02,13.1,12.78,12.8,403495
2016-01-28 00:00:00-05:00,12.94,13.17,12.43,12.44,722127
2016-01-29 00:00:00-05:00,12.39,13.045,12.39,12.79,749201
2016-02-01 00:00:00-05:00,12.76,13.0575,12.59,12.8,1342038
2016-02-02 00:00:00-05:00,12.69,12.74,12,12.05,764329
2016-02-03 00:00:00-05:00,12.15,12.49,11.8,12.47,431312
2016-02-04 00:00:00-05:00,12.46,13.025,12.44,13.01,692382
2016-02-05 00:00:00-05:00,12.95,13.05,12.67,13,386798
2016-02-08 00:00:00-05:00,12.76,12.82,12.45,12.55,592582
2016-02-09 00:00:00-05:00,12.4,12.6,11.31,11.83,1630472
2016-02-10 00:00:00-05:00,11.96,12.31,11.17,11.53,1216289
